,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AALR3,2022-06-06,19.82,19.82,19.36,19.76,518700,1155,19,1554,2726,2,0
1,AALR3,2022-06-08,19.61,19.94,19.54,19.84,189400,530,1,355,886,0,0
2,AALR3,2022-06-09,19.77,20.21,19.53,20.16,659700,577,34,388,998,1,0
3,AALR3,2022-06-10,19.95,20.15,19.89,19.98,125100,413,21,324,758,0,0
4,AALR3,2022-06-13,19.76,19.94,19.48,19.91,390400,851,61,589,1501,0,0
5,AALR3,2022-06-14,19.88,19.88,19.5,19.75,400200,969,42,799,1810,0,0
6,AALR3,2022-06-15,19.86,20.0,19.68,19.71,166900,527,43,422,992,0,0
7,AALR3,2022-06-17,19.64,19.98,19.52,19.77,227700,546,66,500,1112,0,0
8,AALR3,2022-06-20,19.76,19.79,19.55,19.57,283500,476,40,616,1132,0,0
9,AALR3,2022-06-21,19.83,19.83,19.41,19.47,432800,692,1,717,1409,1,0
10,AALR3,2022-06-22,19.48,19.8,19.48,19.69,299700,747,77,611,1435,0,0
11,AALR3,2022-06-23,19.69,19.72,19.54,19.65,531900,526,44,348,917,1,0
12,AALR3,2022-06-24,19.7,19.7,19.46,19.52,481900,640,53,751,1444,0,0
13,AALR3,2022-06-27,19.53,19.68,19.42,19.52,249000,626,34,689,1349,0,0
14,AALR3,2022-06-28,19.66,19.66,19.3,19.5,317800,468,1,579,1047,1,0
15,AALR3,2022-06-29,19.51,19.65,19.25,19.3,224300,654,2,464,1119,1,0
16,AALR3,2022-06-30,19.11,19.57,18.77,19.28,536800,1001,41,695,1736,1,0
17,AALR3,2022-07-01,19.43,19.81,19.43,19.68,243700,587,36,577,1200,0,0
18,AALR3,2022-07-04,19.66,19.97,19.62,19.95,259100,430,39,412,880,1,0
19,AALR3,2022-07-05,19.9,19.99,19.66,19.84,212000,628,290,518,1188,248,0
20,AALR3,2022-07-06,19.94,19.98,19.61,19.8,283900,715,58,655,1428,0,0
21,AALR3,2022-07-07,19.98,20.17,19.82,20.04,531700,1031,48,413,1491,1,0
22,AALR3,2022-07-08,20.01,20.31,20.01,20.25,445000,1104,36,760,1900,0,0
23,AALR3,2022-07-11,20.01,20.21,19.81,19.99,142300,357,41,461,859,0,0
24,AALR3,2022-07-12,20.01,20.05,19.75,19.9,206400,521,38,523,1082,0,0
25,AALR3,2022-07-13,19.83,20.18,19.83,20.08,602600,552,46,421,1018,1,0
26,AALR3,2022-07-14,19.93,20.02,19.84,19.95,102500,230,35,280,545,0,0
27,AALR3,2022-07-15,19.96,20.0,19.79,19.8,126100,389,40,334,763,0,0
28,AALR3,2022-07-18,19.83,19.89,19.38,19.47,249700,533,46,493,1072,0,0
29,AALR3,2022-07-19,19.6,19.6,19.26,19.44,198700,641,52,305,998,0,0
30,AALR3,2022-07-20,19.39,19.5,19.19,19.45,215700,607,47,360,1014,0,0
