,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ABEV3,2022-06-06,14.12,14.2,13.95,13.97,13085700,4381,279,6561,11141,6,74
1,ABEV3,2022-06-07,13.95,13.97,13.61,13.71,23888200,11278,268,15812,27332,1,25
2,ABEV3,2022-06-08,13.63,13.93,13.54,13.82,13145200,7848,319,9597,17659,3,102
3,ABEV3,2022-06-09,13.71,13.83,13.57,13.68,18417700,11525,344,9005,20776,0,98
4,ABEV3,2022-06-10,13.55,13.67,13.27,13.59,29186500,14973,310,14174,29349,10,98
5,ABEV3,2022-06-13,13.44,13.56,13.19,13.34,23595500,13236,464,11812,25373,1,138
6,ABEV3,2022-06-14,13.36,13.37,12.99,13.1,17487000,13333,362,37171,50763,0,103
7,ABEV3,2022-06-15,13.33,13.35,13.01,13.07,28421400,23750,385,17131,41147,4,115
8,ABEV3,2022-06-17,12.88,13.13,12.77,12.82,38950600,16075,481,16446,32892,5,105
9,ABEV3,2022-06-20,12.99,13.25,12.88,13.04,13366700,8360,321,8239,16783,2,135
10,ABEV3,2022-06-21,13.08,13.31,12.94,13.27,19966600,12908,372,20811,33963,2,126
11,ABEV3,2022-06-22,13.12,13.39,13.06,13.21,16963200,13566,356,8389,22194,16,101
12,ABEV3,2022-06-23,13.35,13.38,13.25,13.31,17466700,11513,337,9536,21301,5,80
13,ABEV3,2022-06-24,13.47,13.77,13.33,13.66,25329300,19903,343,11597,31716,3,124
14,ABEV3,2022-06-27,13.75,13.85,13.64,13.8,16111400,19029,248,9460,28672,0,65
15,ABEV3,2022-06-28,13.71,13.81,13.38,13.45,24086500,14665,409,22489,37487,1,75
16,ABEV3,2022-06-29,13.49,13.7,13.35,13.52,27461600,12012,275,16427,28638,1,75
17,ABEV3,2022-06-30,13.41,13.54,13.32,13.4,22872000,30821,399,24819,55981,5,53
18,ABEV3,2022-07-01,13.33,13.8,13.3,13.78,17714200,13296,298,17258,30808,0,44
19,ABEV3,2022-07-04,13.73,13.81,13.61,13.65,7157000,5451,289,6612,12227,1,124
20,ABEV3,2022-07-05,13.6,14.14,13.52,14.08,26056900,13114,386,21112,34497,1,114
21,ABEV3,2022-07-06,14.05,14.39,14.02,14.23,21918400,17123,271,22172,39515,1,50
22,ABEV3,2022-07-07,14.29,14.38,14.0,14.28,19019700,18937,358,14565,33756,1,103
23,ABEV3,2022-07-08,14.19,14.36,14.12,14.35,13974800,11157,164,9192,20478,3,32
24,ABEV3,2022-07-11,14.3,14.34,14.03,14.04,11484300,9553,313,12734,22489,0,111
25,ABEV3,2022-07-12,14.11,14.11,13.53,13.87,50374400,25043,340,17929,43177,32,103
26,ABEV3,2022-07-13,13.8,14.67,13.8,14.59,53045500,27442,567,37037,64723,11,312
27,ABEV3,2022-07-14,14.37,14.96,14.37,14.9,42313700,27362,482,20828,48467,19,186
28,ABEV3,2022-07-15,14.8,14.88,14.57,14.58,25341500,9639,440,9471,19378,12,160
29,ABEV3,2022-07-18,14.6,14.72,14.41,14.55,16582000,9343,345,12255,21819,5,119
30,ABEV3,2022-07-19,14.49,14.76,14.42,14.46,21362100,11903,370,12630,24738,8,157
31,ABEV3,2022-07-20,14.41,14.56,14.11,14.3,48699500,33297,365,23861,57396,13,114
32,ABEV3,2022-07-21,14.24,14.59,14.18,14.58,25407300,12268,408,14900,27442,6,128
33,ABEV3,2022-07-22,14.54,14.62,14.36,14.45,22205400,11919,489,9753,22095,6,60
34,ABEV3,2022-07-25,14.53,14.78,14.45,14.76,14348000,12140,289,8294,20639,5,79
35,ABEV3,2022-07-26,14.69,14.88,14.55,14.84,27532200,11200,348,14208,25610,13,133
36,ABEV3,2022-07-27,14.85,15.1,14.65,15.05,37333600,11403,380,13320,24960,15,128
37,ABEV3,2022-07-28,15.44,15.8,14.73,15.15,70122600,25607,1361,25782,51889,312,549
38,ABEV3,2022-07-29,15.13,15.23,14.83,14.9,40541400,14060,407,21264,35610,11,110
39,ABEV3,2022-08-01,14.86,14.89,14.43,14.51,34565900,21605,514,15562,37512,10,159
40,ABEV3,2022-08-02,14.56,14.79,14.51,14.77,12515800,6318,408,8774,15397,5,98
41,ABEV3,2022-08-03,14.73,14.82,14.4,14.65,19576600,8545,434,12149,20920,5,203
42,ABEV3,2022-08-08,14.68,14.84,14.51,14.82,16864800,11816,331,10367,22424,5,85
43,ABEV3,2022-08-09,14.84,14.87,14.62,14.86,13704000,13604,282,11621,25437,2,68
44,ABEV3,2022-08-10,14.97,15.21,14.75,15.14,19048300,19267,551,22311,41869,4,256
45,ABEV3,2022-08-12,15.26,15.36,15.08,15.19,17954400,7688,427,8367,16350,1,131
46,ABEV3,2022-08-15,15.13,15.5,15.06,15.43,21276600,14966,2724,16571,31790,2358,113
47,ABEV3,2022-08-16,15.44,15.61,15.33,15.49,16447100,12311,352,9866,22396,4,129
48,ABEV3,2022-08-17,15.46,15.63,15.35,15.55,27664000,42023,463,19499,61814,11,160
49,ABEV3,2022-08-18,15.66,16.02,15.59,15.9,34709400,26726,586,18135,45128,11,308
50,ABEV3,2022-08-19,15.89,16.22,15.54,15.64,38987700,35776,371,14126,50098,5,170
51,ABEV3,2022-08-22,15.71,15.77,15.34,15.47,18162300,16862,478,10013,27154,6,193
52,ABEV3,2022-08-23,15.35,15.52,15.29,15.44,14311100,10975,296,12059,23285,1,44
53,ABEV3,2022-08-24,15.44,15.89,15.43,15.87,18063900,14945,371,14469,29695,1,89
54,ABEV3,2022-08-25,15.95,16.08,15.75,15.79,10482600,17679,277,7352,25237,3,68
55,ABEV3,2022-08-26,15.89,15.9,15.61,15.66,12927600,10169,293,10972,21349,0,85
56,ABEV3,2022-08-29,15.65,15.69,15.51,15.62,9512400,9687,264,9926,19800,2,75
57,ABEV3,2022-08-30,15.73,15.73,15.26,15.4,15374700,11540,390,7835,19625,1,139
58,ABEV3,2022-08-31,15.42,15.62,15.26,15.26,22741700,11274,483,13824,25468,14,99
59,ABEV3,2022-09-01,15.36,15.7,15.09,15.38,33540800,19335,414,27671,47296,7,117
60,ABEV3,2022-09-02,15.47,15.74,15.35,15.52,22400800,9465,461,10480,20264,3,139
61,ABEV3,2022-09-05,15.6,15.61,15.44,15.55,9796000,5795,280,7358,13331,26,76
62,ABEV3,2022-09-06,15.42,15.66,15.39,15.5,20160400,15854,689,12501,28587,333,124
63,ABEV3,2022-09-08,15.6,15.74,15.35,15.45,22311100,15841,306,26517,42575,3,86
64,ABEV3,2022-09-09,15.5,15.76,15.48,15.75,13422600,7390,308,11727,19276,1,148
65,ABEV3,2022-09-12,15.79,15.8,15.58,15.72,18048600,15802,311,14449,30489,1,72
