,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AERI3,2023-04-14,1.37,1.39,1.33,1.36,1880800,1567,40,1016,2623,0,0
1,AERI3,2023-05-30,1.52,1.53,1.47,1.51,3809400,1341,37,1239,2617,0,0
2,AERI3,2022-12-07,1.21,1.26,1.21,1.23,3126400,1214,34,1244,2492,0,0
3,AERI3,2022-10-03,2.08,2.12,2.03,2.08,3982500,4388,52,2814,7254,0,0
4,AERI3,2023-01-26,1.6,1.6,1.52,1.55,5019400,2307,37,2779,5123,0,0
5,AERI3,2023-01-20,1.52,1.57,1.45,1.56,9814400,5562,59,5474,11095,0,0
6,AERI3,2022-09-21,2.29,2.32,2.25,2.27,5010700,1445,66,2257,3768,0,0
7,AERI3,2022-11-30,1.49,1.5,1.4,1.44,13144200,1423,125,6516,8064,0,0
8,AERI3,2023-03-15,1.34,1.34,1.26,1.3,4566200,1615,47,2061,3723,0,0
9,AERI3,2023-05-15,1.58,1.67,1.54,1.63,6120000,2788,88,1550,4426,0,0
10,AERI3,2023-08-04,1.22,1.25,1.21,1.23,3465800,1308,23,1449,2780,0,0
11,AERI3,2023-02-08,1.29,1.35,1.22,1.29,10157800,3426,50,5948,9424,0,0
12,AERI3,2022-10-14,2.1,2.15,2.02,2.02,1918000,911,72,1531,2514,0,0
13,AERI3,2022-06-06,3.52,3.54,3.33,3.39,1462100,1203,40,1755,2998,0,0
14,AERI3,2023-06-09,1.56,1.62,1.54,1.56,6824000,4823,48,1369,6240,0,0
15,AERI3,2022-06-30,2.83,2.83,2.73,2.81,2063400,1734,56,2974,4764,0,0
16,AERI3,2022-07-28,2.93,3.12,2.9,3.02,3897100,5722,33,3231,8982,4,0
17,AERI3,2023-01-17,1.37,1.4,1.31,1.31,7113200,2462,83,7064,9609,0,0
18,AERI3,2022-09-23,2.25,2.26,2.16,2.19,4150600,1302,75,2038,3415,0,0
19,AERI3,2022-06-07,3.32,3.39,3.23,3.26,1832700,1534,42,4549,6125,0,0
20,AERI3,2023-05-22,1.63,1.63,1.58,1.58,4704100,1748,73,1808,3629,0,0
21,AERI3,2022-07-29,3.07,3.11,2.98,3.0,3218700,3763,50,2683,6493,3,0
22,AERI3,2022-06-20,2.8,2.83,2.78,2.8,1837700,1039,32,1537,2608,0,0
23,AERI3,2023-06-01,1.5,1.56,1.47,1.54,6211100,3660,75,4137,7872,0,0
24,AERI3,2022-12-13,1.18,1.2,1.0,1.0,11309200,1311,122,2870,4303,0,0
25,AERI3,2022-12-09,1.1,1.11,1.0,1.0,11941000,4591,351,17901,22843,0,0
26,AERI3,2023-08-28,1.03,1.03,1.0,1.0,3650600,951,113,4620,5684,0,0
27,AERI3,2022-12-14,1.01,1.04,0.99,1.0,10431600,2752,47,2160,4959,0,0
28,AERI3,2023-03-29,1.26,1.28,1.19,1.21,3357800,950,64,1666,2680,0,0
29,AERI3,2023-05-11,1.59,1.66,1.56,1.65,3752600,1691,62,1196,2948,1,0
30,AERI3,2022-10-17,2.04,2.04,1.99,2.01,2357900,1702,55,2395,4152,0,0
31,AERI3,2022-09-08,2.28,2.62,2.27,2.54,10419500,4473,70,2878,7421,0,0
32,AERI3,2023-04-13,1.38,1.4,1.32,1.38,2819800,1846,55,1255,3155,1,0
33,AERI3,2022-12-23,1.0,1.09,0.99,1.04,9105700,1252,40,1075,2367,0,0
34,AERI3,2022-07-06,2.47,2.74,2.45,2.56,7723200,6229,135,6048,12412,0,0
35,AERI3,2023-08-22,1.04,1.05,1.02,1.04,5760100,1432,51,4107,5590,0,0
36,AERI3,2022-06-15,2.8,2.99,2.77,2.96,3526200,3830,81,4778,8685,4,0
37,AERI3,2023-05-23,1.59,1.59,1.53,1.55,4605400,2163,56,1454,3673,0,0
38,AERI3,2023-04-28,1.53,1.58,1.48,1.54,4512500,2401,80,1620,4101,0,0
39,AERI3,2022-06-29,2.86,2.89,2.76,2.85,2671900,5296,96,3881,9273,0,0
40,AERI3,2022-07-15,2.66,2.78,2.62,2.74,1595500,2238,39,1486,3763,0,0
41,AERI3,2023-08-17,1.14,1.15,1.08,1.09,5967600,2298,86,2727,5110,1,0
42,AERI3,2022-11-29,1.49,1.51,1.44,1.47,5208800,1840,43,8584,10467,0,0
43,AERI3,2022-11-08,1.93,2.07,1.91,1.99,3982800,1394,43,1383,2819,1,0
44,AERI3,2022-09-26,2.18,2.19,2.08,2.08,3595600,1052,76,2218,3346,0,0
45,AERI3,2023-01-18,1.32,1.59,1.32,1.46,13263900,5839,69,3511,9419,0,0
46,AERI3,2023-01-09,1.03,1.2,1.03,1.16,9705800,4492,55,2228,6775,0,0
47,AERI3,2023-06-23,1.51,1.54,1.48,1.5,5441000,2581,39,1473,4093,0,0
48,AERI3,2022-08-22,2.47,2.55,2.4,2.46,3454900,1728,100,2091,3919,0,0
49,AERI3,2022-07-01,2.77,2.79,2.5,2.5,3396700,2461,203,4214,6878,0,0
50,AERI3,2022-08-19,2.64,2.66,2.48,2.49,4330700,2589,110,4290,6989,0,0
51,AERI3,2023-07-07,1.33,1.4,1.33,1.37,7842500,1522,36,1679,3237,0,0
52,AERI3,2023-07-21,1.18,1.22,1.18,1.2,5116800,968,60,1312,2338,2,0
