,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AESB3,2023-01-06,9.26,9.33,9.22,9.26,1966000,2771,68,4278,7117,0,0
1,AESB3,2023-03-01,9.95,10.05,9.9,9.99,2551800,4014,109,3581,7651,53,0
2,AESB3,2023-06-14,12.4,12.5,12.32,12.4,1720600,3142,82,2403,5627,0,0
3,AESB3,2023-02-14,10.08,10.11,9.86,10.01,1434300,2169,60,3301,5530,0,0
4,AESB3,2022-12-07,10.08,10.17,9.94,10.06,1293800,1900,42,2153,4095,0,0
5,AESB3,2022-12-05,10.3,10.35,10.09,10.1,1026600,1159,29,2110,3298,0,0
6,AESB3,2023-01-19,9.72,9.91,9.72,9.85,1734100,2479,42,2967,5488,0,0
7,AESB3,2022-07-06,10.62,10.73,10.51,10.66,1362700,2253,70,2005,4327,1,0
8,AESB3,2023-08-17,10.86,10.91,10.76,10.82,1522800,3307,91,3239,6637,0,0
9,AESB3,2023-04-11,10.05,10.2,10.04,10.09,1647900,3258,56,2062,5376,0,0
10,AESB3,2022-12-09,9.82,9.88,9.55,9.65,2298400,2643,43,5246,7932,0,0
11,AESB3,2023-07-25,11.91,12.0,11.78,11.8,2362100,3933,63,3025,7021,0,0
12,AESB3,2022-10-18,9.37,9.4,9.26,9.3,1339500,2312,52,2175,4539,0,0
13,AESB3,2023-02-28,10.0,10.11,9.87,9.92,2970600,3401,124,3872,7397,0,0
14,AESB3,2023-04-06,9.94,10.01,9.88,9.99,1806600,2418,70,3498,5986,0,0
15,AESB3,2023-01-26,10.11,10.24,10.11,10.17,1329900,2121,45,2616,4782,0,0
16,AESB3,2023-07-17,11.81,11.9,11.54,11.69,1749300,2768,84,3979,6831,0,0
17,AESB3,2023-03-24,9.75,9.97,9.68,9.91,2063200,2893,55,2758,5706,0,0
18,AESB3,2023-07-05,12.15,12.24,12.13,12.15,1114300,3175,95,1931,5201,0,0
19,AESB3,2023-01-10,9.22,9.47,9.2,9.31,3791200,4760,45,6543,11348,0,0
20,AESB3,2023-03-15,10.11,10.22,10.02,10.17,1688000,3484,95,2364,5943,0,0
21,AESB3,2022-12-28,9.71,9.88,9.62,9.81,738600,1408,42,1346,2796,0,0
22,AESB3,2022-09-20,9.7,9.74,9.61,9.62,1979600,1724,89,2637,4450,0,0
23,AESB3,2023-04-26,10.15,10.42,10.15,10.28,4089500,2682,109,2853,5640,4,0
24,AESB3,2023-01-13,9.48,9.65,9.4,9.4,3167900,4020,144,4367,8531,0,0
25,AESB3,2022-08-26,9.76,9.81,9.63,9.67,2246900,2287,91,2338,4716,0,0
26,AESB3,2022-07-18,10.49,10.53,10.32,10.39,1147300,1675,42,2057,3774,0,0
27,AESB3,2023-06-09,12.4,12.51,12.39,12.48,1628300,3801,72,3748,7621,0,0
28,AESB3,2023-01-25,9.99,10.17,9.97,10.1,2190400,2939,59,2668,5664,2,0
29,AESB3,2022-10-28,9.54,9.7,9.54,9.66,1080500,1458,57,1364,2879,0,0
30,AESB3,2022-09-13,9.78,9.83,9.72,9.78,2440700,2007,68,3645,5718,2,0
31,AESB3,2023-08-01,11.9,12.11,11.9,11.96,1548000,3126,74,3321,6521,0,0
32,AESB3,2023-06-28,12.2,12.25,12.11,12.14,671400,1868,51,1135,3054,0,0
