,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AFLT3,2022-06-06,9.29,9.29,9.08,9.08,500,1,0,3,4,0,0
1,AFLT3,2022-06-07,9.31,9.31,9.31,9.31,100,1,0,0,1,0,0
2,AFLT3,2022-06-09,9.09,9.18,9.09,9.09,300,0,0,3,3,0,0
3,AFLT3,2022-06-14,9.04,9.04,9.01,9.01,4300,0,0,9,9,0,0
4,AFLT3,2022-06-17,8.75,9.0,8.45,9.0,500,1,0,4,5,0,0
5,AFLT3,2022-06-20,9.0,9.0,9.0,9.0,200,1,0,0,1,0,0
6,AFLT3,2022-06-21,9.0,9.0,9.0,9.0,100,0,0,1,1,0,0
7,AFLT3,2022-06-22,8.89,8.89,8.89,8.89,300,2,0,0,2,0,0
8,AFLT3,2022-06-23,8.88,8.88,8.88,8.88,200,1,0,1,2,0,0
9,AFLT3,2022-06-27,8.89,9.09,8.88,9.09,1000,2,0,3,5,0,0
10,AFLT3,2022-07-01,9.88,9.88,9.43,9.43,400,2,0,2,4,0,0
11,AFLT3,2022-07-04,9.42,9.42,9.42,9.42,100,1,0,0,1,0,0
12,AFLT3,2022-07-05,9.31,9.5,8.9,8.9,300,2,0,1,3,0,0
13,AFLT3,2022-07-07,9.4,9.4,9.38,9.4,400,3,0,0,3,0,0
14,AFLT3,2022-07-08,9.38,9.38,9.38,9.38,100,1,0,0,1,0,0
15,AFLT3,2022-07-11,9.36,9.36,9.36,9.36,200,1,0,0,1,0,0
16,AFLT3,2022-07-12,8.9,8.9,8.9,8.9,100,0,0,1,1,0,0
17,AFLT3,2022-07-13,8.9,8.9,8.74,8.79,1100,3,0,3,6,0,0
18,AFLT3,2022-07-14,8.81,8.82,8.81,8.81,200,0,0,2,2,0,0
19,AFLT3,2022-07-15,8.81,8.81,8.8,8.8,300,1,0,1,2,0,0
20,AFLT3,2022-07-18,8.9,8.9,8.8,8.8,300,1,0,2,3,0,0
21,AFLT3,2022-07-19,8.8,8.8,8.8,8.8,200,0,0,2,2,0,0
22,AFLT3,2022-07-20,9.0,9.0,9.0,9.0,100,1,0,0,1,0,0
23,AFLT3,2022-07-22,9.08,9.08,9.08,9.08,100,1,0,0,1,0,0
24,AFLT3,2022-07-26,8.86,8.99,8.86,8.99,600,3,1,0,4,0,0
25,AFLT3,2022-07-27,9.37,9.38,8.8,8.9,400,2,0,2,4,0,0
26,AFLT3,2022-07-28,8.8,9.19,8.7,9.19,800,2,0,5,7,0,0
27,AFLT3,2022-07-29,8.9,8.9,8.87,8.9,1000,5,1,0,6,0,0
28,AFLT3,2022-08-01,8.9,8.92,8.75,8.75,500,5,0,0,5,0,0
29,AFLT3,2022-08-02,8.9,9.09,8.7,9.09,5200,9,0,6,15,0,0
30,AFLT3,2022-08-03,8.86,9.19,8.85,9.19,600,3,1,2,6,0,0
31,AFLT3,2022-08-08,8.81,8.92,8.77,8.77,2100,2,0,8,10,0,0
