,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AGRO3,2022-06-06,31.77,31.77,30.21,30.49,663500,1258,181,1866,3221,0,84
1,AGRO3,2022-06-07,30.24,30.73,30.24,30.37,302400,781,108,1039,1897,2,29
2,AGRO3,2022-06-08,30.2,30.5,29.6,29.61,722900,2107,172,2135,4316,0,98
3,AGRO3,2022-06-09,29.65,29.89,29.31,29.35,360400,1219,150,734,2034,0,69
4,AGRO3,2022-06-10,29.28,29.33,28.85,29.0,413900,1087,135,966,2122,0,66
5,AGRO3,2022-06-13,28.77,28.79,28.07,28.31,485000,1383,170,1025,2509,0,69
6,AGRO3,2022-06-14,28.23,28.31,27.48,27.7,504100,1568,149,1078,2730,0,65
7,AGRO3,2022-06-15,28.15,28.27,27.53,27.81,580100,1461,267,1613,3148,140,53
8,AGRO3,2022-06-17,28.11,28.64,26.77,26.87,1162500,1948,495,1545,3715,136,137
9,AGRO3,2022-06-20,27.04,27.3,26.82,26.83,348400,814,244,819,1730,94,53
10,AGRO3,2022-06-21,27.01,27.5,26.65,27.45,634200,1955,239,1497,3529,66,96
11,AGRO3,2022-06-22,27.25,27.6,26.18,26.38,811300,2042,243,1912,4033,80,84
12,AGRO3,2022-06-23,26.39,26.45,25.57,26.2,1108400,2636,215,2225,4941,59,76
13,AGRO3,2022-06-24,26.29,26.54,25.93,26.15,427500,1417,189,1007,2502,51,60
14,AGRO3,2022-06-27,26.32,26.35,26.01,26.17,576300,1572,173,1746,3372,45,74
15,AGRO3,2022-06-28,26.35,26.5,25.62,25.87,404100,1068,178,1354,2485,32,83
16,AGRO3,2022-06-29,25.91,25.91,25.24,25.45,430300,682,180,1025,1759,63,65
17,AGRO3,2022-06-30,25.43,25.44,24.2,24.2,884500,2205,166,2360,4661,19,51
18,AGRO3,2022-07-01,24.38,24.79,24.1,24.48,870300,2068,173,2272,4429,0,84
19,AGRO3,2022-07-04,24.42,24.42,23.7,23.7,638000,2004,147,1451,3525,15,62
20,AGRO3,2022-07-05,23.84,23.93,23.34,23.69,804400,2319,139,2582,4972,0,68
21,AGRO3,2022-07-06,23.7,23.73,22.78,23.1,909200,2181,163,2471,4727,0,88
22,AGRO3,2022-07-07,23.43,24.14,23.3,24.04,734600,2225,121,1791,4076,0,61
23,AGRO3,2022-07-08,23.8,23.9,23.44,23.7,408400,1249,105,1162,2470,0,46
24,AGRO3,2022-07-11,23.56,23.57,22.7,22.89,580800,1100,127,1474,2635,0,66
25,AGRO3,2022-07-12,22.83,23.35,22.5,22.61,473300,1229,106,1278,2556,0,57
26,AGRO3,2022-07-13,22.6,22.69,22.26,22.4,511400,1408,100,1532,2997,0,43
27,AGRO3,2022-07-14,22.32,22.75,22.18,22.62,606300,1409,196,1673,3151,0,127
28,AGRO3,2022-07-15,22.58,22.94,22.25,22.4,444400,1758,116,930,2759,0,45
29,AGRO3,2022-07-18,22.56,23.49,22.5,23.17,691000,2188,162,1346,3587,0,109
30,AGRO3,2022-07-19,23.19,23.4,22.89,23.3,425200,1337,126,888,2273,0,78
31,AGRO3,2022-07-20,23.27,23.89,23.2,23.84,477500,1463,163,1083,2609,0,100
32,AGRO3,2022-07-21,23.74,24.2,23.37,24.2,466200,1218,156,878,2160,0,92
33,AGRO3,2022-07-22,24.07,24.12,23.28,23.37,512100,1382,120,1521,2964,0,59
34,AGRO3,2022-07-25,23.43,23.74,23.35,23.35,316900,927,152,862,1855,0,86
35,AGRO3,2022-07-26,23.4,23.81,23.07,23.2,430900,898,157,1450,2409,0,96
36,AGRO3,2022-07-27,23.36,23.9,23.2,23.76,386300,1210,154,781,2070,0,75
37,AGRO3,2022-07-28,23.76,24.11,23.72,24.05,384200,983,131,1059,2098,1,74
38,AGRO3,2022-07-29,23.95,24.53,23.75,24.1,649600,1771,161,1480,3316,0,96
39,AGRO3,2022-08-01,23.98,24.06,23.48,23.72,648300,1611,236,2573,4287,0,133
40,AGRO3,2022-08-02,23.5,23.99,23.43,23.74,564000,1304,159,1384,2772,0,75
41,AGRO3,2022-08-03,23.72,24.25,23.58,23.62,493700,1347,160,1162,2585,0,84
42,AGRO3,2022-08-08,24.6,25.09,24.28,24.49,525200,1297,193,1413,2779,0,124
43,AGRO3,2022-08-09,24.5,24.83,24.0,24.25,368500,796,177,1109,1995,0,87
44,AGRO3,2022-08-10,24.47,25.34,24.36,25.18,582800,2295,149,1374,3733,0,85
45,AGRO3,2022-08-12,25.56,26.03,25.56,26.0,509300,1511,139,1172,2748,0,74
46,AGRO3,2022-08-15,25.88,26.35,25.0,25.94,462500,1298,201,1259,2660,0,98
47,AGRO3,2022-08-16,25.89,26.55,25.65,26.4,502000,1034,170,1218,2325,0,97
48,AGRO3,2022-08-17,26.36,26.71,26.11,26.65,594500,1576,154,1284,2936,0,78
49,AGRO3,2022-08-18,26.71,26.84,26.07,26.23,481500,945,142,1570,2573,0,84
50,AGRO3,2022-08-19,26.15,26.81,25.69,26.67,855800,1993,188,2116,4191,0,106
51,AGRO3,2022-08-22,26.67,26.79,26.15,26.64,617000,2032,190,1533,3614,0,141
52,AGRO3,2022-08-23,26.45,27.71,26.45,27.68,746000,1842,203,1410,3314,1,140
53,AGRO3,2022-08-24,27.71,28.35,27.71,27.95,860300,2239,210,1789,4083,0,155
54,AGRO3,2022-08-25,28.01,28.58,27.92,28.13,547600,1216,145,1388,2648,0,101
55,AGRO3,2022-08-26,28.15,29.06,28.05,28.85,592300,1383,215,1482,2941,0,139
56,AGRO3,2022-08-29,28.85,29.74,28.68,29.2,841300,1602,234,2606,4295,1,146
57,AGRO3,2022-08-30,29.2,29.5,28.47,28.63,435300,927,183,1294,2276,0,128
58,AGRO3,2022-08-31,28.84,29.71,28.64,29.0,1007100,1933,232,2541,4553,0,153
59,AGRO3,2022-09-01,28.7,29.43,28.22,29.43,1053600,2150,197,2211,4435,1,122
60,AGRO3,2022-09-02,29.85,30.03,28.25,28.42,1142600,2505,320,2319,4971,0,173
61,AGRO3,2022-09-05,28.45,29.22,28.32,28.96,458400,1555,207,1034,2683,0,113
62,AGRO3,2022-09-06,28.96,29.39,28.58,28.75,471900,1518,189,1287,2853,0,141
63,AGRO3,2022-09-08,29.14,29.14,28.56,28.75,323500,684,146,952,1701,0,81
64,AGRO3,2022-09-09,28.89,29.59,28.83,29.41,593200,1433,174,1466,2976,0,97
65,AGRO3,2022-09-12,29.6,30.15,29.58,30.05,668700,2527,166,1472,4052,0,113
66,AGRO3,2022-09-13,29.94,29.95,29.4,29.72,517000,1129,151,1736,2918,1,97
67,AGRO3,2022-09-14,29.67,30.39,29.49,30.37,526200,1495,174,1294,2851,0,112
68,AGRO3,2022-09-15,30.3,30.54,29.68,29.78,419300,1215,134,1511,2772,0,88
69,AGRO3,2022-09-16,29.71,30.28,28.98,30.03,646100,1693,193,1988,3778,0,96
70,AGRO3,2022-09-19,30.08,30.5,29.29,30.3,683500,1901,136,2772,4717,0,92
71,AGRO3,2022-09-20,30.26,30.35,29.68,30.13,530900,1118,123,2085,3248,0,78
72,AGRO3,2022-09-21,30.06,30.57,30.0,30.36,442400,1033,144,1141,2222,0,96
73,AGRO3,2022-09-22,30.39,31.12,30.33,30.99,593000,1286,181,1390,2735,0,122
74,AGRO3,2022-09-23,30.96,31.2,30.35,30.51,348800,597,140,1140,1782,0,95
75,AGRO3,2022-09-26,30.49,30.51,28.83,29.01,827600,1427,234,2864,4375,0,150
76,AGRO3,2022-09-27,29.31,29.72,28.65,28.66,409700,955,133,1682,2687,0,83
77,AGRO3,2022-09-28,28.84,28.95,28.5,28.65,355600,870,107,1109,2026,0,60
78,AGRO3,2022-09-29,28.5,28.83,27.92,28.64,472600,1116,153,1632,2808,0,93
79,AGRO3,2022-09-30,28.8,30.36,28.77,30.21,710800,2169,196,2111,4355,0,121
80,AGRO3,2022-10-03,30.47,31.04,30.28,30.55,712200,2526,188,1672,4263,0,123
81,AGRO3,2022-10-04,30.72,31.45,30.35,30.57,532200,1386,161,1361,2800,0,108
82,AGRO3,2022-10-05,30.63,31.13,30.63,30.86,461000,1393,123,1606,3041,0,81
83,AGRO3,2022-10-06,30.95,31.29,30.77,30.9,269400,1055,118,818,1919,0,72
84,AGRO3,2022-10-07,30.51,31.49,30.5,31.15,444300,1030,129,1139,2217,0,81
85,AGRO3,2022-10-10,31.4,32.53,31.35,32.25,796800,2079,296,1864,4044,0,195
86,AGRO3,2022-10-11,32.39,32.49,31.95,32.33,339800,890,160,931,1903,0,78
87,AGRO3,2022-10-13,32.15,32.42,31.67,32.1,410800,1300,163,1028,2391,1,99
88,AGRO3,2022-10-14,32.11,32.25,31.08,31.19,346100,882,133,916,1860,0,71
89,AGRO3,2022-10-17,31.19,32.11,31.0,31.76,265300,938,109,721,1702,0,66
90,AGRO3,2022-10-18,31.7,32.15,31.16,31.74,403400,1288,122,1032,2373,0,69
91,AGRO3,2022-10-19,31.7,32.1,31.56,31.78,485200,1376,188,1480,2938,0,106
92,AGRO3,2022-10-20,31.85,32.4,31.76,32.06,453000,1131,152,1035,2234,0,84
93,AGRO3,2022-10-21,32.28,33.05,32.14,32.92,486400,1535,175,837,2445,0,102
94,AGRO3,2022-10-24,32.78,32.98,32.26,32.97,451800,1006,160,1222,2320,0,68
95,AGRO3,2022-10-25,32.7,32.93,32.03,32.14,322400,723,118,885,1676,0,50
96,AGRO3,2022-10-26,32.04,32.3,31.45,31.95,342100,768,157,907,1765,0,67
97,AGRO3,2022-10-27,31.8,32.77,31.63,32.31,529400,1489,161,1128,2710,1,67
98,AGRO3,2022-10-28,29.3,29.6,28.6,29.44,1232000,2666,323,2932,5774,0,147
99,AGRO3,2022-10-31,28.6,30.1,28.25,30.06,813700,1970,198,2306,4372,0,102
100,AGRO3,2022-11-01,30.15,31.29,30.06,30.65,849100,2230,189,2182,4498,0,103
101,AGRO3,2022-11-03,30.87,31.66,30.51,31.28,588200,1753,170,1693,3525,0,91
102,AGRO3,2022-11-04,31.4,31.93,31.25,31.5,567300,1715,179,1548,3358,0,84
103,AGRO3,2022-11-07,31.28,31.28,30.06,30.55,631200,1401,190,1741,3210,0,122
104,AGRO3,2022-11-08,30.41,30.41,28.93,29.22,917000,2120,201,2168,4370,0,119
105,AGRO3,2022-11-09,28.93,29.0,26.86,27.2,1272400,2382,255,3233,5697,0,173
106,AGRO3,2022-11-10,27.19,27.19,26.0,26.4,825100,1868,193,2647,4579,0,129
107,AGRO3,2022-11-14,27.1,28.06,27.1,27.66,598100,1681,194,1547,3282,0,140
108,AGRO3,2022-11-17,26.3,26.46,25.2,26.14,805000,2364,197,2691,5098,0,154
109,AGRO3,2022-11-18,26.25,27.18,25.96,26.46,765000,2113,171,2130,4312,1,101
110,AGRO3,2022-11-21,26.39,26.92,25.92,26.44,460900,1505,112,1383,2929,0,71
