,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AGXY3,2022-06-06,10.46,10.46,9.91,10.0,32600,112,0,125,237,0,0
1,AGXY3,2022-06-07,9.82,10.06,9.82,10.0,30800,83,0,125,208,0,0
2,AGXY3,2022-06-08,10.05,10.05,9.63,9.63,50000,144,0,185,329,0,0
3,AGXY3,2022-06-09,9.75,9.75,9.18,9.18,85800,263,11,244,518,0,0
4,AGXY3,2022-06-10,9.2,9.65,8.87,8.95,121300,317,11,403,731,0,0
5,AGXY3,2022-06-13,8.92,8.92,8.3,8.33,71500,90,9,137,236,0,0
6,AGXY3,2022-06-14,8.53,8.55,8.11,8.55,51000,188,0,150,338,0,0
7,AGXY3,2022-06-15,8.49,8.96,8.21,8.62,104300,320,3,295,618,0,0
8,AGXY3,2022-06-17,8.57,8.62,8.25,8.4,49100,197,2,151,350,0,0
9,AGXY3,2022-06-20,8.55,8.75,8.15,8.15,48000,133,0,124,257,0,0
10,AGXY3,2022-06-21,8.13,8.33,8.1,8.18,84400,231,0,165,396,0,0
11,AGXY3,2022-06-22,8.24,8.51,8.05,8.05,89200,214,9,140,363,0,0
12,AGXY3,2022-06-23,8.22,8.28,7.73,7.73,53300,162,1,150,313,0,0
13,AGXY3,2022-06-24,7.8,8.11,7.66,7.75,75400,249,0,240,489,0,0
14,AGXY3,2022-06-27,7.6,7.7,7.35,7.55,46500,183,0,124,307,0,0
15,AGXY3,2022-06-28,7.51,7.6,6.96,7.25,168800,442,14,380,836,0,0
16,AGXY3,2022-06-29,7.16,7.25,6.97,7.25,70200,243,0,221,464,0,0
17,AGXY3,2022-06-30,7.1,7.6,6.88,7.5,197500,400,0,381,781,0,0
18,AGXY3,2022-07-01,7.57,7.63,7.32,7.51,78100,279,0,232,511,0,0
19,AGXY3,2022-07-04,7.57,8.1,7.33,7.5,47300,134,0,120,254,0,0
20,AGXY3,2022-07-05,7.56,7.63,7.37,7.56,53200,186,0,180,366,0,0
21,AGXY3,2022-07-06,7.53,8.11,7.53,7.72,37500,153,0,120,273,0,0
22,AGXY3,2022-07-07,7.76,8.16,7.76,7.86,105100,169,8,139,316,0,0
23,AGXY3,2022-07-08,7.86,8.22,7.81,7.85,72800,208,0,174,382,0,0
24,AGXY3,2022-07-11,7.85,8.15,7.58,7.66,56100,163,10,129,302,0,0
