,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ALLD3,2022-06-06,12.48,12.65,12.0,12.05,45800,102,0,121,223,0,0
1,ALLD3,2022-06-07,12.14,12.38,11.63,12.2,91700,277,0,395,672,0,0
2,ALLD3,2022-06-08,11.85,11.99,11.64,11.8,77900,168,0,331,499,0,0
3,ALLD3,2022-06-09,11.81,12.05,11.55,11.7,97600,214,0,295,509,0,0
4,ALLD3,2022-06-10,11.8,11.8,11.0,11.3,118800,240,0,365,605,0,0
5,ALLD3,2022-06-13,10.92,11.25,10.65,11.17,62100,187,7,127,321,0,0
6,ALLD3,2022-06-14,11.17,11.3,10.74,11.27,70300,358,14,166,537,1,0
7,ALLD3,2022-06-15,11.62,11.85,11.29,11.83,79300,372,27,93,492,0,0
8,ALLD3,2022-06-17,11.52,11.54,10.98,11.45,84700,326,14,154,494,0,0
9,ALLD3,2022-06-20,11.44,11.56,11.1,11.14,31200,64,0,93,157,0,0
10,ALLD3,2022-06-21,11.24,11.29,10.83,10.83,40500,80,13,120,213,0,0
11,ALLD3,2022-06-22,10.88,11.45,10.81,11.0,47800,93,0,110,203,0,0
12,ALLD3,2022-06-23,11.16,11.16,10.73,10.8,33900,158,8,115,281,0,0
13,ALLD3,2022-06-24,10.98,10.98,10.31,10.55,65700,101,15,241,356,1,0
14,ALLD3,2022-06-27,10.6,10.7,10.28,10.41,95100,204,9,249,460,2,0
15,ALLD3,2022-06-28,10.35,10.57,10.0,10.0,77500,164,1,259,423,1,0
16,ALLD3,2022-06-29,10.0,10.15,9.78,10.05,72600,193,3,184,380,0,0
17,ALLD3,2022-06-30,10.06,10.26,9.69,9.9,108600,141,11,249,401,0,0
18,ALLD3,2022-07-01,9.9,10.07,9.63,9.7,83100,155,0,247,402,0,0
19,ALLD3,2022-07-04,9.73,10.01,9.4,9.55,43000,115,16,121,252,0,0
20,ALLD3,2022-07-05,9.55,9.8,9.21,9.8,115300,151,15,200,365,1,0
21,ALLD3,2022-07-06,9.81,10.0,9.44,9.96,57400,190,13,132,335,0,0
22,ALLD3,2022-07-07,9.96,10.48,9.89,9.99,47600,141,13,82,236,0,0
23,ALLD3,2022-07-08,9.86,10.22,9.86,10.0,28500,52,17,88,157,0,0
24,ALLD3,2022-07-11,9.84,9.99,9.66,9.97,29500,71,9,79,159,0,0
25,ALLD3,2022-07-12,9.9,10.0,9.69,9.93,71500,154,14,197,362,3,0
26,ALLD3,2022-07-13,9.8,10.1,9.79,10.0,38200,104,9,58,171,0,0
27,ALLD3,2022-07-14,9.86,9.89,9.45,9.47,109500,127,13,161,301,0,0
28,ALLD3,2022-07-15,9.49,9.7,9.4,9.49,35400,81,1,66,148,0,0
29,ALLD3,2022-07-18,9.7,9.89,9.48,9.51,17400,37,5,23,65,0,0
30,ALLD3,2022-07-19,9.55,9.87,9.43,9.78,57500,193,7,181,381,0,0
31,ALLD3,2022-07-20,9.72,10.24,9.72,10.0,68300,210,7,165,382,0,0
32,ALLD3,2022-07-21,10.0,10.24,9.96,10.14,30400,89,0,72,161,0,0
33,ALLD3,2022-07-22,10.16,10.23,9.8,9.85,24300,38,6,97,141,0,0
34,ALLD3,2022-07-25,9.85,10.07,9.7,9.72,24100,64,9,60,133,0,0
35,ALLD3,2022-07-26,9.91,9.91,9.46,9.48,19500,38,3,73,114,0,0
36,ALLD3,2022-07-27,9.48,9.78,9.48,9.6,34400,115,11,93,219,0,0
37,ALLD3,2022-07-28,9.69,9.95,9.69,9.75,75700,187,0,184,371,0,0
38,ALLD3,2022-07-29,9.85,10.78,9.85,10.34,133800,313,19,151,480,3,0
39,ALLD3,2022-08-01,10.22,10.94,10.16,10.23,63500,207,9,252,468,0,0
40,ALLD3,2022-08-02,10.23,10.7,10.23,10.7,68900,186,17,177,379,1,0
41,ALLD3,2022-08-03,10.7,10.8,10.48,10.57,45600,149,8,113,270,0,0
