,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ALPA3,2022-06-06,18.86,18.86,17.47,17.85,5500,13,4,26,43,0,0
1,ALPA3,2022-06-07,17.75,17.93,17.75,17.77,500,4,0,1,5,0,0
2,ALPA3,2022-06-08,17.52,17.52,17.46,17.46,1200,1,1,3,5,0,0
3,ALPA3,2022-06-09,17.55,17.64,17.21,17.21,2100,2,2,7,11,0,0
4,ALPA3,2022-06-10,17.02,17.2,16.65,17.18,2800,2,2,12,16,0,0
5,ALPA3,2022-06-13,16.58,16.67,16.22,16.22,3000,1,2,8,11,0,0
6,ALPA3,2022-06-14,16.13,16.25,15.6,15.82,2700,5,3,9,17,0,0
7,ALPA3,2022-06-15,15.85,16.31,15.85,16.31,6000,9,1,2,12,0,0
8,ALPA3,2022-06-17,15.71,17.13,15.7,17.12,5400,25,2,10,37,0,0
9,ALPA3,2022-06-20,17.0,17.0,17.0,17.0,300,1,1,0,2,0,0
10,ALPA3,2022-06-21,16.38,16.96,16.23,16.96,1100,5,1,3,9,0,0
11,ALPA3,2022-06-22,17.38,17.38,16.95,16.95,6400,12,3,8,23,0,0
12,ALPA3,2022-06-23,17.8,18.05,17.8,17.81,1900,2,1,3,6,0,0
13,ALPA3,2022-06-24,18.63,18.63,17.74,17.75,56300,3,2,53,58,0,0
14,ALPA3,2022-06-27,17.85,17.85,17.85,17.85,2500,0,2,1,3,0,0
15,ALPA3,2022-06-28,17.85,18.01,17.85,17.85,3400,2,1,11,14,0,0
16,ALPA3,2022-06-29,17.62,17.62,16.91,17.36,4900,18,2,8,28,0,0
17,ALPA3,2022-06-30,17.15,17.42,17.15,17.4,3800,1,1,7,9,0,0
18,ALPA3,2022-07-01,16.81,16.81,16.75,16.75,3600,0,0,8,8,0,0
19,ALPA3,2022-07-04,16.81,17.35,16.81,17.15,7400,8,2,10,20,0,0
20,ALPA3,2022-07-05,16.81,17.15,16.7,16.83,8200,6,3,9,17,1,0
21,ALPA3,2022-07-06,17.15,17.34,17.09,17.13,11100,9,1,16,26,0,0
22,ALPA3,2022-07-07,17.5,17.5,17.0,17.0,17300,20,3,36,59,0,0
23,ALPA3,2022-07-08,17.5,17.5,17.43,17.43,400,1,2,0,3,0,0
24,ALPA3,2022-07-11,17.01,17.11,16.9,16.9,700,3,1,2,6,0,0
25,ALPA3,2022-07-12,16.57,16.57,16.38,16.38,600,2,1,2,5,0,0
