,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ALPK3,2022-06-06,3.6,3.6,3.53,3.53,1900,9,1,4,14,0,0
1,ALPK3,2022-06-07,3.53,3.53,3.35,3.39,21400,18,2,35,55,0,0
2,ALPK3,2022-06-08,3.35,3.45,3.15,3.19,51700,33,0,84,117,0,0
3,ALPK3,2022-06-09,3.19,3.19,3.0,3.0,23200,41,0,55,96,0,0
4,ALPK3,2022-06-10,3.0,3.06,2.94,3.0,21400,13,0,25,38,0,0
5,ALPK3,2022-06-13,3.05,3.05,2.92,2.96,11800,15,1,16,32,0,0
6,ALPK3,2022-06-14,2.96,2.96,2.61,2.66,63700,47,0,100,147,0,0
7,ALPK3,2022-06-15,2.54,2.66,2.22,2.25,14524200,492,0,270,762,0,0
8,ALPK3,2022-06-17,2.23,2.24,2.07,2.1,112700,100,1,142,243,0,0
9,ALPK3,2022-06-20,2.15,2.15,2.02,2.08,54900,59,0,66,125,0,0
10,ALPK3,2022-06-21,2.1,2.1,1.93,1.96,91900,124,1,160,285,0,0
11,ALPK3,2022-06-22,1.99,1.99,1.91,1.93,33500,35,1,42,78,0,0
12,ALPK3,2022-06-23,1.93,1.99,1.9,1.9,93500,73,0,50,123,0,0
13,ALPK3,2022-06-24,1.96,1.96,1.83,1.91,70300,58,1,91,150,0,0
14,ALPK3,2022-06-27,1.9,1.94,1.85,1.91,31200,36,0,57,93,0,0
15,ALPK3,2022-06-28,1.92,1.94,1.8,1.8,54500,29,1,64,94,0,0
16,ALPK3,2022-06-29,1.8,1.8,1.64,1.64,86400,60,2,134,195,1,0
17,ALPK3,2022-06-30,1.66,1.69,1.5,1.53,142700,122,1,180,303,0,0
18,ALPK3,2022-07-01,1.52,1.59,1.37,1.39,240400,103,1,110,214,0,0
19,ALPK3,2022-07-04,1.42,2.01,1.42,1.73,680400,430,4,466,900,0,0
20,ALPK3,2022-07-05,1.65,1.81,1.59,1.64,131200,120,6,197,323,0,0
21,ALPK3,2022-07-06,1.66,1.88,1.66,1.69,149000,213,0,276,489,0,0
22,ALPK3,2022-07-07,1.74,1.84,1.68,1.72,153200,159,2,187,348,0,0
23,ALPK3,2022-07-08,1.71,1.8,1.71,1.8,118100,142,0,125,267,0,0
24,ALPK3,2022-07-11,1.8,1.8,1.66,1.66,55100,34,2,55,91,0,0
25,ALPK3,2022-07-12,1.66,1.72,1.57,1.67,70300,71,0,77,148,0,0
26,ALPK3,2022-07-13,1.66,1.74,1.65,1.66,34700,28,0,21,49,0,0
27,ALPK3,2022-07-14,1.71,1.8,1.71,1.71,56300,33,1,42,76,0,0
