,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ALSO3,2022-06-06,19.25,19.25,18.45,18.53,2662100,3525,71,4287,7881,2,0
1,ALSO3,2022-06-07,18.52,18.62,18.0,18.52,3835800,6047,94,5520,11658,3,0
2,ALSO3,2022-06-08,18.25,18.76,18.1,18.6,2729000,4763,97,5333,10191,2,0
3,ALSO3,2022-06-09,18.67,18.76,18.15,18.35,1570500,2502,111,3515,6124,4,0
4,ALSO3,2022-06-10,18.19,18.19,17.61,17.9,5126400,7494,254,5642,13279,111,0
5,ALSO3,2022-06-13,17.63,17.74,16.85,17.27,5890200,6245,135,7499,13871,8,0
6,ALSO3,2022-06-14,17.27,17.27,16.68,17.07,3627900,5316,109,3976,9392,9,0
7,ALSO3,2022-06-15,17.27,17.58,17.09,17.54,3071500,4877,132,5197,10198,8,0
8,ALSO3,2022-06-17,17.16,17.37,17.01,17.02,3667800,4928,278,5494,10573,127,0
9,ALSO3,2022-06-20,17.07,17.38,16.77,16.98,1339300,2620,85,4005,6709,1,0
10,ALSO3,2022-06-21,16.94,17.19,16.7,16.7,1311500,1545,102,2855,4501,1,0
11,ALSO3,2022-06-22,16.51,17.13,16.46,16.85,749400,1941,76,1657,3673,1,0
12,ALSO3,2022-06-23,17.03,17.13,16.79,16.8,1166700,2467,86,2162,4713,2,0
13,ALSO3,2022-06-24,16.96,17.0,16.57,16.68,1080500,1875,76,2449,4400,0,0
14,ALSO3,2022-06-27,16.8,16.98,16.65,16.76,1724000,2128,131,4161,6418,2,0
15,ALSO3,2022-06-28,16.88,17.1,16.36,16.4,1219800,2375,68,4064,6506,1,0
16,ALSO3,2022-06-29,16.52,16.52,16.04,16.15,981800,1884,56,2326,4265,1,0
17,ALSO3,2022-06-30,16.08,16.3,15.8,15.97,1175100,2923,63,2968,5953,1,0
18,ALSO3,2022-07-01,16.01,16.44,15.86,16.38,1169600,3058,71,3192,6320,1,0
19,ALSO3,2022-07-04,16.28,16.67,16.26,16.4,1192200,3185,57,3484,6725,1,0
20,ALSO3,2022-07-05,16.31,16.51,16.07,16.51,2028900,5113,52,6720,11884,1,0
21,ALSO3,2022-07-06,16.52,17.0,16.18,16.47,2469000,5032,57,6614,11698,5,0
22,ALSO3,2022-07-07,16.57,16.97,16.57,16.65,2114800,3747,94,6418,10256,3,0
23,ALSO3,2022-07-08,16.65,17.03,16.53,16.74,1686100,4084,77,3396,7556,1,0
24,ALSO3,2022-07-11,16.62,16.66,16.2,16.22,1256000,2309,58,2996,5362,1,0
25,ALSO3,2022-07-12,16.11,16.6,16.04,16.48,1881200,3880,54,5304,9237,1,0
26,ALSO3,2022-07-13,16.27,16.7,16.24,16.34,1076800,2586,46,2410,5042,0,0
27,ALSO3,2022-07-14,16.27,16.31,15.95,16.02,1898500,3087,75,4446,7607,1,0
28,ALSO3,2022-07-15,16.11,16.21,15.86,16.05,729300,1662,59,2234,3954,1,0
29,ALSO3,2022-07-18,16.15,16.51,15.99,16.1,1132800,2130,77,1724,3930,1,0
30,ALSO3,2022-07-19,16.11,16.38,15.92,16.19,1197700,3012,49,2172,5233,0,0
31,ALSO3,2022-07-20,16.11,16.48,16.0,16.38,1454600,3849,69,2865,6783,0,0
32,ALSO3,2022-07-21,16.3,16.68,16.23,16.51,883200,2661,58,2460,5178,1,0
33,ALSO3,2022-07-22,16.75,16.94,16.44,16.69,1712600,3837,56,3989,7881,1,0
34,ALSO3,2022-07-25,16.75,16.91,16.61,16.74,582700,1713,42,1734,3488,1,0
35,ALSO3,2022-07-26,16.71,16.71,16.21,16.38,1287000,3134,84,3961,7178,1,0
36,ALSO3,2022-07-27,16.48,16.98,16.4,16.93,1130600,2544,59,3969,6570,2,0
37,ALSO3,2022-07-28,16.87,17.23,16.87,17.2,1400600,3166,88,3416,6669,1,0
38,ALSO3,2022-07-29,17.16,17.21,16.69,16.7,1391900,3075,82,2822,5978,1,0
39,ALSO3,2022-08-01,16.83,17.19,16.61,17.14,1604100,3856,91,2865,6810,2,0
40,ALSO3,2022-08-02,17.1,17.27,16.86,17.05,956800,2610,52,2435,5096,1,0
41,ALSO3,2022-08-03,16.86,17.45,16.86,17.32,1557900,4296,63,3954,8312,1,0
42,ALSO3,2022-08-08,19.05,19.07,18.7,18.78,2908500,4564,56,4275,8894,1,0
43,ALSO3,2022-08-09,18.9,18.92,17.99,18.15,2372400,4118,64,3708,7887,3,0
44,ALSO3,2022-08-10,18.46,19.07,18.42,19.0,869100,3005,55,2892,5951,1,0
45,ALSO3,2022-08-12,18.48,19.19,18.48,19.05,1511300,4247,74,4103,8423,1,0
46,ALSO3,2022-08-15,18.93,19.19,18.75,19.02,1103700,3908,49,2799,6755,1,0
47,ALSO3,2022-08-16,19.0,19.39,18.55,18.97,2016100,6866,52,4206,11123,1,0
48,ALSO3,2022-08-17,18.79,18.99,18.61,18.88,1046400,3485,35,2610,6129,1,0
49,ALSO3,2022-08-18,18.84,19.01,18.59,18.7,1162300,2354,73,2788,5215,0,0
50,ALSO3,2022-08-19,18.65,18.65,18.24,18.61,1440900,2906,1303,2575,5537,1247,0
51,ALSO3,2022-08-22,18.44,18.59,18.08,18.18,1553800,3328,66,4044,7436,2,0
52,ALSO3,2022-08-23,18.25,18.51,18.1,18.38,1820000,4348,61,5111,9520,0,0
53,ALSO3,2022-08-24,18.31,18.8,18.31,18.59,2237300,4594,65,5238,9896,1,0
54,ALSO3,2022-08-25,18.73,18.75,18.4,18.53,1123300,3396,34,2182,5611,1,0
55,ALSO3,2022-08-26,18.52,18.66,17.94,17.99,1692400,4387,68,3553,8007,1,0
56,ALSO3,2022-08-29,17.93,18.14,17.67,17.93,1311800,3333,60,2388,5780,1,0
57,ALSO3,2022-08-30,17.92,18.1,17.54,17.54,994200,2372,48,2477,4897,0,0
58,ALSO3,2022-08-31,17.59,17.7,17.37,17.43,2759300,3431,82,3336,6848,1,0
59,ALSO3,2022-09-01,17.54,17.71,17.23,17.56,1974400,4120,55,4281,8456,0,0
60,ALSO3,2022-09-02,17.71,18.3,17.64,18.1,2545500,6610,103,4604,11316,1,0
61,ALSO3,2022-09-05,18.04,18.42,18.04,18.42,2020900,3957,56,3380,7391,2,0
62,ALSO3,2022-09-06,18.26,18.29,17.68,17.97,1878000,3451,49,2781,6280,1,0
63,ALSO3,2022-09-08,17.91,18.24,17.79,18.2,2562900,3834,57,4198,8086,3,0
64,ALSO3,2022-09-09,18.27,18.94,18.24,18.75,3665800,6613,53,3824,10487,3,0
65,ALSO3,2022-09-12,18.97,19.09,18.75,18.75,1352200,3039,51,3023,6112,1,0
66,ALSO3,2022-09-13,18.49,18.63,18.31,18.4,7224800,2101,56,2766,4922,1,0
67,ALSO3,2022-09-14,18.43,18.62,18.19,18.45,1093100,2098,51,1983,4131,1,0
68,ALSO3,2022-09-15,18.55,18.81,18.37,18.37,1505500,1967,37,3184,5187,1,0
69,ALSO3,2022-09-16,18.28,18.57,18.2,18.38,2172300,4463,88,3412,7962,1,0
70,ALSO3,2022-09-19,18.27,18.82,18.13,18.67,1084100,1808,79,2187,4073,1,0
71,ALSO3,2022-09-20,18.66,18.77,18.49,18.5,1115000,2114,54,2695,4862,1,0
72,ALSO3,2022-09-21,18.5,19.07,18.42,18.76,1130900,2778,61,2086,4924,1,0
73,ALSO3,2022-09-22,19.05,19.52,18.79,19.42,2629600,5619,478,4058,9717,438,0
74,ALSO3,2022-09-23,19.2,19.88,19.17,19.75,3491500,4187,87,3625,7895,4,0
75,ALSO3,2022-09-26,19.64,19.7,19.33,19.33,2084200,4816,60,4077,8952,1,0
76,ALSO3,2022-09-27,19.59,19.79,19.42,19.55,1746700,3255,68,3689,7011,1,0
77,ALSO3,2022-09-28,19.56,20.06,19.48,19.91,1426300,3203,58,2364,5624,1,0
78,ALSO3,2022-09-29,19.79,19.79,19.23,19.32,2062500,2817,53,4951,7818,3,0
79,ALSO3,2022-09-30,19.42,20.16,19.25,19.87,2274500,3933,74,5065,9068,4,0
80,ALSO3,2022-10-03,20.26,21.23,20.24,21.15,2964000,6363,68,6738,13168,1,0
81,ALSO3,2022-10-04,21.18,21.37,20.92,20.96,1712900,3077,77,4852,8006,0,0
82,ALSO3,2022-10-05,20.99,21.44,20.78,21.22,1892900,3963,90,4237,8288,2,0
83,ALSO3,2022-10-06,21.28,21.44,20.97,20.97,1752200,2681,79,3963,6722,1,0
84,ALSO3,2022-10-07,20.96,21.23,20.94,21.04,2838300,4149,66,4859,9072,2,0
85,ALSO3,2022-10-10,21.04,21.17,20.84,20.97,1470600,2837,96,2733,5665,1,0
86,ALSO3,2022-10-11,20.86,21.22,20.86,20.97,1109600,2575,82,2797,5453,1,0
87,ALSO3,2022-10-13,20.66,21.01,20.46,20.86,1321800,3485,62,3791,7338,0,0
88,ALSO3,2022-10-14,20.95,21.0,20.5,20.5,880400,2355,60,1344,3757,2,0
89,ALSO3,2022-10-17,20.71,21.14,20.53,20.83,912000,1913,58,1759,3729,1,0
90,ALSO3,2022-10-18,20.9,21.02,20.62,20.81,1422700,3087,81,2066,5233,1,0
91,ALSO3,2022-10-19,20.75,20.91,20.36,20.85,2387600,6630,134,4296,11058,2,0
92,ALSO3,2022-10-20,20.97,21.07,20.61,20.73,1917400,3730,111,3524,7364,1,0
93,ALSO3,2022-10-21,20.69,21.54,20.66,21.23,1767200,5595,76,2934,8604,1,0
94,ALSO3,2022-10-24,21.08,21.22,20.8,20.87,1228400,3125,72,4170,7366,1,0
95,ALSO3,2022-10-25,20.75,20.98,20.49,20.79,1914300,5477,80,3744,9300,1,0
96,ALSO3,2022-10-26,20.56,20.67,19.99,20.17,2710100,7315,84,5262,12661,0,0
97,ALSO3,2022-10-27,20.15,21.56,20.15,20.84,1483500,3535,59,4752,8344,2,0
98,ALSO3,2022-10-28,20.72,21.03,20.66,21.0,805900,2065,66,1467,3597,1,0
99,ALSO3,2022-10-31,20.3,21.83,20.2,21.67,1537400,4046,80,3542,7666,2,0
100,ALSO3,2022-11-01,21.93,22.11,21.5,21.82,1072900,3541,54,2610,6204,1,0
101,ALSO3,2022-11-03,21.55,22.3,21.41,22.19,2682800,5014,66,4856,9933,3,0
102,ALSO3,2022-11-04,22.56,22.76,22.31,22.39,1361400,4540,59,3234,7832,1,0
103,ALSO3,2022-11-07,22.19,22.35,21.3,21.3,1115100,3657,95,2467,6218,1,0
104,ALSO3,2022-11-08,21.11,21.65,20.9,21.36,726800,2506,70,1355,3930,1,0
105,ALSO3,2022-11-09,21.22,21.57,21.06,21.09,842700,2526,65,2371,4961,1,0
106,ALSO3,2022-11-10,20.6,20.82,19.06,19.14,3300900,8513,95,9587,18194,1,0
107,ALSO3,2022-11-14,18.63,18.76,18.09,18.31,1951800,3873,73,4178,8123,1,0
108,ALSO3,2022-11-17,17.07,17.12,15.96,17.02,6685700,11975,79,11130,23182,2,0
109,ALSO3,2022-11-18,17.66,18.1,17.07,17.42,3128400,6167,91,5967,12223,2,0
110,ALSO3,2022-11-21,17.5,18.49,17.42,18.33,3554700,8059,66,6485,14610,0,0
111,ALSO3,2022-11-22,18.43,18.43,17.88,18.05,2834600,5783,56,6093,11932,0,0
112,ALSO3,2022-11-23,18.0,18.06,17.59,17.86,1356700,3697,59,2684,6439,1,0
113,ALSO3,2022-11-24,18.02,18.72,17.88,18.58,1102800,2462,55,2574,5079,12,0
114,ALSO3,2022-11-25,18.57,18.57,17.64,17.82,1137000,2621,81,3502,6203,1,0
115,ALSO3,2022-11-28,17.78,18.01,17.54,17.66,765900,2189,53,1709,3951,0,0
116,ALSO3,2022-11-29,17.72,18.29,17.66,18.21,671300,1909,60,1296,3265,0,0
117,ALSO3,2022-11-30,18.25,18.31,17.4,17.91,3437800,5321,104,6039,11462,2,0
118,ALSO3,2022-12-01,17.83,17.92,17.23,17.41,1373900,2526,83,3316,5924,1,0
119,ALSO3,2022-12-02,17.42,17.9,17.37,17.78,1059500,2577,51,2224,4852,0,0
120,ALSO3,2022-12-05,17.69,17.69,17.1,17.14,895100,1801,56,2004,3861,0,0
121,ALSO3,2022-12-06,17.22,17.41,17.04,17.41,993100,2334,64,1942,4338,2,0
122,ALSO3,2022-12-07,17.3,17.64,17.26,17.39,643800,1728,71,1671,3469,1,0
123,ALSO3,2022-12-08,17.33,17.33,16.62,16.75,2176700,3888,59,5413,9358,2,0
124,ALSO3,2022-12-09,16.92,17.0,16.5,16.64,2025100,2585,63,3254,5899,3,0
125,ALSO3,2022-12-12,16.61,16.73,15.95,16.23,3832400,5721,91,6352,12162,2,0
126,ALSO3,2022-12-13,16.37,16.52,15.72,15.78,2413800,3474,85,5569,9127,1,0
127,ALSO3,2022-12-14,15.61,16.22,15.51,16.01,3549200,4789,64,4890,9738,5,0
128,ALSO3,2022-12-15,15.91,16.4,15.8,16.04,1912500,2607,52,3704,6363,0,0
129,ALSO3,2022-12-16,15.99,16.09,15.57,15.79,2118900,3290,81,3436,6802,5,0
130,ALSO3,2022-12-19,15.97,16.25,15.83,16.05,2573400,4157,77,3576,7805,5,0
131,ALSO3,2022-12-20,16.03,16.86,15.85,16.67,2069200,4199,51,3639,7888,1,0
132,ALSO3,2022-12-21,16.72,16.87,16.39,16.63,1104600,2839,50,2380,5269,0,0
133,ALSO3,2022-12-22,16.68,16.91,16.48,16.6,1131000,1992,57,2357,4405,1,0
134,ALSO3,2022-12-23,16.7,17.55,16.67,17.48,4018600,4994,59,3421,8467,7,0
135,ALSO3,2022-12-26,17.47,17.47,16.94,17.1,1904000,3103,37,3381,6519,2,0
136,ALSO3,2022-12-27,17.15,17.15,16.37,16.5,2055000,3720,81,3628,7425,4,0
137,ALSO3,2022-12-28,16.57,17.26,16.29,17.2,2988500,4971,56,4060,9087,0,0
138,ALSO3,2022-12-29,17.29,17.53,16.72,17.01,3732100,4925,118,5073,10113,3,0
139,ALSO3,2023-01-02,16.79,16.82,16.1,16.28,1984100,4037,64,4369,8469,1,0
140,ALSO3,2023-01-03,16.22,16.3,15.53,15.58,2013200,4158,88,5105,9351,0,0
141,ALSO3,2023-01-04,15.62,15.75,15.35,15.73,1832100,4015,61,5587,9662,1,0
142,ALSO3,2023-01-05,15.85,16.3,15.66,16.24,2947300,4190,60,6780,11029,1,0
143,ALSO3,2023-01-06,16.26,17.0,16.25,16.71,5178000,6299,126,7746,14171,0,0
144,ALSO3,2023-01-09,16.63,17.19,16.45,17.12,5586000,6647,178,10331,17156,0,0
145,ALSO3,2023-01-10,17.03,17.85,16.69,17.66,6114700,16689,138,10100,26925,2,0
146,ALSO3,2023-01-11,18.14,18.29,17.65,18.29,10414600,8996,163,10700,19855,4,0
147,ALSO3,2023-01-12,18.19,18.38,17.77,18.0,3968000,8260,122,8793,17173,2,0
148,ALSO3,2023-01-13,17.8,18.06,17.53,17.66,2306500,3878,108,6289,10275,0,0
149,ALSO3,2023-01-16,17.5,17.72,17.31,17.47,6087200,5648,118,4275,10036,5,0
150,ALSO3,2023-01-17,17.54,18.0,17.42,17.69,2359700,5804,107,5362,11273,0,0
151,ALSO3,2023-01-18,17.88,18.26,17.6,17.75,3904700,9276,141,7809,17226,0,0
152,ALSO3,2023-01-19,17.55,17.79,17.29,17.72,2534400,4018,126,4165,8307,2,0
153,ALSO3,2023-01-20,17.66,17.74,17.22,17.35,3030100,6630,131,7657,14417,1,0
154,ALSO3,2023-01-23,17.4,17.65,17.23,17.4,4695500,3528,114,4584,8226,0,0
155,ALSO3,2023-01-24,17.42,17.8,17.26,17.7,2258800,4242,114,4381,8737,0,0
156,ALSO3,2023-01-25,17.67,18.17,17.42,17.99,2582800,6200,99,4007,10306,0,0
157,ALSO3,2023-01-26,18.05,18.22,17.88,18.11,1733200,4804,59,3810,8673,0,0
158,ALSO3,2023-01-30,17.93,18.16,17.66,17.83,2805200,4670,107,3659,8433,3,0
159,ALSO3,2023-01-31,17.83,18.12,17.83,18.01,2347500,4393,171,3831,8395,0,0
160,ALSO3,2023-02-01,17.96,18.1,17.74,17.9,2664100,5504,99,4844,10444,3,0
161,ALSO3,2023-02-02,17.75,18.58,17.73,18.18,3301600,6074,112,4633,10817,2,0
162,ALSO3,2023-02-03,18.04,18.04,17.29,17.43,3234800,4308,140,5530,9978,0,0
163,ALSO3,2023-02-06,17.41,17.98,17.41,17.87,2676600,6910,83,5044,12037,0,0
164,ALSO3,2023-02-07,17.98,18.05,17.48,17.62,2906500,4854,91,4914,9859,0,0
165,ALSO3,2023-02-08,17.78,18.01,17.53,17.94,3121600,6939,116,5173,12228,0,0
166,ALSO3,2023-02-09,17.92,18.02,17.37,17.42,4063500,4645,105,5602,10351,1,0
167,ALSO3,2023-02-10,17.37,17.61,17.19,17.47,3278800,4773,93,4179,9041,4,0
168,ALSO3,2023-02-13,17.36,17.92,17.36,17.55,2371100,4068,74,3695,7837,0,0
169,ALSO3,2023-02-14,17.66,17.84,17.11,17.3,3317200,5719,97,8678,14493,1,0
170,ALSO3,2023-02-15,17.16,17.93,17.04,17.52,3387700,7500,102,5938,13538,2,0
171,ALSO3,2023-02-16,17.48,17.95,17.35,17.78,4233200,5153,112,5460,10725,0,0
172,ALSO3,2023-02-17,17.6,18.12,17.6,17.92,3325800,7542,82,8373,15997,0,0
173,ALSO3,2023-02-20,17.6,18.12,17.6,17.92,3325800,7542,82,8373,15997,0,0
174,ALSO3,2023-02-21,17.6,18.12,17.6,17.92,3325800,7542,82,8373,15997,0,0
175,ALSO3,2023-02-22,17.98,18.09,17.46,17.73,2072500,3543,166,4636,8345,0,0
176,ALSO3,2023-02-23,17.73,17.83,17.56,17.73,1807900,3619,112,5004,8733,2,0
177,ALSO3,2023-02-24,17.72,17.85,17.26,17.51,3470800,3870,87,5153,9109,1,0
178,ALSO3,2023-02-27,17.51,17.72,17.3,17.56,2820200,4996,71,5417,10484,0,0
179,ALSO3,2023-02-28,17.35,17.55,16.97,17.08,8135200,9503,645,9805,19531,422,0
180,ALSO3,2023-03-01,17.05,17.13,16.02,16.35,7755600,11317,183,9877,21365,12,0
181,ALSO3,2023-03-02,16.6,16.87,16.34,16.41,3084400,5957,162,6525,12643,1,0
182,ALSO3,2023-03-03,16.75,16.76,16.32,16.5,2740700,3592,140,6799,10530,1,0
183,ALSO3,2023-03-06,16.44,16.99,16.42,16.88,2784600,6037,644,4883,11065,499,0
184,ALSO3,2023-03-07,16.77,16.95,16.59,16.88,2736200,3768,116,3611,7494,1,0
185,ALSO3,2023-03-08,16.83,17.63,16.78,17.54,5135200,7507,235,7941,15580,103,0
186,ALSO3,2023-03-09,17.5,17.83,17.35,17.54,2521900,5962,111,3568,9641,0,0
187,ALSO3,2023-03-10,17.52,17.58,17.09,17.35,2972000,5162,81,8747,13989,1,0
188,ALSO3,2023-03-13,17.23,17.61,17.17,17.29,3177800,5330,132,3991,9453,0,0
189,ALSO3,2023-03-14,17.3,17.67,17.18,17.42,5611400,6692,118,5230,12037,3,0
190,ALSO3,2023-03-15,17.22,17.88,17.11,17.63,4104200,7034,122,7242,14396,2,0
191,ALSO3,2023-03-16,17.63,17.8,17.43,17.61,2654700,5132,108,4392,9629,3,0
192,ALSO3,2023-03-17,17.48,17.72,17.27,17.56,4331200,5015,138,4535,9684,4,0
193,ALSO3,2023-03-20,17.64,17.78,16.85,17.03,4271900,7574,173,7738,15485,0,0
194,ALSO3,2023-03-21,16.93,17.07,16.84,16.95,2818600,4750,121,6525,11396,0,0
195,ALSO3,2023-03-23,16.79,16.89,15.67,15.94,6518900,9454,193,6428,16071,4,0
196,ALSO3,2023-03-24,16.0,17.17,16.0,17.11,5733200,11948,193,7852,19992,1,0
