,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ALUP3,2022-06-06,8.96,9.04,8.81,8.81,11100,16,0,40,56,0,0
1,ALUP3,2022-06-07,8.82,9.0,8.69,8.85,11900,43,0,41,84,0,0
2,ALUP3,2022-06-08,8.89,9.04,8.86,8.99,4900,23,0,12,35,0,0
3,ALUP3,2022-06-09,8.99,8.99,8.83,8.9,9400,13,1,42,56,0,0
4,ALUP3,2022-06-10,8.9,8.9,8.65,8.7,13700,41,1,86,128,0,0
5,ALUP3,2022-06-13,8.7,8.74,8.55,8.69,9100,24,0,59,83,0,0
6,ALUP3,2022-06-14,8.69,8.72,8.61,8.61,11600,38,0,30,68,0,0
7,ALUP3,2022-06-15,8.65,9.0,8.62,8.98,8000,29,1,16,46,0,0
8,ALUP3,2022-06-17,8.95,8.95,8.68,8.93,7900,27,0,29,56,0,0
9,ALUP3,2022-06-20,8.9,8.9,8.74,8.74,8300,26,1,14,41,0,0
10,ALUP3,2022-06-21,8.87,8.87,8.45,8.51,21600,29,0,118,147,0,0
11,ALUP3,2022-06-22,8.49,8.79,8.49,8.79,5600,22,0,14,36,0,0
12,ALUP3,2022-06-23,8.78,8.81,8.62,8.63,4600,16,0,15,31,0,0
13,ALUP3,2022-06-24,8.62,8.69,8.48,8.48,10900,33,0,53,86,0,0
14,ALUP3,2022-06-27,8.5,8.56,8.42,8.46,7500,20,0,36,56,0,0
15,ALUP3,2022-06-28,8.45,8.59,8.45,8.57,5400,24,0,14,38,0,0
16,ALUP3,2022-06-29,8.58,8.79,8.5,8.65,4300,21,0,13,34,0,0
17,ALUP3,2022-06-30,8.65,8.88,8.57,8.88,12900,40,0,39,79,0,0
18,ALUP3,2022-07-01,8.88,9.09,8.76,8.87,21100,72,0,85,157,0,0
19,ALUP3,2022-07-04,8.83,8.97,8.78,8.78,9900,21,1,40,62,0,0
20,ALUP3,2022-07-05,8.78,8.85,8.57,8.61,8800,29,0,26,55,0,0
21,ALUP3,2022-07-06,8.7,8.83,8.57,8.81,5400,27,0,21,48,0,0
22,ALUP3,2022-07-07,8.81,8.9,8.77,8.77,4500,17,1,9,27,0,0
23,ALUP3,2022-07-08,8.86,8.98,8.86,8.97,8400,33,0,24,57,0,0
24,ALUP3,2022-07-11,8.86,8.97,8.86,8.96,7600,15,0,15,30,0,0
25,ALUP3,2022-07-12,8.86,8.92,8.61,8.86,4600,14,0,23,37,0,0
26,ALUP3,2022-07-13,8.82,8.96,8.74,8.85,4800,16,0,17,33,0,0
27,ALUP3,2022-07-14,8.89,9.05,8.85,8.85,14300,25,0,18,43,0,0
28,ALUP3,2022-07-15,9.0,9.0,8.88,8.99,9200,16,0,30,46,0,0
29,ALUP3,2022-07-18,8.95,9.16,8.9,8.9,7300,28,0,36,64,0,0
30,ALUP3,2022-07-19,8.98,9.15,8.98,9.04,3100,15,1,7,23,0,0
31,ALUP3,2022-07-20,9.03,9.16,8.86,8.89,12000,32,0,45,77,0,0
32,ALUP3,2022-07-21,8.91,9.08,8.89,9.08,5700,26,0,13,39,0,0
33,ALUP3,2022-07-22,9.09,9.1,8.94,8.94,6400,12,0,15,27,0,0
34,ALUP3,2022-07-25,8.97,9.15,8.97,9.06,14700,124,0,15,139,0,0
35,ALUP3,2022-07-26,9.01,9.15,8.84,8.84,7000,14,0,44,58,0,0
36,ALUP3,2022-07-27,8.93,9.08,8.93,9.06,3600,17,0,19,36,0,0
37,ALUP3,2022-07-28,9.05,9.24,8.95,9.08,10400,49,0,31,80,0,0
38,ALUP3,2022-07-29,9.05,9.24,8.85,8.91,23800,79,0,82,161,0,0
39,ALUP3,2022-08-01,8.91,9.29,8.91,9.25,16900,79,0,56,135,0,0
40,ALUP3,2022-08-02,9.25,9.25,9.04,9.06,9400,24,0,42,66,0,0
41,ALUP3,2022-08-03,9.06,9.19,9.0,9.0,7800,26,1,32,59,0,0
42,ALUP3,2022-08-08,9.27,9.36,9.22,9.29,12800,42,0,22,64,0,0
