,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AMAR3,2022-06-06,2.32,2.33,2.2,2.22,3027600,1028,42,2063,3131,2,0
1,AMAR3,2022-06-07,2.2,2.2,2.13,2.17,2687000,1116,37,2582,3734,1,0
2,AMAR3,2022-06-08,2.15,2.24,2.12,2.14,3275100,1180,100,2388,3665,3,0
3,AMAR3,2022-06-09,2.11,2.15,2.06,2.07,3449200,1093,47,1998,3137,1,0
4,AMAR3,2022-06-10,2.06,2.09,2.02,2.05,3714700,1253,33,1194,2479,1,0
5,AMAR3,2022-06-13,2.0,2.02,1.87,1.9,7670000,2089,90,2901,5079,1,0
6,AMAR3,2022-06-14,1.92,1.95,1.89,1.9,4096000,1573,41,2110,3723,1,0
7,AMAR3,2022-06-15,1.92,2.07,1.92,2.01,5529300,2723,55,1838,4615,1,0
8,AMAR3,2022-06-17,1.94,2.02,1.93,1.97,2699000,1784,44,1523,3350,1,0
9,AMAR3,2022-06-20,2.04,2.07,1.95,2.01,2617100,809,42,756,1606,1,0
10,AMAR3,2022-06-21,2.04,2.05,1.92,1.95,3893900,3741,114,1329,5181,3,0
11,AMAR3,2022-06-22,1.91,2.04,1.9,2.01,3972200,1216,32,990,2237,1,0
12,AMAR3,2022-06-23,2.03,2.17,2.03,2.09,5875500,2315,38,1641,3993,1,0
13,AMAR3,2022-06-24,2.1,2.12,1.98,2.0,4335200,1308,34,1971,3312,1,0
14,AMAR3,2022-06-27,1.97,2.04,1.92,1.95,4025300,1105,26,2332,3462,1,0
15,AMAR3,2022-06-28,1.93,1.96,1.83,1.83,4917300,1057,49,3444,4549,1,0
16,AMAR3,2022-06-29,1.84,1.86,1.76,1.79,4832400,1121,64,2491,3675,1,0
17,AMAR3,2022-06-30,1.76,1.81,1.71,1.73,5488800,1758,124,3034,4915,1,0
18,AMAR3,2022-07-01,1.73,1.75,1.71,1.75,2954100,1153,65,1798,3015,1,0
19,AMAR3,2022-07-04,1.75,1.77,1.67,1.68,1817000,617,83,749,1448,1,0
20,AMAR3,2022-07-05,1.68,1.85,1.62,1.8,7176700,3945,47,2113,6103,2,0
21,AMAR3,2022-07-06,1.84,1.99,1.82,1.98,5903400,5549,43,1823,7413,2,0
22,AMAR3,2022-07-07,2.02,2.1,2.0,2.04,3969500,3732,58,1127,4916,1,0
23,AMAR3,2022-07-08,2.03,2.12,2.01,2.1,6190800,4438,63,1957,6457,1,0
24,AMAR3,2022-07-11,2.06,2.11,1.98,2.0,5332400,3121,57,3471,6648,1,0
25,AMAR3,2022-07-12,2.0,2.26,1.96,2.26,7853100,4066,79,1926,6070,1,0
26,AMAR3,2022-07-13,2.2,2.3,2.18,2.25,4474700,1955,58,1974,3986,1,0
27,AMAR3,2022-07-14,2.19,2.3,2.15,2.15,6242600,3346,82,2434,5861,1,0
28,AMAR3,2022-07-15,2.18,2.2,2.08,2.13,3585100,1596,63,1746,3404,1,0
29,AMAR3,2022-07-18,2.14,2.24,2.08,2.09,3576100,1515,45,1407,2966,1,0
30,AMAR3,2022-07-19,2.08,2.12,2.0,2.05,4942300,2183,90,1467,3738,2,0
31,AMAR3,2022-07-20,2.04,2.35,2.03,2.35,8892100,3923,143,1558,5623,1,0
32,AMAR3,2022-07-21,2.31,2.4,2.29,2.37,3784100,2348,73,2087,4506,2,0
33,AMAR3,2022-07-22,2.4,2.41,2.25,2.3,4385000,1465,61,1536,3061,1,0
34,AMAR3,2022-07-25,2.3,2.35,2.19,2.21,3342700,875,111,1622,2607,1,0
35,AMAR3,2022-07-26,2.22,2.22,2.14,2.18,2306300,623,34,1080,1736,1,0
36,AMAR3,2022-07-27,2.18,2.26,2.13,2.17,5744000,2332,47,2244,4622,1,0
37,AMAR3,2022-07-28,2.19,2.25,2.14,2.25,4776100,1588,32,1024,2643,1,0
38,AMAR3,2022-07-29,2.25,2.28,2.15,2.18,3482300,1970,85,1578,3632,1,0
39,AMAR3,2022-08-01,2.17,2.32,2.16,2.29,3425500,2191,70,960,3219,2,0
40,AMAR3,2022-08-02,2.27,2.35,2.25,2.29,2193400,1674,22,996,2691,1,0
41,AMAR3,2022-08-03,2.32,2.48,2.29,2.48,3776700,1730,49,1256,3034,1,0
42,AMAR3,2022-08-08,2.57,2.71,2.57,2.68,3766600,3736,33,1248,5016,1,0
43,AMAR3,2022-08-09,2.69,2.74,2.55,2.67,2926600,2249,54,1603,3905,1,0
44,AMAR3,2022-08-10,2.75,2.78,2.68,2.73,4202200,2569,97,1222,3887,1,0
45,AMAR3,2022-08-12,2.64,2.77,2.59,2.7,5554700,2493,45,2068,4605,1,0
46,AMAR3,2022-08-15,2.67,3.06,2.62,3.01,11347300,3892,70,2572,6533,1,0
47,AMAR3,2022-08-16,3.04,3.1,2.88,3.01,5380900,2827,68,2205,5099,1,0
48,AMAR3,2022-08-17,2.98,3.01,2.75,2.75,10423900,3079,125,3954,7157,1,0
49,AMAR3,2022-08-18,2.79,2.81,2.61,2.63,4204000,1529,107,2237,3873,0,0
50,AMAR3,2022-08-19,2.6,2.6,2.44,2.48,3767900,2076,34,1592,3700,2,0
51,AMAR3,2022-08-22,2.45,2.48,2.39,2.48,3615800,1481,47,1682,3209,1,0
52,AMAR3,2022-08-23,2.48,2.6,2.48,2.59,4471900,1240,48,1004,2292,0,0
53,AMAR3,2022-08-24,2.57,2.72,2.57,2.67,6921500,2179,65,2256,4499,1,0
54,AMAR3,2022-08-25,2.7,2.72,2.63,2.66,6944300,1240,46,1541,2825,2,0
55,AMAR3,2022-08-26,2.67,2.68,2.57,2.63,2722000,1159,25,1178,2361,1,0
56,AMAR3,2022-08-29,2.64,2.69,2.6,2.64,2593500,1018,33,906,1956,1,0
57,AMAR3,2022-08-30,2.69,2.72,2.51,2.56,2930500,1127,33,1278,2438,0,0
58,AMAR3,2022-08-31,2.58,2.6,2.5,2.51,2011100,875,38,1596,2507,2,0
59,AMAR3,2022-09-01,2.53,2.63,2.46,2.62,3645300,2173,48,979,3199,1,0
60,AMAR3,2022-09-02,2.63,2.69,2.49,2.53,4266500,1168,141,6855,8163,1,0
61,AMAR3,2022-09-05,2.52,2.57,2.47,2.5,1906800,955,27,1120,2101,1,0
62,AMAR3,2022-09-06,2.49,2.49,2.32,2.36,3826100,1381,42,1657,3079,1,0
63,AMAR3,2022-09-08,2.38,2.46,2.34,2.42,5022000,1467,50,1445,2961,1,0
64,AMAR3,2022-09-09,2.47,2.56,2.44,2.55,4326300,1516,55,1848,3419,0,0
65,AMAR3,2022-09-12,2.57,2.75,2.57,2.67,4524700,1596,47,2034,3676,1,0
66,AMAR3,2022-09-13,2.6,2.71,2.55,2.67,4235500,1518,36,1883,3436,1,0
67,AMAR3,2022-09-14,2.66,2.66,2.54,2.58,3111800,769,49,1663,2480,1,0
68,AMAR3,2022-09-15,2.54,2.57,2.42,2.46,3924000,1699,33,1471,3202,1,0
69,AMAR3,2022-09-16,2.31,2.44,2.27,2.42,6461800,1384,187,2025,3595,1,0
70,AMAR3,2022-09-19,2.39,2.51,2.36,2.48,2798500,1024,37,1084,2144,1,0
71,AMAR3,2022-09-20,2.48,2.53,2.43,2.47,3451900,1144,32,1444,2619,1,0
72,AMAR3,2022-09-21,2.47,2.57,2.43,2.48,5390100,1583,30,1304,2916,1,0
73,AMAR3,2022-09-22,2.52,2.58,2.44,2.53,4528100,2310,38,1596,3943,1,0
74,AMAR3,2022-09-23,2.5,2.57,2.48,2.57,3956600,2512,38,1408,3957,1,0
75,AMAR3,2022-09-26,2.54,2.61,2.43,2.43,2910100,1720,66,1511,3295,2,0
76,AMAR3,2022-09-27,2.5,2.53,2.35,2.35,3148700,1101,29,1145,2274,1,0
77,AMAR3,2022-09-28,2.39,2.4,2.32,2.37,2433500,1134,40,1209,2382,1,0
78,AMAR3,2022-09-29,2.35,2.35,2.21,2.21,3811300,1227,34,1530,2790,1,0
79,AMAR3,2022-09-30,2.23,2.4,2.19,2.37,5708500,2048,38,1760,3845,1,0
80,AMAR3,2022-10-03,2.48,2.59,2.46,2.54,5191900,3241,77,2147,5464,1,0
81,AMAR3,2022-10-04,2.57,2.64,2.5,2.5,3943400,1848,33,2390,4270,1,0
82,AMAR3,2022-10-05,2.5,2.6,2.48,2.57,3091200,1635,35,1257,2926,1,0
83,AMAR3,2022-10-06,2.57,2.74,2.56,2.67,6971000,2551,50,2531,5131,1,0
84,AMAR3,2022-10-07,2.65,2.71,2.59,2.62,3731600,2174,42,2257,4472,1,0
85,AMAR3,2022-10-10,2.64,2.64,2.52,2.54,4609600,1089,75,1257,2420,1,0
86,AMAR3,2022-10-11,2.54,2.54,2.4,2.42,4821700,1176,63,1594,2832,1,0
87,AMAR3,2022-10-13,2.4,2.46,2.29,2.41,5513800,2196,34,1903,4133,0,0
88,AMAR3,2022-10-14,2.44,2.44,2.25,2.32,4714000,1329,57,1582,2967,1,0
89,AMAR3,2022-10-17,2.3,2.35,2.27,2.29,2551300,1110,43,1011,2163,1,0
90,AMAR3,2022-10-18,2.3,2.33,2.08,2.11,16129100,3156,303,5319,8777,1,0
91,AMAR3,2022-10-19,2.1,2.11,2.03,2.06,12928400,4090,126,4858,9072,2,0
92,AMAR3,2022-10-20,2.09,2.09,1.99,2.02,6448200,2094,77,2431,4601,1,0
93,AMAR3,2022-10-21,2.04,2.09,2.0,2.06,4508500,1778,77,2233,4087,1,0
94,AMAR3,2022-10-24,2.04,2.04,1.99,2.0,4532000,1327,41,2506,3873,1,0
95,AMAR3,2022-10-25,2.01,2.07,1.99,2.0,4296000,1200,39,2239,3477,1,0
96,AMAR3,2022-10-26,2.0,2.01,1.88,1.9,5532300,1485,65,2612,4161,1,0
97,AMAR3,2022-10-27,1.89,1.98,1.89,1.91,5496300,1969,71,2644,4683,1,0
98,AMAR3,2022-10-28,1.9,2.0,1.89,2.0,6082000,1357,92,935,2383,1,0
99,AMAR3,2022-10-31,1.98,2.11,1.94,2.05,9684400,3051,45,1524,4619,1,0
100,AMAR3,2022-11-01,2.08,2.21,2.04,2.15,8750400,2823,35,1917,4774,1,0
101,AMAR3,2022-11-03,2.13,2.26,2.12,2.18,5418000,3046,41,1364,4450,1,0
102,AMAR3,2022-11-04,2.22,2.24,2.13,2.16,4432800,1869,36,1808,3712,1,0
103,AMAR3,2022-11-07,2.16,2.19,2.0,2.01,6100100,1425,60,1938,3422,1,0
104,AMAR3,2022-11-08,2.0,2.09,1.94,1.99,7414700,1669,55,2420,4143,1,0
105,AMAR3,2022-11-09,1.99,2.05,1.97,2.02,5570000,1782,40,1869,3690,1,0
106,AMAR3,2022-11-10,1.97,1.97,1.74,1.76,13572100,2997,119,5743,8856,3,0
107,AMAR3,2022-11-14,1.71,1.81,1.66,1.7,9782500,2272,56,2863,5191,0,0
108,AMAR3,2022-11-17,1.58,1.58,1.47,1.56,8435200,2172,51,7707,9930,0,0
109,AMAR3,2022-11-18,1.59,1.64,1.52,1.52,6749300,2307,60,3343,5708,2,0
110,AMAR3,2022-11-21,1.56,1.67,1.54,1.64,8587200,2493,39,1205,3736,1,0
111,AMAR3,2022-11-22,1.66,1.67,1.54,1.55,5436700,1619,73,2994,4685,1,0
112,AMAR3,2022-11-23,1.53,1.55,1.47,1.48,9583900,2158,68,4703,6929,0,0
113,AMAR3,2022-11-24,1.51,1.58,1.51,1.58,4238300,1823,19,942,2783,1,0
114,AMAR3,2022-11-25,1.57,1.59,1.49,1.5,5353100,1395,63,2751,4209,0,0
115,AMAR3,2022-11-28,1.48,1.52,1.42,1.43,6569700,1591,47,4593,6231,0,0
116,AMAR3,2022-11-29,1.44,1.48,1.4,1.46,6966900,2219,31,6608,8858,0,0
117,AMAR3,2022-11-30,1.45,1.49,1.41,1.48,4657800,2438,42,2048,4527,1,0
118,AMAR3,2022-12-01,1.48,1.5,1.42,1.42,5467400,979,49,2630,3657,1,0
119,AMAR3,2022-12-02,1.43,1.45,1.39,1.42,7229600,1048,45,4242,5335,0,0
120,AMAR3,2022-12-05,1.41,1.42,1.31,1.32,11025300,1370,65,2608,4042,1,0
121,AMAR3,2022-12-06,1.33,1.41,1.32,1.38,10411500,3184,38,2578,5799,1,0
122,AMAR3,2022-12-07,1.36,1.42,1.33,1.37,6172400,1226,49,2454,3728,1,0
123,AMAR3,2022-12-08,1.36,1.36,1.27,1.27,9113700,1072,129,3331,4531,1,0
124,AMAR3,2022-12-09,1.29,1.3,1.22,1.22,7020400,1551,101,1917,3566,3,0
125,AMAR3,2022-12-12,1.22,1.25,1.15,1.2,8169200,3072,31,1955,5058,0,0
126,AMAR3,2022-12-13,1.21,1.22,1.13,1.13,15059800,1163,92,5216,6471,0,0
127,AMAR3,2022-12-14,1.13,1.15,1.07,1.1,12303300,3297,71,1992,5359,1,0
128,AMAR3,2022-12-15,1.09,1.18,1.09,1.13,9000900,3719,28,2195,5941,1,0
129,AMAR3,2022-12-16,1.12,1.14,1.05,1.06,5357300,1865,34,1367,3266,0,0
130,AMAR3,2022-12-19,1.07,1.14,1.06,1.12,8567700,2117,25,1025,3167,0,0
131,AMAR3,2022-12-20,1.12,1.28,1.09,1.23,11168900,4086,76,3350,7512,0,0
132,AMAR3,2022-12-21,1.24,1.29,1.2,1.26,9710300,6361,32,1445,7838,0,0
133,AMAR3,2022-12-22,1.24,1.28,1.18,1.22,7015600,2550,54,2304,4908,0,0
134,AMAR3,2022-12-23,1.23,1.29,1.22,1.27,8393100,1142,38,1261,2440,1,0
135,AMAR3,2022-12-26,1.27,1.28,1.23,1.25,2523000,840,22,1044,1906,0,0
136,AMAR3,2022-12-27,1.26,1.27,1.16,1.16,5888600,899,96,2027,3021,1,0
137,AMAR3,2022-12-28,1.18,1.28,1.16,1.28,9740300,1916,68,2116,4100,0,0
138,AMAR3,2022-12-29,1.27,1.34,1.24,1.25,6042600,1454,80,1634,3168,0,0
139,AMAR3,2023-01-02,1.24,1.25,1.17,1.25,4320500,1110,25,1659,2793,1,0
140,AMAR3,2023-01-03,1.28,1.29,1.19,1.2,8446700,1791,57,2901,4749,0,0
141,AMAR3,2023-01-04,1.22,1.22,1.14,1.16,12002200,1893,53,3004,4949,1,0
142,AMAR3,2023-01-05,1.17,1.22,1.14,1.22,10104700,1590,27,1984,3601,0,0
143,AMAR3,2023-01-06,1.22,1.29,1.21,1.29,7788800,1409,65,3384,4857,1,0
144,AMAR3,2023-01-09,1.24,1.37,1.23,1.35,8217300,3028,36,2072,5136,0,0
145,AMAR3,2023-01-10,1.34,1.53,1.33,1.48,10707400,3339,54,1583,4975,1,0
146,AMAR3,2023-01-11,1.48,1.51,1.37,1.39,8795400,1318,47,3428,4793,0,0
147,AMAR3,2023-01-12,1.34,1.43,1.31,1.35,12415700,1897,47,4262,6205,1,0
148,AMAR3,2023-01-13,1.34,1.38,1.28,1.3,9862900,1736,51,3853,5640,0,0
149,AMAR3,2023-01-16,1.29,1.37,1.24,1.25,8617700,1239,78,1777,3094,0,0
150,AMAR3,2023-01-17,1.25,1.29,1.22,1.23,6633100,1440,47,4307,5794,0,0
151,AMAR3,2023-01-18,1.24,1.29,1.19,1.19,8984500,1528,89,1684,3301,0,0
152,AMAR3,2023-01-19,1.17,1.27,1.17,1.24,7791300,937,71,1063,2071,0,0
153,AMAR3,2023-01-20,1.24,1.28,1.22,1.27,4683800,734,30,898,1662,0,0
154,AMAR3,2023-01-23,1.27,1.31,1.27,1.27,5102000,1050,27,867,1944,0,0
155,AMAR3,2023-01-24,1.27,1.46,1.27,1.43,17167800,3159,66,1772,4997,0,0
156,AMAR3,2023-01-25,1.43,1.47,1.38,1.43,5031200,1465,45,1055,2565,0,0
157,AMAR3,2023-01-26,1.43,1.47,1.41,1.44,3357700,731,33,745,1509,0,0
158,AMAR3,2023-01-30,1.42,1.45,1.35,1.37,4916600,509,23,822,1353,1,0
159,AMAR3,2023-01-31,1.37,1.4,1.34,1.38,7539600,856,26,1469,2351,0,0
160,AMAR3,2023-02-01,1.38,1.4,1.33,1.36,5205300,1338,32,1102,2472,0,0
161,AMAR3,2023-02-02,1.37,1.44,1.35,1.4,6394900,1397,24,833,2254,0,0
162,AMAR3,2023-02-03,1.4,1.4,1.31,1.31,7807100,1358,59,1280,2697,0,0
163,AMAR3,2023-02-06,1.31,1.32,1.21,1.22,9890100,873,52,1358,2280,3,0
164,AMAR3,2023-02-07,1.23,1.24,1.13,1.13,10545900,1307,72,1904,3283,0,0
165,AMAR3,2023-02-08,1.07,1.11,1.05,1.06,20459300,3220,303,5707,9230,0,0
166,AMAR3,2023-02-09,1.05,1.06,0.81,0.82,44519400,4059,129,9059,13247,0,0
