,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AMBP3,2023-04-28,19.98,20.58,19.78,20.58,600600,1405,79,1382,2866,0,0
1,AMBP3,2022-08-18,28.08,28.08,26.65,27.17,724600,1821,51,2167,4038,1,0
2,AMBP3,2023-02-17,20.8,21.29,20.67,21.05,645300,2129,41,1956,4126,0,0
3,AMBP3,2022-07-29,27.55,27.93,27.14,27.64,785900,2117,54,2561,4731,1,0
4,AMBP3,2023-07-10,23.25,23.37,22.1,22.19,902300,1596,75,2109,3779,1,0
5,AMBP3,2023-04-20,20.96,21.39,20.62,21.14,571900,1261,68,1216,2545,0,0
6,AMBP3,2022-09-22,29.38,29.43,28.46,29.0,784700,2607,50,1799,4456,0,0
7,AMBP3,2022-08-03,27.4,29.09,27.31,28.63,1208200,3726,55,3721,7502,0,0
8,AMBP3,2023-06-21,20.45,20.68,19.88,20.19,1242800,2061,77,2033,4171,0,0
9,AMBP3,2022-09-16,29.0,29.35,28.09,29.1,1096600,2859,87,2616,5561,1,0
10,AMBP3,2022-07-26,25.84,26.11,25.29,25.54,767100,2339,70,1976,4385,0,0
11,AMBP3,2022-11-14,25.85,26.01,24.55,25.6,1334300,4191,55,2762,7007,1,0
12,AMBP3,2022-09-13,28.47,28.6,27.55,27.77,712300,1584,51,2130,3764,1,0
13,AMBP3,2022-11-24,23.7,24.95,23.53,24.69,1067400,2764,51,2377,5190,2,0
14,AMBP3,2022-10-14,30.36,30.51,29.19,29.28,500200,1496,45,1529,3068,2,0
15,AMBP3,2022-09-15,29.89,30.32,29.44,29.65,1129900,3087,69,3162,6317,1,0
16,AMBP3,2023-07-27,22.0,22.54,21.51,21.58,857200,1234,115,1127,2476,0,0
17,AMBP3,2023-05-19,20.56,21.49,20.32,21.0,1326800,3135,57,3407,6598,1,0
18,AMBP3,2022-10-24,29.13,29.94,29.13,29.26,984800,2413,46,2784,5243,0,0
19,AMBP3,2022-07-14,22.72,23.01,22.34,22.9,728100,1742,60,1986,3788,0,0
20,AMBP3,2022-06-15,24.08,24.82,23.51,24.09,979800,3257,46,3089,6392,0,0
21,AMBP3,2023-05-17,19.1,19.83,18.64,19.62,2881700,5623,101,4989,10712,1,0
22,AMBP3,2023-02-20,20.8,21.29,20.67,21.05,645300,2129,41,1956,4126,0,0
23,AMBP3,2023-08-09,21.84,21.84,21.14,21.19,875900,1456,120,1397,2972,1,0
24,AMBP3,2023-02-22,21.05,21.05,20.49,20.78,649500,1303,78,1346,2726,1,0
25,AMBP3,2023-02-03,23.6,23.63,22.37,22.5,923500,2263,59,2343,4665,0,0
26,AMBP3,2022-11-23,24.3,24.31,23.11,23.45,1005600,2702,65,2725,5491,1,0
27,AMBP3,2022-06-22,22.15,24.06,22.15,22.58,1841000,4672,62,4076,8810,0,0
28,AMBP3,2023-03-09,22.2,22.97,21.86,21.98,1263800,2505,201,2472,5176,2,0
29,AMBP3,2022-11-08,30.79,31.36,30.06,31.15,1406000,3131,89,3296,6515,1,0
30,AMBP3,2022-09-28,26.65,27.13,26.26,26.75,606600,1919,42,1876,3836,1,0
31,AMBP3,2023-08-21,22.41,22.67,21.81,21.86,1099100,1469,74,1711,3254,0,0
32,AMBP3,2022-06-28,22.86,23.1,22.06,22.24,928600,2270,39,2418,4727,0,0
33,AMBP3,2023-08-25,21.93,22.01,21.06,21.4,1232400,1989,126,2445,4560,0,0
34,AMBP3,2023-08-02,21.25,21.4,20.72,20.96,1090700,2707,47,2082,4836,0,0
35,AMBP3,2022-11-04,33.01,33.86,31.92,32.0,1849100,4530,63,4841,9432,2,0
36,AMBP3,2022-10-06,28.81,29.6,28.55,29.57,678400,1740,50,1717,3505,2,0
37,AMBP3,2022-09-23,28.58,29.02,27.92,27.92,736700,1899,103,1705,3705,2,0
38,AMBP3,2023-03-01,20.3,20.45,19.18,19.43,1161600,2391,65,2393,4849,0,0
39,AMBP3,2022-08-12,27.0,27.94,25.96,26.7,1871300,4430,120,4932,9482,0,0
40,AMBP3,2022-08-25,27.26,28.87,27.09,28.56,1426100,3883,55,2735,6673,0,0
41,AMBP3,2023-07-19,21.0,21.0,20.53,20.73,651500,1715,71,1086,2871,1,0
42,AMBP3,2022-09-05,28.23,28.87,28.23,28.75,439500,1314,55,1267,2628,8,0
43,AMBP3,2022-07-06,25.17,26.99,24.6,25.24,4345900,8968,111,8794,17872,1,0
44,AMBP3,2023-06-19,20.18,20.65,19.72,20.64,826900,1683,78,1612,3373,0,0
45,AMBP3,2022-08-16,27.36,27.89,26.67,27.64,1027400,2332,53,2845,5230,0,0
46,AMBP3,2023-05-02,20.53,20.66,19.16,19.24,1184900,2789,72,3081,5942,0,0
47,AMBP3,2023-03-02,19.49,19.66,19.27,19.28,711600,1621,68,2155,3842,2,0
48,AMBP3,2023-08-23,22.35,22.95,22.13,22.79,955200,2109,64,1803,3974,2,0
49,AMBP3,2023-06-28,18.89,19.17,18.46,18.9,1272200,2444,72,2266,4782,0,0
50,AMBP3,2022-06-17,23.6,23.71,22.24,23.35,1742500,4478,85,3377,7938,2,0
51,AMBP3,2023-07-20,20.89,21.84,20.75,21.55,1277900,2939,121,2302,5359,3,0
52,AMBP3,2023-01-16,20.98,21.21,20.53,21.17,805500,1656,70,1920,3646,0,0
53,AMBP3,2023-06-16,20.32,20.45,20.02,20.03,1425800,1479,101,1619,3199,0,0
54,AMBP3,2022-12-14,19.74,20.03,18.7,19.8,1785400,4081,45,3533,7659,0,0
55,AMBP3,2023-03-08,21.71,22.61,21.66,22.3,1533000,3690,104,3164,6956,2,0
56,AMBP3,2023-04-11,20.49,22.0,20.45,21.92,1923100,5191,78,3803,9072,0,0
57,AMBP3,2023-02-16,21.46,21.65,20.87,21.05,1046500,2379,61,2553,4993,0,0
58,AMBP3,2023-08-11,21.13,21.36,20.61,20.76,1639400,2035,103,1791,3926,3,0
59,AMBP3,2023-02-06,23.3,23.31,22.25,22.61,1033700,2084,49,2256,4389,0,0
60,AMBP3,2023-01-25,23.61,24.55,22.89,24.18,1119500,2405,47,3507,5959,0,0
61,AMBP3,2023-03-17,21.25,21.32,20.52,20.53,772100,1847,74,1809,3730,0,0
62,AMBP3,2023-03-24,17.86,18.27,17.51,18.21,1643400,3411,271,3480,6958,204,0
63,AMBP3,2022-06-21,22.74,23.03,21.8,22.01,1551800,4390,48,4160,8598,0,0
64,AMBP3,2022-10-18,29.23,29.6,28.3,29.55,682100,2085,38,1922,4044,1,0
65,AMBP3,2023-08-28,21.36,21.36,20.67,20.9,1586100,1259,123,1160,2541,1,0
66,AMBP3,2023-03-29,19.7,21.71,19.32,20.69,3103000,7442,88,6046,13575,1,0
67,AMBP3,2022-06-07,29.89,29.96,27.81,28.06,1904100,4112,73,4963,9148,0,0
68,AMBP3,2023-07-03,22.0,22.79,21.82,22.37,1229300,2863,60,3137,6059,1,0
69,AMBP3,2023-05-15,20.94,21.32,20.28,21.08,910800,2455,64,2242,4761,0,0
70,AMBP3,2023-04-13,22.64,22.72,22.09,22.37,766000,2153,86,1510,3749,0,0
71,AMBP3,2023-03-06,21.15,21.3,20.5,21.06,1162700,2678,80,2863,5620,1,0
72,AMBP3,2023-02-23,20.84,21.57,20.74,21.02,811100,2033,37,1467,3537,0,0
73,AMBP3,2022-07-21,25.35,26.0,25.12,25.79,741500,2468,62,2043,4571,2,0
74,AMBP3,2023-05-22,21.1,21.2,20.53,20.64,831900,2192,68,1899,4159,0,0
75,AMBP3,2022-09-02,27.72,28.57,27.38,27.97,958900,2969,91,2352,5411,1,0
76,AMBP3,2022-12-27,21.27,21.41,20.5,20.66,748200,1757,60,2625,4433,9,0
77,AMBP3,2023-01-19,21.45,21.93,21.04,21.77,986800,2294,54,2096,4444,0,0
78,AMBP3,2022-11-25,24.69,24.75,23.17,23.48,746900,1647,46,2228,3921,0,0
79,AMBP3,2022-11-21,24.37,25.46,24.08,25.3,1078300,3233,66,2710,6009,0,0
80,AMBP3,2022-07-05,22.5,22.84,21.8,22.77,1010100,2912,73,2225,5210,0,0
81,AMBP3,2023-07-24,22.45,22.45,21.8,22.08,646900,1278,154,1217,2642,7,0
82,AMBP3,2023-05-26,20.54,21.02,20.54,20.89,660200,1216,65,1429,2710,0,0
83,AMBP3,2022-12-23,20.35,21.68,20.25,21.45,1213700,2409,42,2397,4847,1,0
84,AMBP3,2023-01-30,23.06,23.72,22.91,23.3,746700,1504,62,2085,3650,1,0
85,AMBP3,2023-07-31,21.11,21.5,20.98,21.06,810200,1525,112,1152,2789,0,0
86,AMBP3,2022-11-03,31.22,33.5,30.64,32.94,1994200,4867,77,4353,9297,0,0
87,AMBP3,2022-08-10,29.56,30.64,29.55,30.1,975800,2767,44,2552,5363,0,0
88,AMBP3,2023-05-29,21.0,21.43,20.58,20.92,662600,1088,51,1323,2461,1,0
89,AMBP3,2022-09-12,28.31,29.46,28.31,28.91,958400,3227,46,2490,5763,0,0
90,AMBP3,2023-05-03,19.22,19.58,18.88,19.43,1032200,2888,48,2391,5326,1,0
91,AMBP3,2023-08-07,22.74,22.74,21.86,22.05,762100,1466,91,1351,2907,1,0
92,AMBP3,2023-02-15,21.03,21.79,20.69,21.5,771600,1638,51,1459,3148,0,0
93,AMBP3,2023-02-24,20.99,21.13,20.33,20.5,545000,1408,49,1218,2675,0,0
94,AMBP3,2022-12-26,21.86,21.86,20.41,21.2,753700,1924,35,1939,3898,0,0
95,AMBP3,2023-06-05,21.68,21.76,21.18,21.72,531000,1287,52,1618,2957,0,0
96,AMBP3,2022-08-15,26.7,27.61,26.26,27.18,1244100,3217,74,3481,6772,0,0
97,AMBP3,2022-07-22,25.81,26.32,25.45,26.05,752800,1728,71,1715,3512,2,0
98,AMBP3,2022-06-14,24.11,24.16,23.09,24.04,1267800,3360,70,3434,6862,2,0
99,AMBP3,2023-01-17,21.22,22.34,21.17,22.34,1119300,2728,98,2160,4986,0,0
100,AMBP3,2023-04-12,22.06,23.16,21.91,22.52,1670800,4422,64,4198,8683,1,0
101,AMBP3,2022-12-02,23.23,24.16,23.1,23.95,762100,2118,31,2180,4328,1,0
102,AMBP3,2023-04-25,20.79,20.95,20.48,20.72,571500,1604,68,1035,2707,0,0
103,AMBP3,2022-06-27,23.05,23.38,22.51,22.86,1073500,2708,58,2478,5244,0,0
104,AMBP3,2023-02-21,20.8,21.29,20.67,21.05,645300,2129,41,1956,4126,0,0
105,AMBP3,2023-05-30,21.15,21.3,20.34,20.4,647100,1229,87,1669,2985,0,0
106,AMBP3,2022-11-09,30.99,31.45,29.36,29.37,1399100,3508,64,3113,6685,0,0
107,AMBP3,2023-05-01,19.98,20.58,19.78,20.58,600600,1405,79,1382,2866,0,0
108,AMBP3,2023-02-10,22.0,22.62,21.76,22.02,761500,1769,47,1865,3680,1,0
109,AMBP3,2022-09-26,27.92,27.92,26.4,26.4,825500,2083,47,2216,4344,2,0
110,AMBP3,2022-09-20,29.1,29.51,28.32,28.94,662800,2405,69,1878,4352,0,0
111,AMBP3,2022-07-07,25.37,25.74,24.1,24.36,2062300,4278,115,5643,10034,2,0
112,AMBP3,2022-12-13,20.16,20.86,19.82,19.96,901400,2447,49,2552,5047,1,0
113,AMBP3,2023-08-14,20.76,21.09,20.16,20.98,1310000,3104,100,2201,5393,12,0
114,AMBP3,2022-07-08,24.4,25.51,24.36,24.65,1961500,4183,67,4674,8923,1,0
115,AMBP3,2023-07-11,22.2,22.21,20.93,21.85,1694000,3470,76,3297,6842,1,0
116,AMBP3,2022-12-28,20.75,21.72,20.6,21.56,947600,2397,55,2210,4662,0,0
117,AMBP3,2022-10-26,30.41,30.57,27.85,28.08,1302800,2901,71,3480,6452,0,0
118,AMBP3,2022-10-19,29.36,29.42,28.75,29.09,907000,2692,80,2468,5240,0,0
119,AMBP3,2023-04-19,21.52,21.54,20.72,20.82,1076300,3132,63,2373,5568,0,0
120,AMBP3,2023-04-17,22.2,22.54,22.03,22.43,435600,1060,61,1092,2213,0,0
121,AMBP3,2023-03-23,18.31,18.44,17.35,17.76,1699300,4081,88,4355,8524,0,0
122,AMBP3,2022-06-10,26.98,26.99,25.55,25.73,1218000,3449,72,3713,7234,0,0
123,AMBP3,2023-01-12,20.98,21.61,20.31,21.05,1136000,2769,74,2806,5647,2,0
124,AMBP3,2022-06-30,21.81,22.59,21.45,22.31,1204700,3728,69,2969,6766,0,0
125,AMBP3,2023-03-16,20.98,21.71,20.98,21.3,632600,1482,77,1552,3111,0,0
126,AMBP3,2022-07-25,26.29,26.52,25.44,25.8,543500,1277,80,1793,3150,0,0
127,AMBP3,2023-08-15,21.85,24.0,21.5,23.86,5671000,8674,504,8244,17161,261,0
128,AMBP3,2023-03-13,21.33,21.73,21.04,21.58,689700,2039,77,1674,3790,0,0
129,AMBP3,2023-07-05,22.69,23.84,22.67,23.51,1215500,2640,61,2338,5039,0,0
130,AMBP3,2022-08-17,27.44,28.08,27.06,27.87,780500,2175,50,2828,5052,1,0
131,AMBP3,2023-03-20,20.3,20.57,19.07,19.28,1531100,3003,75,3578,6656,0,0
132,AMBP3,2023-01-09,19.94,20.64,19.51,20.35,995500,2247,55,2289,4591,0,0
133,AMBP3,2023-08-22,22.22,22.37,21.58,22.36,1200200,2240,72,1822,4134,0,0
134,AMBP3,2023-04-10,20.3,20.54,19.88,19.93,726500,1809,362,1296,3170,297,0
135,AMBP3,2023-02-13,22.03,22.03,21.3,21.49,845800,2688,54,2179,4921,0,0
136,AMBP3,2023-08-24,22.71,22.83,21.86,22.0,992900,1640,77,1733,3450,0,0
137,AMBP3,2022-08-24,26.02,27.21,26.02,26.97,1440500,3872,56,3500,7428,0,0
138,AMBP3,2022-07-28,26.6,27.7,26.37,27.58,696700,2422,49,1818,4289,0,0
139,AMBP3,2022-08-19,26.9,26.9,25.77,25.85,661700,1485,44,2081,3610,0,0
140,AMBP3,2023-04-07,19.89,20.44,19.74,20.3,650700,2308,51,1735,4094,0,0
141,AMBP3,2022-12-01,23.32,23.65,22.86,23.11,730800,2375,58,1782,4215,0,0
142,AMBP3,2023-08-10,21.35,21.78,21.07,21.19,583600,1261,82,1271,2613,1,0
143,AMBP3,2022-09-19,29.08,29.5,28.52,29.0,591300,2087,61,1686,3833,1,0
144,AMBP3,2023-06-13,21.15,21.29,20.06,20.09,1032700,1784,77,2205,4066,0,0
145,AMBP3,2022-10-10,29.25,29.43,28.72,29.02,574700,1841,78,1506,3425,0,0
146,AMBP3,2023-03-27,18.74,18.74,18.15,18.2,1237200,2701,46,2074,4821,0,0
147,AMBP3,2022-07-12,23.51,23.86,22.75,23.21,1426300,4386,57,2732,7173,2,0
148,AMBP3,2022-12-29,21.65,22.36,20.55,20.9,1445800,3505,108,3484,7097,0,0
149,AMBP3,2023-02-27,20.5,20.73,20.18,20.59,614600,1739,33,1427,3198,1,0
150,AMBP3,2023-05-04,19.5,20.0,18.96,19.55,946500,3265,47,2086,5398,0,0
151,AMBP3,2022-10-28,29.01,29.78,28.73,28.95,767600,2165,71,1974,4209,1,0
152,AMBP3,2023-07-14,21.27,21.34,20.72,20.95,732500,1491,84,1582,3155,2,0
153,AMBP3,2022-07-11,24.53,24.54,23.5,23.5,786200,2441,54,1931,4424,2,0
154,AMBP3,2023-02-07,22.65,22.76,21.74,22.58,1176500,2903,53,2667,5623,0,0
155,AMBP3,2023-07-06,23.45,23.7,23.01,23.31,867000,1766,64,2289,4119,0,0
156,AMBP3,2022-10-25,29.36,31.78,29.15,30.74,1909300,4591,64,4291,8944,2,0
157,AMBP3,2023-06-27,19.24,19.43,18.53,18.86,1238300,2475,77,2432,4984,0,0
158,AMBP3,2023-01-20,21.73,22.02,21.39,22.0,735700,1550,47,1592,3188,1,0
159,AMBP3,2022-09-14,27.68,29.89,27.42,29.87,1194900,3232,44,2842,6118,0,0
160,AMBP3,2023-02-09,22.97,23.03,22.0,22.12,740900,1678,49,1757,3483,1,0
161,AMBP3,2022-12-07,21.81,22.23,21.28,21.5,1459500,3715,91,3487,7293,0,0
162,AMBP3,2022-08-22,25.63,26.52,25.34,26.19,791200,2629,36,2528,5193,0,0
163,AMBP3,2023-06-09,21.75,21.92,21.08,21.12,937500,2085,78,1671,3834,0,0
