,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ANIM3,2022-06-06,5.4,5.4,5.12,5.12,2438900,3549,59,2673,6281,0,0
1,ANIM3,2022-06-07,5.17,5.27,5.04,5.15,2083800,3752,57,2598,6407,0,0
2,ANIM3,2022-06-08,5.12,5.38,5.09,5.15,1476400,2251,61,2565,4877,0,0
3,ANIM3,2022-06-09,5.15,5.26,5.06,5.14,1896200,4064,71,3253,7388,0,0
4,ANIM3,2022-06-10,5.04,5.09,4.87,4.96,3876700,5365,54,3779,9196,2,0
5,ANIM3,2022-06-13,4.9,4.97,4.79,4.84,2992200,6531,43,3188,9762,0,0
6,ANIM3,2022-06-14,4.88,4.92,4.78,4.82,1628400,3440,62,2690,6192,0,0
7,ANIM3,2022-06-15,4.85,5.02,4.81,4.96,1817800,2027,254,2494,4594,181,0
8,ANIM3,2022-06-17,4.86,5.18,4.76,5.18,2794500,5137,297,3131,8380,185,0
9,ANIM3,2022-06-20,5.14,5.33,5.07,5.21,1941700,1999,202,2161,4230,132,0
10,ANIM3,2022-06-21,5.21,5.28,5.02,5.17,1995100,4172,179,2499,6728,122,0
11,ANIM3,2022-06-22,5.09,5.22,5.02,5.05,2113100,4354,62,2131,6547,0,0
12,ANIM3,2022-06-23,5.05,5.19,4.76,4.8,3478600,6799,70,3995,10864,0,0
13,ANIM3,2022-06-24,4.82,4.83,4.43,4.45,4607500,6890,68,6059,13017,0,0
14,ANIM3,2022-06-27,4.47,4.57,4.31,4.52,4990900,7879,120,6334,14261,72,0
15,ANIM3,2022-06-28,4.57,4.57,4.35,4.35,6897400,6337,42,5175,11554,0,0
16,ANIM3,2022-06-29,4.4,4.4,4.1,4.15,9316200,4818,62,5536,10413,3,0
17,ANIM3,2022-06-30,4.04,4.09,3.89,3.89,9419400,3963,96,7290,11347,2,0
18,ANIM3,2022-07-01,3.87,3.94,3.76,3.89,3287700,4674,46,4621,9341,0,0
19,ANIM3,2022-07-04,3.89,3.89,3.71,3.71,1431400,1899,63,1992,3953,1,0
20,ANIM3,2022-07-05,3.71,3.81,3.57,3.78,2902900,3426,54,4483,7963,0,0
21,ANIM3,2022-07-06,3.81,4.07,3.77,3.96,4940100,5621,56,5798,11474,1,0
22,ANIM3,2022-07-07,4.09,4.39,3.94,4.35,5067400,3819,107,5716,9642,0,0
23,ANIM3,2022-07-08,4.32,4.39,4.19,4.32,2037000,2643,65,3316,6024,0,0
24,ANIM3,2022-07-11,4.28,4.44,4.19,4.31,1954600,3402,54,2810,6266,0,0
25,ANIM3,2022-07-12,4.31,4.48,4.2,4.45,2860100,2881,86,2155,5121,1,0
26,ANIM3,2022-07-13,4.45,4.55,4.34,4.34,1748200,2745,65,2207,5017,0,0
27,ANIM3,2022-07-14,4.27,4.49,4.25,4.46,4182300,2753,39,2208,4999,1,0
28,ANIM3,2022-07-15,4.42,4.59,4.37,4.53,15082500,6104,88,3546,9738,0,0
29,ANIM3,2022-07-18,4.58,4.78,4.53,4.58,2093200,1972,68,2290,4330,0,0
30,ANIM3,2022-07-19,4.58,4.63,4.33,4.39,2836900,3252,101,2984,6337,0,0
31,ANIM3,2022-07-20,4.35,4.66,4.29,4.62,2277300,4985,58,2573,7616,0,0
32,ANIM3,2022-07-21,4.58,4.71,4.54,4.64,1249500,2057,47,1283,3387,0,0
33,ANIM3,2022-07-22,4.64,4.71,4.51,4.57,1676500,1317,48,1482,2847,0,0
34,ANIM3,2022-07-25,4.62,4.69,4.49,4.66,1805300,3088,39,1859,4986,0,0
35,ANIM3,2022-07-26,4.69,4.69,4.41,4.49,2583200,2098,101,1766,3965,0,0
36,ANIM3,2022-07-27,4.54,4.72,4.45,4.67,2454100,2746,47,1783,4576,0,0
37,ANIM3,2022-07-28,4.74,4.74,4.47,4.55,2219800,2370,59,2789,5218,0,0
38,ANIM3,2022-07-29,4.58,4.62,4.4,4.41,2068900,3445,62,2378,5885,0,0
39,ANIM3,2022-08-01,4.45,4.66,4.43,4.53,2278500,3000,47,3229,6276,0,0
40,ANIM3,2022-08-02,4.6,4.6,4.4,4.46,1695400,2227,45,1718,3990,0,0
41,ANIM3,2022-08-03,4.49,4.71,4.45,4.71,2056900,2128,46,3186,5360,0,0
42,ANIM3,2022-08-08,5.16,5.29,5.14,5.18,1987700,2906,63,1907,4876,0,0
43,ANIM3,2022-08-09,5.22,5.22,4.94,5.14,4089300,3632,92,4076,7798,2,0
44,ANIM3,2022-08-10,5.2,5.49,5.16,5.4,5276600,6333,75,6342,12747,3,0
45,ANIM3,2022-08-12,5.2,5.45,5.15,5.41,1663300,3082,48,1802,4932,0,0
46,ANIM3,2022-08-15,5.31,5.69,5.28,5.51,2881100,3332,62,6359,9753,0,0
47,ANIM3,2022-08-16,5.55,5.59,5.12,5.3,3770200,3638,75,5872,9585,0,0
48,ANIM3,2022-08-17,5.28,5.28,4.89,5.06,7684900,5521,61,4771,10350,3,0
49,ANIM3,2022-08-18,5.08,5.15,4.82,4.87,5111600,4560,74,5785,10416,3,0
50,ANIM3,2022-08-19,4.85,4.85,4.55,4.56,3723600,3682,59,4312,8052,1,0
51,ANIM3,2022-08-22,4.54,4.54,4.37,4.43,5860000,5406,516,5759,11239,442,0
52,ANIM3,2022-08-23,4.42,4.61,4.36,4.53,2517800,3097,39,2538,5674,0,0
53,ANIM3,2022-08-24,4.56,4.95,4.51,4.86,3712400,3484,36,2625,6144,1,0
