,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,APER3,2022-06-06,35.99,35.99,34.8,35.0,123900,224,27,249,480,1,19
1,APER3,2022-06-07,35.69,35.95,34.65,35.84,66400,139,22,149,297,0,13
2,APER3,2022-06-08,35.45,36.55,34.88,35.2,52100,151,33,214,378,0,20
3,APER3,2022-06-09,35.02,35.36,34.36,34.7,32100,96,19,119,221,0,13
4,APER3,2022-06-10,34.7,34.76,32.33,32.8,15600,37,21,56,112,0,2
5,APER3,2022-06-13,32.55,32.55,30.01,31.2,21500,39,19,80,134,0,4
6,APER3,2022-06-14,31.54,31.62,27.36,27.36,90700,167,88,338,538,0,55
7,APER3,2022-06-15,28.99,29.62,27.13,28.08,59300,119,29,132,267,0,13
8,APER3,2022-06-17,28.13,29.24,27.31,28.01,53100,133,29,154,301,0,15
9,APER3,2022-06-20,28.02,28.2,26.45,27.06,605000,117,22,185,322,0,2
10,APER3,2022-06-21,27.63,27.63,25.31,25.41,28900,61,28,133,212,0,10
11,APER3,2022-06-22,25.21,26.17,24.42,24.5,51200,67,49,136,241,0,11
12,APER3,2022-06-23,24.37,25.88,24.37,24.9,24100,112,15,97,210,0,14
13,APER3,2022-06-24,25.52,26.28,25.5,26.01,22100,59,16,53,124,0,4
14,APER3,2022-06-27,26.0,27.5,25.53,26.41,24300,82,30,46,142,0,16
15,APER3,2022-06-28,26.6,26.99,26.28,26.9,21900,55,15,56,117,0,9
16,APER3,2022-06-29,27.66,27.66,26.02,26.2,28400,85,25,73,169,0,14
17,APER3,2022-06-30,26.0,27.35,26.0,26.6,32900,35,25,47,97,2,8
18,APER3,2022-07-01,26.89,28.09,26.0,27.2,55500,135,45,140,301,0,19
19,APER3,2022-07-04,27.01,27.76,26.55,26.85,78400,78,15,50,128,1,14
20,APER3,2022-07-05,26.79,26.79,25.27,25.41,40700,50,21,60,126,1,4
21,APER3,2022-07-06,25.69,26.3,25.13,25.87,20200,31,17,22,63,0,7
22,APER3,2022-07-07,26.51,27.28,26.02,26.21,14700,27,3,58,85,0,3
23,APER3,2022-07-08,26.43,27.68,26.09,27.25,98700,71,10,59,138,0,2
24,APER3,2022-07-11,27.2,27.2,26.4,26.76,21100,25,15,19,51,1,7
25,APER3,2022-07-12,27.19,27.7,26.06,27.3,25600,42,20,72,127,0,7
26,APER3,2022-07-13,26.84,27.97,26.84,27.4,8600,12,3,29,42,0,2
27,APER3,2022-07-14,27.77,27.77,26.85,27.3,18200,36,14,20,65,0,5
28,APER3,2022-07-15,27.8,28.5,27.2,28.5,11800,14,8,17,37,1,1
29,APER3,2022-07-18,28.55,28.56,26.57,26.8,5200,6,12,15,28,0,5
30,APER3,2022-07-19,27.16,27.3,26.22,27.3,9400,35,12,33,68,0,12
31,APER3,2022-07-20,27.17,28.2,26.7,27.78,23600,35,25,78,127,0,11
32,APER3,2022-07-21,28.2,28.55,27.52,27.7,6100,16,6,16,35,0,3
33,APER3,2022-07-22,28.42,28.73,27.21,27.51,30800,28,12,67,95,3,9
34,APER3,2022-07-25,28.15,28.47,26.62,28.15,45100,83,12,102,185,1,11
35,APER3,2022-07-26,28.46,28.47,27.5,27.5,19400,7,13,3,22,0,1
36,APER3,2022-07-27,27.97,28.1,26.36,26.64,24700,59,30,77,155,0,11
37,APER3,2022-07-28,26.53,27.03,25.08,25.15,52900,96,30,274,385,0,15
38,APER3,2022-07-29,25.5,26.0,24.1,25.6,50800,81,40,156,262,1,14
39,APER3,2022-08-01,25.8,25.8,24.85,25.0,62200,50,15,42,101,0,6
40,APER3,2022-08-02,25.67,25.99,24.6,24.6,62200,117,27,41,171,0,14
41,APER3,2022-08-03,25.0,25.3,23.5,23.5,42900,213,42,89,316,0,28
42,APER3,2022-08-08,25.15,29.0,25.15,28.49,81400,132,45,97,240,0,34
43,APER3,2022-08-09,28.48,29.7,27.86,28.8,41900,79,17,140,219,0,17
44,APER3,2022-08-10,30.0,31.5,28.51,30.5,76600,193,47,173,380,0,33
45,APER3,2022-08-12,29.31,31.0,28.88,29.9,34600,59,40,66,157,0,8
46,APER3,2022-08-15,30.26,32.99,29.8,32.3,19700,56,21,40,105,0,12
47,APER3,2022-08-16,32.3,33.5,31.2,33.0,14800,56,13,34,95,0,8
48,APER3,2022-08-17,33.99,33.99,31.7,33.2,14400,59,8,56,115,0,8
49,APER3,2022-08-18,33.79,33.79,31.4,31.4,52800,83,75,79,220,0,17
50,APER3,2022-08-19,31.87,31.93,30.85,31.0,9000,27,12,22,59,1,1
51,APER3,2022-08-22,31.0,31.47,30.0,30.67,6600,16,17,13,43,0,3
52,APER3,2022-08-23,31.42,31.66,30.31,30.6,34700,61,21,41,112,1,10
53,APER3,2022-08-24,31.0,33.03,31.0,32.25,44700,121,12,82,203,0,12
