,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ARML3,2022-06-06,13.88,14.0,13.42,13.43,217100,356,28,600,984,0,0
1,ARML3,2022-06-07,13.31,13.33,12.9,13.2,312100,1088,37,1141,2266,0,0
2,ARML3,2022-06-08,13.11,13.56,12.98,13.24,399200,320,29,379,728,0,0
3,ARML3,2022-06-09,13.16,13.88,12.87,13.85,242900,650,42,507,1199,0,0
4,ARML3,2022-06-10,13.85,13.85,12.87,12.91,453100,1472,48,1499,3019,0,0
5,ARML3,2022-06-13,12.68,12.68,11.87,11.94,462000,1437,33,758,2226,2,0
6,ARML3,2022-06-14,11.98,12.17,11.38,11.55,413900,1135,51,908,2092,2,0
7,ARML3,2022-06-15,11.62,12.22,11.52,12.02,301800,598,30,584,1212,0,0
8,ARML3,2022-06-17,11.83,12.48,11.08,12.25,1050800,1700,98,1886,3683,1,0
9,ARML3,2022-06-20,12.17,12.37,11.82,12.12,370300,620,40,1130,1790,0,0
10,ARML3,2022-06-21,12.16,12.26,11.56,12.03,296900,931,58,711,1686,14,0
11,ARML3,2022-06-22,11.84,12.21,11.63,11.89,266600,969,42,841,1852,0,0
12,ARML3,2022-06-23,12.06,12.8,11.76,12.5,342700,1126,38,653,1817,0,0
13,ARML3,2022-06-24,12.58,13.0,12.15,12.7,337700,848,36,990,1874,0,0
14,ARML3,2022-06-27,12.83,12.98,12.13,12.19,218400,459,20,637,1116,0,0
15,ARML3,2022-06-28,12.11,12.34,11.82,12.21,252900,415,38,838,1291,0,0
16,ARML3,2022-06-29,12.21,12.25,11.64,12.03,335200,729,42,721,1492,0,0
17,ARML3,2022-06-30,12.03,12.29,11.34,12.21,753100,1984,64,1311,3359,0,0
18,ARML3,2022-07-01,11.79,12.11,11.35,11.76,384100,800,75,926,1801,0,0
19,ARML3,2022-07-04,11.51,12.03,11.51,12.01,231800,542,90,446,1078,0,0
20,ARML3,2022-07-05,11.69,11.7,11.12,11.7,454200,1035,62,777,1874,0,0
21,ARML3,2022-07-06,11.69,11.87,11.0,11.54,517400,1990,41,1419,3450,0,0
22,ARML3,2022-07-07,11.75,12.41,11.75,11.99,300900,847,43,731,1621,0,0
23,ARML3,2022-07-08,12.06,12.49,11.8,12.05,286200,637,56,609,1302,0,0
24,ARML3,2022-07-11,11.95,11.95,11.28,11.43,143800,274,42,405,721,0,0
25,ARML3,2022-07-12,11.35,11.58,11.0,11.49,168000,579,43,412,1034,0,0
26,ARML3,2022-07-13,11.3,11.76,11.11,11.17,133500,385,30,504,919,0,0
