,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ASAI3,2022-06-06,15.56,15.71,15.41,15.62,2626600,3610,165,3566,7273,0,68
1,ASAI3,2022-06-07,15.41,15.9,15.26,15.7,7316900,4490,240,7663,12282,8,103
2,ASAI3,2022-06-08,15.58,16.34,15.56,16.04,10420600,9041,340,15715,24909,6,181
3,ASAI3,2022-06-09,15.97,16.09,15.33,15.63,9688900,11954,554,8344,20508,143,201
4,ASAI3,2022-06-10,15.42,15.59,14.77,14.99,15101900,12215,204,9584,21892,23,88
5,ASAI3,2022-06-13,14.8,14.9,14.42,14.58,9104400,11347,465,9545,21140,5,212
6,ASAI3,2022-06-14,14.55,14.75,14.37,14.45,10108300,7235,276,8331,15697,6,139
7,ASAI3,2022-06-15,14.9,15.65,14.8,15.37,25461900,19106,460,15151,34383,21,313
8,ASAI3,2022-06-17,15.18,15.76,15.12,15.4,14099900,13743,446,15392,29358,42,181
9,ASAI3,2022-06-20,15.63,16.09,15.4,15.84,7611300,6591,468,9111,15824,122,224
10,ASAI3,2022-06-21,15.97,16.24,15.38,15.41,9398400,11913,416,10924,22991,51,211
11,ASAI3,2022-06-22,15.27,15.71,14.8,14.82,8791300,8145,665,11068,19421,227,230
12,ASAI3,2022-06-23,14.94,15.47,14.94,15.26,3851900,4556,338,8292,13030,2,154
13,ASAI3,2022-06-24,15.43,15.43,14.8,14.93,5803600,9639,288,8004,17787,3,141
14,ASAI3,2022-06-27,15.01,15.05,14.64,14.68,8041800,9313,312,9083,18564,6,138
15,ASAI3,2022-06-28,14.78,15.04,14.5,14.62,7081400,9539,229,14600,24257,7,104
16,ASAI3,2022-06-29,14.72,14.72,14.11,14.26,8408900,11093,273,8105,19348,5,118
17,ASAI3,2022-06-30,14.1,14.41,13.85,14.2,10650900,11038,318,12495,23752,8,91
18,ASAI3,2022-07-01,14.2,14.83,14.06,14.74,10271400,8916,286,9072,18178,3,93
19,ASAI3,2022-07-04,14.49,14.68,14.29,14.29,1980900,1690,173,3937,5739,0,61
20,ASAI3,2022-07-05,14.19,14.73,13.98,14.6,7354200,7896,416,15284,23504,1,91
21,ASAI3,2022-07-06,14.53,15.19,14.45,15.03,11107300,8468,298,8165,16795,8,128
22,ASAI3,2022-07-07,15.05,15.52,15.02,15.25,6763400,8907,273,8319,17384,3,112
23,ASAI3,2022-07-08,15.31,15.39,14.96,15.29,3792400,4275,204,6067,10476,1,69
24,ASAI3,2022-07-11,15.13,15.46,15.08,15.38,3654100,4031,207,5070,9219,6,83
25,ASAI3,2022-07-12,15.37,15.54,15.15,15.33,4929100,9226,257,7484,16829,2,136
26,ASAI3,2022-07-13,15.15,15.59,14.99,15.35,3964800,7252,266,7229,14606,1,140
27,ASAI3,2022-07-14,15.14,15.57,15.07,15.26,8175300,8145,344,6068,14381,5,171
28,ASAI3,2022-07-15,15.44,15.74,15.12,15.57,3973400,7913,246,6705,14728,1,135
29,ASAI3,2022-07-18,15.65,15.77,15.36,15.39,3805700,3997,255,4138,8275,0,115
30,ASAI3,2022-07-19,15.48,15.68,15.28,15.53,3342100,6561,254,4081,10775,0,121
31,ASAI3,2022-07-20,15.46,15.68,15.13,15.34,5599700,6785,274,6883,13794,2,146
32,ASAI3,2022-07-21,15.31,15.52,15.16,15.42,4662200,5369,200,6203,11692,3,77
33,ASAI3,2022-07-22,15.41,15.72,15.35,15.7,3071000,5718,228,5852,11693,0,105
34,ASAI3,2022-07-25,15.79,16.02,15.48,15.51,6226600,7290,310,9744,17185,1,158
35,ASAI3,2022-07-26,15.39,15.61,15.33,15.53,3874000,4560,184,7078,11755,0,67
36,ASAI3,2022-07-27,15.62,16.54,15.61,16.5,22102600,17916,902,18393,36478,29,704
37,ASAI3,2022-07-28,16.52,16.75,15.9,16.23,25902000,25782,1010,17148,43086,63,791
38,ASAI3,2022-07-29,16.19,16.26,15.84,15.84,15825800,12311,445,11085,23579,7,255
39,ASAI3,2022-08-01,15.51,15.99,15.42,15.62,9649400,13183,433,14331,27736,2,209
40,ASAI3,2022-08-02,15.62,15.79,15.37,15.74,7865200,10556,308,12911,23625,6,144
41,ASAI3,2022-08-03,15.7,16.61,15.64,16.48,9465300,13461,537,10143,23767,39,335
42,ASAI3,2022-08-08,17.16,17.53,16.88,17.5,10381400,12008,418,8810,21004,5,227
43,ASAI3,2022-08-09,17.29,17.52,17.14,17.34,6314800,6495,281,15681,22327,4,126
44,ASAI3,2022-08-10,17.82,17.86,17.37,17.49,6533000,17833,434,8464,26579,4,148
45,ASAI3,2022-08-12,17.82,18.32,17.71,17.97,11729000,10298,359,7394,17862,7,182
46,ASAI3,2022-08-15,17.85,18.34,17.71,18.11,7999500,15847,349,17117,33089,0,224
47,ASAI3,2022-08-16,18.19,18.3,17.85,18.06,4828900,5475,245,6855,12471,4,100
48,ASAI3,2022-08-17,17.97,18.19,17.82,17.86,8548600,10597,211,9990,20707,13,78
49,ASAI3,2022-08-18,18.0,18.26,17.95,18.06,13968800,12888,301,11145,24182,22,130
50,ASAI3,2022-08-19,18.12,18.24,17.43,17.77,7571900,9588,213,12021,21731,5,86
51,ASAI3,2022-08-22,17.63,18.12,17.46,18.04,10077700,8609,1580,9416,18150,1343,112
52,ASAI3,2022-08-23,18.16,18.47,17.76,17.86,12142000,14196,397,8978,23324,11,236
53,ASAI3,2022-08-24,17.8,17.92,17.64,17.7,5807200,7038,212,7790,14962,5,73
54,ASAI3,2022-08-25,17.85,17.98,17.63,17.9,6074000,8735,238,6801,15641,4,129
55,ASAI3,2022-08-26,17.96,18.08,17.76,17.98,3647900,6710,168,3879,10692,3,62
56,ASAI3,2022-08-29,17.95,18.67,17.85,18.3,7263100,19262,534,5864,25262,4,394
57,ASAI3,2022-08-30,18.36,18.64,18.22,18.3,6440300,15320,303,8738,24187,1,173
58,ASAI3,2022-08-31,18.42,18.67,18.18,18.49,9759800,16568,404,11847,28625,27,167
59,ASAI3,2022-09-01,18.49,18.94,18.39,18.84,12942800,16824,660,14755,31817,3,419
60,ASAI3,2022-09-02,18.9,19.25,18.64,18.99,12423600,11613,527,8894,20766,6,262
61,ASAI3,2022-09-05,19.09,19.63,18.81,19.51,11861400,14926,4522,9189,24315,3887,435
62,ASAI3,2022-09-06,19.4,19.55,19.03,19.51,7863100,7581,338,12003,19722,4,196
63,ASAI3,2022-09-08,19.63,19.67,19.03,19.18,6653400,6068,392,8538,14791,2,205
64,ASAI3,2022-09-09,19.18,19.33,18.77,18.8,8752700,7263,413,14179,21613,7,235
65,ASAI3,2022-09-12,18.95,19.08,18.38,18.46,10149200,11852,508,15569,27596,6,327
