,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ATMP3,2022-06-06,1.78,1.78,1.66,1.66,27200,25,0,27,52,0,0
1,ATMP3,2022-06-07,1.68,1.71,1.53,1.56,78500,84,0,78,162,0,0
2,ATMP3,2022-06-08,1.4,1.89,1.39,1.62,258500,222,0,224,446,0,0
3,ATMP3,2022-06-09,1.64,1.64,1.56,1.56,10100,12,0,22,34,0,0
4,ATMP3,2022-06-10,1.57,1.63,1.52,1.53,16300,7,0,9,16,0,0
5,ATMP3,2022-06-13,1.52,1.52,1.38,1.48,54700,37,0,21,58,0,0
6,ATMP3,2022-06-14,1.43,1.45,1.25,1.25,19500,24,0,25,49,0,0
7,ATMP3,2022-06-15,1.35,1.35,1.12,1.12,70600,120,0,59,179,0,0
8,ATMP3,2022-06-17,1.13,1.24,1.0,1.07,247400,155,0,149,304,0,0
9,ATMP3,2022-06-20,1.15,1.17,1.06,1.06,46100,31,0,78,109,0,0
10,ATMP3,2022-06-21,1.14,1.14,1.06,1.06,18400,17,0,28,45,0,0
11,ATMP3,2022-06-22,1.07,1.1,0.99,1.03,28100,18,0,34,52,0,0
12,ATMP3,2022-06-23,1.11,1.11,1.04,1.04,10700,12,0,16,28,0,0
13,ATMP3,2022-06-24,1.11,1.14,1.05,1.07,25300,27,0,17,44,0,0
14,ATMP3,2022-06-27,1.11,1.22,1.11,1.18,52200,53,1,21,75,0,0
15,ATMP3,2022-06-28,1.18,1.31,1.06,1.07,122500,80,8,132,220,0,0
16,ATMP3,2022-06-29,1.11,1.15,1.05,1.05,68000,28,0,63,91,0,0
17,ATMP3,2022-06-30,1.06,1.06,0.98,1.03,59600,23,0,67,90,0,0
18,ATMP3,2022-07-01,1.04,1.05,1.02,1.02,16100,8,0,21,29,0,0
19,ATMP3,2022-07-04,1.06,1.08,1.03,1.04,13300,26,0,12,38,0,0
20,ATMP3,2022-07-05,1.04,1.04,1.0,1.03,22500,7,0,42,49,0,0
21,ATMP3,2022-07-06,1.01,1.16,1.0,1.14,55000,48,0,21,69,0,0
22,ATMP3,2022-07-07,1.08,1.18,1.08,1.14,21700,34,0,29,63,0,0
23,ATMP3,2022-07-08,1.12,1.15,1.1,1.15,14500,11,0,17,28,0,0
24,ATMP3,2022-07-11,1.09,1.14,1.07,1.1,13900,9,0,21,30,0,0
25,ATMP3,2022-07-12,1.1,1.11,1.06,1.11,9400,8,0,23,31,0,0
26,ATMP3,2022-07-13,1.08,1.09,1.05,1.05,26800,30,0,27,57,0,0
27,ATMP3,2022-07-14,1.08,1.08,1.0,1.02,40700,34,0,34,68,0,0
28,ATMP3,2022-07-15,1.0,1.05,1.0,1.03,8500,10,0,11,21,0,0
29,ATMP3,2022-07-18,1.08,1.08,1.01,1.01,24300,19,0,15,34,0,0
30,ATMP3,2022-07-19,1.02,1.05,0.99,1.05,56600,38,0,40,78,0,0
31,ATMP3,2022-07-20,1.04,1.48,1.01,1.36,378900,321,0,195,516,0,0
32,ATMP3,2022-07-21,1.31,1.41,1.2,1.35,216600,176,0,175,351,0,0
33,ATMP3,2022-07-22,1.4,1.41,1.21,1.24,113200,64,0,103,167,0,0
34,ATMP3,2022-07-25,1.3,1.32,1.21,1.3,83100,48,0,67,115,0,0
35,ATMP3,2022-07-26,1.34,1.34,1.2,1.2,44700,36,0,36,72,0,0
36,ATMP3,2022-07-27,1.21,1.27,1.21,1.22,65200,39,0,34,73,0,0
37,ATMP3,2022-07-28,1.23,1.24,1.21,1.22,31100,18,0,39,57,0,0
38,ATMP3,2022-07-29,1.22,1.27,1.21,1.22,20300,14,0,15,29,0,0
39,ATMP3,2022-08-01,1.22,1.24,1.21,1.23,21400,5,1,19,25,0,0
40,ATMP3,2022-08-02,1.23,1.23,1.17,1.18,21000,39,0,18,57,0,0
41,ATMP3,2022-08-03,1.18,1.21,1.17,1.21,7400,9,0,19,28,0,0
42,ATMP3,2022-08-08,1.32,1.4,1.29,1.35,51500,57,4,15,76,0,0
43,ATMP3,2022-08-09,1.39,1.68,1.27,1.6,130100,145,0,101,246,0,0
44,ATMP3,2022-08-10,1.6,1.8,1.52,1.6,117000,123,6,122,251,0,0
45,ATMP3,2022-08-12,1.6,1.69,1.55,1.57,37300,25,10,38,73,0,0
46,ATMP3,2022-08-15,1.65,1.68,1.55,1.61,34100,30,0,33,63,0,0
47,ATMP3,2022-08-16,1.57,1.64,1.57,1.59,16100,17,0,25,42,0,0
48,ATMP3,2022-08-17,1.59,1.67,1.56,1.6,42100,37,0,28,65,0,0
49,ATMP3,2022-08-18,1.57,1.64,1.57,1.6,17900,14,0,19,33,0,0
50,ATMP3,2022-08-19,1.58,1.67,1.54,1.58,16100,21,0,19,40,0,0
51,ATMP3,2022-08-22,1.58,1.65,1.5,1.53,34700,26,0,29,55,0,0
52,ATMP3,2022-08-23,1.55,1.6,1.52,1.52,32100,23,0,22,45,0,0
53,ATMP3,2022-08-24,1.55,1.61,1.52,1.53,20700,21,0,18,39,0,0
54,ATMP3,2022-08-25,1.55,1.58,1.55,1.57,3400,7,0,6,13,0,0
55,ATMP3,2022-08-26,1.59,1.59,1.54,1.56,800,2,0,5,7,0,0
56,ATMP3,2022-08-29,1.54,1.58,1.52,1.52,30600,11,0,27,38,0,0
57,ATMP3,2022-08-30,1.53,1.53,1.51,1.51,16600,3,0,8,11,0,0
58,ATMP3,2022-08-31,1.5,1.5,1.46,1.46,32800,24,0,26,50,0,0
59,ATMP3,2022-09-01,1.46,1.46,1.36,1.45,12900,11,1,12,24,0,0
60,ATMP3,2022-09-02,1.5,1.52,1.5,1.51,4500,6,0,14,20,0,0
61,ATMP3,2022-09-05,1.51,1.63,1.51,1.54,31100,15,0,15,30,0,0
62,ATMP3,2022-09-06,1.46,1.6,1.46,1.5,22200,12,5,10,27,0,0
63,ATMP3,2022-09-08,1.47,1.5,1.41,1.43,13900,12,0,28,40,0,0
64,ATMP3,2022-09-09,1.45,1.51,1.44,1.44,3500,4,0,11,15,0,0
65,ATMP3,2022-09-12,1.57,1.6,1.46,1.49,32100,25,1,38,64,0,0
66,ATMP3,2022-09-13,1.45,1.49,1.42,1.44,5100,8,0,17,25,0,0
67,ATMP3,2022-09-14,1.44,1.48,1.44,1.46,6900,11,1,8,20,0,0
68,ATMP3,2022-09-15,1.45,1.45,1.42,1.44,2100,9,0,3,12,0,0
69,ATMP3,2022-09-16,1.4,1.42,1.4,1.4,3000,9,0,5,14,0,0
70,ATMP3,2022-09-19,1.39,1.4,1.38,1.38,19100,16,0,11,27,0,0
71,ATMP3,2022-09-20,1.37,1.4,1.33,1.33,23300,22,0,30,52,0,0
72,ATMP3,2022-09-21,1.39,1.41,1.33,1.33,13400,9,3,21,33,0,0
73,ATMP3,2022-09-22,1.38,1.38,1.31,1.31,14900,14,0,28,42,0,0
74,ATMP3,2022-09-23,1.32,1.47,1.32,1.42,22300,54,0,15,69,0,0
75,ATMP3,2022-09-26,1.42,1.42,1.32,1.39,18600,23,0,28,51,0,0
