,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ATOM3,2022-06-06,2.7,2.74,2.61,2.61,42400,43,0,39,82,0,0
1,ATOM3,2022-06-07,2.62,2.73,2.62,2.7,21800,27,0,19,46,0,0
2,ATOM3,2022-06-08,2.69,2.72,2.59,2.72,54800,33,0,50,83,0,0
3,ATOM3,2022-06-09,2.64,2.65,2.6,2.62,142000,29,41,131,201,0,0
4,ATOM3,2022-06-10,2.5,2.62,2.4,2.56,736000,502,0,158,660,0,0
5,ATOM3,2022-06-13,2.55,2.9,2.55,2.75,126800,173,0,96,269,0,0
6,ATOM3,2022-06-14,2.74,2.87,2.65,2.73,100500,43,0,36,79,0,0
7,ATOM3,2022-06-15,2.72,2.85,2.66,2.7,57200,32,1,29,62,0,0
8,ATOM3,2022-06-17,2.73,2.78,2.69,2.7,6600,11,1,19,31,0,0
9,ATOM3,2022-06-20,2.69,2.69,2.6,2.61,20600,14,0,35,49,0,0
10,ATOM3,2022-06-21,2.67,2.67,2.55,2.61,7500,11,0,27,38,0,0
11,ATOM3,2022-06-22,2.59,2.66,2.53,2.62,8700,13,0,22,35,0,0
12,ATOM3,2022-06-23,2.7,2.7,2.57,2.61,15800,21,0,21,42,0,0
13,ATOM3,2022-06-24,2.6,2.62,2.6,2.61,1300,2,0,7,9,0,0
14,ATOM3,2022-06-27,2.64,2.68,2.57,2.57,10100,14,1,13,28,0,0
15,ATOM3,2022-06-28,2.6,2.63,2.55,2.55,6200,18,0,11,29,0,0
16,ATOM3,2022-06-29,2.59,2.65,2.56,2.64,14800,30,1,25,56,0,0
17,ATOM3,2022-06-30,2.67,2.87,2.59,2.61,29800,38,0,49,87,0,0
18,ATOM3,2022-07-01,2.64,2.66,2.57,2.61,26400,31,0,27,58,0,0
19,ATOM3,2022-07-04,2.57,2.69,2.57,2.59,6300,22,0,8,30,0,0
20,ATOM3,2022-07-05,2.68,2.68,2.56,2.62,7000,6,1,10,17,0,0
21,ATOM3,2022-07-06,2.62,2.67,2.58,2.62,3400,8,0,6,14,0,0
22,ATOM3,2022-07-07,2.68,2.68,2.61,2.62,3700,12,0,5,17,0,0
23,ATOM3,2022-07-08,2.6,2.62,2.59,2.62,2700,6,0,10,16,0,0
24,ATOM3,2022-07-11,2.62,2.65,2.52,2.52,20200,28,0,102,130,0,0
25,ATOM3,2022-07-12,2.55,2.56,2.37,2.47,78500,65,0,120,185,0,0
