,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AURE3,2022-06-06,13.81,13.93,13.35,13.58,3175000,2916,70,3924,6907,3,0
1,AURE3,2022-06-07,13.52,13.89,13.45,13.84,2760900,3358,84,5181,8622,1,0
2,AURE3,2022-06-08,13.77,14.29,13.71,14.1,2847500,6507,100,4164,10769,2,0
3,AURE3,2022-06-09,14.13,14.17,13.87,14.15,1365200,1991,77,1969,4037,0,0
4,AURE3,2022-06-10,14.03,14.03,13.27,13.43,4538500,2675,313,4133,6888,233,0
5,AURE3,2022-06-13,13.29,13.29,12.59,12.81,7473300,3373,91,6218,9673,9,0
6,AURE3,2022-06-14,12.79,13.37,12.79,13.24,4058400,8122,92,8246,16459,1,0
7,AURE3,2022-06-15,13.47,13.85,13.33,13.83,3153700,4942,85,5228,10255,0,0
8,AURE3,2022-06-17,13.72,13.79,13.2,13.2,8202900,4886,553,4213,9317,335,0
9,AURE3,2022-06-20,13.37,13.66,13.24,13.55,1649800,2913,60,3299,6271,1,0
10,AURE3,2022-06-21,13.65,13.68,13.43,13.53,1455700,3097,91,2871,6056,3,0
11,AURE3,2022-06-22,13.45,13.83,13.32,13.71,1196200,2504,83,2940,5527,0,0
12,AURE3,2022-06-23,13.89,13.91,13.47,13.59,3444100,2274,118,2016,4407,1,0
13,AURE3,2022-06-24,13.67,13.67,13.31,13.41,807500,1985,75,1886,3946,0,0
14,AURE3,2022-06-27,13.4,13.47,13.19,13.34,1661400,2439,80,3342,5861,0,0
15,AURE3,2022-06-28,13.44,13.87,13.37,13.56,5362200,5835,63,4507,10404,1,0
16,AURE3,2022-06-29,13.57,13.64,13.45,13.63,1613700,3410,83,3569,7062,0,0
17,AURE3,2022-06-30,13.45,13.85,13.39,13.63,2634600,5479,974,4367,9923,897,0
18,AURE3,2022-07-01,13.69,13.84,13.46,13.59,2696600,6912,44,3876,10832,0,0
19,AURE3,2022-07-04,13.59,13.77,13.44,13.58,1437100,3417,80,2690,6187,0,0
20,AURE3,2022-07-05,13.5,13.56,13.4,13.47,1722600,2453,105,2248,4806,0,0
21,AURE3,2022-07-06,13.5,13.68,13.4,13.54,1826800,4519,90,3994,8602,1,0
22,AURE3,2022-07-07,13.63,14.25,13.56,14.11,2931100,8316,99,3405,11819,1,0
23,AURE3,2022-07-08,14.05,14.44,14.05,14.24,1922000,4196,83,4053,8332,0,0
24,AURE3,2022-07-11,14.15,14.28,13.83,14.12,1881000,3258,73,2437,5766,2,0
25,AURE3,2022-07-12,14.18,14.33,14.04,14.23,1673000,4483,61,2635,7178,1,0
26,AURE3,2022-07-13,14.28,14.34,14.06,14.27,2559400,2991,76,2812,5876,3,0
27,AURE3,2022-07-14,14.1,14.27,13.85,13.94,1968500,1834,86,2812,4731,1,0
28,AURE3,2022-07-15,14.01,14.02,13.54,13.8,2342600,3329,93,3103,6522,3,0
29,AURE3,2022-07-18,13.8,14.05,13.52,13.69,1463400,3177,56,4310,7543,0,0
30,AURE3,2022-07-19,13.88,14.18,13.77,14.17,2890800,4016,513,4086,8205,410,0
31,AURE3,2022-07-20,14.15,14.5,14.11,14.4,2285400,3592,80,1680,5351,1,0
32,AURE3,2022-07-21,14.33,14.4,14.12,14.25,1092700,1312,105,1465,2882,0,0
33,AURE3,2022-07-22,14.39,14.52,14.21,14.45,1975500,3173,79,2239,5491,0,0
34,AURE3,2022-07-25,14.58,14.62,14.26,14.32,1962700,2242,85,4407,6733,1,0
35,AURE3,2022-07-26,14.29,14.53,14.26,14.36,1661400,3124,88,2945,6156,1,0
36,AURE3,2022-07-27,14.41,14.67,14.24,14.32,3096400,4296,1217,5133,9485,1161,0
37,AURE3,2022-07-28,14.44,14.47,13.82,13.99,2911900,2962,111,3829,6902,0,0
38,AURE3,2022-07-29,14.0,14.47,13.43,14.14,13059200,6559,111,8663,15316,17,0
39,AURE3,2022-08-01,14.12,14.31,13.77,13.93,3205600,4985,103,5768,10855,1,0
40,AURE3,2022-08-02,13.96,14.13,13.69,13.87,2371400,3551,89,3199,6837,2,0
41,AURE3,2022-08-03,13.83,14.07,13.67,13.89,3133200,4427,105,3045,7571,6,0
42,AURE3,2022-08-08,14.08,14.18,13.88,14.12,2949000,4210,69,6245,10522,2,0
43,AURE3,2022-08-09,14.02,14.12,13.63,13.96,1743500,3462,75,3386,6923,0,0
44,AURE3,2022-08-10,13.95,14.26,13.9,14.1,2933600,2342,82,2160,4579,5,0
45,AURE3,2022-08-12,13.91,14.21,13.77,14.19,2648400,4231,1370,2703,6979,1325,0
46,AURE3,2022-08-15,14.04,14.44,13.95,14.35,3450900,4116,73,3332,7516,5,0
47,AURE3,2022-08-16,14.37,14.42,13.97,14.08,1185300,2207,70,1743,4020,0,0
48,AURE3,2022-08-17,14.03,14.37,13.93,14.27,4396400,3841,82,3095,7014,4,0
49,AURE3,2022-08-18,14.4,14.52,14.17,14.3,2180500,2870,1038,2203,5146,965,0
50,AURE3,2022-08-19,14.25,14.25,14.02,14.19,1667800,2087,60,1951,4098,0,0
51,AURE3,2022-08-22,14.12,14.33,14.02,14.17,1703300,3809,90,2466,6365,0,0
52,AURE3,2022-08-23,14.03,14.39,14.03,14.33,2361000,4445,291,3061,7585,212,0
53,AURE3,2022-08-24,14.33,14.55,14.17,14.17,2116900,3942,978,1833,5865,888,0
54,AURE3,2022-08-25,14.31,14.33,13.98,14.11,2435800,5505,58,2659,8216,6,0
55,AURE3,2022-08-26,14.11,14.27,13.99,14.1,1356300,2323,92,2211,4624,2,0
56,AURE3,2022-08-29,14.07,14.31,13.96,14.15,3615600,3514,69,3299,6878,4,0
57,AURE3,2022-08-30,14.19,14.25,13.96,14.03,1284900,2137,59,1845,4039,2,0
58,AURE3,2022-08-31,14.07,15.42,14.0,15.2,16560000,11095,1101,10613,21895,914,0
59,AURE3,2022-09-01,15.5,15.52,14.58,14.87,4716400,6305,152,6924,13378,3,0
60,AURE3,2022-09-02,14.99,15.06,14.76,15.0,3674700,5200,674,4415,9791,498,0
61,AURE3,2022-09-05,15.02,15.22,14.82,15.19,1899700,3008,87,3234,6327,2,0
62,AURE3,2022-09-06,15.19,15.2,14.68,14.71,1316500,2723,119,2766,5608,0,0
63,AURE3,2022-09-08,14.84,14.86,14.52,14.67,2598100,3855,112,4725,8692,0,0
64,AURE3,2022-09-09,14.7,14.7,14.26,14.46,2426300,2599,76,4622,7297,0,0
65,AURE3,2022-09-12,14.55,14.87,14.5,14.67,2097200,3877,77,3573,7526,1,0
66,AURE3,2022-09-13,14.42,14.6,14.26,14.35,1768400,3000,54,3982,7035,1,0
67,AURE3,2022-09-14,14.3,14.58,14.08,14.33,1856400,3771,54,3294,7119,0,0
68,AURE3,2022-09-15,14.25,14.39,14.19,14.25,1523500,1847,1040,3000,4904,983,0
69,AURE3,2022-09-16,14.33,14.5,14.08,14.44,3523100,5461,130,4853,10444,0,0
70,AURE3,2022-09-19,14.19,14.6,14.19,14.41,1858600,4179,72,3459,7708,2,0
71,AURE3,2022-09-20,14.41,14.5,14.15,14.25,1310600,2506,83,2551,5140,0,0
72,AURE3,2022-09-21,14.21,14.34,13.96,14.04,2806100,4169,76,5838,10082,1,0
73,AURE3,2022-09-22,14.29,14.35,14.12,14.3,1855600,2644,79,3945,6668,0,0
74,AURE3,2022-09-23,14.3,14.43,14.14,14.32,2444100,1982,87,2176,4245,0,0
75,AURE3,2022-09-26,14.3,14.31,13.9,13.97,1884300,1881,91,6894,8866,0,0
76,AURE3,2022-09-27,14.1,14.1,13.75,13.92,2130200,2345,92,8080,10517,0,0
77,AURE3,2022-09-28,13.99,14.09,13.69,13.72,4219700,3631,88,4773,8487,5,0
78,AURE3,2022-09-29,13.65,13.83,13.59,13.67,2222600,3300,85,3593,6978,0,0
79,AURE3,2022-09-30,13.67,13.72,13.53,13.58,4019300,2609,386,5759,8469,285,0
80,AURE3,2022-10-03,13.72,14.3,13.57,14.29,2250700,4167,78,4056,8301,0,0
81,AURE3,2022-10-04,14.31,14.46,14.14,14.14,2406500,5803,74,5085,10960,2,0
82,AURE3,2022-10-05,14.31,14.31,13.86,13.94,5244200,5877,1549,7258,13211,1473,0
83,AURE3,2022-10-06,14.08,14.2,13.9,14.03,3101100,2900,70,3110,6078,2,0
84,AURE3,2022-10-07,14.02,14.24,13.97,14.07,7588600,5252,75,4024,9347,4,0
85,AURE3,2022-10-10,14.14,14.5,14.06,14.14,2000500,4293,70,4848,9211,0,0
86,AURE3,2022-10-11,14.1,14.45,14.04,14.33,1834300,4009,65,3506,7580,0,0
87,AURE3,2022-10-13,14.2,14.3,13.88,13.93,3739400,6072,635,5746,11932,521,0
88,AURE3,2022-10-14,14.01,14.25,13.81,13.82,3601200,5627,67,5978,11672,0,0
89,AURE3,2022-10-17,13.87,14.3,13.77,14.19,6971700,6158,982,8514,14774,880,0
90,AURE3,2022-10-18,14.46,14.52,14.13,14.35,2646800,5277,69,4284,9626,4,0
91,AURE3,2022-10-19,14.41,14.46,14.04,14.08,5903200,8800,834,10710,19710,634,0
92,AURE3,2022-10-20,13.45,14.02,13.27,13.8,7194300,8738,256,9438,18432,0,0
93,AURE3,2022-10-21,13.73,14.26,13.73,14.2,9489900,5725,244,4350,10319,0,0
94,AURE3,2022-10-24,14.18,14.62,14.18,14.33,2219500,2869,125,3936,6930,0,0
95,AURE3,2022-10-25,14.35,14.69,14.28,14.5,2935500,3870,99,5603,9568,4,0
96,AURE3,2022-10-26,14.6,14.62,14.3,14.4,4386900,4066,118,5993,10171,6,0
97,AURE3,2022-10-27,14.59,14.85,14.39,14.46,4207900,4539,107,6355,11000,1,0
98,AURE3,2022-10-28,14.46,14.86,14.33,14.7,2887600,4829,73,4451,9351,2,0
99,AURE3,2022-10-31,14.34,14.97,14.25,14.7,2644000,5809,96,5707,11612,0,0
100,AURE3,2022-11-01,14.91,15.07,14.49,14.7,3576300,5823,100,5971,11893,1,0
101,AURE3,2022-11-03,14.68,15.0,14.51,14.92,2959500,3464,89,5331,8884,0,0
102,AURE3,2022-11-04,15.0,15.16,14.66,14.86,2161500,3103,61,5608,8770,2,0
103,AURE3,2022-11-07,14.82,14.88,14.2,14.3,3276500,3539,1288,6023,9659,1191,0
104,AURE3,2022-11-08,14.19,14.39,14.07,14.2,2450400,3720,92,4411,8220,3,0
105,AURE3,2022-11-09,14.23,14.32,14.1,14.2,1977800,2257,76,3244,5577,0,0
106,AURE3,2022-11-10,14.1,14.18,13.4,13.67,4341400,6484,88,6717,13289,0,0
107,AURE3,2022-11-14,13.97,14.0,13.68,13.83,1203700,3031,70,2141,5242,0,0
108,AURE3,2022-11-17,13.65,13.79,13.41,13.72,5834900,5861,81,7126,13064,4,0
109,AURE3,2022-11-18,13.8,14.03,13.5,13.72,3568700,6805,73,4155,11032,1,0
110,AURE3,2022-11-21,13.84,14.46,13.8,14.4,4939800,7343,81,4380,11800,4,0
111,AURE3,2022-11-22,14.42,14.58,13.79,13.85,3523700,4322,89,7577,11986,2,0
112,AURE3,2022-11-23,13.8,13.81,13.43,13.49,4669400,2812,98,2703,5606,7,0
113,AURE3,2022-11-24,13.49,14.16,13.49,13.98,1852400,4086,71,4784,8928,13,0
114,AURE3,2022-11-25,13.98,14.09,13.68,13.83,1631500,2700,55,3865,6620,0,0
