,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AVLL3,2022-06-06,24.84,24.84,20.99,20.99,7000,1,2,4,6,1,0
1,AVLL3,2022-06-07,22.02,24.8,21.0,24.8,1000,3,1,3,7,0,0
2,AVLL3,2022-06-08,24.51,24.51,22.0,22.61,700,4,0,3,7,0,0
3,AVLL3,2022-06-09,21.83,22.99,21.5,22.99,1300,9,0,4,13,0,0
4,AVLL3,2022-06-10,21.62,21.63,20.01,20.6,1200,4,1,7,12,0,0
5,AVLL3,2022-06-13,19.01,19.01,17.5,17.84,1900,6,0,8,14,0,0
6,AVLL3,2022-06-14,18.78,20.0,18.02,20.0,700,5,1,1,7,0,0
7,AVLL3,2022-06-15,21.99,21.99,21.99,21.99,100,0,1,0,1,0,0
8,AVLL3,2022-06-17,23.99,24.4,23.99,24.4,2700,0,5,0,5,0,0
9,AVLL3,2022-06-20,25.0,25.0,24.6,24.6,400,1,1,0,2,0,0
10,AVLL3,2022-06-21,25.0,25.0,25.0,25.0,300,0,1,0,1,0,0
11,AVLL3,2022-06-22,25.0,25.0,25.0,25.0,6400,0,3,0,3,0,0
12,AVLL3,2022-06-23,23.0,23.99,23.0,23.99,1300,6,0,4,10,0,0
13,AVLL3,2022-06-24,25.0,25.0,21.99,21.99,1100,4,4,2,10,0,0
14,AVLL3,2022-06-27,19.6,19.95,19.6,19.61,7200,26,0,1,27,0,0
15,AVLL3,2022-06-28,20.49,20.49,20.48,20.48,900,8,1,0,9,0,0
16,AVLL3,2022-06-29,21.0,21.0,18.5,18.79,8000,8,0,11,19,0,0
17,AVLL3,2022-06-30,18.79,19.9,18.79,19.9,3500,2,6,1,9,0,0
18,AVLL3,2022-07-04,21.0,21.0,21.0,21.0,300,3,0,0,3,0,0
19,AVLL3,2022-07-05,18.51,18.53,18.51,18.53,200,2,0,0,2,0,0
20,AVLL3,2022-07-11,20.99,20.99,20.89,20.89,300,2,0,1,3,0,0
21,AVLL3,2022-07-12,21.0,21.0,20.0,20.0,900,2,5,1,8,0,0
22,AVLL3,2022-07-13,20.99,21.0,19.3,19.51,1000,7,2,0,9,0,0
23,AVLL3,2022-07-14,20.99,20.99,20.99,20.99,500,0,2,1,3,0,0
24,AVLL3,2022-07-15,21.0,22.0,21.0,22.0,500,0,4,0,4,0,0
25,AVLL3,2022-07-18,20.0,20.0,19.49,19.49,700,0,4,2,6,0,0
26,AVLL3,2022-07-19,19.5,19.5,19.36,19.36,800,0,0,3,3,0,0
27,AVLL3,2022-07-20,21.0,21.0,19.5,19.5,6400,4,1,6,11,0,0
28,AVLL3,2022-07-21,19.52,19.52,19.35,19.35,500,0,3,2,5,0,0
29,AVLL3,2022-07-25,18.29,18.29,18.29,18.29,400,0,3,0,3,0,0
30,AVLL3,2022-07-26,19.01,19.01,19.01,19.01,11800,0,2,0,2,0,0
31,AVLL3,2022-07-27,19.01,20.98,19.01,20.98,1900,1,4,0,5,0,0
32,AVLL3,2022-07-28,19.0,19.0,18.99,18.99,2800,2,7,6,15,0,0
33,AVLL3,2022-07-29,19.0,19.0,19.0,19.0,700,0,3,0,3,0,0
34,AVLL3,2022-08-09,18.5,18.5,18.5,18.5,300,0,2,0,2,0,0
35,AVLL3,2022-08-10,20.0,20.0,20.0,20.0,8400,0,4,0,4,0,0
36,AVLL3,2022-08-16,19.79,21.0,19.79,21.0,800,1,1,0,2,0,0
37,AVLL3,2022-08-23,22.0,22.0,22.0,22.0,300,3,0,0,3,0,0
38,AVLL3,2022-08-26,22.0,22.0,22.0,22.0,5700,0,1,0,1,0,0
39,AVLL3,2022-08-30,20.41,20.41,20.41,20.41,2600,0,8,0,8,0,0
