,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AZEV3,2022-06-06,3.49,3.61,3.34,3.34,22400,33,0,43,76,0,0
1,AZEV3,2022-06-07,3.36,3.46,3.34,3.46,13800,11,0,15,26,0,0
2,AZEV3,2022-06-08,3.43,3.43,3.21,3.38,26200,35,0,22,57,0,0
3,AZEV3,2022-06-09,3.45,3.45,3.25,3.25,8700,23,0,13,36,0,0
4,AZEV3,2022-06-10,3.3,3.49,3.17,3.24,70200,52,0,48,100,0,0
5,AZEV3,2022-06-13,3.22,3.36,3.09,3.22,29800,55,0,46,101,0,0
6,AZEV3,2022-06-14,3.28,3.3,3.09,3.22,33600,53,0,59,112,0,0
7,AZEV3,2022-06-15,3.2,3.3,3.08,3.25,7100,15,0,7,22,0,0
8,AZEV3,2022-06-17,3.29,3.29,2.97,3.0,71800,52,0,54,106,0,0
9,AZEV3,2022-06-20,3.03,3.24,2.9,2.92,14400,24,0,24,48,0,0
10,AZEV3,2022-06-21,3.0,3.0,2.84,2.97,19000,32,0,18,50,0,0
11,AZEV3,2022-06-22,3.04,3.04,2.8,3.02,105400,107,0,41,148,0,0
12,AZEV3,2022-06-23,3.04,3.25,2.96,3.08,96700,128,0,44,172,0,0
13,AZEV3,2022-06-24,3.14,3.14,3.0,3.09,31000,50,0,32,82,0,0
14,AZEV3,2022-06-27,3.15,3.3,3.09,3.18,23600,39,1,29,69,0,0
15,AZEV3,2022-06-28,3.25,3.35,3.02,3.14,49400,78,0,56,134,0,0
16,AZEV3,2022-06-29,3.25,3.28,2.96,3.0,144200,125,1,112,238,0,0
17,AZEV3,2022-06-30,3.07,3.07,2.87,2.99,61800,81,0,65,146,0,0
18,AZEV3,2022-07-01,2.99,3.0,2.93,3.0,17500,38,0,13,51,0,0
19,AZEV3,2022-07-04,3.08,3.08,2.87,3.0,28600,40,0,25,65,0,0
20,AZEV3,2022-07-05,3.01,3.04,2.9,2.94,33600,54,0,26,80,0,0
21,AZEV3,2022-07-06,2.93,3.0,2.91,2.97,50700,64,0,48,112,0,0
22,AZEV3,2022-07-07,3.05,3.45,2.91,3.39,91200,144,0,54,198,0,0
23,AZEV3,2022-07-08,3.45,3.45,3.23,3.35,46000,116,0,58,174,0,0
