,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,AZUL4,2022-06-06,18.71,18.76,18.01,18.18,5549700,6912,113,7257,14281,1,0
1,AZUL4,2022-06-07,18.09,18.09,17.56,17.62,7420200,5780,185,8803,14767,1,0
2,AZUL4,2022-06-08,17.47,17.83,17.26,17.39,5577200,5547,261,6319,12126,1,0
3,AZUL4,2022-06-09,17.39,17.59,16.43,16.43,8927000,9279,231,9894,19404,0,0
4,AZUL4,2022-06-10,16.21,16.53,15.19,15.33,13391800,10523,297,12722,23542,0,0
5,AZUL4,2022-06-13,14.9,14.95,13.69,13.75,16529100,15253,553,18800,34606,0,0
6,AZUL4,2022-06-14,13.91,14.05,13.17,13.67,12294600,13227,249,15308,28783,1,0
7,AZUL4,2022-06-15,14.06,14.59,13.81,14.21,13245200,13790,254,11711,25749,6,0
8,AZUL4,2022-06-17,13.5,14.41,13.21,14.19,11631900,13247,333,10336,23916,0,0
9,AZUL4,2022-06-20,14.41,14.69,13.63,13.82,6855200,4327,130,5028,9485,0,0
10,AZUL4,2022-06-21,14.14,14.28,13.41,13.52,7521400,7400,215,11494,19108,1,0
11,AZUL4,2022-06-22,13.29,13.88,13.25,13.41,9337700,9202,205,8944,18351,0,0
12,AZUL4,2022-06-23,13.58,13.72,13.26,13.42,7424500,7530,138,6676,14344,0,0
13,AZUL4,2022-06-24,13.66,14.3,13.4,14.1,7677000,9649,182,9559,19389,1,0
14,AZUL4,2022-06-27,14.31,14.39,13.21,13.31,10979300,10025,227,13153,23405,0,0
15,AZUL4,2022-06-28,13.44,13.77,12.95,13.06,15082400,9510,101,12041,21652,0,0
16,AZUL4,2022-06-29,13.11,13.2,12.35,12.65,11462000,7037,109,9729,16874,1,0
17,AZUL4,2022-06-30,12.4,12.79,11.98,12.43,13230400,9496,272,10038,19803,3,0
18,AZUL4,2022-07-01,12.45,12.77,12.1,12.44,12793400,9169,150,9129,18448,0,0
19,AZUL4,2022-07-04,12.38,12.74,12.27,12.3,4527100,2605,115,3437,6157,0,0
20,AZUL4,2022-07-05,12.24,12.39,11.59,12.39,19191600,11833,233,14227,26293,0,0
21,AZUL4,2022-07-06,12.2,12.52,11.61,11.65,16405200,14576,236,15151,29963,0,0
22,AZUL4,2022-07-07,11.92,12.24,11.68,11.76,15024600,8078,283,9607,17967,1,0
23,AZUL4,2022-07-08,11.85,12.72,11.77,12.46,18301900,12345,182,10968,23495,0,0
24,AZUL4,2022-07-11,12.1,12.28,11.46,11.53,13503700,7110,250,11961,19320,1,0
25,AZUL4,2022-07-12,11.6,12.5,11.47,12.35,14673100,14895,171,8651,23717,0,0
26,AZUL4,2022-07-13,12.17,12.6,11.97,12.25,11938600,8746,103,9383,18232,0,0
27,AZUL4,2022-07-14,12.02,12.68,12.0,12.18,9385600,7739,214,6485,14438,0,0
28,AZUL4,2022-07-15,12.37,12.4,11.78,12.15,8531600,6876,241,5962,13079,0,0
29,AZUL4,2022-07-18,12.37,12.89,12.0,12.05,10021400,7468,120,7631,15219,0,0
30,AZUL4,2022-07-19,12.15,12.58,12.15,12.57,10312500,7681,177,7292,15150,0,0
31,AZUL4,2022-07-20,12.47,12.85,12.35,12.43,8970700,6117,141,6958,13216,0,0
32,AZUL4,2022-07-21,12.42,12.49,12.0,12.1,11664600,6079,202,7973,14253,1,0
33,AZUL4,2022-07-22,12.19,12.28,11.48,11.54,16319600,7810,192,12659,20661,0,0
34,AZUL4,2022-07-25,11.66,11.77,11.3,11.43,9446600,9192,159,7978,17329,0,0
35,AZUL4,2022-07-26,11.48,11.51,11.04,11.04,9130300,4687,238,7769,12694,0,0
36,AZUL4,2022-07-27,11.14,11.63,11.14,11.61,9842000,7690,144,5504,13338,0,0
37,AZUL4,2022-07-28,11.46,11.87,11.22,11.81,10799400,7027,138,6850,13991,24,0
38,AZUL4,2022-07-29,11.85,11.93,11.55,11.67,6539000,5923,142,4442,10507,0,0
39,AZUL4,2022-08-01,11.58,12.06,11.43,11.84,8103700,6285,111,6988,13384,0,0
40,AZUL4,2022-08-02,11.65,11.86,11.47,11.52,7303700,5470,222,6908,12600,0,0
41,AZUL4,2022-08-03,11.6,12.24,11.54,12.14,9044900,7456,144,5582,13181,1,0
42,AZUL4,2022-08-08,13.64,14.25,13.48,14.24,9840600,10301,121,9865,20286,1,0
43,AZUL4,2022-08-09,14.24,14.45,13.48,13.77,8611600,8024,179,10287,18488,2,0
44,AZUL4,2022-08-10,14.1,14.84,14.06,14.62,9571000,10996,248,8114,19354,4,0
45,AZUL4,2022-08-12,15.01,16.7,15.01,16.6,16433500,15605,186,13133,28924,0,0
46,AZUL4,2022-08-15,16.26,17.6,16.02,17.49,11414400,8993,121,12875,21989,0,0
47,AZUL4,2022-08-16,17.49,17.74,16.86,17.27,9338300,8567,167,10815,19547,2,0
48,AZUL4,2022-08-17,17.04,17.95,16.9,17.8,10820100,12565,186,10194,22945,0,0
49,AZUL4,2022-08-18,17.96,17.97,16.84,17.24,8804100,8642,240,9389,18270,1,0
50,AZUL4,2022-08-19,16.8,17.04,15.8,15.8,11029900,10160,156,9516,19829,3,0
51,AZUL4,2022-08-22,15.59,15.77,15.19,15.64,6455500,7127,275,7118,14520,0,0
52,AZUL4,2022-08-23,15.7,17.11,15.61,16.88,9548500,8207,154,8625,16985,1,0
53,AZUL4,2022-08-24,16.86,17.87,16.81,17.23,9144900,7660,193,8547,16400,0,0
54,AZUL4,2022-08-25,17.5,18.47,17.31,18.28,10940200,10545,208,8836,19589,0,0
55,AZUL4,2022-08-26,18.3,18.61,17.2,17.41,10166500,7594,170,9569,17332,1,0
56,AZUL4,2022-08-29,17.21,17.72,17.01,17.38,7166900,7411,225,7097,14733,0,0
57,AZUL4,2022-08-30,17.75,18.19,16.34,16.48,11150700,8835,213,10377,19425,0,0
58,AZUL4,2022-08-31,16.78,16.97,16.18,16.36,8088100,7291,352,7535,15169,9,0
59,AZUL4,2022-09-01,16.41,16.68,15.53,16.6,10030300,10966,118,9035,20118,1,0
60,AZUL4,2022-09-02,16.82,17.0,15.9,16.1,10003700,7875,293,9195,17363,0,0
61,AZUL4,2022-09-05,16.22,16.44,15.96,16.44,3557800,2967,261,2647,5839,36,0
62,AZUL4,2022-09-06,16.27,16.42,15.06,15.25,10195100,9073,160,10340,19573,0,0
63,AZUL4,2022-09-08,15.86,16.49,15.51,16.25,12548400,12080,160,11054,23294,0,0
64,AZUL4,2022-09-09,16.44,17.6,16.39,17.44,8962200,9679,144,8574,18394,3,0
65,AZUL4,2022-09-12,17.93,18.2,17.34,17.4,8243000,6539,271,7052,13862,0,0
66,AZUL4,2022-09-13,16.82,17.44,16.55,16.94,11748300,10898,124,11139,22161,0,0
67,AZUL4,2022-09-14,17.0,17.0,16.36,16.84,9162400,8581,147,8387,17115,0,0
68,AZUL4,2022-09-15,16.88,17.39,16.62,17.01,8200700,13013,126,9615,22754,0,0
69,AZUL4,2022-09-16,16.54,17.03,16.23,16.8,10974400,11027,250,7782,19059,0,0
70,AZUL4,2022-09-19,16.58,17.83,16.54,17.69,8993400,10846,187,6716,17748,1,0
71,AZUL4,2022-09-20,17.64,18.3,17.45,17.86,10292200,9302,201,9507,19009,1,0
72,AZUL4,2022-09-21,17.85,17.98,17.12,17.51,10887200,9900,187,8758,18845,0,0
73,AZUL4,2022-09-22,17.86,17.93,16.95,17.25,7501200,8660,95,6019,14773,1,0
74,AZUL4,2022-09-23,16.99,17.05,16.0,16.11,12371700,8261,170,10310,18740,1,0
75,AZUL4,2022-09-26,16.01,16.38,15.42,15.47,11696200,11599,336,7901,19836,0,0
76,AZUL4,2022-09-27,15.8,16.08,15.5,15.56,7749800,8670,95,6351,15116,0,0
77,AZUL4,2022-09-28,15.58,15.93,15.32,15.81,7874000,7047,91,6763,13901,0,0
78,AZUL4,2022-09-29,15.58,15.64,14.28,14.44,11465300,6852,154,9998,17003,1,0
79,AZUL4,2022-09-30,14.36,14.94,14.11,14.74,8337600,7647,124,7584,15355,0,0
80,AZUL4,2022-10-03,15.39,16.57,14.84,16.4,12646100,15392,259,11033,26684,0,0
81,AZUL4,2022-10-04,16.95,17.29,16.56,16.76,9943500,9184,297,7991,17472,0,0
82,AZUL4,2022-10-05,16.58,17.09,16.3,17.07,7815100,8044,177,6750,14971,0,0
83,AZUL4,2022-10-06,17.11,17.55,17.02,17.26,6870000,8548,157,6789,15482,12,0
84,AZUL4,2022-10-07,17.18,17.53,17.08,17.23,5581000,6640,134,5399,12173,0,0
85,AZUL4,2022-10-10,17.33,17.64,16.85,17.38,6757500,7070,148,5244,12462,0,0
86,AZUL4,2022-10-11,17.34,17.63,16.65,16.82,7645500,7803,96,8122,16021,0,0
87,AZUL4,2022-10-13,16.52,16.53,15.85,16.05,10743300,9007,134,10358,19495,4,0
88,AZUL4,2022-10-14,16.28,16.51,15.52,15.52,6860600,5241,206,7607,13054,0,0
89,AZUL4,2022-10-17,15.84,16.8,15.81,16.5,8313400,8327,156,7036,15519,0,0
90,AZUL4,2022-10-18,16.98,17.27,16.55,16.9,7838000,7058,178,6365,13601,0,0
91,AZUL4,2022-10-19,16.78,16.84,16.28,16.55,12637400,11774,282,12110,24148,18,0
92,AZUL4,2022-10-20,16.71,17.13,16.48,16.56,6577000,6071,128,6187,12386,0,0
93,AZUL4,2022-10-21,16.51,17.17,16.12,17.03,8264100,9104,140,6992,16236,0,0
94,AZUL4,2022-10-24,16.74,17.08,16.23,16.32,8136400,7693,108,9952,17753,0,0
95,AZUL4,2022-10-25,16.25,16.3,15.12,15.14,15488500,8095,231,11812,20134,4,0
96,AZUL4,2022-10-26,15.04,15.48,14.26,14.36,12684800,10003,246,12481,22730,0,0
97,AZUL4,2022-10-27,14.37,15.24,14.33,14.55,9401500,9063,120,8305,17488,0,0
98,AZUL4,2022-10-28,14.43,14.93,14.33,14.9,8831300,8053,160,6524,14736,1,0
