,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BAHI3,2022-06-06,13.39,13.4,13.04,13.08,1300,7,0,3,10,0,0
1,BAHI3,2022-06-07,13.28,13.4,13.28,13.38,1100,9,0,2,11,0,0
2,BAHI3,2022-06-08,13.2,13.28,13.2,13.28,7200,6,0,3,9,0,0
3,BAHI3,2022-06-09,12.95,13.02,12.95,13.0,2100,0,0,9,9,0,0
4,BAHI3,2022-06-10,12.9,12.95,12.8,12.8,5600,0,0,5,5,0,0
5,BAHI3,2022-06-13,12.6,12.6,12.6,12.6,4900,2,0,4,6,0,0
6,BAHI3,2022-06-14,12.25,12.48,11.99,12.0,8800,22,0,54,76,0,0
7,BAHI3,2022-06-15,12.0,12.0,11.5,11.51,5800,3,2,13,18,0,0
8,BAHI3,2022-06-21,11.99,12.0,10.9,10.9,7000,17,1,28,46,0,0
9,BAHI3,2022-06-22,10.9,10.92,10.9,10.91,900,1,1,2,3,1,0
10,BAHI3,2022-06-23,11.0,11.0,10.9,11.0,4600,15,1,0,15,1,0
11,BAHI3,2022-06-24,11.98,11.98,10.86,10.86,3900,11,0,23,34,0,0
12,BAHI3,2022-06-27,11.2,12.0,11.0,11.01,5900,12,1,25,38,0,0
13,BAHI3,2022-06-28,11.79,12.0,11.0,11.0,13600,24,1,69,94,0,0
14,BAHI3,2022-06-29,10.68,11.0,10.63,10.71,1100,0,1,9,10,0,0
15,BAHI3,2022-06-30,10.5,11.0,10.5,11.0,4600,3,0,12,15,0,0
16,BAHI3,2022-07-01,11.29,11.29,10.72,11.0,1600,2,0,11,13,0,0
17,BAHI3,2022-07-04,10.69,11.11,10.69,11.1,2600,1,1,10,12,0,0
18,BAHI3,2022-07-05,10.77,11.1,10.5,10.5,2300,0,2,11,13,0,0
19,BAHI3,2022-07-06,10.97,11.5,10.5,10.5,2500,10,2,2,14,0,0
20,BAHI3,2022-07-07,10.5,10.51,10.49,10.49,400,1,0,2,3,0,0
21,BAHI3,2022-07-08,10.4,10.5,10.4,10.5,300,1,1,0,2,0,0
22,BAHI3,2022-07-12,10.49,10.55,10.49,10.5,3600,3,0,5,8,0,0
23,BAHI3,2022-07-13,10.5,10.89,10.5,10.52,7100,4,0,9,13,0,0
24,BAHI3,2022-07-14,10.51,10.51,10.2,10.2,1000,1,1,6,8,0,0
25,BAHI3,2022-07-15,10.5,10.51,10.28,10.45,2600,2,1,10,13,0,0
26,BAHI3,2022-07-18,10.5,12.48,9.91,11.51,14900,31,5,15,51,0,0
27,BAHI3,2022-07-19,11.17,11.98,10.9,11.31,18100,35,0,40,75,0,0
28,BAHI3,2022-07-20,11.0,11.11,10.41,10.56,7700,17,0,29,46,0,0
29,BAHI3,2022-07-21,10.37,10.55,10.16,10.55,8400,21,0,41,62,0,0
30,BAHI3,2022-07-22,10.27,11.49,10.27,10.3,4500,20,1,19,40,0,0
31,BAHI3,2022-07-25,10.2,10.6,10.0,10.0,5700,15,0,25,40,0,0
32,BAHI3,2022-07-26,10.22,10.22,9.6,9.6,10900,27,0,32,59,0,0
33,BAHI3,2022-07-27,9.68,9.79,9.2,9.2,7500,18,0,28,46,0,0
34,BAHI3,2022-07-28,9.22,9.88,9.11,9.11,4100,6,0,8,14,0,0
35,BAHI3,2022-07-29,9.17,10.0,9.17,10.0,3300,8,0,8,16,0,0
36,BAHI3,2022-08-01,10.32,10.5,10.32,10.5,200,0,2,0,2,0,0
37,BAHI3,2022-08-02,10.5,10.77,10.5,10.76,1500,2,0,2,4,0,0
38,BAHI3,2022-08-03,10.76,10.76,10.19,10.19,19900,10,1,3,13,1,0
39,BAHI3,2022-08-08,11.48,11.48,11.3,11.3,400,1,0,2,3,0,0
40,BAHI3,2022-08-09,11.3,11.3,11.3,11.3,100,1,0,0,1,0,0
41,BAHI3,2022-08-10,11.5,11.9,11.0,11.0,9400,8,1,13,22,0,0
42,BAHI3,2022-08-12,10.5,10.8,10.5,10.8,1000,1,0,3,4,0,0
43,BAHI3,2022-08-15,10.57,10.57,10.57,10.57,100,1,0,0,1,0,0
44,BAHI3,2022-08-16,10.45,10.5,10.0,10.3,8000,4,2,25,31,0,0
45,BAHI3,2022-08-17,10.35,10.35,9.75,9.85,5400,4,2,13,19,0,0
46,BAHI3,2022-08-18,9.75,10.0,9.75,10.0,3600,4,0,2,6,0,0
47,BAHI3,2022-08-19,10.0,10.0,9.95,9.99,4400,3,0,7,10,0,0
48,BAHI3,2022-08-22,9.75,9.99,9.6,9.99,1800,6,0,3,9,0,0
49,BAHI3,2022-08-23,10.0,10.0,9.72,9.81,3300,4,0,5,9,0,0
50,BAHI3,2022-08-24,9.7,9.99,9.7,9.75,3000,4,1,6,11,0,0
51,BAHI3,2022-08-25,9.8,9.8,9.76,9.76,900,0,0,6,6,0,0
52,BAHI3,2022-08-26,9.76,9.8,9.7,9.8,1600,2,0,4,6,0,0
53,BAHI3,2022-08-29,10.0,10.0,9.8,10.0,13900,7,0,0,7,0,0
54,BAHI3,2022-08-30,10.1,10.1,10.0,10.0,3000,6,0,0,6,0,0
55,BAHI3,2022-08-31,10.0,10.0,9.9,10.0,5200,6,5,0,11,0,0
56,BAHI3,2022-09-01,9.72,10.0,9.51,10.0,2900,10,0,4,14,0,0
57,BAHI3,2022-09-02,10.01,10.01,10.01,10.01,1500,0,0,3,3,0,0
58,BAHI3,2022-09-05,10.01,10.35,9.89,10.01,7500,19,0,2,21,0,0
59,BAHI3,2022-09-06,9.99,10.01,9.82,9.85,10200,10,0,19,29,0,0
60,BAHI3,2022-09-08,10.0,10.5,9.95,9.96,4300,8,1,11,20,0,0
61,BAHI3,2022-09-09,10.08,10.77,10.08,10.5,1800,5,0,2,7,0,0
62,BAHI3,2022-09-12,11.0,11.49,11.0,11.49,3400,17,1,8,26,0,0
63,BAHI3,2022-09-13,10.8,11.0,10.8,11.0,4000,0,1,8,9,0,0
64,BAHI3,2022-09-14,11.1,11.31,11.1,11.3,5000,2,1,6,9,0,0
65,BAHI3,2022-09-15,11.3,11.3,11.0,11.0,7300,6,0,6,12,0,0
66,BAHI3,2022-09-16,11.5,11.5,11.5,11.5,100,0,1,0,1,0,0
67,BAHI3,2022-09-19,11.36,11.77,11.36,11.75,1500,5,0,5,10,0,0
68,BAHI3,2022-09-20,11.5,11.5,11.5,11.5,400,0,1,1,2,0,0
69,BAHI3,2022-09-21,12.0,12.0,12.0,12.0,100,0,1,0,1,0,0
70,BAHI3,2022-09-22,11.98,11.98,11.98,11.98,2600,1,0,1,2,0,0
71,BAHI3,2022-09-23,11.3,11.55,11.16,11.26,1000,2,1,6,9,0,0
72,BAHI3,2022-09-26,10.85,10.93,10.55,10.8,1000,0,3,5,8,0,0
73,BAHI3,2022-09-27,10.79,11.09,10.75,10.95,11000,21,0,11,32,0,0
74,BAHI3,2022-09-28,11.23,12.5,11.23,12.0,41500,39,1,25,65,0,0
75,BAHI3,2022-09-29,11.0,12.0,10.71,12.0,20800,6,12,5,22,1,0
76,BAHI3,2022-09-30,11.65,12.5,11.05,12.0,5000,23,1,22,46,0,0
77,BAHI3,2022-10-03,11.8,13.09,11.32,12.49,26900,54,4,105,163,0,0
78,BAHI3,2022-10-04,12.0,13.0,11.54,13.0,10900,25,0,28,53,0,0
79,BAHI3,2022-10-05,12.01,13.0,11.66,12.96,3200,5,8,8,21,0,0
80,BAHI3,2022-10-06,12.58,13.2,12.58,12.76,3500,3,0,14,17,0,0
81,BAHI3,2022-10-07,13.13,15.25,13.13,15.0,41600,79,0,41,120,0,0
82,BAHI3,2022-10-10,14.52,16.5,14.22,15.0,123500,93,0,127,220,0,0
83,BAHI3,2022-10-11,14.56,15.1,14.43,14.52,26300,16,4,33,53,0,0
84,BAHI3,2022-10-13,14.52,14.6,14.2,14.2,14400,15,0,0,15,0,0
85,BAHI3,2022-10-14,14.2,14.89,13.83,13.83,14700,7,0,6,13,0,0
86,BAHI3,2022-10-17,13.43,13.45,13.2,13.42,2000,5,0,12,17,0,0
87,BAHI3,2022-10-18,13.2,13.21,13.03,13.03,4100,14,0,14,28,0,0
88,BAHI3,2022-10-19,12.91,12.91,12.91,12.91,200,2,0,0,2,0,0
89,BAHI3,2022-10-20,13.3,13.92,13.3,13.92,2500,1,1,6,8,0,0
90,BAHI3,2022-10-21,13.26,13.87,13.25,13.77,3300,11,1,12,24,0,0
91,BAHI3,2022-10-24,13.77,13.94,13.77,13.77,1900,5,0,6,11,0,0
92,BAHI3,2022-10-26,13.77,13.77,13.05,13.14,3000,3,3,22,28,0,0
93,BAHI3,2022-10-31,13.47,15.5,13.46,15.5,15400,30,2,5,37,0,0
94,BAHI3,2022-11-01,15.0,16.11,14.75,16.11,94000,77,1,82,160,0,0
95,BAHI3,2022-11-03,15.81,16.0,15.2,15.2,61600,60,0,71,131,0,0
96,BAHI3,2022-11-04,15.21,15.26,15.0,15.2,5600,9,0,9,18,0,0
97,BAHI3,2022-11-07,15.5,15.59,15.0,15.13,38800,26,2,4,32,0,0
98,BAHI3,2022-11-08,15.0,15.3,14.82,15.0,16600,15,0,12,27,0,0
99,BAHI3,2022-11-09,15.0,15.0,14.6,14.6,3400,2,3,3,8,0,0
100,BAHI3,2022-11-14,13.91,14.18,13.5,13.55,2100,1,7,6,14,0,0
101,BAHI3,2022-11-21,12.99,13.0,12.7,12.98,3900,17,0,2,19,0,0
102,BAHI3,2022-11-22,12.99,12.99,12.99,12.99,700,0,0,1,1,0,0
103,BAHI3,2022-11-23,13.0,13.2,13.0,13.2,5500,1,0,6,7,0,0
104,BAHI3,2022-11-24,13.2,13.5,13.2,13.5,19300,1,0,3,4,0,0
105,BAHI3,2022-11-29,13.51,13.51,13.51,13.51,700,1,0,0,1,0,0
106,BAHI3,2022-11-30,13.28,13.67,13.28,13.59,400,1,1,2,4,0,0
107,BAHI3,2022-12-01,13.2,13.49,13.2,13.49,12700,1,1,5,6,1,0
108,BAHI3,2022-12-02,13.99,13.99,13.99,13.99,100,0,1,0,1,0,0
109,BAHI3,2022-12-05,14.0,14.0,14.0,14.0,1000,1,0,0,1,0,0
110,BAHI3,2022-12-06,13.33,13.5,13.3,13.5,1700,6,0,4,10,0,0
111,BAHI3,2022-12-07,13.2,13.27,13.2,13.26,400,1,0,3,4,0,0
112,BAHI3,2022-12-08,13.21,13.21,12.01,12.01,8700,3,0,19,22,0,0
113,BAHI3,2022-12-09,12.0,12.0,11.61,11.8,1200,0,0,9,9,0,0
114,BAHI3,2022-12-12,11.94,11.94,10.56,10.56,2900,2,1,23,26,0,0
115,BAHI3,2022-12-13,10.26,11.0,10.22,11.0,2700,6,0,15,21,0,0
116,BAHI3,2022-12-14,10.45,11.46,10.35,10.5,2700,8,2,15,25,0,0
117,BAHI3,2022-12-15,11.0,11.28,10.81,10.99,1900,1,0,14,15,0,0
118,BAHI3,2022-12-16,11.0,11.0,10.21,10.91,3000,0,3,17,20,0,0
119,BAHI3,2022-12-19,10.61,11.02,10.61,11.0,3900,7,0,15,22,0,0
120,BAHI3,2022-12-20,11.0,11.15,11.0,11.0,2900,3,0,16,19,0,0
121,BAHI3,2022-12-21,11.07,11.09,11.0,11.0,2300,3,0,10,13,0,0
122,BAHI3,2022-12-22,11.04,11.4,11.0,11.08,13200,12,2,24,38,0,0
123,BAHI3,2022-12-23,11.11,11.38,11.0,11.0,6300,1,1,14,15,1,0
124,BAHI3,2022-12-26,11.09,11.33,11.0,11.0,2700,7,0,15,22,0,0
125,BAHI3,2022-12-27,11.06,11.08,11.0,11.0,4500,2,0,14,16,0,0
126,BAHI3,2022-12-28,11.06,11.07,11.0,11.0,900,0,0,8,8,0,0
127,BAHI3,2022-12-29,11.02,13.0,11.01,13.0,5500,13,0,6,19,0,0
128,BAHI3,2023-01-02,11.78,11.99,11.7,11.99,400,1,1,2,4,0,0
129,BAHI3,2023-01-03,11.5,11.68,11.34,11.38,700,2,1,3,6,0,0
130,BAHI3,2023-01-04,11.05,11.11,11.01,11.01,900,2,0,6,8,0,0
131,BAHI3,2023-01-05,11.02,11.32,11.01,11.01,1200,1,0,8,9,0,0
132,BAHI3,2023-01-06,11.05,11.05,10.78,10.86,3200,4,0,8,12,0,0
133,BAHI3,2023-01-09,10.59,10.99,10.59,10.75,600,0,3,3,6,0,0
134,BAHI3,2023-01-10,11.0,11.0,10.61,10.61,5000,14,0,11,25,0,0
135,BAHI3,2023-01-12,10.7,10.7,10.7,10.7,200,1,0,0,1,0,0
136,BAHI3,2023-01-16,10.7,10.99,10.7,10.99,2900,5,0,1,6,0,0
137,BAHI3,2023-01-17,10.99,12.3,10.99,12.29,13500,19,0,7,26,0,0
138,BAHI3,2023-01-18,12.29,13.0,12.29,13.0,17400,10,0,9,19,0,0
139,BAHI3,2023-01-19,13.0,13.0,13.0,13.0,4800,0,0,5,5,0,0
140,BAHI3,2023-01-24,13.0,13.0,12.97,12.97,400,0,0,4,4,0,0
141,BAHI3,2023-01-26,13.0,13.0,12.77,12.77,600,2,0,1,3,0,0
142,BAHI3,2023-01-30,12.87,14.5,12.87,14.5,20800,42,0,14,56,0,0
143,BAHI3,2023-01-31,14.19,14.5,13.62,14.5,8400,20,0,12,32,0,0
144,BAHI3,2023-02-01,13.9,13.9,12.77,12.79,15000,49,0,53,102,0,0
145,BAHI3,2023-02-02,13.3,14.3,13.29,14.1,10600,34,0,10,44,0,0
146,BAHI3,2023-02-03,14.0,14.0,13.75,13.75,2200,6,0,1,7,0,0
147,BAHI3,2023-02-06,13.0,13.0,12.08,12.08,5800,22,0,28,50,0,0
148,BAHI3,2023-02-07,12.32,12.49,12.32,12.49,1900,8,0,0,8,0,0
149,BAHI3,2023-02-08,12.5,12.55,12.49,12.54,700,3,0,1,4,0,0
150,BAHI3,2023-02-10,12.02,13.0,12.02,13.0,8300,21,0,5,26,0,0
151,BAHI3,2023-02-13,13.7,13.96,13.7,13.96,1400,10,0,2,12,0,0
152,BAHI3,2023-02-14,13.21,13.21,13.0,13.0,900,1,0,6,7,0,0
153,BAHI3,2023-02-15,12.63,12.88,12.63,12.72,4100,5,1,17,23,0,0
154,BAHI3,2023-02-16,12.6,12.77,12.6,12.77,300,2,0,1,3,0,0
155,BAHI3,2023-02-17,12.77,12.77,12.5,12.59,1800,9,0,2,11,0,0
156,BAHI3,2023-02-20,12.77,12.77,12.5,12.59,1800,9,0,2,11,0,0
157,BAHI3,2023-02-21,12.77,12.77,12.5,12.59,1800,9,0,2,11,0,0
158,BAHI3,2023-02-23,12.3,12.31,12.2,12.2,800,1,0,4,5,0,0
159,BAHI3,2023-02-24,12.01,12.01,12.01,12.01,100,0,1,0,1,0,0
160,BAHI3,2023-02-27,12.01,12.01,11.06,11.06,3100,1,0,13,14,0,0
161,BAHI3,2023-02-28,11.14,11.14,11.14,11.14,200,2,0,0,2,0,0
162,BAHI3,2023-03-01,11.11,11.11,10.8,10.81,2700,0,0,8,8,0,0
163,BAHI3,2023-03-02,10.8,10.8,10.8,10.8,200,2,0,0,2,0,0
164,BAHI3,2023-03-03,10.8,11.1,10.8,11.1,200,2,0,0,2,0,0
165,BAHI3,2023-03-06,11.1,11.1,10.8,10.9,3700,8,0,17,25,0,0
166,BAHI3,2023-03-07,10.6,11.0,10.5,10.94,7900,24,0,8,32,0,0
167,BAHI3,2023-03-08,11.0,11.0,10.61,10.62,6300,5,0,20,25,0,0
168,BAHI3,2023-03-09,10.77,10.77,10.76,10.77,300,2,0,0,2,0,0
169,BAHI3,2023-03-10,10.5,10.77,10.3,10.77,5200,17,0,10,27,0,0
170,BAHI3,2023-03-13,10.5,10.68,10.45,10.68,2100,7,0,4,11,0,0
171,BAHI3,2023-03-14,10.5,10.65,9.91,9.91,26000,42,0,37,79,0,0
172,BAHI3,2023-03-15,10.0,10.0,9.37,9.37,7900,2,0,51,53,0,0
173,BAHI3,2023-03-16,9.6,9.6,9.6,9.6,200,1,0,0,1,0,0
174,BAHI3,2023-03-17,9.5,9.5,9.2,9.2,1800,0,0,11,11,0,0
175,BAHI3,2023-03-20,9.3,9.6,9.3,9.58,1600,8,0,2,10,0,0
176,BAHI3,2023-03-21,9.33,9.84,9.33,9.36,6000,18,0,5,23,0,0
177,BAHI3,2023-03-24,9.05,9.05,9.05,9.05,100,1,0,0,1,0,0
178,BAHI3,2023-03-27,9.28,9.3,9.27,9.27,600,4,0,1,5,0,0
179,BAHI3,2023-03-29,9.41,9.41,8.98,9.1,1000,3,0,2,5,0,0
