,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BALM4,2022-06-06,10.68,11.09,10.68,11.09,200,1,0,1,2,0,0
1,BALM4,2022-06-07,10.7,10.7,10.7,10.7,200,0,0,1,1,0,0
2,BALM4,2022-06-20,10.66,10.66,10.66,10.66,200,1,1,0,2,0,0
3,BALM4,2022-06-24,10.5,10.66,10.5,10.6,800,3,0,2,5,0,0
4,BALM4,2022-06-27,10.6,10.6,10.6,10.6,100,1,0,0,1,0,0
5,BALM4,2022-06-28,10.5,10.5,10.5,10.5,100,1,0,0,1,0,0
6,BALM4,2022-06-30,10.5,10.5,10.5,10.5,100,1,0,0,1,0,0
7,BALM4,2022-07-06,10.37,10.37,10.37,10.37,100,1,0,0,1,0,0
8,BALM4,2022-07-07,11.0,11.0,10.87,10.87,200,2,0,0,2,0,0
9,BALM4,2022-07-18,10.5,10.5,10.5,10.5,200,1,1,0,2,0,0
10,BALM4,2022-07-19,10.3,10.3,10.3,10.3,100,1,0,0,1,0,0
11,BALM4,2022-07-22,10.3,10.3,10.3,10.3,100,1,0,0,1,0,0
12,BALM4,2022-07-25,10.3,10.3,10.3,10.3,100,0,1,0,1,0,0
13,BALM4,2022-07-27,10.3,10.5,10.3,10.5,400,4,0,0,4,0,0
14,BALM4,2022-07-28,10.3,10.3,10.3,10.3,200,2,0,0,2,0,0
15,BALM4,2022-07-29,10.3,10.3,10.3,10.3,100,1,0,0,1,0,0
16,BALM4,2022-08-09,11.01,11.01,10.4,10.9,2000,1,3,8,12,0,0
17,BALM4,2022-08-10,10.3,11.0,10.3,11.0,2100,3,0,5,8,0,0
18,BALM4,2022-08-19,11.89,11.89,11.89,11.89,100,0,0,1,1,0,0
19,BALM4,2022-09-02,10.1,10.1,10.1,10.1,600,0,0,4,4,0,0
20,BALM4,2022-09-05,10.21,10.79,10.15,10.15,900,5,0,4,9,0,0
21,BALM4,2022-09-06,10.6,10.6,10.6,10.6,100,1,0,0,1,0,0
22,BALM4,2022-09-09,10.5,10.5,10.5,10.5,200,1,0,0,1,0,0
23,BALM4,2022-09-12,10.11,10.45,10.11,10.45,2000,7,0,2,9,0,0
24,BALM4,2022-09-13,10.11,10.35,9.9,10.1,1700,3,0,5,8,0,0
25,BALM4,2022-09-14,10.05,10.05,10.05,10.05,100,0,0,1,1,0,0
26,BALM4,2022-09-15,9.6,9.6,9.6,9.6,100,0,0,1,1,0,0
27,BALM4,2022-09-16,9.5,9.5,9.5,9.5,1800,0,1,0,1,0,0
28,BALM4,2022-09-19,9.51,9.63,9.51,9.63,900,0,0,4,4,0,0
29,BALM4,2022-09-20,9.72,10.09,9.72,10.09,500,4,0,1,5,0,0
30,BALM4,2022-09-21,10.0,10.0,10.0,10.0,100,0,0,1,1,0,0
31,BALM4,2022-09-22,10.08,10.08,9.99,9.99,1300,1,0,6,7,0,0
32,BALM4,2022-09-23,9.99,9.99,9.99,9.99,100,1,0,0,1,0,0
33,BALM4,2022-09-29,9.99,9.99,9.99,9.99,100,0,0,1,1,0,0
34,BALM4,2022-09-30,9.18,9.99,9.18,9.99,500,4,0,1,5,0,0
35,BALM4,2022-10-03,9.99,9.99,9.98,9.98,1300,4,0,1,5,0,0
36,BALM4,2022-10-04,9.4,9.98,9.4,9.98,200,1,0,1,2,0,0
37,BALM4,2022-10-05,9.3,9.79,9.3,9.79,500,2,0,3,5,0,0
38,BALM4,2022-10-07,9.98,10.0,9.7,10.0,1800,15,0,1,16,0,0
39,BALM4,2022-10-10,10.0,11.0,10.0,10.89,700,7,0,0,7,0,0
40,BALM4,2022-10-11,10.59,11.0,10.59,10.59,300,3,0,0,3,0,0
41,BALM4,2022-10-13,11.0,11.0,10.3,10.9,300,2,0,1,3,0,0
42,BALM4,2022-10-18,10.0,10.01,9.8,9.92,1100,2,0,8,10,0,0
43,BALM4,2022-10-19,10.0,10.0,9.8,10.0,600,6,0,0,6,0,0
44,BALM4,2022-10-21,9.6,10.0,9.52,10.0,1500,6,0,3,9,0,0
45,BALM4,2022-10-24,10.37,10.38,9.83,9.83,300,3,0,0,3,0,0
46,BALM4,2022-10-26,9.5,10.0,9.5,10.0,200,0,0,2,2,0,0
47,BALM4,2022-10-27,10.3,10.3,10.25,10.3,300,2,0,0,2,0,0
48,BALM4,2022-10-28,9.68,10.0,9.68,10.0,200,1,0,1,2,0,0
49,BALM4,2022-10-31,10.0,10.0,10.0,10.0,100,1,0,0,1,0,0
50,BALM4,2022-11-08,9.3,9.6,9.3,9.6,200,1,0,1,2,0,0
51,BALM4,2022-11-09,9.6,9.6,9.6,9.6,500,1,0,0,1,0,0
52,BALM4,2022-11-10,9.6,9.6,9.6,9.6,200,0,0,1,1,0,0
53,BALM4,2022-11-14,9.6,9.9,9.6,9.9,1800,6,0,0,6,0,0
54,BALM4,2022-11-23,9.02,9.6,9.02,9.49,1300,4,0,1,5,0,0
55,BALM4,2022-11-25,9.4,9.4,9.4,9.4,200,1,0,0,1,0,0
56,BALM4,2022-12-01,9.7,9.7,9.7,9.7,1000,2,0,2,4,0,0
57,BALM4,2022-12-02,9.75,10.0,9.75,10.0,1000,9,0,0,9,0,0
58,BALM4,2022-12-05,9.9,9.9,9.89,9.9,300,3,0,0,3,0,0
59,BALM4,2022-12-09,9.95,9.95,9.89,9.89,300,3,0,0,3,0,0
60,BALM4,2022-12-12,9.89,9.89,9.89,9.89,300,0,0,1,1,0,0
61,BALM4,2022-12-13,9.95,10.0,9.85,10.0,300,3,0,0,3,0,0
62,BALM4,2022-12-15,9.95,10.88,9.95,10.1,400,2,0,2,4,0,0
63,BALM4,2022-12-16,10.01,10.01,10.01,10.01,200,2,0,0,2,0,0
64,BALM4,2022-12-20,10.01,10.01,10.01,10.01,100,1,0,0,1,0,0
65,BALM4,2022-12-22,9.9,9.9,9.9,9.9,200,2,0,0,2,0,0
66,BALM4,2022-12-23,10.0,10.0,10.0,10.0,100,1,0,0,1,0,0
67,BALM4,2022-12-29,10.0,10.0,10.0,10.0,400,3,0,0,3,0,0
68,BALM4,2023-01-02,9.95,9.95,9.95,9.95,100,1,0,0,1,0,0
69,BALM4,2023-01-03,9.85,9.95,9.85,9.95,500,4,0,0,4,0,0
70,BALM4,2023-01-04,9.95,9.95,9.95,9.95,200,2,0,0,2,0,0
71,BALM4,2023-01-09,9.95,9.95,9.94,9.94,300,1,1,0,2,0,0
72,BALM4,2023-01-10,9.85,9.85,9.85,9.85,100,1,0,0,1,0,0
73,BALM4,2023-01-11,9.85,9.9,9.84,9.9,400,3,1,0,4,0,0
74,BALM4,2023-01-12,9.95,9.95,9.95,9.95,100,1,0,0,1,0,0
75,BALM4,2023-01-16,9.95,10.0,9.95,10.0,300,3,0,0,3,0,0
76,BALM4,2023-01-17,10.0,10.0,10.0,10.0,200,2,0,0,2,0,0
77,BALM4,2023-01-18,10.0,10.0,10.0,10.0,100,1,0,0,1,0,0
78,BALM4,2023-01-19,9.95,10.0,9.95,10.0,200,2,0,0,2,0,0
79,BALM4,2023-01-24,9.89,9.89,9.89,9.89,200,0,0,2,2,0,0
80,BALM4,2023-01-26,9.8,9.8,9.8,9.8,100,1,0,0,1,0,0
81,BALM4,2023-02-01,9.94,9.95,9.94,9.95,200,1,1,0,2,0,0
82,BALM4,2023-02-02,9.94,9.94,9.94,9.94,200,0,0,1,1,0,0
83,BALM4,2023-02-03,9.29,9.6,9.15,9.58,600,6,0,0,6,0,0
84,BALM4,2023-02-06,9.23,9.23,9.18,9.19,1400,3,0,5,8,0,0
85,BALM4,2023-02-07,9.46,9.46,9.45,9.45,300,2,0,1,3,0,0
86,BALM4,2023-02-10,9.02,9.02,9.02,9.02,200,1,0,1,2,0,0
87,BALM4,2023-02-16,9.49,9.49,9.49,9.49,200,1,0,0,1,0,0
88,BALM4,2023-02-23,9.45,9.45,9.45,9.45,700,1,0,3,4,0,0
89,BALM4,2023-02-24,9.34,9.46,9.01,9.46,500,2,0,2,4,0,0
90,BALM4,2023-03-01,9.07,9.07,8.4,8.8,800,1,0,5,6,0,0
91,BALM4,2023-03-02,8.6,8.6,8.55,8.55,1200,1,0,4,5,0,0
92,BALM4,2023-03-08,8.57,8.61,8.57,8.6,300,0,1,2,3,0,0
93,BALM4,2023-03-09,9.0,9.0,9.0,9.0,200,2,0,0,2,0,0
94,BALM4,2023-03-10,8.7,8.98,8.7,8.98,1500,2,1,1,4,0,0
95,BALM4,2023-03-14,8.99,10.82,8.99,10.82,500,4,0,0,4,0,0
96,BALM4,2023-03-21,9.91,9.91,9.39,9.39,300,2,0,0,2,0,0
97,BALM4,2023-03-24,10.1,10.1,10.1,10.1,100,1,0,0,1,0,0
98,BALM4,2023-03-27,10.1,10.1,10.0,10.0,200,2,0,0,2,0,0
99,BALM4,2023-03-29,9.7,9.7,9.7,9.7,100,0,0,1,1,0,0
100,BALM4,2023-04-04,9.4,9.4,9.4,9.4,1000,0,0,1,1,0,0
101,BALM4,2023-04-06,10.0,10.0,9.4,9.8,1200,7,0,1,8,0,0
102,BALM4,2023-04-07,10.0,10.0,9.4,9.8,1200,7,0,1,8,0,0
103,BALM4,2023-04-12,9.99,10.0,9.99,10.0,500,2,1,2,5,0,0
104,BALM4,2023-04-13,9.99,10.0,9.99,9.99,800,2,0,1,3,0,0
105,BALM4,2023-04-17,10.1,10.1,10.09,10.09,200,2,0,0,2,0,0
106,BALM4,2023-04-18,10.02,10.04,10.02,10.04,1200,0,0,3,3,0,0
107,BALM4,2023-04-19,10.04,10.04,10.04,10.04,900,0,0,1,1,0,0
108,BALM4,2023-04-20,10.03,10.04,10.03,10.04,1100,0,0,3,3,0,0
109,BALM4,2023-04-21,10.03,10.04,10.03,10.04,1100,0,0,3,3,0,0
110,BALM4,2023-04-25,10.0,10.0,10.0,10.0,500,1,0,0,1,0,0
111,BALM4,2023-04-26,10.0,10.0,10.0,10.0,400,1,0,0,1,0,0
112,BALM4,2023-04-27,10.0,10.39,10.0,10.39,500,3,0,0,3,0,0
113,BALM4,2023-05-08,10.23,10.23,10.23,10.23,100,0,0,1,1,0,0
114,BALM4,2023-05-10,10.2,10.2,10.2,10.2,100,1,0,0,1,0,0
115,BALM4,2023-05-11,10.14,10.14,10.14,10.14,100,1,0,0,1,0,0
116,BALM4,2023-05-16,10.15,10.15,10.15,10.15,100,1,0,0,1,0,0
117,BALM4,2023-05-17,9.95,10.05,9.35,10.05,3300,14,0,2,16,0,0
118,BALM4,2023-05-18,10.0,10.0,9.5,9.5,200,1,0,1,2,0,0
119,BALM4,2023-05-23,9.0,9.5,9.0,9.5,400,1,0,1,2,0,0
120,BALM4,2023-05-25,9.5,9.5,9.5,9.5,100,1,0,0,1,0,0
121,BALM4,2023-05-26,9.5,9.5,9.5,9.5,200,1,0,0,1,0,0
122,BALM4,2023-05-29,9.5,9.5,9.5,9.5,100,1,0,0,1,0,0
123,BALM4,2023-05-31,9.5,9.5,9.5,9.5,900,4,0,0,4,0,0
124,BALM4,2023-06-01,9.55,9.55,9.55,9.55,1500,4,0,0,4,0,0
125,BALM4,2023-06-02,9.44,9.44,9.44,9.44,100,1,0,0,1,0,0
126,BALM4,2023-06-06,9.8,9.8,9.8,9.8,100,1,0,0,1,0,0
127,BALM4,2023-06-09,9.8,9.8,9.8,9.8,600,3,0,0,3,0,0
128,BALM4,2023-06-12,9.79,9.8,9.79,9.8,200,2,0,0,2,0,0
129,BALM4,2023-06-13,9.8,10.2,9.8,10.19,400,4,0,0,4,0,0
130,BALM4,2023-06-19,9.5,9.88,9.5,9.5,400,2,0,1,3,0,0
131,BALM4,2023-06-20,9.5,9.5,9.5,9.5,100,1,0,0,1,0,0
132,BALM4,2023-06-21,9.5,9.5,9.1,9.1,1000,2,0,1,3,0,0
133,BALM4,2023-06-22,9.8,9.8,9.79,9.79,300,2,0,1,3,0,0
134,BALM4,2023-06-23,9.78,9.78,9.78,9.78,100,0,0,1,1,0,0
135,BALM4,2023-06-26,9.5,9.5,9.45,9.45,400,3,0,0,3,0,0
136,BALM4,2023-06-27,9.44,9.44,9.44,9.44,100,1,0,0,1,0,0
137,BALM4,2023-06-28,9.44,9.8,9.44,9.5,500,2,0,2,4,0,0
138,BALM4,2023-06-29,9.5,9.5,9.5,9.5,200,0,0,1,1,0,0
139,BALM4,2023-07-04,9.96,9.96,9.96,9.96,100,1,0,0,1,0,0
140,BALM4,2023-07-05,9.85,9.85,9.85,9.85,500,1,0,0,1,0,0
141,BALM4,2023-07-07,9.69,9.85,9.5,9.85,800,5,0,1,6,0,0
142,BALM4,2023-07-21,9.56,9.56,9.5,9.5,800,4,0,0,4,0,0
143,BALM4,2023-07-25,9.5,9.5,9.5,9.5,200,1,0,0,1,0,0
144,BALM4,2023-07-26,9.5,9.5,9.5,9.5,900,4,0,1,5,0,0
145,BALM4,2023-07-27,9.5,9.5,9.5,9.5,300,1,0,1,2,0,0
146,BALM4,2023-07-31,9.5,9.5,9.5,9.5,100,1,0,0,1,0,0
147,BALM4,2023-08-01,9.5,9.5,9.5,9.5,600,0,0,2,2,0,0
148,BALM4,2023-08-02,9.61,9.61,9.5,9.5,2400,0,1,4,5,0,0
149,BALM4,2023-08-03,9.7,9.85,9.7,9.85,9100,12,0,16,28,0,0
150,BALM4,2023-08-04,9.3,9.8,9.3,9.8,800,1,0,3,4,0,0
151,BALM4,2023-08-10,9.75,9.75,9.75,9.75,200,1,0,0,1,0,0
152,BALM4,2023-08-15,9.89,9.89,9.8,9.89,300,2,0,0,2,0,0
153,BALM4,2023-08-16,9.6,9.6,9.6,9.6,100,0,0,1,1,0,0
154,BALM4,2023-08-17,9.6,9.6,9.6,9.6,300,0,0,2,2,0,0
155,BALM4,2023-08-18,9.6,9.6,9.6,9.6,2400,1,1,1,3,0,0
156,BALM4,2023-08-21,9.6,9.8,9.6,9.8,500,1,1,1,3,0,0
157,BALM4,2023-08-23,9.6,9.7,9.6,9.7,200,0,0,2,2,0,0
158,BALM4,2023-08-28,9.6,9.6,9.6,9.6,200,0,0,2,2,0,0
