,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BAZA3,2022-06-06,41.5,44.15,41.5,44.15,1600,7,0,5,12,0,0
1,BAZA3,2022-06-07,43.6,44.32,43.6,43.99,1000,8,0,2,10,0,0
2,BAZA3,2022-06-08,40.61,42.99,40.61,42.99,200,1,0,1,2,0,0
3,BAZA3,2022-06-09,42.0,42.0,41.8,41.8,500,5,0,0,5,0,0
4,BAZA3,2022-06-10,41.8,41.8,41.0,41.0,1100,2,0,2,4,0,0
5,BAZA3,2022-06-13,40.0,41.66,39.52,39.53,3500,13,0,11,24,0,0
6,BAZA3,2022-06-14,39.53,40.1,39.53,40.0,1000,6,0,1,7,0,0
7,BAZA3,2022-06-15,39.81,39.99,39.09,39.96,900,1,0,8,9,0,0
8,BAZA3,2022-06-17,41.0,41.0,39.05,40.84,2200,5,0,5,10,0,0
9,BAZA3,2022-06-20,41.77,41.77,40.06,41.47,700,5,0,2,7,0,0
10,BAZA3,2022-06-22,40.77,41.1,39.2,39.2,3200,11,0,9,20,0,0
11,BAZA3,2022-06-23,39.33,40.5,38.88,38.9,3600,7,0,25,32,0,0
12,BAZA3,2022-06-24,39.02,40.0,39.02,39.66,1300,2,1,6,9,0,0
13,BAZA3,2022-06-27,39.86,39.86,38.83,38.83,1300,5,0,5,10,0,0
14,BAZA3,2022-06-28,38.69,39.96,38.3,38.93,1200,1,0,11,12,0,0
15,BAZA3,2022-06-29,38.92,38.92,38.41,38.41,700,0,0,5,5,0,0
16,BAZA3,2022-06-30,38.3,38.49,38.0,38.0,1500,5,0,6,11,0,0
17,BAZA3,2022-07-01,38.09,39.0,38.09,38.91,900,5,0,4,9,0,0
18,BAZA3,2022-07-04,38.46,38.61,38.01,38.01,2800,3,0,14,17,0,0
19,BAZA3,2022-07-05,37.36,38.04,37.01,38.04,1600,5,0,9,14,0,0
20,BAZA3,2022-07-06,38.0,38.0,38.0,38.0,400,0,1,0,0,1,0
21,BAZA3,2022-07-07,38.01,39.2,38.01,39.0,700,4,0,3,7,0,0
22,BAZA3,2022-07-08,41.38,41.75,39.04,39.5,3700,13,0,7,20,0,0
23,BAZA3,2022-07-11,39.5,39.5,39.0,39.0,1100,3,0,2,5,0,0
24,BAZA3,2022-07-12,39.59,39.59,39.59,39.59,100,1,0,0,1,0,0
25,BAZA3,2022-07-13,39.0,39.0,39.0,39.0,1100,3,0,0,3,0,0
26,BAZA3,2022-07-14,38.5,38.5,38.5,38.5,600,0,1,0,0,1,0
27,BAZA3,2022-07-15,39.93,39.93,39.9,39.9,600,1,1,0,1,1,0
28,BAZA3,2022-07-19,39.16,39.16,39.0,39.16,1700,6,0,0,6,0,0
29,BAZA3,2022-07-20,39.1,39.1,39.1,39.1,300,0,1,0,0,1,0
30,BAZA3,2022-07-21,39.25,40.31,39.25,40.31,1000,1,1,0,1,1,0
31,BAZA3,2022-07-22,39.1,39.16,39.0,39.0,6100,12,0,10,22,0,0
32,BAZA3,2022-07-25,38.62,38.82,38.62,38.8,300,0,1,2,3,0,0
33,BAZA3,2022-07-26,39.75,40.97,39.75,40.97,800,7,0,0,7,0,0
34,BAZA3,2022-07-27,40.5,40.5,39.51,39.53,300,1,0,2,3,0,0
35,BAZA3,2022-07-28,39.5,40.47,39.5,40.19,1200,5,0,3,8,0,0
36,BAZA3,2022-07-29,40.43,40.43,40.0,40.14,1000,3,1,1,4,1,0
37,BAZA3,2022-08-01,38.87,38.99,38.68,38.99,5700,13,0,7,20,0,0
38,BAZA3,2022-08-02,38.99,39.0,38.6,38.63,1100,3,0,4,7,0,0
39,BAZA3,2022-08-03,39.0,39.75,38.64,38.83,1900,7,0,3,10,0,0
40,BAZA3,2022-08-08,39.5,39.51,39.5,39.5,1200,2,0,4,6,0,0
