,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BBDC3,2022-06-06,16.47,16.62,16.37,16.4,2912100,2385,84,2971,5440,0,0
1,BBDC3,2022-06-07,16.24,16.4,16.21,16.24,4702800,2328,118,2906,5351,1,0
2,BBDC3,2022-06-08,16.14,16.29,16.02,16.11,5835900,4201,167,3716,8084,0,0
3,BBDC3,2022-06-09,16.08,16.29,15.95,16.12,6620700,6286,194,3851,10328,3,0
4,BBDC3,2022-06-10,15.94,16.01,15.74,15.94,7149900,7336,125,5355,12788,28,0
5,BBDC3,2022-06-13,15.78,15.83,15.55,15.66,5653800,6170,205,3830,10205,0,0
6,BBDC3,2022-06-14,15.68,15.8,15.41,15.5,4095400,4076,102,4457,8635,0,0
7,BBDC3,2022-06-15,15.66,15.82,15.5,15.62,8454900,9344,171,6779,16290,4,0
8,BBDC3,2022-06-17,15.41,15.56,15.17,15.36,12416700,6406,413,4724,11461,82,0
9,BBDC3,2022-06-20,15.45,15.89,15.41,15.8,4136500,3081,98,3262,6441,0,0
10,BBDC3,2022-06-21,15.57,15.73,15.35,15.48,4779800,5018,147,4952,10117,0,0
11,BBDC3,2022-06-22,15.35,15.49,15.25,15.34,4723900,3223,200,3324,6746,1,0
12,BBDC3,2022-06-23,15.37,15.42,14.95,15.0,6310200,4988,177,4974,10139,0,0
13,BBDC3,2022-06-24,15.14,15.14,14.86,14.95,3582600,3624,110,3361,7095,0,0
14,BBDC3,2022-06-27,14.96,15.16,14.87,15.16,3318400,3269,159,2271,5699,0,0
15,BBDC3,2022-06-28,15.19,15.31,14.83,14.97,5340800,3751,144,4968,8863,0,0
16,BBDC3,2022-06-29,15.02,15.03,14.66,14.76,6187800,4463,138,7971,12572,0,0
17,BBDC3,2022-06-30,14.57,14.58,14.3,14.37,12282900,6651,209,10471,17330,1,0
18,BBDC3,2022-07-01,14.34,14.52,14.1,14.43,7227900,6688,172,5885,12745,0,0
19,BBDC3,2022-07-04,14.39,14.39,14.2,14.25,2500800,1325,161,2977,4463,0,0
20,BBDC3,2022-07-05,14.13,14.33,14.04,14.28,4934500,4288,141,4847,9276,0,0
21,BBDC3,2022-07-06,14.28,14.37,14.12,14.22,5408300,4051,157,3746,7953,1,0
22,BBDC3,2022-07-07,14.35,14.51,14.3,14.44,7460700,5506,157,8332,13993,2,0
23,BBDC3,2022-07-08,14.46,14.59,14.34,14.48,4701500,3478,83,4379,7940,0,0
24,BBDC3,2022-07-11,14.37,14.44,14.16,14.23,5249100,4691,109,8069,12868,1,0
25,BBDC3,2022-07-12,14.27,14.38,14.03,14.25,5400200,4711,84,6260,11055,0,0
26,BBDC3,2022-07-13,14.13,14.23,13.9,13.91,8175800,5404,168,7459,13030,1,0
27,BBDC3,2022-07-14,13.81,13.81,13.53,13.61,10054600,5410,134,5751,11295,0,0
28,BBDC3,2022-07-15,13.73,13.86,13.55,13.72,4045300,2887,130,2745,5761,1,0
29,BBDC3,2022-07-18,13.83,14.02,13.72,13.85,4644900,3756,103,4260,8119,0,0
30,BBDC3,2022-07-19,13.9,14.38,13.86,14.38,5954000,3513,84,3785,7380,2,0
31,BBDC3,2022-07-20,14.26,14.35,14.04,14.09,7220800,3571,131,5411,9112,1,0
32,BBDC3,2022-07-21,14.03,14.32,13.97,14.27,8689200,4229,146,5761,10132,4,0
33,BBDC3,2022-07-22,14.32,14.32,14.08,14.19,6468100,3302,147,5136,8585,0,0
34,BBDC3,2022-07-25,14.25,14.43,14.21,14.29,3603100,1910,86,4243,6239,0,0
35,BBDC3,2022-07-26,14.35,14.47,14.2,14.31,5911400,2464,100,4188,6751,1,0
36,BBDC3,2022-07-27,14.31,14.39,14.24,14.38,3795700,2383,94,2112,4587,2,0
37,BBDC3,2022-07-28,14.32,14.44,14.11,14.41,6012700,7014,328,4426,11548,220,0
38,BBDC3,2022-07-29,14.4,14.67,14.34,14.53,7880500,6164,102,3405,9670,1,0
39,BBDC3,2022-08-01,14.47,14.57,14.33,14.4,9448200,4758,87,4745,9586,4,0
40,BBDC3,2022-08-02,14.41,14.77,14.37,14.61,7806100,6674,139,4069,10881,1,0
41,BBDC3,2022-08-03,14.65,14.88,14.55,14.87,4691800,3560,113,3164,6836,1,0
42,BBDC3,2022-08-08,15.41,15.44,15.21,15.43,6025900,11035,95,4396,15526,0,0
43,BBDC3,2022-08-09,15.48,15.67,15.32,15.6,6810600,4294,138,7106,11536,2,0
44,BBDC3,2022-08-10,15.68,15.89,15.57,15.88,5098700,5120,176,3248,8541,3,0
45,BBDC3,2022-08-12,16.02,16.22,15.99,16.11,7288800,3470,270,4408,8145,3,0
46,BBDC3,2022-08-15,16.02,16.08,15.89,16.03,9285800,8592,155,10148,18893,2,0
47,BBDC3,2022-08-16,16.0,16.34,15.87,16.33,7612600,4195,136,6511,10836,6,0
48,BBDC3,2022-08-17,16.23,16.47,16.18,16.34,7027200,6667,118,5898,12680,3,0
49,BBDC3,2022-08-18,16.37,16.5,16.28,16.48,5093100,6779,93,3609,10479,2,0
50,BBDC3,2022-08-19,16.34,16.4,16.09,16.09,5683900,5508,122,3914,9542,2,0
51,BBDC3,2022-08-22,16.02,16.16,15.97,16.03,4142400,2988,137,5038,8162,1,0
52,BBDC3,2022-08-23,16.01,16.2,16.0,16.17,3353800,2657,83,3734,6474,0,0
53,BBDC3,2022-08-24,16.08,16.23,16.01,16.05,3192000,3129,95,6329,9552,1,0
54,BBDC3,2022-08-25,16.07,16.3,16.04,16.14,2900400,2268,71,2654,4991,2,0
55,BBDC3,2022-08-26,16.19,16.37,16.01,16.01,4755300,2999,81,5279,8359,0,0
56,BBDC3,2022-08-29,16.0,16.28,15.86,16.13,5333300,5575,99,3590,9263,1,0
57,BBDC3,2022-08-30,16.21,16.34,16.09,16.09,5316300,3149,82,3513,6743,1,0
58,BBDC3,2022-08-31,16.15,16.24,15.76,15.83,12437200,3976,247,4196,8409,10,0
59,BBDC3,2022-09-01,15.84,15.94,15.44,15.87,9552700,8436,127,5679,14237,5,0
60,BBDC3,2022-09-02,15.91,16.26,15.85,16.05,8778600,4131,230,5011,9370,2,0
61,BBDC3,2022-09-05,15.98,16.16,15.93,16.1,3487900,2218,101,3158,5476,1,0
