,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BBSE3,2022-06-06,25.89,26.19,25.62,25.7,2381200,3961,383,4557,8650,0,251
1,BBSE3,2022-06-07,25.43,25.7,25.33,25.5,3826700,5203,274,8701,14062,1,115
2,BBSE3,2022-06-08,25.23,25.82,25.02,25.29,4568400,5515,382,6191,11889,1,198
3,BBSE3,2022-06-09,25.15,25.4,24.89,25.19,3988400,8323,414,5790,14312,2,213
4,BBSE3,2022-06-10,24.97,25.05,24.53,24.7,3836500,9106,330,5745,15011,0,170
5,BBSE3,2022-06-13,24.3,24.91,24.19,24.5,7904500,11780,551,13077,25092,1,315
6,BBSE3,2022-06-14,24.7,24.82,24.37,24.73,4459100,8151,346,9221,17534,1,183
7,BBSE3,2022-06-15,24.74,25.21,24.53,24.93,4752700,8245,449,9679,18121,4,248
8,BBSE3,2022-06-17,24.58,24.95,24.43,24.48,6341000,7352,611,7254,14897,0,320
9,BBSE3,2022-06-20,24.88,25.4,24.75,25.16,2905000,6183,378,6093,12381,0,273
10,BBSE3,2022-06-21,25.22,25.47,24.88,25.31,7875700,7493,372,9293,16939,1,218
11,BBSE3,2022-06-22,25.24,25.31,24.52,24.92,4482900,6681,471,5682,12527,1,306
12,BBSE3,2022-06-23,24.97,25.5,24.9,25.09,4316400,6645,489,4788,11599,0,323
13,BBSE3,2022-06-24,25.34,25.43,24.73,24.8,3868100,4556,313,4757,9470,1,155
14,BBSE3,2022-06-27,24.66,25.2,24.59,25.09,3385000,4914,436,3972,9070,0,252
15,BBSE3,2022-06-28,25.37,25.77,25.14,25.38,4885100,6825,711,5967,13141,1,361
16,BBSE3,2022-06-29,25.56,26.1,25.44,25.44,5616100,6275,594,10272,16713,4,424
17,BBSE3,2022-06-30,25.2,26.09,25.11,25.85,9766800,13728,897,13245,27268,6,596
18,BBSE3,2022-07-01,25.93,26.22,25.52,26.18,4823100,7509,678,8626,16367,1,445
19,BBSE3,2022-07-04,26.06,26.14,25.27,25.44,3388100,3843,581,6561,10575,0,410
20,BBSE3,2022-07-05,25.29,25.46,25.08,25.15,4781500,6351,453,8344,14903,0,245
21,BBSE3,2022-07-06,24.94,25.35,24.86,25.19,4194700,7097,371,7377,14626,1,218
22,BBSE3,2022-07-07,25.46,25.62,25.25,25.49,3600800,3773,481,7122,11112,0,264
23,BBSE3,2022-07-08,25.58,25.69,25.28,25.3,2855400,4804,401,5936,10918,0,223
24,BBSE3,2022-07-11,25.15,25.45,25.01,25.13,3138000,5533,376,6706,12409,0,206
25,BBSE3,2022-07-12,25.15,25.35,24.89,25.29,2475900,4433,315,7308,11903,0,153
