,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BDLL4,2022-06-08,8.55,9.09,8.5,8.52,5700,11,0,3,14,0,0
1,BDLL4,2022-06-09,9.0,9.0,8.5,8.5,500,1,0,4,5,0,0
2,BDLL4,2022-06-15,8.03,8.18,8.03,8.17,800,4,0,2,6,0,0
3,BDLL4,2022-06-17,8.0,8.02,8.0,8.0,700,0,0,4,4,0,0
4,BDLL4,2022-06-20,8.0,8.3,8.0,8.3,1100,5,0,1,6,0,0
5,BDLL4,2022-06-21,8.6,8.6,8.6,8.6,100,1,0,0,1,0,0
6,BDLL4,2022-07-07,8.48,8.5,8.48,8.5,200,1,1,0,2,0,0
7,BDLL4,2022-07-08,7.85,7.85,7.85,7.85,100,0,0,1,1,0,0
8,BDLL4,2022-07-11,7.85,8.0,7.85,8.0,400,2,0,2,4,0,0
9,BDLL4,2022-07-14,8.35,8.5,8.0,8.5,600,4,0,1,5,0,0
10,BDLL4,2022-07-19,8.9,8.9,8.9,8.9,100,0,0,1,1,0,0
11,BDLL4,2022-07-22,9.06,9.3,8.5,8.5,1400,6,0,6,12,0,0
12,BDLL4,2022-07-25,8.75,8.94,8.75,8.94,700,5,0,1,6,0,0
13,BDLL4,2022-07-27,8.8,8.8,8.51,8.61,500,3,0,2,5,0,0
14,BDLL4,2022-07-29,8.21,8.22,8.18,8.18,300,1,0,2,3,0,0
15,BDLL4,2022-08-01,8.0,8.0,8.0,8.0,1100,9,0,1,10,0,0
16,BDLL4,2022-08-03,7.95,8.45,7.95,8.45,300,1,0,2,3,0,0
17,BDLL4,2022-08-08,8.29,8.5,8.29,8.5,1400,7,0,0,7,0,0
18,BDLL4,2022-08-09,8.2,8.5,8.2,8.21,900,6,0,3,9,0,0
19,BDLL4,2022-08-10,8.22,8.22,8.22,8.22,200,1,0,1,2,0,0
20,BDLL4,2022-08-12,8.38,8.38,8.37,8.37,200,1,0,1,2,0,0
21,BDLL4,2022-08-15,8.15,8.15,8.01,8.01,700,0,0,7,7,0,0
22,BDLL4,2022-08-16,8.15,8.2,8.15,8.2,1600,6,0,1,7,0,0
23,BDLL4,2022-08-17,8.38,8.45,8.38,8.45,400,4,0,0,4,0,0
24,BDLL4,2022-08-18,8.4,8.75,8.26,8.75,3600,12,0,4,16,0,0
25,BDLL4,2022-08-19,8.7,8.7,8.17,8.17,500,1,1,3,5,0,0
26,BDLL4,2022-08-22,8.48,8.49,8.2,8.2,300,2,0,1,3,0,0
27,BDLL4,2022-08-23,8.48,8.49,8.48,8.49,700,4,0,0,4,0,0
28,BDLL4,2022-08-26,8.39,8.39,8.39,8.39,1700,2,0,0,2,0,0
