,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BEES4,2022-06-06,5.34,5.35,5.27,5.27,2000,8,0,4,12,0,0
1,BEES4,2022-06-07,5.06,5.3,5.06,5.29,3700,10,0,10,20,0,0
2,BEES4,2022-06-08,5.24,5.49,5.24,5.25,3600,9,0,8,17,0,0
3,BEES4,2022-06-09,5.23,5.4,5.17,5.27,2200,4,0,15,19,0,0
4,BEES4,2022-06-10,5.1,5.32,5.1,5.32,5200,7,0,17,24,0,0
5,BEES4,2022-06-13,5.1,5.25,5.05,5.25,4800,6,1,18,25,0,0
6,BEES4,2022-06-14,5.11,5.39,5.11,5.12,3000,14,0,8,22,0,0
7,BEES4,2022-06-15,5.33,5.33,5.32,5.32,600,3,0,2,5,0,0
8,BEES4,2022-06-17,5.27,5.27,5.13,5.15,2800,11,1,8,20,0,0
9,BEES4,2022-06-20,5.07,5.16,5.07,5.15,900,4,0,3,7,0,0
10,BEES4,2022-06-21,5.15,5.26,5.15,5.15,1000,8,0,1,9,0,0
11,BEES4,2022-06-22,5.37,5.37,5.13,5.2,1700,7,0,2,9,0,0
12,BEES4,2022-06-23,5.29,5.29,5.14,5.15,1900,7,0,8,15,0,0
13,BEES4,2022-06-24,5.15,5.25,5.15,5.25,1300,10,0,3,13,0,0
14,BEES4,2022-06-27,5.34,5.34,5.0,5.1,10700,11,0,32,43,0,0
15,BEES4,2022-06-28,5.2,5.21,5.01,5.03,7300,9,0,18,27,0,0
16,BEES4,2022-06-29,5.19,5.25,5.19,5.25,1300,7,1,0,8,0,0
17,BEES4,2022-06-30,5.24,5.29,5.12,5.29,4400,15,0,7,22,0,0
18,BEES4,2022-07-01,5.21,5.21,5.15,5.15,2700,12,0,4,16,0,0
19,BEES4,2022-07-04,5.2,5.2,5.1,5.19,3400,13,0,6,19,0,0
20,BEES4,2022-07-05,5.0,5.18,4.95,5.14,7000,9,0,25,34,0,0
21,BEES4,2022-07-06,5.16,5.23,5.09,5.14,2300,14,0,3,17,0,0
22,BEES4,2022-07-07,5.24,5.3,5.12,5.29,2300,13,0,5,18,0,0
23,BEES4,2022-07-08,5.38,5.4,5.25,5.33,7600,24,1,21,46,0,0
24,BEES4,2022-07-11,5.33,5.33,5.16,5.25,2300,8,1,10,19,0,0
25,BEES4,2022-07-12,5.25,5.34,5.25,5.3,4500,15,0,5,20,0,0
26,BEES4,2022-07-13,5.3,5.34,5.23,5.23,4000,11,0,7,18,0,0
27,BEES4,2022-07-14,5.27,5.27,5.16,5.16,1300,3,0,10,13,0,0
28,BEES4,2022-07-15,5.34,5.34,5.16,5.16,4200,12,0,6,18,0,0
29,BEES4,2022-07-18,5.24,5.26,5.22,5.26,3200,10,0,5,15,0,0
30,BEES4,2022-07-19,5.37,5.37,5.19,5.3,3300,10,0,9,19,0,0
31,BEES4,2022-07-20,5.3,5.35,5.25,5.35,3200,12,0,5,17,0,0
32,BEES4,2022-07-21,5.35,5.4,5.32,5.37,5100,18,1,4,23,0,0
33,BEES4,2022-07-22,5.4,5.4,5.39,5.39,1400,11,0,0,11,0,0
