,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BGIP4,2022-06-06,20.0,20.0,20.0,20.0,100,1,0,0,1,0,0
1,BGIP4,2022-06-07,20.05,20.05,20.03,20.03,300,1,0,1,2,0,0
2,BGIP4,2022-06-08,19.96,19.96,19.96,19.96,200,2,0,0,2,0,0
3,BGIP4,2022-06-09,19.88,19.88,19.88,19.88,100,1,0,0,1,0,0
4,BGIP4,2022-06-10,19.12,19.15,19.0,19.15,900,1,0,8,9,0,0
5,BGIP4,2022-06-13,19.0,19.07,19.0,19.07,1200,0,1,3,4,0,0
6,BGIP4,2022-06-14,19.35,19.5,19.35,19.45,500,3,0,1,4,0,0
7,BGIP4,2022-06-15,19.98,20.03,19.98,20.03,300,2,1,0,3,0,0
8,BGIP4,2022-06-17,20.12,20.15,20.08,20.15,500,2,0,3,5,0,0
9,BGIP4,2022-06-20,19.86,19.86,19.86,19.86,200,1,0,1,2,0,0
10,BGIP4,2022-06-21,19.91,19.91,19.91,19.91,100,0,0,1,1,0,0
11,BGIP4,2022-06-22,20.01,20.01,19.8,19.8,400,2,0,1,3,0,0
12,BGIP4,2022-06-23,19.8,19.8,19.8,19.8,1000,2,0,0,2,0,0
13,BGIP4,2022-06-24,19.8,19.82,19.8,19.8,1300,4,0,2,6,0,0
14,BGIP4,2022-06-27,19.8,19.8,19.79,19.8,800,4,0,0,4,0,0
15,BGIP4,2022-06-28,19.73,19.73,19.4,19.4,1900,5,0,2,7,0,0
16,BGIP4,2022-06-29,19.4,19.4,19.0,19.0,1300,6,0,2,8,0,0
17,BGIP4,2022-06-30,19.0,19.0,19.0,19.0,200,2,0,0,2,0,0
18,BGIP4,2022-07-01,19.0,19.28,19.0,19.28,200,1,0,1,2,0,0
19,BGIP4,2022-07-04,19.28,19.28,19.25,19.25,200,2,0,0,2,0,0
20,BGIP4,2022-07-06,19.26,19.26,19.26,19.26,100,1,0,0,1,0,0
21,BGIP4,2022-07-07,19.79,19.8,19.27,19.8,700,3,0,2,5,0,0
22,BGIP4,2022-07-08,19.6,19.6,19.6,19.6,200,1,0,0,1,0,0
23,BGIP4,2022-07-11,18.98,18.98,18.78,18.8,600,3,0,2,5,0,0
24,BGIP4,2022-07-12,18.76,18.76,18.0,18.0,3500,4,0,13,17,0,0
25,BGIP4,2022-07-13,18.0,18.1,17.7,17.8,2900,9,1,6,16,0,0
26,BGIP4,2022-07-14,18.18,18.18,17.99,17.99,1100,3,0,1,4,0,0
27,BGIP4,2022-07-15,17.76,17.95,17.76,17.95,600,4,0,0,4,0,0
28,BGIP4,2022-07-18,17.95,18.22,17.94,17.95,400,4,0,0,4,0,0
29,BGIP4,2022-07-19,18.0,18.5,17.72,18.5,2100,6,0,3,9,0,0
30,BGIP4,2022-07-20,18.29,18.94,18.29,18.94,200,1,0,1,2,0,0
31,BGIP4,2022-07-25,18.67,18.98,18.67,18.98,300,2,0,1,3,0,0
32,BGIP4,2022-07-26,18.7,18.97,18.42,18.42,400,1,0,3,4,0,0
33,BGIP4,2022-07-27,18.42,18.7,18.42,18.63,300,1,0,2,3,0,0
34,BGIP4,2022-07-28,18.98,19.0,18.98,19.0,500,5,0,0,5,0,0
35,BGIP4,2022-07-29,19.0,19.38,18.5,18.9,700,3,0,4,7,0,0
36,BGIP4,2022-08-01,18.97,19.0,18.76,19.0,300,3,0,0,3,0,0
37,BGIP4,2022-08-02,19.0,19.0,18.5,18.5,1300,6,0,4,10,0,0
38,BGIP4,2022-08-03,18.6,19.0,18.3,19.0,600,3,0,1,4,0,0
39,BGIP4,2022-08-08,19.13,19.13,18.8,18.8,200,1,1,0,2,0,0
40,BGIP4,2022-08-09,19.1,19.1,18.8,18.8,400,1,0,3,4,0,0
41,BGIP4,2022-08-12,18.91,18.91,18.74,18.74,400,1,0,3,4,0,0
42,BGIP4,2022-08-15,18.99,18.99,18.99,18.99,700,1,0,0,1,0,0
