,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BIOM3,2022-06-06,10.32,10.51,10.3,10.51,5600,15,2,7,24,0,0
1,BIOM3,2022-06-07,10.2,10.45,10.2,10.21,600,1,0,5,6,0,0
2,BIOM3,2022-06-08,10.4,10.4,10.14,10.14,1800,8,1,3,12,0,0
3,BIOM3,2022-06-09,10.14,10.3,10.14,10.3,300,0,1,1,2,0,0
4,BIOM3,2022-06-10,10.14,10.3,9.96,9.96,2500,8,0,6,14,0,0
5,BIOM3,2022-06-13,9.8,10.14,9.6,10.0,2300,6,0,9,15,0,0
6,BIOM3,2022-06-14,10.0,10.0,9.2,9.59,10900,9,1,9,18,1,0
7,BIOM3,2022-06-15,9.97,9.97,9.11,9.29,2400,3,0,9,12,0,0
8,BIOM3,2022-06-17,9.1,9.1,8.65,8.65,2100,6,0,8,14,0,0
9,BIOM3,2022-06-20,8.71,8.87,8.7,8.7,3300,15,1,16,32,0,0
10,BIOM3,2022-06-21,8.55,8.65,8.35,8.54,1200,7,0,5,12,0,0
11,BIOM3,2022-06-22,8.44,9.2,8.3,8.65,8600,46,0,30,76,0,0
12,BIOM3,2022-06-23,8.6,8.64,8.03,8.44,8000,24,0,26,50,0,0
13,BIOM3,2022-06-24,8.7,9.15,7.85,7.97,6100,28,1,19,48,0,0
14,BIOM3,2022-06-27,8.2,8.35,7.6,7.63,4600,11,1,23,35,0,0
15,BIOM3,2022-06-28,8.0,8.2,7.5,7.5,9000,34,0,23,57,0,0
16,BIOM3,2022-06-29,7.75,8.95,7.5,8.29,1754000,209,0,140,349,0,0
17,BIOM3,2022-06-30,8.19,8.19,7.77,7.86,11800,36,0,37,73,0,0
18,BIOM3,2022-07-01,8.0,8.0,7.2,7.2,21400,19,1,64,83,1,0
19,BIOM3,2022-07-04,7.35,7.64,7.1,7.3,9200,7,0,31,38,0,0
20,BIOM3,2022-07-05,7.3,7.57,6.8,7.57,3000,11,0,15,26,0,0
21,BIOM3,2022-07-06,7.64,8.0,7.4,7.5,3000,11,0,8,19,0,0
22,BIOM3,2022-07-07,7.38,7.7,7.38,7.5,2300,11,2,6,19,0,0
23,BIOM3,2022-07-08,7.7,7.7,7.5,7.5,2400,3,1,9,13,0,0
24,BIOM3,2022-07-11,7.57,7.84,7.5,7.51,3200,3,0,14,17,0,0
25,BIOM3,2022-07-12,7.45,7.89,7.45,7.75,2300,7,0,8,15,0,0
26,BIOM3,2022-07-13,7.54,7.69,7.5,7.5,6100,11,0,15,26,0,0
27,BIOM3,2022-07-14,7.5,7.51,6.99,6.99,11200,29,0,24,53,0,0
28,BIOM3,2022-07-15,7.09,7.59,7.09,7.4,7900,19,0,16,35,0,0
29,BIOM3,2022-07-18,7.55,7.6,7.21,7.49,2600,10,0,10,20,0,0
30,BIOM3,2022-07-19,7.61,7.83,7.59,7.59,3200,11,4,11,26,0,0
31,BIOM3,2022-07-20,7.41,7.7,7.3,7.44,4500,11,1,14,26,0,0
32,BIOM3,2022-07-21,7.67,7.67,7.44,7.54,1800,9,1,8,18,0,0
33,BIOM3,2022-07-22,7.79,7.79,7.47,7.5,2200,14,1,6,21,0,0
34,BIOM3,2022-07-25,7.62,8.0,7.2,7.47,8800,37,0,34,71,0,0
35,BIOM3,2022-07-26,7.54,7.65,7.23,7.3,3000,14,0,8,22,0,0
36,BIOM3,2022-07-27,7.5,7.8,7.45,7.45,3800,18,1,7,26,0,0
37,BIOM3,2022-07-28,7.54,7.7,7.38,7.49,4300,21,1,11,33,0,0
38,BIOM3,2022-07-29,7.59,7.59,7.32,7.32,3300,9,0,12,21,0,0
39,BIOM3,2022-08-01,7.4,7.4,7.03,7.31,4900,17,1,25,43,0,0
40,BIOM3,2022-08-02,7.31,7.66,7.12,7.12,5700,23,0,16,39,0,0
41,BIOM3,2022-08-03,7.35,7.5,7.27,7.28,2200,12,0,10,22,0,0
42,BIOM3,2022-08-08,7.55,7.8,7.22,7.71,24000,89,0,67,156,0,0
43,BIOM3,2022-08-09,8.03,8.25,7.74,7.74,6200,32,0,14,46,0,0
44,BIOM3,2022-08-10,7.9,9.3,7.9,9.0,21400,74,1,48,123,0,0
45,BIOM3,2022-08-12,8.99,9.04,8.84,8.84,4500,34,0,10,44,0,0
46,BIOM3,2022-08-15,8.74,9.1,8.74,9.08,3900,16,0,1,17,0,0
47,BIOM3,2022-08-16,9.1,9.5,8.83,9.5,6300,43,0,9,52,0,0
48,BIOM3,2022-08-17,9.26,9.99,9.26,9.66,9600,49,0,17,66,0,0
49,BIOM3,2022-08-18,9.35,9.4,9.1,9.39,2400,7,1,7,15,0,0
50,BIOM3,2022-08-19,9.2,9.2,8.55,8.9,3600,10,1,9,20,0,0
51,BIOM3,2022-08-22,8.72,8.72,8.44,8.44,3300,10,0,7,17,0,0
52,BIOM3,2022-08-23,8.63,9.13,8.63,8.99,4700,14,0,13,27,0,0
