,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BKBR3,2022-06-06,7.36,7.4,7.06,7.12,1399400,3358,73,2470,5901,0,0
1,BKBR3,2022-06-07,7.07,7.16,6.86,7.02,1221700,1761,43,2680,4484,0,0
2,BKBR3,2022-06-08,6.93,7.17,6.88,6.98,2064600,4485,61,3283,7829,0,0
3,BKBR3,2022-06-09,6.96,7.09,6.79,6.89,817200,1415,58,1918,3391,0,0
4,BKBR3,2022-06-10,6.81,6.82,6.46,6.54,975600,1739,51,1891,3681,0,0
5,BKBR3,2022-06-13,6.36,6.37,6.0,6.09,2174000,4877,50,2060,6987,0,0
6,BKBR3,2022-06-14,6.12,6.22,5.93,5.95,1029700,1417,61,1784,3262,0,0
7,BKBR3,2022-06-15,6.09,6.18,5.92,6.08,1673200,3783,64,3650,7497,0,0
8,BKBR3,2022-06-17,5.99,6.15,5.77,6.02,1775000,2939,80,2221,5240,0,0
9,BKBR3,2022-06-20,6.05,6.21,5.88,6.13,1325200,2299,51,1487,3837,0,0
10,BKBR3,2022-06-21,6.15,6.23,5.8,5.89,1446400,2140,52,2135,4327,0,0
11,BKBR3,2022-06-22,5.85,6.03,5.67,5.84,1452700,1647,69,2741,4457,0,0
12,BKBR3,2022-06-23,5.87,6.18,5.81,6.0,1720000,3671,46,2190,5907,0,0
13,BKBR3,2022-06-24,6.05,6.17,5.91,6.04,967200,1708,44,1351,3103,0,0
14,BKBR3,2022-06-27,6.05,6.07,5.83,5.87,1239100,1594,47,2654,4295,0,0
15,BKBR3,2022-06-28,5.98,6.18,5.74,5.86,1620300,2094,51,3164,5309,0,0
16,BKBR3,2022-06-29,5.88,5.88,5.63,5.88,1131600,1173,52,1913,3138,0,0
17,BKBR3,2022-06-30,5.66,5.79,5.54,5.56,1964700,2304,55,4871,7230,0,0
18,BKBR3,2022-07-01,5.61,5.74,5.38,5.68,2217700,6882,52,3500,10434,0,0
19,BKBR3,2022-07-04,5.7,5.74,5.6,5.6,800900,1050,46,2797,3893,0,0
