,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BLAU3,2022-06-06,23.92,24.12,23.23,23.7,374500,701,47,772,1497,2,21
1,BLAU3,2022-06-07,23.7,24.8,23.0,24.52,397900,1274,52,1442,2753,1,14
2,BLAU3,2022-06-08,24.28,24.68,23.99,24.22,1597300,908,44,1433,2366,7,12
3,BLAU3,2022-06-09,24.19,25.81,24.18,25.32,380300,1238,79,1384,2672,0,29
4,BLAU3,2022-06-10,25.17,26.1,24.89,25.99,323000,1058,52,1189,2275,0,24
5,BLAU3,2022-06-13,25.52,25.68,24.32,24.62,169300,718,87,379,1146,0,38
6,BLAU3,2022-06-14,24.61,25.27,24.05,24.6,401700,819,66,687,1542,1,29
7,BLAU3,2022-06-15,25.37,25.48,24.65,25.0,210900,795,42,682,1506,0,13
8,BLAU3,2022-06-17,24.59,25.64,24.44,25.47,261200,978,350,862,1880,277,33
9,BLAU3,2022-06-20,25.46,25.7,24.54,24.82,230500,548,67,653,1242,0,26
10,BLAU3,2022-06-21,25.11,25.11,24.26,24.8,241500,1092,46,878,1999,0,17
11,BLAU3,2022-06-22,24.6,25.21,24.51,24.62,363000,1362,63,1058,2470,0,13
12,BLAU3,2022-06-23,24.75,24.92,24.4,24.4,109200,386,43,381,802,0,8
13,BLAU3,2022-06-24,24.75,24.83,23.6,23.92,372200,752,79,704,1505,1,29
14,BLAU3,2022-06-27,24.3,24.3,23.65,23.85,197100,358,61,288,687,1,19
15,BLAU3,2022-06-28,24.02,24.36,23.3,24.0,625900,1178,66,1362,2573,1,32
16,BLAU3,2022-06-29,24.0,24.3,23.35,23.66,300400,920,54,750,1713,0,11
17,BLAU3,2022-06-30,23.6,25.2,23.4,24.92,391400,860,97,551,1494,0,14
18,BLAU3,2022-07-01,24.64,25.58,24.45,25.5,741500,2164,74,1697,3916,0,19
19,BLAU3,2022-07-04,25.27,26.1,25.05,25.63,541200,1209,100,1405,2688,2,24
20,BLAU3,2022-07-05,25.96,26.52,25.24,26.42,348800,1528,92,651,2248,0,23
21,BLAU3,2022-07-06,26.2,27.69,26.13,26.72,432700,1419,105,1322,2808,0,38
22,BLAU3,2022-07-07,27.13,27.19,26.12,27.02,444100,1273,79,1191,2519,0,24
23,BLAU3,2022-07-08,26.84,27.15,26.0,26.63,849800,2434,152,1983,4526,0,43
24,BLAU3,2022-07-11,26.36,26.52,25.37,26.17,453200,1195,121,1187,2479,0,24
25,BLAU3,2022-07-12,26.09,26.84,25.7,26.46,360700,1287,142,905,2284,0,50
26,BLAU3,2022-07-13,26.34,27.43,26.15,27.18,499800,1364,94,978,2393,0,43
27,BLAU3,2022-07-14,26.87,27.28,26.27,26.6,1139200,1819,101,2193,4086,0,27
28,BLAU3,2022-07-15,26.63,26.63,25.7,26.3,534600,1546,879,1171,2791,784,21
