,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BLUT3,2022-06-06,1.25,1.28,1.15,1.21,101000,103,1,72,176,0,0
1,BLUT3,2022-06-07,1.23,1.25,1.16,1.25,105400,150,0,66,216,0,0
2,BLUT3,2022-06-08,1.27,1.3,1.2,1.24,84300,92,0,58,150,0,0
3,BLUT3,2022-06-09,1.25,1.27,1.16,1.18,68400,87,0,60,147,0,0
4,BLUT3,2022-06-10,1.18,1.24,1.13,1.19,120800,213,0,70,283,0,0
5,BLUT3,2022-06-13,1.2,1.27,1.13,1.17,123100,146,0,54,200,0,0
6,BLUT3,2022-06-14,1.19,1.26,1.12,1.15,89500,115,0,61,176,0,0
7,BLUT3,2022-06-15,1.16,1.21,1.13,1.16,38200,62,0,29,91,0,0
8,BLUT3,2022-06-17,1.17,1.2,1.11,1.16,92400,137,1,90,228,0,0
9,BLUT3,2022-06-20,1.19,1.19,1.14,1.15,31500,46,0,26,72,0,0
10,BLUT3,2022-06-21,1.18,1.18,1.13,1.16,20700,48,0,27,75,0,0
11,BLUT3,2022-06-22,1.17,1.18,1.09,1.09,57400,41,0,51,92,0,0
12,BLUT3,2022-06-23,1.14,1.14,1.08,1.08,78300,73,0,35,108,0,0
13,BLUT3,2022-06-24,1.1,1.1,1.05,1.09,12400,41,0,8,49,0,0
14,BLUT3,2022-06-27,1.1,1.11,1.05,1.1,41000,32,0,9,41,0,0
15,BLUT3,2022-06-28,1.1,1.11,1.04,1.06,33200,38,0,21,59,0,0
16,BLUT3,2022-06-29,1.1,1.11,1.01,1.03,76100,50,0,38,88,0,0
17,BLUT3,2022-06-30,1.05,1.08,0.98,0.99,104000,77,0,65,142,0,0
18,BLUT3,2022-07-01,0.97,1.0,0.95,0.98,106900,160,0,43,203,0,0
19,BLUT3,2022-07-04,1.05,1.05,0.98,1.0,87100,206,0,49,255,0,0
20,BLUT3,2022-07-05,1.01,1.04,0.96,0.97,54900,67,1,40,108,0,0
21,BLUT3,2022-07-06,1.02,1.05,0.96,0.99,133800,96,0,43,139,0,0
22,BLUT3,2022-07-07,0.99,1.02,0.9,0.94,216300,186,0,84,270,0,0
23,BLUT3,2022-07-08,0.97,1.0,0.91,0.94,78500,71,0,54,125,0,0
24,BLUT3,2022-07-11,0.96,0.97,0.91,0.92,71600,53,0,42,95,0,0
25,BLUT3,2022-07-12,0.94,1.11,0.92,1.09,464700,340,1,116,457,0,0
26,BLUT3,2022-07-13,1.08,1.11,1.03,1.1,112100,167,0,81,248,0,0
27,BLUT3,2022-07-14,1.09,1.15,1.02,1.1,119500,220,0,68,288,0,0
28,BLUT3,2022-07-15,1.08,1.19,1.08,1.16,178200,448,1,130,579,0,0
29,BLUT3,2022-07-18,1.19,1.19,1.11,1.12,48300,85,0,38,123,0,0
30,BLUT3,2022-07-19,1.15,1.15,1.07,1.09,57100,59,0,63,122,0,0
