,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BMEB3,2022-06-07,12.45,12.8,12.3,12.8,300,2,0,1,3,0,0
1,BMEB3,2022-06-08,12.7,12.72,12.7,12.72,700,1,0,3,4,0,0
2,BMEB3,2022-06-09,12.43,12.43,12.36,12.36,500,0,0,4,4,0,0
3,BMEB3,2022-06-14,12.08,12.08,12.05,12.05,500,0,0,4,4,0,0
4,BMEB3,2022-06-15,12.0,12.0,11.92,11.92,600,4,0,2,6,0,0
5,BMEB3,2022-06-17,11.89,11.89,11.89,11.89,100,1,0,0,1,0,0
6,BMEB3,2022-06-21,11.71,11.73,11.51,11.51,400,0,0,3,3,0,0
7,BMEB3,2022-06-23,11.46,11.46,11.27,11.28,600,0,0,3,3,0,0
8,BMEB3,2022-06-27,11.2,11.27,11.2,11.2,1300,2,0,3,5,0,0
9,BMEB3,2022-06-28,11.15,11.15,11.15,11.15,100,0,0,1,1,0,0
10,BMEB3,2022-07-04,11.09,11.09,11.05,11.05,200,0,0,2,2,0,0
11,BMEB3,2022-07-07,11.05,11.05,11.05,11.05,100,0,0,1,1,0,0
12,BMEB3,2022-07-08,11.05,11.36,11.05,11.36,1800,1,0,2,3,0,0
13,BMEB3,2022-07-13,11.36,11.36,11.36,11.36,100,1,0,0,1,0,0
14,BMEB3,2022-07-18,11.27,11.27,11.27,11.27,100,0,0,1,1,0,0
15,BMEB3,2022-07-22,11.0,11.27,10.95,10.95,600,0,0,6,6,0,0
16,BMEB3,2022-07-25,10.99,11.11,10.51,10.51,1400,0,0,10,10,0,0
17,BMEB3,2022-07-27,10.57,10.57,10.24,10.24,1800,4,0,8,12,0,0
18,BMEB3,2022-08-08,10.1,10.25,10.1,10.25,400,3,0,0,3,0,0
19,BMEB3,2022-08-09,10.26,10.26,10.25,10.25,500,0,0,2,2,0,0
20,BMEB3,2022-08-10,10.26,11.79,10.26,11.79,600,0,0,6,6,0,0
21,BMEB3,2022-08-12,11.7,11.7,11.7,11.7,400,1,0,0,1,0,0
22,BMEB3,2022-08-17,11.52,12.26,11.52,12.26,400,0,0,4,4,0,0
23,BMEB3,2022-08-18,11.07,11.21,11.07,11.21,1200,0,1,6,7,0,0
24,BMEB3,2022-08-19,11.21,11.22,11.21,11.21,400,1,0,3,4,0,0
25,BMEB3,2022-08-22,11.0,11.0,10.5,10.95,4900,20,2,15,37,0,0
