,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BMGB4,2022-06-06,2.75,2.76,2.69,2.71,394700,698,0,818,1516,0,0
1,BMGB4,2022-06-07,2.71,2.71,2.64,2.66,596400,737,0,1130,1867,0,0
2,BMGB4,2022-06-08,2.64,2.67,2.62,2.64,538000,709,22,745,1476,0,0
3,BMGB4,2022-06-09,2.62,2.65,2.6,2.62,474000,721,0,748,1469,0,0
4,BMGB4,2022-06-10,2.62,2.65,2.58,2.63,575300,849,22,1063,1934,0,0
5,BMGB4,2022-06-13,2.6,2.6,2.45,2.47,1636200,1593,42,1081,2716,0,0
6,BMGB4,2022-06-14,2.46,2.49,2.38,2.43,760500,919,14,988,1921,0,0
7,BMGB4,2022-06-15,2.43,2.46,2.38,2.42,908300,1008,11,1439,2458,0,0
8,BMGB4,2022-06-17,2.38,2.4,2.36,2.38,693700,1028,22,1023,2073,0,0
9,BMGB4,2022-06-20,2.41,2.51,2.38,2.44,935700,811,17,1140,1968,0,0
10,BMGB4,2022-06-21,2.47,2.52,2.41,2.52,709500,794,0,1015,1809,0,0
11,BMGB4,2022-06-22,2.5,2.51,2.45,2.45,538400,850,11,1085,1946,0,0
12,BMGB4,2022-06-23,2.47,2.5,2.44,2.46,430800,1062,31,852,1945,0,0
13,BMGB4,2022-06-24,2.45,2.56,2.45,2.56,601100,858,52,971,1881,0,0
14,BMGB4,2022-06-27,2.53,2.61,2.5,2.6,1114400,1985,10,1082,3077,0,0
15,BMGB4,2022-06-28,2.6,2.61,2.45,2.48,567400,714,11,1436,2161,0,0
16,BMGB4,2022-06-29,2.48,2.48,2.39,2.48,659300,816,67,932,1815,0,0
17,BMGB4,2022-06-30,2.44,2.46,2.37,2.44,1398000,1164,46,1601,2811,0,0
18,BMGB4,2022-07-01,2.46,2.5,2.42,2.5,566200,869,22,1245,2136,0,0
19,BMGB4,2022-07-04,2.46,2.49,2.41,2.41,364900,664,42,721,1427,0,0
20,BMGB4,2022-07-05,2.4,2.44,2.37,2.41,573600,801,17,933,1751,0,0
21,BMGB4,2022-07-06,2.42,2.49,2.42,2.49,530500,1074,13,938,2025,0,0
22,BMGB4,2022-07-07,2.44,2.53,2.44,2.48,571800,927,0,815,1742,0,0
