,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BMIN4,2022-06-14,13.9,13.91,13.9,13.91,300,0,1,1,2,0,0
1,BMIN4,2022-06-17,13.68,13.68,13.68,13.68,100,0,0,1,1,0,0
2,BMIN4,2022-06-22,13.67,13.68,13.67,13.67,300,2,0,0,2,0,0
3,BMIN4,2022-06-24,13.52,13.52,13.52,13.52,200,2,0,0,2,0,0
4,BMIN4,2022-06-27,14.0,14.0,14.0,14.0,100,1,0,0,1,0,0
5,BMIN4,2022-06-28,13.97,13.97,13.97,13.97,100,1,0,0,1,0,0
6,BMIN4,2022-06-30,13.93,13.93,13.9,13.9,300,0,1,2,3,0,0
7,BMIN4,2022-07-01,13.9,13.9,13.9,13.9,100,1,0,0,1,0,0
8,BMIN4,2022-07-04,13.9,13.9,13.9,13.9,100,1,0,0,1,0,0
9,BMIN4,2022-07-05,13.73,13.73,13.73,13.73,100,1,0,0,1,0,0
10,BMIN4,2022-07-08,13.73,13.73,13.73,13.73,100,1,0,0,1,0,0
11,BMIN4,2022-07-11,13.57,13.57,13.57,13.57,100,1,0,0,1,0,0
12,BMIN4,2022-07-20,13.53,13.53,13.53,13.53,100,1,0,0,1,0,0
13,BMIN4,2022-07-22,13.53,13.53,13.53,13.53,100,1,0,0,1,0,0
14,BMIN4,2022-07-25,13.52,13.52,13.52,13.52,400,4,0,0,4,0,0
15,BMIN4,2022-07-26,13.5,13.5,13.5,13.5,100,0,0,1,1,0,0
16,BMIN4,2022-07-29,13.01,13.69,13.01,13.69,300,2,0,1,3,0,0
17,BMIN4,2022-08-03,13.6,13.6,12.71,13.2,400,1,0,3,4,0,0
18,BMIN4,2022-08-09,12.77,13.0,12.77,13.0,600,1,0,3,4,0,0
19,BMIN4,2022-08-10,12.85,13.44,12.85,13.3,800,6,0,2,8,0,0
20,BMIN4,2022-08-12,13.29,13.29,13.29,13.29,100,1,0,0,1,0,0
21,BMIN4,2022-08-16,13.29,13.79,13.29,13.79,600,2,0,1,3,0,0
22,BMIN4,2022-08-18,13.05,13.05,13.05,13.05,400,1,0,0,1,0,0
23,BMIN4,2022-08-19,12.91,13.95,12.91,13.95,600,4,0,2,6,0,0
24,BMIN4,2022-08-22,13.77,13.77,13.59,13.69,600,5,0,0,5,0,0
25,BMIN4,2022-08-23,13.5,13.5,13.5,13.5,300,1,0,1,2,0,0
26,BMIN4,2022-08-24,13.5,13.5,13.5,13.5,100,0,0,1,1,0,0
27,BMIN4,2022-08-29,13.5,13.5,13.5,13.5,900,4,0,0,4,0,0
28,BMIN4,2022-08-30,13.34,13.34,13.34,13.34,200,1,0,0,1,0,0
29,BMIN4,2022-09-01,13.5,13.5,13.5,13.5,300,1,0,0,1,0,0
30,BMIN4,2022-09-05,13.99,13.99,13.99,13.99,100,1,0,0,1,0,0
31,BMIN4,2022-09-08,13.36,13.5,13.36,13.5,200,0,0,2,2,0,0
32,BMIN4,2022-09-12,13.51,13.51,13.35,13.36,900,1,0,4,5,0,0
33,BMIN4,2022-09-13,14.34,14.34,13.52,13.52,400,3,0,1,4,0,0
34,BMIN4,2022-09-14,13.5,13.5,13.31,13.31,500,1,0,3,4,0,0
35,BMIN4,2022-09-19,13.36,13.36,13.36,13.36,100,0,0,1,1,0,0
36,BMIN4,2022-09-21,14.44,14.44,13.88,13.88,400,4,0,0,4,0,0
