,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BMKS3,2022-06-06,240.11,244.0,240.0,244.0,53,2,0,5,7,0,0
1,BMKS3,2022-06-08,242.0,245.0,242.0,245.0,12,1,0,1,2,0,0
2,BMKS3,2022-06-10,245.0,249.87,245.0,249.87,3,1,0,1,2,0,0
3,BMKS3,2022-06-13,230.0,230.0,230.0,230.0,5,0,0,2,2,0,0
4,BMKS3,2022-06-14,240.0,240.0,240.0,240.0,615,5,0,4,9,0,0
5,BMKS3,2022-06-15,240.0,240.0,240.0,240.0,57,1,1,0,1,1,0
6,BMKS3,2022-06-17,240.0,240.0,240.0,240.0,400,4,0,0,4,0,0
7,BMKS3,2022-06-21,255.0,255.0,239.99,240.0,7,5,0,2,7,0,0
8,BMKS3,2022-06-22,230.01,230.01,230.01,230.01,5,0,0,1,1,0,0
9,BMKS3,2022-06-23,230.1,230.1,230.1,230.1,4,0,0,1,1,0,0
10,BMKS3,2022-06-24,240.0,240.0,240.0,240.0,3,0,0,1,1,0,0
11,BMKS3,2022-06-27,242.0,242.0,240.0,240.0,6,0,0,3,3,0,0
12,BMKS3,2022-06-28,260.0,260.0,240.0,256.88,12,4,0,1,5,0,0
13,BMKS3,2022-06-29,250.0,253.8,250.0,253.8,6,1,0,1,2,0,0
14,BMKS3,2022-06-30,260.0,260.0,260.0,260.0,2,1,0,0,1,0,0
15,BMKS3,2022-07-01,260.0,260.0,239.96,239.96,1019,18,0,1,19,0,0
16,BMKS3,2022-07-04,239.98,240.0,230.09,240.0,45,7,0,2,9,0,0
17,BMKS3,2022-07-05,239.98,239.98,239.95,239.95,7,2,0,1,3,0,0
18,BMKS3,2022-07-08,239.95,239.95,239.95,239.95,2,1,0,0,1,0,0
19,BMKS3,2022-07-13,240.0,240.0,240.0,240.0,5,0,0,1,1,0,0
20,BMKS3,2022-07-15,239.98,239.98,231.06,231.06,8,2,0,1,3,0,0
21,BMKS3,2022-07-18,263.97,263.97,236.97,236.97,9,0,2,1,3,0,0
22,BMKS3,2022-07-19,250.0,250.0,250.0,250.0,4,1,0,0,1,0,0
23,BMKS3,2022-07-21,249.98,249.98,249.98,249.98,1,1,0,0,1,0,0
24,BMKS3,2022-07-25,249.95,249.95,231.25,231.25,11,1,0,4,5,0,0
25,BMKS3,2022-07-26,232.0,243.0,232.0,240.0,17,2,0,2,4,0,0
26,BMKS3,2022-07-28,235.0,235.0,235.0,235.0,1,0,0,1,1,0,0
