,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BMOB3,2022-06-06,13.99,13.99,13.61,13.62,291000,760,38,813,1594,0,17
1,BMOB3,2022-06-07,13.59,13.66,13.3,13.57,313000,752,37,963,1743,1,8
2,BMOB3,2022-06-08,13.52,13.7,13.28,13.61,487800,1111,57,1313,2456,0,25
3,BMOB3,2022-06-09,13.53,13.63,13.26,13.35,346500,1067,52,1106,2209,1,15
4,BMOB3,2022-06-10,13.25,13.3,12.9,13.22,739600,1597,75,2048,3706,0,14
5,BMOB3,2022-06-13,13.0,13.21,12.65,12.8,842600,1837,73,1642,3529,2,21
6,BMOB3,2022-06-14,12.97,13.01,12.45,12.45,599700,1089,92,1408,2572,1,16
7,BMOB3,2022-06-15,12.59,12.83,12.45,12.73,606500,1176,89,1265,2501,1,28
8,BMOB3,2022-06-17,12.5,12.55,12.2,12.38,353800,851,76,700,1605,1,21
9,BMOB3,2022-06-20,12.38,12.4,12.0,12.22,322300,572,72,617,1235,0,26
10,BMOB3,2022-06-21,12.33,12.4,11.88,12.05,608700,659,67,908,1610,1,23
11,BMOB3,2022-06-22,11.99,12.42,11.86,12.0,555500,1274,49,1449,2751,0,21
12,BMOB3,2022-06-23,12.07,12.25,11.94,12.0,681400,1204,75,898,2152,3,22
13,BMOB3,2022-06-24,12.17,12.41,12.02,12.19,489900,1221,57,1042,2302,0,18
14,BMOB3,2022-06-27,12.29,12.45,12.17,12.32,499800,1018,51,1137,2188,0,18
15,BMOB3,2022-06-28,12.54,12.54,11.9,12.17,465300,712,85,1202,1969,0,30
16,BMOB3,2022-06-29,12.19,12.19,11.77,12.05,473500,1112,85,930,2086,1,40
17,BMOB3,2022-06-30,11.88,12.23,11.54,11.96,522500,1101,94,885,2041,0,39
18,BMOB3,2022-07-01,11.93,12.13,11.74,11.88,315500,660,75,796,1511,0,20
19,BMOB3,2022-07-04,11.95,12.07,11.71,11.76,252900,851,51,458,1333,1,26
20,BMOB3,2022-07-05,11.56,11.67,11.17,11.39,781700,1780,87,1635,3467,0,35
21,BMOB3,2022-07-06,11.38,11.85,11.38,11.73,1119300,1464,64,2024,3532,1,19
22,BMOB3,2022-07-07,11.92,12.04,11.42,11.5,714800,1664,76,1814,3524,1,29
23,BMOB3,2022-07-08,11.41,11.67,11.22,11.32,356300,869,64,899,1819,0,13
24,BMOB3,2022-07-11,11.16,11.2,10.72,11.0,794100,2167,80,1795,4016,1,25
25,BMOB3,2022-07-12,11.0,11.2,10.86,10.97,312500,756,60,646,1446,0,16
26,BMOB3,2022-07-13,10.86,11.05,10.79,10.83,324900,936,53,748,1720,1,16
27,BMOB3,2022-07-14,10.73,10.88,10.56,10.77,672800,1449,51,1005,2487,2,16
28,BMOB3,2022-07-15,10.83,11.28,10.76,11.15,292900,960,42,623,1610,1,14
29,BMOB3,2022-07-18,11.25,11.35,10.91,11.04,266900,612,67,594,1250,1,22
30,BMOB3,2022-07-19,11.09,11.42,10.99,11.35,250300,772,53,408,1211,0,22
31,BMOB3,2022-07-20,11.35,11.86,11.33,11.84,310600,1282,51,538,1847,1,23
32,BMOB3,2022-07-21,11.78,12.15,11.58,12.03,309400,941,69,599,1589,1,19
33,BMOB3,2022-07-22,12.21,12.33,12.0,12.15,290600,677,51,668,1384,0,12
34,BMOB3,2022-07-25,12.28,12.28,11.94,11.95,137000,442,38,349,810,0,19
35,BMOB3,2022-07-26,12.22,12.22,11.68,11.85,236800,654,38,923,1597,0,18
36,BMOB3,2022-07-27,11.85,12.26,11.85,12.24,242500,745,30,419,1185,1,8
37,BMOB3,2022-07-28,12.29,12.88,12.28,12.84,484600,1048,96,809,1910,0,43
38,BMOB3,2022-07-29,12.9,12.95,12.72,12.91,252900,764,48,689,1485,1,15
39,BMOB3,2022-08-01,12.79,12.88,12.38,12.53,354600,877,79,1276,2197,0,35
40,BMOB3,2022-08-02,12.56,12.92,12.34,12.78,572100,509,51,871,1405,1,25
41,BMOB3,2022-08-03,12.77,13.32,12.75,13.22,192300,591,39,570,1183,0,17
42,BMOB3,2022-08-08,13.55,13.96,13.55,13.79,213200,475,44,440,942,0,17
43,BMOB3,2022-08-09,13.85,13.95,13.38,13.52,127600,202,58,488,722,1,25
44,BMOB3,2022-08-10,13.75,14.26,13.65,13.7,467300,1717,43,871,2617,0,14
45,BMOB3,2022-08-12,13.86,15.08,13.86,14.81,982500,2369,88,1853,4259,0,51
46,BMOB3,2022-08-15,14.66,14.92,14.36,14.61,398800,1163,82,741,1950,0,36
47,BMOB3,2022-08-16,14.72,14.86,14.15,14.29,258000,480,73,793,1315,0,31
48,BMOB3,2022-08-17,14.18,14.28,13.9,14.22,195100,480,53,562,1069,1,25
49,BMOB3,2022-08-18,14.18,14.57,13.92,14.16,253100,664,63,611,1318,0,20
50,BMOB3,2022-08-19,14.0,14.0,13.7,13.89,212500,427,59,598,1053,0,31
51,BMOB3,2022-08-22,13.89,13.89,13.34,13.51,234500,537,64,747,1327,0,21
52,BMOB3,2022-08-23,13.5,13.99,13.5,13.86,147900,358,60,402,797,1,22
53,BMOB3,2022-08-24,13.86,14.14,13.72,14.08,242900,755,61,571,1361,0,26
54,BMOB3,2022-08-25,14.09,14.14,13.85,14.1,195800,419,61,437,891,0,26
55,BMOB3,2022-08-26,14.21,14.28,13.83,13.98,320300,399,72,713,1170,0,14
56,BMOB3,2022-08-29,14.0,14.24,13.65,14.1,339200,777,79,420,1259,2,15
57,BMOB3,2022-08-30,14.22,14.32,13.87,14.01,328700,569,66,437,1057,1,14
58,BMOB3,2022-08-31,14.15,14.17,13.94,14.13,525900,856,57,851,1752,3,9
59,BMOB3,2022-09-01,14.08,14.76,14.0,14.57,588100,1914,79,481,2445,0,29
60,BMOB3,2022-09-02,14.61,14.69,14.29,14.43,327200,866,88,549,1467,1,35
61,BMOB3,2022-09-05,14.4,14.53,14.13,14.37,185700,305,64,346,700,1,14
62,BMOB3,2022-09-06,14.21,14.28,14.03,14.18,290000,388,61,530,954,2,23
63,BMOB3,2022-09-08,14.29,14.38,14.12,14.25,301800,730,47,1015,1773,1,18
64,BMOB3,2022-09-09,14.41,14.91,14.27,14.75,665700,1089,63,1301,2425,1,27
65,BMOB3,2022-09-12,14.89,15.18,14.83,15.08,309800,728,53,535,1297,0,19
66,BMOB3,2022-09-13,14.83,14.87,14.55,14.79,704700,699,53,1369,2097,3,21
67,BMOB3,2022-09-14,14.89,15.01,14.74,15.01,424100,598,70,684,1319,1,32
68,BMOB3,2022-09-15,15.03,15.18,14.85,14.95,408800,778,58,694,1521,2,7
69,BMOB3,2022-09-16,14.93,15.0,14.59,15.0,290300,557,46,786,1367,3,19
70,BMOB3,2022-09-19,15.02,15.09,14.78,15.0,164800,474,50,311,813,1,21
71,BMOB3,2022-09-20,15.19,15.35,14.77,14.85,270100,450,60,694,1179,0,25
72,BMOB3,2022-09-21,14.93,15.25,14.9,15.08,353200,484,33,618,1116,0,19
73,BMOB3,2022-09-22,15.15,15.15,14.87,15.02,370700,403,35,359,782,1,14
74,BMOB3,2022-09-23,14.92,15.13,14.82,15.12,319300,449,62,596,1095,2,10
75,BMOB3,2022-09-26,15.11,15.11,14.78,14.85,294500,758,55,443,1230,0,26
76,BMOB3,2022-09-27,15.06,15.24,14.71,14.82,377300,748,54,813,1589,0,26
77,BMOB3,2022-09-28,14.87,15.11,14.59,14.95,257100,753,51,491,1279,2,14
78,BMOB3,2022-09-29,14.73,14.98,14.7,14.97,547400,475,60,595,1115,2,13
79,BMOB3,2022-09-30,14.97,15.56,14.81,15.22,715200,1092,54,1307,2435,1,17
80,BMOB3,2022-10-03,15.4,15.98,15.27,15.87,1042900,2251,82,2208,4491,1,49
81,BMOB3,2022-10-04,15.97,16.0,15.68,15.73,443300,1023,79,1083,2156,0,29
82,BMOB3,2022-10-05,15.82,16.0,15.56,15.9,659500,2747,50,1478,4253,1,21
83,BMOB3,2022-10-06,15.95,16.0,15.71,15.9,290900,520,72,772,1344,0,20
84,BMOB3,2022-10-07,15.8,15.83,15.35,15.35,331700,480,82,878,1425,0,15
85,BMOB3,2022-10-10,15.45,15.51,15.09,15.25,320800,431,72,705,1186,1,21
86,BMOB3,2022-10-11,15.17,15.55,15.11,15.39,377000,674,54,700,1410,2,16
87,BMOB3,2022-10-13,15.19,15.67,14.95,15.6,321100,619,50,787,1437,0,19
88,BMOB3,2022-10-14,15.68,16.18,15.68,15.87,882800,858,79,1049,1943,2,41
89,BMOB3,2022-10-17,16.04,16.59,15.98,16.47,683500,1079,82,947,2080,0,28
90,BMOB3,2022-10-18,16.58,16.65,16.19,16.36,294400,684,37,803,1507,1,16
91,BMOB3,2022-10-19,16.29,16.54,16.11,16.54,631800,1428,104,1902,3394,2,38
92,BMOB3,2022-10-20,16.5,16.54,15.9,16.3,503100,753,103,1172,1988,1,39
93,BMOB3,2022-10-21,16.2,16.85,16.06,16.66,384600,1154,60,823,2010,1,26
94,BMOB3,2022-10-24,16.64,16.85,16.34,16.64,386000,716,79,854,1617,0,32
95,BMOB3,2022-10-25,16.78,17.35,16.28,16.45,4223600,957,110,1389,2424,0,32
96,BMOB3,2022-10-26,16.37,16.43,15.94,16.19,1131000,502,88,1103,1661,2,30
97,BMOB3,2022-10-27,16.15,16.58,16.07,16.12,477500,449,70,692,1196,1,14
98,BMOB3,2022-10-28,16.13,16.46,16.08,16.23,299000,561,54,892,1491,1,15
99,BMOB3,2022-10-31,15.95,17.04,15.91,16.4,704400,1510,92,1400,2948,30,24
100,BMOB3,2022-11-01,16.86,16.89,16.27,16.57,344300,1144,78,931,2117,0,36
101,BMOB3,2022-11-03,16.49,17.21,16.36,16.6,724000,1332,84,728,2091,3,50
102,BMOB3,2022-11-04,16.9,17.17,16.68,16.7,346800,877,65,769,1694,3,14
103,BMOB3,2022-11-07,16.62,16.8,15.75,15.89,371100,887,87,795,1737,0,32
104,BMOB3,2022-11-08,15.9,16.12,15.6,16.05,348600,587,98,574,1238,1,20
105,BMOB3,2022-11-09,15.97,16.14,15.7,15.84,376100,617,59,824,1479,2,19
106,BMOB3,2022-11-10,15.76,15.76,14.91,15.06,706800,705,100,1860,2620,1,44
107,BMOB3,2022-11-14,15.2,15.59,14.9,15.25,236600,655,42,649,1326,0,20
108,BMOB3,2022-11-17,14.3,14.42,13.74,14.35,673500,1215,77,1407,2660,1,38
109,BMOB3,2022-11-18,14.42,15.05,14.12,14.21,380100,1054,64,869,1959,1,27
110,BMOB3,2022-11-21,14.21,14.64,14.07,14.5,274400,1085,52,913,2040,0,10
111,BMOB3,2022-11-22,14.66,14.79,14.09,14.24,318500,665,58,885,1591,0,17
112,BMOB3,2022-11-23,14.07,14.23,13.86,14.03,279500,955,40,921,1898,0,18
113,BMOB3,2022-11-24,14.12,14.67,14.08,14.54,427500,1041,49,1024,2096,1,17
114,BMOB3,2022-11-25,14.59,14.8,13.98,14.35,1228500,1864,71,1119,3030,2,22
115,BMOB3,2022-11-28,14.22,14.37,14.08,14.12,161200,448,51,372,862,0,9
116,BMOB3,2022-11-29,14.09,14.69,14.01,14.65,360900,1157,56,1185,2389,0,9
117,BMOB3,2022-11-30,14.63,14.69,14.04,14.6,757200,1015,67,956,2010,1,27
118,BMOB3,2022-12-01,14.55,14.84,14.37,14.62,262900,628,41,976,1631,0,14
119,BMOB3,2022-12-02,14.63,14.85,14.31,14.78,236200,588,58,613,1242,1,16
120,BMOB3,2022-12-05,14.67,14.8,14.44,14.46,342300,790,49,879,1708,0,10
121,BMOB3,2022-12-06,14.52,15.28,14.37,14.94,479800,1087,66,1342,2459,2,34
122,BMOB3,2022-12-07,14.97,15.22,14.79,14.95,316300,776,58,729,1548,0,15
123,BMOB3,2022-12-08,14.85,14.85,14.3,14.52,666800,1250,77,1658,2960,0,25
124,BMOB3,2022-12-09,14.53,14.79,14.1,14.12,372400,818,62,804,1671,1,12
125,BMOB3,2022-12-12,14.01,14.21,13.53,13.79,488900,1143,83,1128,2328,2,24
126,BMOB3,2022-12-13,13.78,14.24,13.48,13.66,320100,970,63,1117,2135,1,14
127,BMOB3,2022-12-14,13.4,14.02,13.35,13.92,413800,1004,67,1547,2591,0,27
128,BMOB3,2022-12-15,13.84,14.27,13.65,13.78,318800,830,44,1204,2066,0,12
129,BMOB3,2022-12-16,13.61,13.88,13.55,13.8,378200,909,45,1302,2244,1,11
130,BMOB3,2022-12-19,13.91,14.23,13.68,13.87,524200,1553,53,1258,2857,0,7
131,BMOB3,2022-12-20,14.01,14.45,13.78,14.15,514000,1527,52,1269,2832,0,16
132,BMOB3,2022-12-21,14.35,14.5,13.93,14.29,269600,768,40,734,1533,1,8
133,BMOB3,2022-12-22,14.2,14.42,14.05,14.31,204000,659,46,760,1460,0,5
134,BMOB3,2022-12-23,14.48,14.6,14.24,14.49,233300,874,40,657,1562,0,9
135,BMOB3,2022-12-26,14.5,14.8,14.02,14.59,385400,962,110,1012,1999,0,85
136,BMOB3,2022-12-27,14.56,14.56,14.04,14.12,317900,788,47,865,1692,1,7
137,BMOB3,2022-12-28,14.3,14.6,14.03,14.6,208300,704,59,521,1267,1,16
138,BMOB3,2022-12-29,14.68,14.82,14.19,14.31,543100,1507,79,1089,2661,3,11
139,BMOB3,2023-01-02,14.27,14.27,13.56,13.75,297000,591,71,790,1419,1,32
140,BMOB3,2023-01-03,13.58,13.79,13.3,13.48,335600,860,63,1276,2186,1,12
141,BMOB3,2023-01-04,13.69,13.69,13.3,13.48,227700,679,33,886,1588,0,10
142,BMOB3,2023-01-05,13.58,14.11,13.46,13.87,640000,914,75,1250,2224,1,14
143,BMOB3,2023-01-06,13.9,14.62,13.9,14.27,320800,844,70,1164,2058,1,19
144,BMOB3,2023-01-09,14.13,14.34,13.76,14.25,286600,931,60,778,1755,0,14
145,BMOB3,2023-01-10,14.2,14.69,14.13,14.6,401900,1244,43,1013,2294,0,6
146,BMOB3,2023-01-11,14.7,14.81,14.47,14.63,201000,543,42,692,1264,0,13
147,BMOB3,2023-01-12,14.56,14.85,14.33,14.46,294500,896,42,653,1577,1,13
148,BMOB3,2023-01-13,14.33,14.47,14.04,14.36,303900,979,49,819,1839,1,7
149,BMOB3,2023-01-16,14.36,14.36,14.02,14.3,180500,723,56,701,1462,0,18
150,BMOB3,2023-01-17,14.35,14.52,14.16,14.29,249800,823,31,902,1752,0,4
151,BMOB3,2023-01-18,14.29,14.59,14.22,14.47,275600,875,53,785,1697,1,15
152,BMOB3,2023-01-19,14.28,14.75,14.2,14.75,287700,915,51,821,1776,0,11
153,BMOB3,2023-01-20,14.75,14.9,14.46,14.9,436300,1304,98,826,2219,3,6
154,BMOB3,2023-01-23,15.0,15.49,14.89,15.04,819400,2311,89,1561,3939,0,22
155,BMOB3,2023-01-24,14.89,15.13,14.85,15.0,277800,815,64,703,1571,0,11
156,BMOB3,2023-01-25,14.9,15.56,14.85,15.45,456200,1202,60,1319,2569,0,12
157,BMOB3,2023-01-26,15.4,16.09,15.24,16.03,590300,1604,52,1442,3086,1,11
158,BMOB3,2023-01-30,15.93,16.08,15.68,15.87,268700,712,68,678,1445,0,13
159,BMOB3,2023-01-31,15.87,16.02,15.62,16.0,824800,1793,56,1199,3042,0,6
160,BMOB3,2023-02-01,16.06,16.27,15.71,16.09,589900,1710,64,1546,3300,0,20
161,BMOB3,2023-02-02,16.01,16.35,15.82,15.91,316200,936,50,1077,2044,0,19
162,BMOB3,2023-02-03,15.91,15.96,15.27,15.45,321700,669,57,1174,1883,0,17
163,BMOB3,2023-02-06,15.46,15.47,14.79,15.02,593900,782,91,1602,2454,1,20
164,BMOB3,2023-02-07,15.01,15.07,14.7,14.7,282300,402,84,557,1027,0,16
