,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BNBR3,2022-06-08,73.0,73.0,73.0,73.0,100,0,1,0,1,0,0
1,BNBR3,2022-06-10,70.0,70.0,70.0,70.0,900,0,2,0,2,0,0
2,BNBR3,2022-06-13,70.01,70.01,70.01,70.01,900,2,0,0,2,0,0
3,BNBR3,2022-06-14,68.5,68.5,68.5,68.5,100,0,0,1,1,0,0
4,BNBR3,2022-06-15,68.01,68.01,68.0,68.0,200,0,0,2,2,0,0
5,BNBR3,2022-06-21,68.0,68.01,68.0,68.0,900,1,0,2,3,0,0
6,BNBR3,2022-06-23,68.0,68.0,68.0,68.0,200,1,0,0,1,0,0
7,BNBR3,2022-06-27,67.02,67.02,67.02,67.02,100,0,0,1,1,0,0
8,BNBR3,2022-06-29,68.01,68.1,68.0,68.1,400,0,0,3,3,0,0
9,BNBR3,2022-06-30,68.0,68.0,67.95,67.95,1300,4,0,0,4,0,0
10,BNBR3,2022-07-01,68.0,68.0,68.0,68.0,600,1,0,0,1,0,0
11,BNBR3,2022-07-07,68.0,68.0,68.0,68.0,600,1,0,0,1,0,0
12,BNBR3,2022-07-22,67.94,68.01,67.94,68.01,200,0,1,1,2,0,0
13,BNBR3,2022-07-25,70.0,70.0,70.0,70.0,100,1,0,0,1,0,0
14,BNBR3,2022-07-26,68.01,68.01,68.01,68.01,100,0,0,1,1,0,0
15,BNBR3,2022-08-15,69.0,69.0,69.0,69.0,100,1,0,0,1,0,0
16,BNBR3,2022-08-17,71.0,71.0,71.0,71.0,300,0,1,0,1,0,0
17,BNBR3,2022-08-24,74.0,81.0,73.01,73.01,500,5,0,0,5,0,0
18,BNBR3,2022-08-26,75.0,90.0,75.0,83.5,1300,10,0,3,13,0,0
19,BNBR3,2022-09-01,77.99,77.99,77.99,77.99,100,0,0,1,1,0,0
20,BNBR3,2022-09-05,77.92,77.92,71.04,71.04,500,4,0,1,5,0,0
21,BNBR3,2022-09-06,71.0,71.04,71.0,71.04,200,1,0,1,2,0,0
22,BNBR3,2022-09-12,74.98,74.98,74.98,74.98,100,1,0,0,1,0,0
23,BNBR3,2022-09-13,71.0,71.0,71.0,71.0,100,0,0,1,1,0,0
24,BNBR3,2022-09-15,71.0,71.01,71.0,71.0,200,0,0,2,2,0,0
25,BNBR3,2022-09-19,71.0,71.0,71.0,71.0,600,2,0,0,2,0,0
26,BNBR3,2022-09-26,73.99,73.99,71.0,71.0,200,1,0,1,2,0,0
27,BNBR3,2022-09-28,71.0,71.0,71.0,71.0,100,1,0,0,1,0,0
28,BNBR3,2022-09-29,72.0,72.0,72.0,72.0,100,1,0,0,1,0,0
29,BNBR3,2022-09-30,72.0,75.0,71.97,75.0,500,3,0,2,5,0,0
30,BNBR3,2022-10-13,76.23,76.23,76.23,76.23,100,1,0,0,1,0,0
31,BNBR3,2022-10-19,76.5,76.5,76.5,76.5,200,0,0,2,2,0,0
32,BNBR3,2022-10-20,76.5,76.5,76.5,76.5,400,0,0,2,2,0,0
33,BNBR3,2022-10-24,76.5,76.5,76.5,76.5,100,0,0,1,1,0,0
34,BNBR3,2022-10-31,79.0,80.5,79.0,80.5,500,2,1,2,4,1,0
35,BNBR3,2022-11-03,75.0,75.0,75.0,75.0,200,0,0,1,1,0,0
36,BNBR3,2022-11-07,71.11,71.11,71.11,71.11,100,0,0,1,1,0,0
37,BNBR3,2022-11-10,72.0,72.0,71.8,71.8,200,1,0,1,2,0,0
38,BNBR3,2022-11-18,75.0,75.0,75.0,75.0,100,1,0,0,1,0,0
39,BNBR3,2022-11-25,71.3,74.5,71.3,74.5,1500,1,0,6,7,0,0
40,BNBR3,2022-11-28,72.5,72.5,72.5,72.5,100,0,0,1,1,0,0
41,BNBR3,2022-11-29,75.0,75.0,75.0,75.0,100,0,0,1,1,0,0
42,BNBR3,2022-11-30,76.0,76.0,76.0,76.0,100,1,0,0,1,0,0
43,BNBR3,2022-12-01,72.51,72.51,72.51,72.51,100,0,0,1,1,0,0
44,BNBR3,2022-12-06,71.56,71.56,71.56,71.56,200,0,0,1,1,0,0
45,BNBR3,2022-12-07,72.0,72.0,72.0,72.0,200,0,0,1,1,0,0
46,BNBR3,2022-12-19,71.06,72.0,71.06,72.0,500,1,0,4,5,0,0
47,BNBR3,2022-12-20,78.99,78.99,78.99,78.99,100,0,0,1,1,0,0
48,BNBR3,2022-12-27,77.99,77.99,77.99,77.99,100,1,0,0,1,0,0
49,BNBR3,2022-12-28,75.0,75.0,75.0,75.0,200,0,0,1,1,0,0
50,BNBR3,2023-01-05,77.99,77.99,77.99,77.99,100,1,0,0,1,0,0
51,BNBR3,2023-01-09,75.0,75.0,75.0,75.0,100,0,0,1,1,0,0
52,BNBR3,2023-01-11,75.2,75.2,75.2,75.2,100,1,0,0,1,0,0
53,BNBR3,2023-01-26,73.03,73.73,73.0,73.0,400,1,0,3,4,0,0
54,BNBR3,2023-01-30,75.5,75.5,74.99,75.5,300,3,0,0,3,0,0
55,BNBR3,2023-02-02,75.49,75.49,75.47,75.47,300,2,0,1,3,0,0
56,BNBR3,2023-02-09,78.0,78.0,77.99,78.0,200,2,0,0,2,0,0
57,BNBR3,2023-02-14,76.0,79.98,76.0,79.98,600,1,1,2,4,0,0
58,BNBR3,2023-03-01,79.99,79.99,79.99,79.99,300,3,0,0,3,0,0
59,BNBR3,2023-03-02,79.0,79.0,79.0,79.0,100,1,0,0,1,0,0
60,BNBR3,2023-03-06,77.0,77.0,77.0,77.0,100,0,0,1,1,0,0
61,BNBR3,2023-03-07,80.5,80.5,80.49,80.5,200,2,0,0,2,0,0
62,BNBR3,2023-03-15,80.5,80.5,80.5,80.5,100,0,1,0,1,0,0
