,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BPAC3,2022-06-06,13.4,13.4,13.1,13.1,1100,0,0,11,11,0,0
1,BPAC3,2022-06-07,13.09,13.09,12.71,12.75,1300,0,0,12,12,0,0
2,BPAC3,2022-06-08,12.85,13.35,12.85,12.9,4200,5,2,18,25,0,0
3,BPAC3,2022-06-09,13.9,13.9,12.93,12.93,2700,8,0,7,15,0,0
4,BPAC3,2022-06-10,13.55,13.59,12.8,12.8,3300,7,0,20,27,0,0
5,BPAC3,2022-06-13,12.7,12.7,12.07,12.07,8400,13,5,46,64,0,0
6,BPAC3,2022-06-14,12.21,12.32,12.04,12.04,1800,7,0,4,11,0,0
7,BPAC3,2022-06-15,12.5,13.09,12.5,12.65,1100,4,1,5,10,0,0
8,BPAC3,2022-06-17,12.47,12.64,12.11,12.18,2700,13,0,12,25,0,0
9,BPAC3,2022-06-20,12.15,12.16,11.76,11.92,3600,10,0,16,26,0,0
10,BPAC3,2022-06-21,11.93,12.37,11.77,12.34,3400,15,0,8,23,0,0
11,BPAC3,2022-06-22,12.21,12.87,12.21,12.66,3500,13,0,21,34,0,0
12,BPAC3,2022-06-23,13.2,13.22,12.33,12.33,17800,17,1,29,46,1,0
13,BPAC3,2022-06-24,12.89,12.89,12.33,12.6,1800,7,0,6,13,0,0
14,BPAC3,2022-06-27,12.89,13.0,12.57,13.0,4200,25,0,8,33,0,0
15,BPAC3,2022-06-28,12.99,12.99,12.45,12.45,2600,6,0,15,21,0,0
16,BPAC3,2022-06-29,12.6,12.6,12.2,12.2,3900,11,1,18,30,0,0
17,BPAC3,2022-06-30,12.05,12.27,11.94,12.04,3400,11,0,17,28,0,0
18,BPAC3,2022-07-01,11.8,12.56,11.8,12.56,4900,36,0,8,44,0,0
19,BPAC3,2022-07-04,12.2,12.23,12.0,12.0,7800,31,1,17,49,0,0
20,BPAC3,2022-07-05,11.81,12.54,11.61,12.54,5000,13,0,7,20,0,0
21,BPAC3,2022-07-06,12.5,12.5,12.03,12.49,7100,30,0,14,44,0,0
22,BPAC3,2022-07-07,12.48,12.53,12.07,12.21,6900,29,0,20,49,0,0
23,BPAC3,2022-07-08,12.41,12.63,12.22,12.22,6500,5,0,14,19,0,0
24,BPAC3,2022-07-11,12.09,12.09,11.8,11.88,4600,8,0,23,31,0,0
25,BPAC3,2022-07-12,11.87,12.33,11.87,12.1,9800,20,1,4,25,0,0
26,BPAC3,2022-07-13,12.03,12.34,12.03,12.24,6800,23,0,9,32,0,0
27,BPAC3,2022-07-14,12.25,12.49,11.7,12.06,10800,34,0,47,81,0,0
28,BPAC3,2022-07-15,12.04,12.29,12.04,12.21,4400,15,0,16,31,0,0
29,BPAC3,2022-07-18,12.47,12.5,11.99,12.36,8200,23,0,25,48,0,0
30,BPAC3,2022-07-19,12.3,12.4,12.13,12.4,8900,50,0,15,65,0,0
31,BPAC3,2022-07-20,12.5,12.5,12.15,12.4,5000,28,1,3,32,0,0
32,BPAC3,2022-07-21,12.39,12.4,11.62,12.18,17000,43,1,54,98,0,0
33,BPAC3,2022-07-22,11.92,12.12,11.77,11.82,4600,10,0,25,35,0,0
34,BPAC3,2022-07-25,11.9,12.05,11.9,11.92,1600,13,1,2,16,0,0
35,BPAC3,2022-07-26,11.81,11.91,11.51,11.74,4300,5,0,16,21,0,0
36,BPAC3,2022-07-27,11.74,11.91,11.63,11.82,3500,14,0,9,23,0,0
37,BPAC3,2022-07-28,11.93,12.15,11.85,12.15,5000,38,0,6,44,0,0
38,BPAC3,2022-07-29,12.23,12.23,11.82,11.82,6600,16,0,23,39,0,0
39,BPAC3,2022-08-01,11.91,12.03,11.82,11.9,3500,16,1,17,34,0,0
40,BPAC3,2022-08-02,12.02,12.03,11.81,11.98,7200,28,1,19,48,0,0
41,BPAC3,2022-08-03,11.94,12.25,11.82,12.16,9700,25,0,49,74,0,0
42,BPAC3,2022-08-08,13.27,13.97,12.91,13.39,7400,29,0,18,47,0,0
43,BPAC3,2022-08-09,14.05,14.05,13.05,13.09,7000,27,0,35,62,0,0
44,BPAC3,2022-08-10,13.12,14.25,13.12,14.25,8600,50,0,17,67,0,0
45,BPAC3,2022-08-12,14.3,14.3,13.81,14.1,3800,17,0,16,33,0,0
46,BPAC3,2022-08-15,13.71,14.66,13.71,14.32,4400,30,1,13,44,0,0
47,BPAC3,2022-08-16,14.04,14.18,14.04,14.15,3500,8,0,16,24,0,0
48,BPAC3,2022-08-17,14.06,14.65,13.7,14.44,11700,44,0,60,104,0,0
49,BPAC3,2022-08-18,14.44,14.44,13.04,14.43,12600,57,1,34,92,0,0
50,BPAC3,2022-08-19,14.1,14.1,14.0,14.0,1500,1,0,10,11,0,0
51,BPAC3,2022-08-22,14.13,14.14,13.35,13.5,8600,4,5,57,66,0,0
52,BPAC3,2022-08-23,13.61,13.99,13.45,13.99,3600,19,0,17,36,0,0
53,BPAC3,2022-08-24,14.0,14.5,13.91,14.48,6600,31,1,25,57,0,0
54,BPAC3,2022-08-25,14.2,14.29,14.01,14.23,7700,40,0,22,62,0,0
55,BPAC3,2022-08-26,14.5,14.5,13.66,13.66,8400,17,0,46,63,0,0
56,BPAC3,2022-08-29,13.7,13.92,13.6,13.91,7300,58,0,7,65,0,0
57,BPAC3,2022-08-30,14.19,14.19,13.2,13.45,4000,14,0,25,39,0,0
58,BPAC3,2022-08-31,13.49,14.0,13.49,13.78,4500,13,0,22,35,0,0
59,BPAC3,2022-09-01,13.87,13.87,13.03,13.45,14600,42,0,56,98,0,0
60,BPAC3,2022-09-02,13.48,14.04,13.48,13.89,7400,25,0,17,42,0,0
61,BPAC3,2022-09-05,13.89,14.45,13.65,14.45,8100,54,0,23,77,0,0
62,BPAC3,2022-09-06,14.09,14.09,13.74,14.0,5700,12,0,30,42,0,0
63,BPAC3,2022-09-08,14.17,14.2,13.81,14.16,6400,25,1,24,50,0,0
64,BPAC3,2022-09-09,14.17,14.49,14.17,14.2,3500,9,0,14,23,0,0
65,BPAC3,2022-09-12,14.45,14.67,14.3,14.67,5900,32,0,21,53,0,0
66,BPAC3,2022-09-13,14.67,14.67,13.9,13.9,1700,4,0,10,14,0,0
67,BPAC3,2022-09-14,14.32,14.46,13.91,13.91,5200,34,0,14,48,0,0
68,BPAC3,2022-09-15,13.91,14.44,13.91,14.07,8600,42,0,27,69,0,0
69,BPAC3,2022-09-16,13.91,14.2,13.71,14.0,10900,31,0,34,65,0,0
70,BPAC3,2022-09-19,14.15,14.4,14.14,14.38,3600,28,0,4,32,0,0
71,BPAC3,2022-09-20,14.62,14.8,14.34,14.8,5100,27,2,19,48,0,0
72,BPAC3,2022-09-21,14.8,14.8,13.8,14.3,27700,76,0,108,184,0,0
