,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BPAN4,2022-06-06,7.63,7.65,7.3,7.33,7754700,3384,252,2431,6066,1,0
1,BPAN4,2022-06-07,7.3,7.33,7.1,7.12,3628400,2235,103,2933,5271,0,0
2,BPAN4,2022-06-08,7.08,7.31,7.03,7.09,6071000,5165,126,4742,10030,3,0
3,BPAN4,2022-06-09,7.07,7.29,6.9,6.97,8928100,5459,4661,3299,8882,4537,0
4,BPAN4,2022-06-10,6.92,6.96,6.76,6.82,6052200,4622,87,6782,11491,0,0
5,BPAN4,2022-06-13,6.67,6.7,6.47,6.52,5727900,4886,162,4145,9192,1,0
6,BPAN4,2022-06-14,6.56,6.64,6.35,6.44,4207300,6050,93,6178,12321,0,0
7,BPAN4,2022-06-15,6.52,6.71,6.43,6.55,4112200,5418,584,4448,10000,450,0
8,BPAN4,2022-06-17,6.42,6.49,6.22,6.22,3224800,2394,340,2552,5111,175,0
9,BPAN4,2022-06-20,6.38,6.39,6.13,6.2,2852200,2019,163,2109,4177,114,0
10,BPAN4,2022-06-21,6.33,6.43,6.25,6.39,3158000,2602,126,4331,7059,0,0
11,BPAN4,2022-06-22,6.3,6.51,6.23,6.28,2963800,2176,116,2936,5227,1,0
12,BPAN4,2022-06-23,6.3,6.34,6.21,6.3,2223100,2740,110,2110,4959,1,0
13,BPAN4,2022-06-24,6.33,6.4,6.2,6.29,1617500,2464,69,1312,3844,1,0
14,BPAN4,2022-06-27,6.36,6.41,6.27,6.3,2071900,2303,92,3162,5555,2,0
15,BPAN4,2022-06-28,6.33,6.41,6.17,6.18,2746800,1801,93,2569,4463,0,0
16,BPAN4,2022-06-29,6.2,6.24,6.01,6.14,3083500,4418,69,3257,7744,0,0
17,BPAN4,2022-06-30,6.03,6.31,5.98,6.12,3557400,3690,190,4619,8498,1,0
18,BPAN4,2022-07-01,6.09,6.27,6.05,6.24,2503000,3088,124,2874,6086,0,0
19,BPAN4,2022-07-04,6.17,6.29,6.1,6.1,1200500,1308,67,1819,3194,0,0
20,BPAN4,2022-07-05,6.12,6.51,6.07,6.4,4375500,4484,108,3506,8098,0,0
21,BPAN4,2022-07-06,6.37,6.68,6.35,6.53,3002000,2832,86,2564,5482,0,0
22,BPAN4,2022-07-07,6.63,6.85,6.57,6.65,3736900,1897,122,2793,4811,1,0
23,BPAN4,2022-07-08,6.66,6.71,6.47,6.6,2216200,1559,106,2545,4210,0,0
24,BPAN4,2022-07-11,6.45,6.5,6.23,6.31,3327000,2538,116,4244,6898,0,0
25,BPAN4,2022-07-12,6.28,6.52,6.27,6.42,2047900,1873,87,2410,4370,0,0
26,BPAN4,2022-07-13,6.35,6.4,6.22,6.27,2262600,2662,100,3888,6650,0,0
27,BPAN4,2022-07-14,6.2,6.26,6.12,6.16,5325000,5475,98,3945,9517,1,0
