,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRAP4,2022-06-06,30.13,30.33,30.0,30.13,2408000,5688,144,4010,9840,2,0
1,BRAP4,2022-06-07,29.91,30.67,29.9,30.58,2413900,4389,140,5298,9826,1,0
2,BRAP4,2022-06-08,30.11,30.41,29.67,29.82,2600000,7377,158,4772,12306,1,0
3,BRAP4,2022-06-09,29.81,29.84,28.83,28.91,3017100,7002,167,5359,12527,1,0
4,BRAP4,2022-06-10,28.42,29.08,28.32,28.88,4300300,5162,135,4669,9965,1,0
5,BRAP4,2022-06-13,28.25,28.3,27.39,27.86,3119500,5802,230,5448,11480,0,0
6,BRAP4,2022-06-14,27.92,27.98,27.1,27.43,2969000,5820,111,5087,11017,1,0
7,BRAP4,2022-06-15,27.7,28.14,27.25,27.72,3083300,5433,202,5506,11088,53,0
8,BRAP4,2022-06-17,26.85,26.85,25.9,26.04,4619500,6217,305,5476,11940,58,0
9,BRAP4,2022-06-20,25.71,25.97,25.04,25.6,2174400,4652,139,4223,8976,38,0
10,BRAP4,2022-06-21,25.9,26.24,25.81,26.04,2446300,3673,121,5052,8846,0,0
11,BRAP4,2022-06-22,25.39,25.78,25.04,25.35,3774700,4965,306,4307,9546,32,0
12,BRAP4,2022-06-23,25.54,25.86,24.37,24.53,4758000,6749,220,4033,11002,0,0
13,BRAP4,2022-06-24,24.9,25.32,24.62,25.21,2026900,3398,128,3203,6729,0,0
14,BRAP4,2022-06-27,25.63,26.45,25.52,26.19,3796100,5088,190,5158,10436,0,0
15,BRAP4,2022-06-28,26.7,26.79,26.15,26.3,2046800,4136,172,3397,7705,0,0
16,BRAP4,2022-06-29,26.37,26.65,26.2,26.3,2611800,3536,125,5545,9203,3,0
17,BRAP4,2022-06-30,25.93,25.93,25.14,25.18,4159700,7336,174,5769,13279,0,0
18,BRAP4,2022-07-01,24.9,25.33,24.51,24.86,3567300,5367,155,5610,11132,0,0
19,BRAP4,2022-07-04,24.51,24.9,24.4,24.54,1254900,2523,127,2995,5645,0,0
20,BRAP4,2022-07-05,24.49,24.78,24.03,24.66,3693900,6215,155,3789,10158,1,0
21,BRAP4,2022-07-06,24.69,25.07,24.27,24.87,3005900,5733,119,4495,10345,2,0
22,BRAP4,2022-07-07,25.86,26.03,25.42,25.47,4657500,8640,147,7123,15907,3,0
23,BRAP4,2022-07-08,25.42,25.69,25.02,25.05,1693300,3827,97,3116,7040,0,0
24,BRAP4,2022-07-11,24.59,24.75,24.12,24.23,1664100,3895,182,3096,7173,0,0
25,BRAP4,2022-07-12,24.03,24.1,23.71,24.05,3192300,6151,130,4421,10701,1,0
26,BRAP4,2022-07-13,23.81,23.96,23.51,23.52,3514200,5185,140,4937,10262,0,0
27,BRAP4,2022-07-14,23.01,23.03,22.04,22.22,4488500,7973,219,8525,16716,1,0
28,BRAP4,2022-07-15,22.26,22.43,21.91,22.22,3678100,4599,152,4961,9710,2,0
29,BRAP4,2022-07-18,22.4,22.77,22.17,22.55,4505900,4183,149,4349,8679,2,0
30,BRAP4,2022-07-19,22.54,22.72,22.42,22.61,2538500,2632,126,3680,6438,0,0
31,BRAP4,2022-07-20,22.42,22.42,21.7,22.29,2866600,3786,129,3108,7023,0,0
32,BRAP4,2022-07-21,22.07,22.48,21.88,22.46,2698300,3423,152,3966,7540,1,0
33,BRAP4,2022-07-22,22.71,23.05,22.23,22.3,3558900,4123,93,5426,9641,1,0
34,BRAP4,2022-07-25,22.8,22.92,22.5,22.63,1658200,2557,150,2079,4786,0,0
35,BRAP4,2022-07-26,22.91,22.91,22.44,22.54,1289400,3230,107,2025,5362,0,0
36,BRAP4,2022-07-27,22.7,22.7,22.23,22.6,1991600,3886,90,2485,6460,1,0
37,BRAP4,2022-07-28,22.8,23.07,22.68,22.8,1577500,2519,108,3248,5859,16,0
38,BRAP4,2022-07-29,22.42,22.74,22.2,22.44,2278600,3748,116,2662,6526,0,0
39,BRAP4,2022-08-01,22.42,22.43,21.81,21.85,2396100,4600,98,4616,9314,0,0
40,BRAP4,2022-08-02,21.91,22.5,21.55,22.48,3455400,4712,137,6834,11682,1,0
41,BRAP4,2022-08-03,22.35,22.35,21.67,21.85,2430000,5085,93,3482,8660,0,0
42,BRAP4,2022-08-08,22.78,22.79,22.25,22.39,2178000,3288,124,3854,7265,1,0
43,BRAP4,2022-08-09,22.51,22.78,22.36,22.68,6071900,5176,94,6054,11322,2,0
44,BRAP4,2022-08-10,22.8,22.99,22.67,22.85,2822700,4709,108,4390,9204,3,0
45,BRAP4,2022-08-12,23.36,23.71,23.16,23.64,2919000,4332,163,2798,7292,1,0
46,BRAP4,2022-08-15,22.99,23.2,22.73,23.11,2087500,3225,197,3841,7263,0,0
47,BRAP4,2022-08-16,23.28,24.07,23.2,23.62,3814400,7709,118,6164,13990,1,0
48,BRAP4,2022-08-17,23.14,23.41,23.01,23.3,2174100,4178,154,3180,7512,0,0
49,BRAP4,2022-08-18,23.35,23.38,23.07,23.19,1223700,2435,104,1397,3936,0,0
50,BRAP4,2022-08-19,22.9,22.96,22.66,22.73,1724700,3586,100,2476,6162,0,0
51,BRAP4,2022-08-22,22.6,22.66,22.26,22.51,1442200,2644,141,1975,4760,0,0
52,BRAP4,2022-08-23,22.6,23.79,22.57,23.62,2965300,4641,113,4641,9394,1,0
53,BRAP4,2022-08-24,23.51,23.68,23.04,23.16,2283100,4468,139,3389,7996,0,0
54,BRAP4,2022-08-25,23.37,23.82,23.15,23.48,3367200,6134,126,5865,12125,0,0
55,BRAP4,2022-08-26,23.69,23.98,23.05,23.08,2444000,4993,104,3946,9043,0,0
56,BRAP4,2022-08-29,22.71,23.19,22.69,22.89,2126300,2992,148,3126,6266,0,0
57,BRAP4,2022-08-30,22.59,22.79,21.95,22.05,3411600,7219,115,6203,13537,0,0
58,BRAP4,2022-08-31,22.41,22.47,21.8,21.93,3648900,6643,138,6803,13583,1,0
59,BRAP4,2022-09-01,21.79,21.93,21.29,21.64,5308500,8861,126,6085,15072,0,0
60,BRAP4,2022-09-02,21.83,22.06,21.38,21.73,8609300,13525,295,9163,22983,0,0
61,BRAP4,2022-09-05,22.06,22.7,21.98,22.33,2752000,3159,135,4081,7375,0,0
62,BRAP4,2022-09-06,22.24,22.34,21.55,21.66,3585100,6680,99,7870,14649,0,0
63,BRAP4,2022-09-08,21.85,21.86,21.53,21.79,2329800,2498,148,2485,5129,2,0
64,BRAP4,2022-09-09,22.37,23.33,22.29,23.2,4363000,5351,97,5571,11019,0,0
65,BRAP4,2022-09-12,23.57,23.69,23.2,23.48,2844400,2915,149,3367,6431,0,0
66,BRAP4,2022-09-13,23.08,23.64,22.91,22.91,2424000,3972,119,4311,8402,0,0
67,BRAP4,2022-09-14,22.85,23.12,22.49,22.59,2234500,3090,132,3359,6581,0,0
68,BRAP4,2022-09-15,22.68,22.98,22.55,22.8,2348200,2421,127,3379,5927,0,0
69,BRAP4,2022-09-16,22.61,23.1,22.38,22.72,4771400,6582,104,4712,11398,0,0
70,BRAP4,2022-09-19,22.44,23.38,22.38,23.32,2011400,2742,98,2769,5609,0,0
71,BRAP4,2022-09-20,23.28,23.29,22.78,23.04,2052500,3437,109,3683,7228,1,0
72,BRAP4,2022-09-21,23.02,23.19,22.74,22.82,1610700,2346,76,2253,4675,0,0
73,BRAP4,2022-09-22,23.3,23.6,23.04,23.24,2431200,4473,94,2784,7351,0,0
