,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRFS3,2022-06-06,15.32,15.35,15.11,15.12,5742600,6739,173,6176,13088,0,0
1,BRFS3,2022-06-07,14.82,15.24,14.82,15.14,7215100,7094,141,8189,15421,3,0
2,BRFS3,2022-06-08,15.07,15.44,14.83,14.93,11566800,10085,200,10646,20926,5,0
3,BRFS3,2022-06-09,14.8,15.36,14.72,14.97,10380600,12970,173,9611,22753,1,0
4,BRFS3,2022-06-10,14.86,15.13,14.62,14.96,8491000,13869,127,9256,23252,0,0
5,BRFS3,2022-06-13,14.69,14.73,13.71,13.85,11814500,15244,348,11755,27345,2,0
6,BRFS3,2022-06-14,13.92,13.99,13.12,13.12,10657600,19308,196,12492,31996,0,0
7,BRFS3,2022-06-15,13.41,13.42,12.81,12.99,12743900,18711,246,14441,33393,5,0
8,BRFS3,2022-06-17,12.7,12.92,12.22,12.67,28055400,15572,372,15273,31215,2,0
9,BRFS3,2022-06-20,12.85,12.87,12.36,12.48,6104900,8464,153,7152,15769,0,0
10,BRFS3,2022-06-21,12.47,12.72,12.3,12.53,9860600,11948,159,12420,24525,2,0
11,BRFS3,2022-06-22,12.24,13.29,12.2,13.01,19387400,18670,239,25084,43988,5,0
12,BRFS3,2022-06-23,13.13,14.22,13.03,14.04,16270900,20470,233,16981,37684,0,0
13,BRFS3,2022-06-24,14.18,14.78,13.74,14.65,10704800,12798,191,9628,22617,0,0
14,BRFS3,2022-06-27,14.67,15.14,14.63,14.87,8464500,11345,190,12043,23578,0,0
15,BRFS3,2022-06-28,14.82,15.29,14.38,14.46,7343600,9076,244,9079,18399,0,0
16,BRFS3,2022-06-29,14.54,14.54,13.84,14.02,7556100,10433,188,10833,21454,0,0
17,BRFS3,2022-06-30,13.91,14.06,13.43,13.52,15537700,16957,330,19277,36563,1,0
18,BRFS3,2022-07-01,13.4,14.33,13.27,14.16,12916900,12193,268,14177,26635,3,0
19,BRFS3,2022-07-04,14.18,15.08,14.02,14.62,8353000,11135,146,9924,21204,1,0
