,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRGE12,2022-07-20,6.12,6.83,6.12,6.37,400,3,0,1,4,0,0
1,BRGE12,2022-07-29,6.16,6.29,6.16,6.29,1100,6,1,0,7,0,0
2,BRGE12,2022-08-02,6.0,6.2,6.0,6.2,800,3,0,3,6,0,0
3,BRGE12,2022-09-12,6.5,6.88,6.5,6.88,4900,14,0,5,19,0,0
4,BRGE12,2022-09-13,6.7,6.89,6.7,6.83,1500,3,0,0,3,0,0
5,BRGE12,2022-09-16,6.89,7.45,6.61,7.41,21600,35,6,21,62,0,0
6,BRGE12,2022-09-19,7.1,7.44,6.8,7.44,1600,2,0,6,8,0,0
7,BRGE12,2022-09-20,7.44,7.44,7.3,7.3,800,2,0,0,2,0,0
8,BRGE12,2022-09-21,6.8,7.0,6.8,7.0,400,0,0,4,4,0,0
9,BRGE12,2022-09-22,7.0,7.44,7.0,7.44,2100,3,0,0,3,0,0
10,BRGE12,2022-09-23,6.9,6.9,6.9,6.9,600,2,0,0,2,0,0
11,BRGE12,2022-09-27,6.5,6.5,6.5,6.5,1000,0,0,1,1,0,0
12,BRGE12,2022-09-28,6.88,6.88,6.88,6.88,100,1,0,0,1,0,0
13,BRGE12,2022-09-29,7.0,7.0,7.0,7.0,100,0,0,1,1,0,0
14,BRGE12,2022-09-30,7.45,7.45,7.45,7.45,100,1,0,0,1,0,0
15,BRGE12,2022-10-06,7.45,7.45,7.45,7.45,2000,2,0,0,2,0,0
16,BRGE12,2022-10-11,7.5,8.0,7.5,7.5,20000,1,6,1,8,0,0
17,BRGE12,2022-10-13,8.0,8.0,8.0,8.0,100,1,0,0,1,0,0
18,BRGE12,2022-10-25,7.01,7.47,7.01,7.47,1300,8,0,2,10,0,0
19,BRGE12,2022-10-26,7.76,7.76,7.76,7.76,100,1,0,0,1,0,0
20,BRGE12,2022-10-27,7.23,7.76,7.23,7.76,400,2,0,0,2,0,0
