,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRIT3,2022-06-06,2.21,2.22,2.11,2.11,643600,336,13,571,920,0,0
1,BRIT3,2022-06-07,2.1,2.15,2.06,2.08,1535600,817,17,1158,1992,0,0
2,BRIT3,2022-06-08,2.07,2.12,2.03,2.05,496700,343,23,970,1336,0,0
3,BRIT3,2022-06-09,2.06,2.1,2.02,2.05,678700,428,26,673,1127,0,0
4,BRIT3,2022-06-10,2.07,2.07,2.01,2.04,278300,299,0,215,514,0,0
5,BRIT3,2022-06-13,2.04,2.04,1.85,1.87,1012900,729,21,570,1319,1,0
6,BRIT3,2022-06-14,1.95,1.95,1.77,1.8,800200,404,37,560,1000,1,0
7,BRIT3,2022-06-15,1.82,1.93,1.79,1.83,1318300,879,25,737,1641,0,0
8,BRIT3,2022-06-17,1.82,1.88,1.76,1.87,431300,312,53,239,604,0,0
9,BRIT3,2022-06-20,1.89,1.9,1.8,1.82,323500,282,32,137,451,0,0
10,BRIT3,2022-06-21,1.84,1.86,1.76,1.77,354400,444,14,304,762,0,0
11,BRIT3,2022-06-22,1.78,1.86,1.77,1.82,495600,325,27,893,1245,0,0
12,BRIT3,2022-06-23,1.82,1.97,1.81,1.94,561800,511,44,334,889,0,0
13,BRIT3,2022-06-24,1.96,2.07,1.93,2.02,651800,433,32,340,804,1,0
14,BRIT3,2022-06-27,1.98,2.07,1.97,2.01,480400,340,21,494,855,0,0
15,BRIT3,2022-06-28,2.0,2.06,1.89,1.92,416400,214,27,379,620,0,0
16,BRIT3,2022-06-29,1.88,1.89,1.8,1.8,475900,274,48,777,1099,0,0
17,BRIT3,2022-06-30,1.83,1.84,1.76,1.78,689000,910,54,686,1650,0,0
18,BRIT3,2022-07-01,1.77,1.84,1.74,1.81,403400,472,18,393,883,0,0
19,BRIT3,2022-07-04,1.83,1.93,1.82,1.82,399900,421,20,234,675,0,0
20,BRIT3,2022-07-05,1.84,1.96,1.8,1.91,713500,523,13,361,897,0,0
21,BRIT3,2022-07-06,1.94,2.07,1.93,2.03,667300,1238,22,508,1768,0,0
22,BRIT3,2022-07-07,2.07,2.15,2.04,2.14,585700,720,34,607,1361,0,0
23,BRIT3,2022-07-08,2.12,2.22,2.07,2.16,282800,516,19,287,822,0,0
24,BRIT3,2022-07-11,2.14,2.14,1.99,2.1,926100,841,48,1162,2051,0,0
25,BRIT3,2022-07-12,2.12,2.12,2.0,2.02,485200,424,23,958,1405,0,0
26,BRIT3,2022-07-13,2.08,2.08,1.98,2.0,476200,266,21,336,623,0,0
27,BRIT3,2022-07-14,1.96,2.1,1.96,2.04,375800,1183,19,434,1636,0,0
28,BRIT3,2022-07-15,2.04,2.08,1.98,2.02,570400,750,1,658,1409,0,0
29,BRIT3,2022-07-18,2.14,2.14,1.97,1.99,771100,650,32,1155,1837,0,0
30,BRIT3,2022-07-19,1.99,2.15,1.97,2.15,446200,274,62,360,696,0,0
31,BRIT3,2022-07-20,2.07,2.34,2.07,2.29,600800,427,36,447,910,0,0
32,BRIT3,2022-07-21,2.26,2.43,2.26,2.41,595800,466,43,447,956,0,0
33,BRIT3,2022-07-22,2.45,2.45,2.29,2.32,413700,311,59,360,730,0,0
34,BRIT3,2022-07-25,2.3,2.37,2.24,2.24,290400,151,63,354,568,0,0
35,BRIT3,2022-07-26,2.22,2.34,2.21,2.3,366600,492,30,250,772,0,0
36,BRIT3,2022-07-27,2.33,2.52,2.32,2.48,659900,409,32,490,931,0,0
37,BRIT3,2022-07-28,2.49,2.61,2.46,2.6,438200,312,47,276,635,0,0
38,BRIT3,2022-07-29,2.55,2.68,2.47,2.47,421600,308,43,258,609,0,0
39,BRIT3,2022-08-01,2.47,2.63,2.45,2.58,388000,464,32,585,1081,0,0
40,BRIT3,2022-08-02,2.6,2.62,2.5,2.5,217700,230,0,502,732,0,0
41,BRIT3,2022-08-03,2.5,2.66,2.5,2.53,263700,310,12,383,705,0,0
42,BRIT3,2022-08-08,2.88,3.09,2.85,3.02,633400,736,23,538,1297,0,0
43,BRIT3,2022-08-09,3.05,3.09,2.83,2.99,521500,442,23,1038,1503,0,0
44,BRIT3,2022-08-10,3.0,3.09,2.95,2.99,427800,352,19,350,721,0,0
45,BRIT3,2022-08-12,2.99,2.99,2.85,2.9,267700,265,19,284,568,0,0
46,BRIT3,2022-08-15,2.95,3.18,2.87,3.11,751800,910,13,609,1532,0,0
47,BRIT3,2022-08-16,3.14,3.2,2.95,3.2,704700,911,37,376,1324,0,0
48,BRIT3,2022-08-17,3.2,3.28,3.11,3.21,657000,399,21,634,1054,0,0
