,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRIV3,2022-06-06,6.15,6.3,6.0,6.18,1100,6,0,2,8,0,0
1,BRIV3,2022-06-08,6.0,6.35,6.0,6.35,300,2,0,1,3,0,0
2,BRIV3,2022-06-14,6.0,6.0,5.99,5.99,2500,1,0,1,2,0,0
3,BRIV3,2022-06-17,5.99,6.19,5.5,6.19,2700,3,0,9,12,0,0
4,BRIV3,2022-06-20,6.25,6.25,5.85,6.17,400,3,0,1,4,0,0
5,BRIV3,2022-06-21,6.17,6.17,6.16,6.16,200,2,0,0,2,0,0
6,BRIV3,2022-06-22,6.0,6.14,5.6,6.14,1300,4,0,4,8,0,0
7,BRIV3,2022-06-23,6.14,6.14,6.14,6.14,100,1,0,0,1,0,0
8,BRIV3,2022-06-27,6.25,6.25,6.25,6.25,100,1,0,0,1,0,0
9,BRIV3,2022-06-29,6.19,6.19,6.19,6.19,100,1,0,0,1,0,0
10,BRIV3,2022-06-30,6.19,6.19,6.19,6.19,100,1,0,0,1,0,0
11,BRIV3,2022-07-01,6.18,6.18,6.18,6.18,200,2,0,0,2,0,0
12,BRIV3,2022-07-04,6.1,6.1,5.8,5.81,400,1,0,3,4,0,0
13,BRIV3,2022-07-05,5.8,5.8,5.8,5.8,100,0,0,1,1,0,0
14,BRIV3,2022-07-08,5.98,5.98,5.98,5.98,100,1,0,0,1,0,0
15,BRIV3,2022-07-12,5.89,5.89,5.89,5.89,100,1,0,0,1,0,0
16,BRIV3,2022-07-13,5.75,5.75,5.3,5.35,3100,11,0,4,15,0,0
17,BRIV3,2022-07-14,5.6,5.6,5.35,5.35,400,2,0,1,3,0,0
18,BRIV3,2022-07-15,5.5,5.57,5.5,5.57,200,2,0,0,2,0,0
19,BRIV3,2022-07-18,5.4,5.4,5.4,5.4,200,2,0,0,2,0,0
20,BRIV3,2022-07-19,5.58,5.58,5.58,5.58,100,1,0,0,1,0,0
21,BRIV3,2022-07-26,5.22,5.56,5.22,5.48,1500,9,0,4,13,0,0
22,BRIV3,2022-07-27,5.39,5.39,5.39,5.39,100,0,0,1,1,0,0
23,BRIV3,2022-07-28,5.31,5.6,5.31,5.41,1600,7,0,8,15,0,0
24,BRIV3,2022-07-29,5.4,5.41,5.4,5.4,400,0,0,2,2,0,0
25,BRIV3,2022-08-01,5.2,5.39,5.2,5.3,1800,2,0,12,14,0,0
26,BRIV3,2022-08-02,5.3,5.39,5.2,5.38,1000,1,0,6,7,0,0
27,BRIV3,2022-08-03,5.38,5.4,5.1,5.37,1800,7,0,4,11,0,0
28,BRIV3,2022-08-08,5.2,5.3,5.2,5.21,6900,7,0,14,21,0,0
29,BRIV3,2022-08-09,5.36,5.36,5.3,5.36,2800,6,0,6,12,0,0
30,BRIV3,2022-08-10,5.39,5.4,5.39,5.4,1800,6,0,1,7,0,0
31,BRIV3,2022-08-12,5.55,5.55,5.4,5.4,700,1,0,3,4,0,0
32,BRIV3,2022-08-15,5.4,5.4,5.25,5.25,2000,1,0,11,12,0,0
33,BRIV3,2022-08-16,5.45,5.45,5.43,5.43,400,0,0,3,3,0,0
34,BRIV3,2022-08-18,5.41,5.46,5.32,5.46,1500,5,1,2,8,0,0
35,BRIV3,2022-08-19,5.3,5.31,4.96,5.25,7100,15,0,17,32,0,0
36,BRIV3,2022-08-23,5.06,5.25,5.06,5.25,1000,3,0,4,7,0,0
37,BRIV3,2022-08-24,5.23,5.23,5.22,5.22,800,1,0,2,3,0,0
38,BRIV3,2022-08-25,5.39,5.39,5.39,5.39,100,1,0,0,1,0,0
39,BRIV3,2022-08-26,5.35,5.35,5.35,5.35,100,1,0,0,1,0,0
40,BRIV3,2022-08-29,5.29,5.47,5.25,5.25,3600,7,0,1,8,0,0
41,BRIV3,2022-08-30,5.27,5.27,5.27,5.27,100,0,0,1,1,0,0
42,BRIV3,2022-08-31,5.25,5.25,5.11,5.18,700,2,0,2,4,0,0
43,BRIV3,2022-09-01,5.16,5.16,5.08,5.09,1800,1,0,17,18,0,0
44,BRIV3,2022-09-02,5.02,5.26,5.02,5.02,5100,7,0,40,47,0,0
45,BRIV3,2022-09-05,5.03,5.39,5.03,5.32,900,5,0,1,6,0,0
46,BRIV3,2022-09-06,5.26,5.29,5.26,5.29,300,2,0,0,2,0,0
47,BRIV3,2022-09-08,5.4,5.4,5.29,5.3,4600,6,0,6,12,0,0
48,BRIV3,2022-09-09,5.43,5.43,5.35,5.39,700,5,1,0,6,0,0
49,BRIV3,2022-09-12,5.51,9.91,5.51,7.5,90800,296,0,274,570,0,0
50,BRIV3,2022-09-13,8.01,10.22,8.01,9.53,81300,219,24,307,550,0,0
51,BRIV3,2022-09-14,9.5,9.69,8.6,9.68,23600,87,0,61,148,0,0
52,BRIV3,2022-09-15,9.39,11.5,9.02,10.54,28400,69,0,80,149,0,0
53,BRIV3,2022-09-16,11.31,13.0,10.0,12.09,46900,133,10,107,250,0,0
54,BRIV3,2022-09-19,12.0,15.5,11.58,13.01,50300,116,18,141,275,0,0
55,BRIV3,2022-09-20,13.39,14.45,13.13,13.5,22800,77,0,67,144,0,0
56,BRIV3,2022-09-21,13.5,13.66,12.5,13.24,15300,29,0,56,85,0,0
57,BRIV3,2022-09-22,13.41,13.87,12.64,13.1,9900,26,0,39,65,0,0
