,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRKM3,2022-06-06,45.17,45.38,45.17,45.38,8800,17,0,31,48,0,0
1,BRKM3,2022-06-07,45.0,45.0,44.38,44.4,8600,27,0,37,64,0,0
2,BRKM3,2022-06-08,44.17,44.55,43.8,43.81,7600,5,0,20,25,0,0
3,BRKM3,2022-06-09,43.81,44.2,43.5,43.5,72700,8,4,70,82,0,0
4,BRKM3,2022-06-10,43.35,43.6,43.09,43.5,9700,19,0,29,48,0,0
5,BRKM3,2022-06-13,43.5,43.5,41.17,41.45,2700,5,0,17,22,0,0
6,BRKM3,2022-06-14,41.45,41.67,40.5,40.5,3900,11,0,12,23,0,0
7,BRKM3,2022-06-15,40.99,41.52,40.25,40.63,5600,9,0,30,39,0,0
8,BRKM3,2022-06-17,40.5,40.5,37.8,37.92,26500,63,0,109,172,0,0
9,BRKM3,2022-06-20,37.9,37.9,36.41,37.31,12100,38,0,33,71,0,0
10,BRKM3,2022-06-21,37.31,37.8,37.0,37.0,22200,57,1,35,93,0,0
11,BRKM3,2022-06-22,37.0,37.69,36.52,37.55,7000,7,1,31,39,0,0
12,BRKM3,2022-06-23,37.47,37.74,37.07,37.74,3300,14,0,11,25,0,0
13,BRKM3,2022-06-24,37.74,38.78,37.74,38.52,4600,12,0,11,23,0,0
14,BRKM3,2022-06-27,38.75,40.21,38.5,39.65,4900,12,0,18,30,0,0
15,BRKM3,2022-06-28,39.2,39.99,38.76,38.78,5300,18,0,11,29,0,0
16,BRKM3,2022-06-29,39.14,39.14,38.0,38.26,2800,4,0,18,22,0,0
17,BRKM3,2022-06-30,38.15,38.47,37.19,37.94,5000,16,1,23,40,0,0
18,BRKM3,2022-07-01,37.15,38.25,36.89,38.12,14900,32,0,34,66,0,0
19,BRKM3,2022-07-04,38.1,38.1,36.8,36.96,6800,29,0,10,39,0,0
20,BRKM3,2022-07-05,36.95,36.95,35.2,35.65,12900,30,0,33,63,0,0
21,BRKM3,2022-07-06,35.65,35.81,34.13,34.3,12400,33,0,35,68,0,0
22,BRKM3,2022-07-07,35.99,36.29,35.0,35.42,13100,19,0,45,64,0,0
23,BRKM3,2022-07-08,35.57,35.57,35.1,35.15,7100,12,0,14,26,0,0
24,BRKM3,2022-07-11,34.3,35.02,34.25,34.9,4000,8,1,16,25,0,0
25,BRKM3,2022-07-12,34.9,34.94,34.43,34.93,3100,14,0,9,23,0,0
26,BRKM3,2022-07-13,34.92,35.28,34.42,34.56,6600,25,0,12,37,0,0
27,BRKM3,2022-07-14,34.15,34.15,33.53,33.74,6800,8,0,32,40,0,0
28,BRKM3,2022-07-15,33.92,35.3,33.5,35.3,8300,34,1,23,58,0,0
29,BRKM3,2022-07-18,35.5,36.18,34.67,34.67,13800,21,3,33,57,0,0
30,BRKM3,2022-07-19,35.0,35.42,35.0,35.2,2100,10,0,7,17,0,0
31,BRKM3,2022-07-20,35.2,35.75,35.0,35.75,6800,16,1,13,30,0,0
32,BRKM3,2022-07-21,35.2,36.0,34.88,35.37,3300,10,0,16,26,0,0
33,BRKM3,2022-07-22,35.38,35.58,34.85,35.2,5600,18,0,16,34,0,0
34,BRKM3,2022-07-25,35.26,35.26,34.57,34.7,4300,14,0,13,27,0,0
35,BRKM3,2022-07-26,34.7,35.79,34.57,35.79,3200,8,0,13,21,0,0
36,BRKM3,2022-07-27,34.99,35.45,34.99,35.3,2000,11,0,6,17,0,0
37,BRKM3,2022-07-28,35.64,36.93,35.57,35.75,6700,30,0,22,52,0,0
38,BRKM3,2022-07-29,35.94,38.21,35.66,37.39,13500,36,1,32,69,0,0
39,BRKM3,2022-08-01,37.72,37.72,35.05,35.6,22000,36,12,41,89,0,0
