,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRML3,2022-06-06,8.47,8.5,8.24,8.33,12721700,8427,100,7850,16376,1,0
1,BRML3,2022-06-07,8.25,8.51,8.08,8.45,16849400,8247,145,13076,21464,4,0
2,BRML3,2022-06-08,8.38,8.66,8.32,8.56,12537100,8977,102,17788,26867,0,0
3,BRML3,2022-06-09,8.57,8.6,8.3,8.31,16385900,12064,151,13271,25482,4,0
4,BRML3,2022-06-10,8.28,8.28,8.01,8.05,20062500,15817,457,15761,31691,344,0
5,BRML3,2022-06-13,7.87,8.0,7.6,7.73,27555100,14709,234,9150,24079,14,0
6,BRML3,2022-06-14,7.81,7.84,7.55,7.67,16504500,7232,104,9495,16828,3,0
7,BRML3,2022-06-15,7.77,7.88,7.67,7.73,17784600,10038,159,11284,21473,8,0
8,BRML3,2022-06-17,7.62,7.79,7.58,7.75,13471500,8625,978,6661,15493,771,0
9,BRML3,2022-06-20,7.8,7.83,7.56,7.68,9381000,9221,84,9799,19103,1,0
10,BRML3,2022-06-21,7.68,7.75,7.51,7.61,7325600,3903,125,6221,10249,0,0
11,BRML3,2022-06-22,7.51,7.75,7.48,7.63,4121100,2923,140,3609,6667,5,0
12,BRML3,2022-06-23,7.66,7.78,7.61,7.67,8233700,6446,113,4049,10606,2,0
13,BRML3,2022-06-24,7.75,7.77,7.58,7.64,7065000,6078,106,5352,11536,0,0
14,BRML3,2022-06-27,7.67,7.77,7.62,7.72,6214100,4760,108,6406,11274,0,0
15,BRML3,2022-06-28,7.72,7.85,7.53,7.58,7198800,5280,3443,8977,14351,3349,0
16,BRML3,2022-06-29,7.63,7.64,7.45,7.52,5234500,3718,121,5852,9691,0,0
17,BRML3,2022-06-30,7.48,7.65,7.34,7.5,10086700,7491,114,9073,16677,1,0
18,BRML3,2022-07-01,7.46,7.75,7.45,7.7,8429300,6903,139,8295,15337,0,0
19,BRML3,2022-07-04,7.69,7.84,7.66,7.72,6844000,6217,146,6814,13176,1,0
20,BRML3,2022-07-05,7.67,7.8,7.6,7.8,8422500,7764,129,11767,19660,0,0
21,BRML3,2022-07-06,7.81,8.01,7.63,7.75,16796700,11262,101,19118,30475,6,0
22,BRML3,2022-07-07,7.85,7.95,7.78,7.82,21859300,8162,118,20990,29263,7,0
