,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRPR3,2022-06-06,8.86,8.98,8.62,8.62,1652500,1303,52,1614,2967,2,0
1,BRPR3,2022-06-07,8.63,8.64,8.47,8.59,2404400,1448,74,2274,3795,1,0
2,BRPR3,2022-06-08,8.51,8.89,8.48,8.69,2471200,2807,46,1917,4768,2,0
3,BRPR3,2022-06-09,8.7,8.9,8.65,8.85,2596800,3317,49,3357,6722,1,0
4,BRPR3,2022-06-10,8.73,8.86,8.59,8.6,2503700,4261,54,4561,8874,2,0
5,BRPR3,2022-06-13,8.52,8.58,8.38,8.41,2355100,3948,59,2794,6800,1,0
6,BRPR3,2022-06-14,8.45,8.62,8.43,8.6,2416500,5974,55,2788,8816,1,0
7,BRPR3,2022-06-15,8.64,8.85,8.6,8.66,2225100,3327,62,2607,5995,1,0
8,BRPR3,2022-06-17,8.56,8.69,8.51,8.51,2249900,4485,95,2260,6836,4,0
9,BRPR3,2022-06-20,8.52,8.7,8.35,8.35,1950500,1728,39,3052,4817,2,0
10,BRPR3,2022-06-21,8.43,8.53,8.39,8.5,1439000,1833,36,2499,4367,1,0
11,BRPR3,2022-06-22,8.38,8.68,8.35,8.55,3715500,6014,46,2931,8989,2,0
12,BRPR3,2022-06-23,8.61,8.95,8.55,8.67,6566400,5899,847,2872,8834,784,0
13,BRPR3,2022-06-24,8.74,8.8,8.59,8.77,2702300,3745,34,2424,6202,1,0
14,BRPR3,2022-06-27,8.85,8.87,8.69,8.74,947200,2084,40,2829,4952,1,0
15,BRPR3,2022-06-28,8.8,8.9,8.71,8.77,1170200,2105,31,2027,4161,2,0
16,BRPR3,2022-06-29,8.86,8.95,8.75,8.82,1312900,2501,40,2167,4707,1,0
17,BRPR3,2022-06-30,8.7,8.92,8.66,8.8,1567600,2634,1414,1697,4396,1349,0
18,BRPR3,2022-07-01,8.87,8.87,8.73,8.85,1415700,2251,64,1741,4055,1,0
19,BRPR3,2022-07-04,8.82,8.9,8.77,8.87,1108200,1667,58,1440,3164,1,0
20,BRPR3,2022-07-05,8.83,8.86,8.73,8.79,1626900,3876,39,3112,7026,1,0
21,BRPR3,2022-07-06,8.79,8.97,8.72,8.77,2627700,3785,58,2852,6693,2,0
22,BRPR3,2022-07-07,8.95,9.0,8.67,8.69,3071200,3826,99,3729,7653,1,0
23,BRPR3,2022-07-08,8.69,8.71,8.54,8.6,2022000,4486,61,4826,9372,1,0
24,BRPR3,2022-07-11,8.52,8.61,8.42,8.45,2522400,3254,54,4397,7704,1,0
25,BRPR3,2022-07-12,8.4,8.65,8.38,8.53,1457300,3179,32,2161,5371,1,0
26,BRPR3,2022-07-13,8.59,8.78,8.56,8.62,2697200,2729,51,3544,6323,1,0
27,BRPR3,2022-07-14,8.54,8.54,8.36,8.38,2531500,3840,34,3417,7290,1,0
28,BRPR3,2022-07-15,8.44,8.49,8.37,8.43,1261200,2111,38,1333,3480,2,0
29,BRPR3,2022-07-18,8.43,8.49,8.32,8.37,1379900,2200,39,2051,4289,1,0
30,BRPR3,2022-07-19,8.41,8.47,8.3,8.31,1781800,2101,44,1820,3963,2,0
31,BRPR3,2022-07-20,8.29,8.45,8.21,8.31,2298800,5952,40,3074,9064,2,0
32,BRPR3,2022-07-21,8.28,8.4,8.24,8.39,2318600,2346,53,1733,4129,3,0
33,BRPR3,2022-07-22,8.4,8.48,8.37,8.42,3075900,2993,34,2353,5378,2,0
34,BRPR3,2022-07-25,8.45,8.46,8.32,8.39,1166900,1679,54,2235,3967,1,0
35,BRPR3,2022-07-26,8.44,8.44,8.21,8.38,2625100,1747,58,2258,4059,4,0
36,BRPR3,2022-07-27,8.42,8.69,8.38,8.68,1776500,3391,38,1859,5287,1,0
37,BRPR3,2022-07-28,8.66,8.77,8.63,8.65,1483100,2600,74,1958,4630,2,0
38,BRPR3,2022-07-29,8.68,8.73,8.38,8.41,1539800,2973,53,2048,5073,1,0
39,BRPR3,2022-08-01,8.43,8.48,8.29,8.41,1661700,3553,39,1701,5292,1,0
40,BRPR3,2022-08-02,8.41,8.45,8.29,8.43,997400,1639,32,1269,2939,1,0
41,BRPR3,2022-08-03,8.42,8.51,8.31,8.48,1243000,2178,38,2934,5149,1,0
42,BRPR3,2022-08-08,8.61,8.76,8.53,8.64,802200,1573,588,1217,2824,554,0
43,BRPR3,2022-08-09,8.67,8.78,8.48,8.53,695800,774,42,1794,2609,1,0
44,BRPR3,2022-08-10,8.61,8.72,8.55,8.63,3600500,3117,38,2903,6056,2,0
45,BRPR3,2022-08-12,8.44,8.53,8.32,8.48,1046100,2381,43,2071,4493,2,0
46,BRPR3,2022-08-15,8.43,8.48,8.36,8.4,1037600,2805,38,2530,5372,1,0
47,BRPR3,2022-08-16,8.4,8.42,8.22,8.35,914600,1226,39,2359,3623,1,0
48,BRPR3,2022-08-17,8.33,8.35,8.19,8.3,1815200,1902,44,2833,4777,2,0
49,BRPR3,2022-08-18,8.7,8.82,8.53,8.62,2161500,3487,45,2797,6329,0,0
50,BRPR3,2022-08-19,8.59,8.61,8.32,8.37,1015000,1299,45,1253,2597,0,0
51,BRPR3,2022-08-22,8.35,8.44,8.16,8.37,865500,1228,33,1431,2690,2,0
52,BRPR3,2022-08-23,8.37,8.41,8.28,8.36,794200,1148,32,858,2038,0,0
53,BRPR3,2022-08-24,8.35,8.47,8.29,8.39,835900,1790,38,1560,3387,1,0
54,BRPR3,2022-08-25,8.39,8.47,8.37,8.41,734400,1032,76,698,1758,48,0
55,BRPR3,2022-08-26,8.42,8.45,8.25,8.35,698100,1091,36,1076,2202,1,0
56,BRPR3,2022-08-29,8.3,8.35,8.25,8.26,1408100,1501,40,1972,3512,1,0
57,BRPR3,2022-08-30,8.29,8.34,8.2,8.25,1102400,972,41,1140,2153,0,0
58,BRPR3,2022-08-31,8.22,8.3,8.12,8.22,3373400,2738,81,4248,7063,4,0
59,BRPR3,2022-09-01,8.18,8.29,8.1,8.27,1733500,2800,42,1767,4605,4,0
60,BRPR3,2022-09-02,8.3,8.4,8.22,8.32,1686600,1812,60,1959,3828,3,0
61,BRPR3,2022-09-05,8.33,8.36,8.27,8.34,794400,1208,59,1409,2648,28,0
62,BRPR3,2022-09-06,8.27,8.31,8.19,8.29,1716400,1182,43,960,2184,1,0
63,BRPR3,2022-09-08,8.36,8.36,8.13,8.26,1473700,1375,47,1289,2710,1,0
64,BRPR3,2022-09-09,8.31,8.38,8.26,8.36,1216200,1840,57,2141,4029,9,0
65,BRPR3,2022-09-12,8.41,8.48,8.34,8.41,2300900,1499,47,1596,3140,2,0
66,BRPR3,2022-09-13,8.56,8.68,8.33,8.39,2689000,2466,66,2192,4723,1,0
67,BRPR3,2022-09-14,8.47,8.54,8.41,8.5,2450700,2224,42,2450,4715,1,0
68,BRPR3,2022-09-15,8.54,8.54,8.35,8.41,1177500,1399,34,1351,2783,1,0
69,BRPR3,2022-09-16,8.44,8.44,8.21,8.28,4131500,2240,114,3723,6075,2,0
70,BRPR3,2022-09-19,8.25,8.39,8.22,8.32,1640900,1938,40,1750,3726,2,0
71,BRPR3,2022-09-20,8.33,8.43,8.28,8.33,2521700,3059,73,2952,6082,2,0
72,BRPR3,2022-09-21,8.35,8.38,8.23,8.29,2134600,1503,72,1765,3337,3,0
73,BRPR3,2022-09-22,8.36,8.36,8.24,8.33,2153800,2245,53,1618,3915,1,0
74,BRPR3,2022-09-23,8.29,8.35,8.2,8.3,2732500,3023,51,3331,6402,3,0
75,BRPR3,2022-09-26,8.24,8.25,8.07,8.16,3879100,3908,55,2388,6347,4,0
76,BRPR3,2022-09-27,8.23,8.26,8.07,8.11,6382100,3890,108,3326,7276,48,0
77,BRPR3,2022-09-28,8.19,8.3,8.13,8.22,3367000,1333,52,1347,2728,4,0
78,BRPR3,2022-09-29,8.15,8.24,8.09,8.22,2025300,4301,38,1582,5920,1,0
79,BRPR3,2022-09-30,8.21,8.43,8.2,8.31,2938700,1588,67,3770,5421,4,0
80,BRPR3,2022-10-03,5.9,6.14,5.82,6.1,5541500,10545,60,3916,14519,2,0
81,BRPR3,2022-10-04,6.07,6.12,5.96,6.02,4675700,4420,69,5565,10047,7,0
82,BRPR3,2022-10-05,6.05,6.09,6.0,6.03,1595100,2074,37,1344,3454,1,0
83,BRPR3,2022-10-06,6.04,6.12,5.96,6.0,1575800,2093,41,2231,4364,1,0
84,BRPR3,2022-10-07,5.96,6.01,5.87,5.87,1273600,2658,39,3062,5759,0,0
85,BRPR3,2022-10-10,5.93,5.94,5.82,5.91,2118400,3389,40,3438,6867,0,0
86,BRPR3,2022-10-11,5.92,5.93,5.84,5.85,1932100,2618,28,2903,5549,0,0
87,BRPR3,2022-10-13,5.8,5.88,5.69,5.85,3290000,4673,40,3976,8688,1,0
88,BRPR3,2022-10-14,5.89,5.89,5.69,5.72,3409600,3542,37,2961,6536,4,0
89,BRPR3,2022-10-17,5.79,5.93,5.76,5.85,7956900,2670,43,3355,6062,6,0
90,BRPR3,2022-10-18,5.9,6.11,5.87,6.1,7922900,2871,77,3516,6461,3,0
91,BRPR3,2022-10-19,6.08,6.26,6.05,6.17,6033800,8548,92,4482,13118,4,0
