,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,BRSR3,2022-06-06,11.3,11.6,11.17,11.4,7300,19,0,20,39,0,0
1,BRSR3,2022-06-07,11.5,11.5,11.38,11.43,2700,10,0,0,10,0,0
2,BRSR3,2022-06-08,11.48,11.65,11.45,11.57,23700,47,0,23,70,0,0
3,BRSR3,2022-06-09,11.56,11.8,11.56,11.7,19900,37,0,40,77,0,0
4,BRSR3,2022-06-10,11.7,12.0,11.6,11.97,17900,48,0,27,75,0,0
5,BRSR3,2022-06-13,11.44,11.44,10.69,11.0,12300,21,0,33,54,0,0
6,BRSR3,2022-06-14,11.44,11.44,11.01,11.05,3700,10,0,12,22,0,0
7,BRSR3,2022-06-15,11.07,11.08,10.86,11.06,4900,22,0,16,38,0,0
8,BRSR3,2022-06-17,11.07,11.19,10.85,11.19,3100,9,0,13,22,0,0
9,BRSR3,2022-06-20,11.19,11.3,11.02,11.03,3700,12,0,8,20,0,0
10,BRSR3,2022-06-21,11.15,11.41,11.02,11.05,2600,9,0,11,20,0,0
11,BRSR3,2022-06-22,11.01,11.27,11.0,11.24,2000,9,0,10,19,0,0
12,BRSR3,2022-06-23,11.3,11.35,11.0,11.0,6200,17,0,16,33,0,0
13,BRSR3,2022-06-24,11.16,11.16,11.0,11.0,11600,15,0,24,39,0,0
14,BRSR3,2022-06-27,10.86,11.04,10.86,11.04,2500,6,0,11,17,0,0
15,BRSR3,2022-06-28,11.2,11.29,11.07,11.24,4000,12,0,17,29,0,0
16,BRSR3,2022-06-29,11.24,11.3,11.15,11.15,3100,7,0,11,18,0,0
17,BRSR3,2022-06-30,11.15,11.33,11.15,11.16,5200,14,0,8,22,0,0
18,BRSR3,2022-07-01,11.45,11.45,10.89,11.2,8600,10,0,19,29,0,0
19,BRSR3,2022-07-04,11.15,11.99,11.15,11.34,8300,32,0,12,44,0,0
20,BRSR3,2022-07-05,11.2,11.32,11.1,11.14,2100,10,0,8,18,0,0
21,BRSR3,2022-07-06,11.23,11.29,11.2,11.2,3000,16,0,3,19,0,0
22,BRSR3,2022-07-07,11.4,11.41,11.15,11.37,3800,15,0,10,25,0,0
23,BRSR3,2022-07-08,11.37,11.38,11.36,11.37,1300,7,1,3,11,0,0
24,BRSR3,2022-07-11,11.38,11.38,11.23,11.36,2700,8,0,6,14,0,0
25,BRSR3,2022-07-12,11.4,11.4,11.11,11.29,3300,9,0,16,25,0,0
26,BRSR3,2022-07-13,11.39,11.39,11.36,11.37,1500,9,0,1,10,0,0
27,BRSR3,2022-07-14,11.4,11.4,11.32,11.32,1100,5,0,4,9,0,0
28,BRSR3,2022-07-15,11.2,11.36,11.2,11.21,2300,10,0,11,21,0,0
29,BRSR3,2022-07-18,11.44,11.44,11.27,11.34,1400,6,0,6,12,0,0
30,BRSR3,2022-07-19,11.33,11.33,11.3,11.33,2200,16,1,0,17,0,0
31,BRSR3,2022-07-20,11.33,11.48,11.33,11.45,1200,5,1,5,11,0,0
32,BRSR3,2022-07-21,11.45,11.47,11.45,11.45,800,1,1,5,7,0,0
33,BRSR3,2022-07-22,11.47,11.47,11.11,11.24,4300,10,0,23,33,0,0
34,BRSR3,2022-07-25,11.4,11.4,11.06,11.12,8200,20,0,31,51,0,0
35,BRSR3,2022-07-26,11.11,11.42,11.11,11.17,6800,16,1,18,35,0,0
36,BRSR3,2022-07-27,11.18,11.27,11.18,11.27,1400,8,0,4,12,0,0
37,BRSR3,2022-07-28,11.25,11.43,11.0,11.0,20900,29,2,29,60,0,0
38,BRSR3,2022-07-29,11.19,11.36,11.17,11.27,6500,25,0,18,43,0,0
39,BRSR3,2022-08-01,11.25,11.39,11.25,11.3,5700,44,0,9,53,0,0
