,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CAML3,2022-06-30,9.78,10.04,9.78,9.8,1060200,1888,114,1810,3760,52,0
1,CAML3,2023-04-06,6.89,6.94,6.79,6.88,1067700,1586,58,1902,3546,0,0
2,CAML3,2023-08-09,7.61,7.72,7.58,7.62,835300,2412,35,1145,3592,0,0
3,CAML3,2023-06-22,7.82,7.84,7.64,7.7,1135200,1754,41,1761,3556,0,0
4,CAML3,2022-12-15,8.26,8.47,8.18,8.18,667200,1649,54,1349,3052,0,0
5,CAML3,2022-12-07,8.72,8.87,8.61,8.78,830800,1791,49,2797,4637,0,0
6,CAML3,2023-08-10,7.65,7.71,7.53,7.54,1014300,1206,38,1565,2809,0,0
7,CAML3,2023-04-11,7.1,7.65,7.08,7.5,1671800,2732,40,3032,5804,0,0
8,CAML3,2023-02-24,7.6,7.82,7.59,7.8,1035700,2282,47,1519,3848,0,0
9,CAML3,2022-07-28,9.05,9.25,8.95,9.23,1977300,4932,89,4756,9777,0,0
10,CAML3,2022-07-04,10.41,10.71,10.41,10.65,1687900,2596,115,1947,4658,0,0
11,CAML3,2023-04-28,7.04,7.23,7.02,7.15,1700500,2358,64,1760,4182,0,0
12,CAML3,2022-11-24,9.33,9.6,9.27,9.44,365100,979,49,771,1799,0,0
13,CAML3,2023-08-02,7.22,7.54,7.2,7.5,2118300,3840,28,3448,7316,0,0
14,CAML3,2023-05-17,6.88,7.07,6.76,6.84,4728400,4590,45,4372,9007,0,0
15,CAML3,2022-10-11,9.05,9.11,8.75,8.8,1894100,2028,108,3724,5860,0,0
16,CAML3,2022-06-20,9.57,9.7,9.47,9.58,1000400,1208,56,1591,2855,0,0
17,CAML3,2022-07-05,10.63,10.76,10.5,10.72,1614000,2405,108,3147,5660,0,0
18,CAML3,2022-12-19,8.19,8.34,8.07,8.25,1138600,2153,73,1846,4072,0,0
19,CAML3,2023-05-25,7.0,7.06,6.94,7.01,1372400,1942,82,1709,3733,0,0
20,CAML3,2022-12-01,9.13,9.13,8.81,8.88,1441000,1933,61,3070,5064,0,0
21,CAML3,2022-10-31,9.82,10.34,9.82,10.15,1522600,4103,95,2156,6354,0,0
22,CAML3,2022-10-20,10.39,10.59,10.29,10.39,3239800,2779,162,4359,7300,0,0
23,CAML3,2023-03-01,8.09,8.18,7.64,7.78,1475500,2388,69,2576,5033,0,0
24,CAML3,2023-07-27,7.35,7.35,7.19,7.19,707500,934,33,968,1935,0,0
25,CAML3,2023-04-04,6.88,7.24,6.72,7.16,2282500,3384,887,2195,5635,831,0
26,CAML3,2023-03-31,7.05,7.14,6.73,6.83,1860900,2443,57,4269,6769,0,0
27,CAML3,2022-07-08,10.64,10.89,10.55,10.86,1706500,2754,80,4713,7547,0,0
28,CAML3,2023-04-10,6.89,7.15,6.87,7.1,1654000,2555,40,3321,5916,0,0
29,CAML3,2022-06-27,9.85,9.91,9.74,9.81,621500,1310,58,1389,2757,0,0
30,CAML3,2022-06-10,10.21,10.35,10.11,10.2,1548100,2985,59,2856,5900,0,0
31,CAML3,2022-10-17,9.4,9.69,9.36,9.49,1770700,3629,118,2331,6078,0,0
32,CAML3,2023-01-05,7.36,7.5,7.32,7.44,1025100,1765,51,1761,3577,0,0
33,CAML3,2023-06-26,7.94,7.94,7.06,7.14,7274200,6489,137,6985,13611,0,0
34,CAML3,2023-03-23,6.75,6.75,6.46,6.6,1986800,2910,35,3366,6311,0,0
35,CAML3,2022-09-02,10.3,10.37,10.02,10.04,1429700,2620,102,2305,5027,0,0
36,CAML3,2022-06-14,9.73,10.21,9.72,10.07,1991300,3141,74,4187,7402,0,0
37,CAML3,2022-08-17,10.01,10.22,9.99,10.18,791200,1557,65,1500,3122,0,0
38,CAML3,2023-06-23,7.66,7.97,7.66,7.95,752200,1336,68,1122,2526,0,0
39,CAML3,2022-09-21,10.14,10.26,10.04,10.08,543300,1116,40,1144,2300,0,0
40,CAML3,2023-01-02,8.44,8.44,7.86,7.95,1002200,1418,52,1902,3372,0,0
41,CAML3,2023-04-12,7.52,7.59,7.39,7.48,1382100,2352,46,2488,4886,0,0
42,CAML3,2022-10-05,9.15,9.21,8.92,9.05,3137600,4472,81,6275,10828,0,0
43,CAML3,2023-01-16,7.19,7.58,7.11,7.35,2225400,2795,73,3000,5868,0,0
44,CAML3,2023-08-21,7.82,7.9,7.61,7.87,1958300,4205,73,2455,6733,0,0
45,CAML3,2022-12-26,8.43,8.5,8.25,8.25,495000,787,46,1104,1937,0,0
46,CAML3,2022-07-18,9.79,9.79,8.95,9.01,5081700,4792,127,8836,13754,1,0
47,CAML3,2023-06-05,7.25,7.31,7.09,7.16,1206200,2269,35,1278,3582,0,0
48,CAML3,2023-02-03,8.11,8.12,7.72,7.86,2523500,4122,77,4404,8603,0,0
49,CAML3,2023-08-08,7.55,7.68,7.43,7.59,660400,922,34,727,1683,0,0
50,CAML3,2023-01-30,8.18,8.25,7.82,7.89,1957600,2265,64,3449,5778,0,0
51,CAML3,2023-05-08,7.43,7.54,7.43,7.44,756900,1352,48,1414,2814,0,0
52,CAML3,2022-10-04,9.86,9.86,9.06,9.15,2890500,4604,107,4506,9217,0,0
53,CAML3,2023-01-13,7.72,7.79,7.2,7.2,3119000,3502,158,4294,7954,0,0
54,CAML3,2022-12-13,8.34,8.39,8.05,8.05,745000,1333,52,2569,3954,0,0
55,CAML3,2022-12-16,8.19,8.38,8.13,8.17,670900,1558,57,1496,3111,0,0
