,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CARD3,2022-06-06,13.61,13.71,13.32,13.6,135400,391,15,542,948,0,0
1,CARD3,2022-06-07,13.39,13.51,13.1,13.27,122200,447,16,432,895,0,0
2,CARD3,2022-06-08,13.33,13.61,13.15,13.44,137200,473,9,672,1154,0,0
3,CARD3,2022-06-09,13.29,13.48,13.1,13.3,126100,351,15,466,832,0,0
4,CARD3,2022-06-10,13.24,13.24,12.8,13.15,160300,571,15,642,1228,0,0
5,CARD3,2022-06-13,12.86,12.86,12.32,12.43,141300,442,12,507,961,0,0
6,CARD3,2022-06-14,12.43,12.48,12.14,12.31,139600,361,14,557,932,0,0
7,CARD3,2022-06-15,12.35,12.66,12.17,12.62,160500,540,19,565,1124,0,0
8,CARD3,2022-06-17,12.6,12.64,12.18,12.64,130300,418,23,498,939,0,0
9,CARD3,2022-06-20,12.51,12.72,12.14,12.14,142100,382,24,513,919,0,0
10,CARD3,2022-06-21,12.17,13.01,12.17,12.8,209100,581,9,595,1185,0,0
11,CARD3,2022-06-22,12.65,12.85,12.45,12.72,116500,431,18,473,922,0,0
12,CARD3,2022-06-23,12.54,12.89,12.42,12.58,133400,496,15,432,943,0,0
13,CARD3,2022-06-24,12.53,12.81,12.16,12.45,165600,347,25,518,890,0,0
14,CARD3,2022-06-27,12.43,12.63,12.3,12.63,107400,417,0,417,834,0,0
15,CARD3,2022-06-28,12.8,12.83,12.2,12.35,125900,356,17,436,809,0,0
16,CARD3,2022-06-29,12.37,12.89,12.26,12.76,130300,528,0,451,979,0,0
17,CARD3,2022-06-30,12.56,12.72,12.29,12.49,117500,475,33,415,923,0,0
18,CARD3,2022-07-01,12.5,12.81,12.38,12.64,106300,388,12,385,785,0,0
19,CARD3,2022-07-04,12.64,12.8,12.35,12.51,84900,316,25,353,694,0,0
20,CARD3,2022-07-05,12.48,12.71,12.01,12.71,124500,497,13,374,884,0,0
21,CARD3,2022-07-06,12.71,13.46,12.69,13.42,139000,555,0,502,1057,0,0
22,CARD3,2022-07-07,13.46,13.58,13.24,13.58,124700,389,49,426,864,0,0
23,CARD3,2022-07-08,13.58,13.7,13.26,13.53,118800,430,27,371,828,0,0
24,CARD3,2022-07-11,13.53,13.53,13.1,13.1,111500,328,26,508,862,0,0
25,CARD3,2022-07-12,13.18,13.9,13.04,13.75,134100,628,0,412,1040,0,0
26,CARD3,2022-07-13,13.86,13.86,13.32,13.5,120300,344,18,434,796,0,0
27,CARD3,2022-07-14,13.63,13.63,13.15,13.42,103500,360,13,423,796,0,0
28,CARD3,2022-07-15,13.53,13.55,13.18,13.2,88000,297,35,333,665,0,0
29,CARD3,2022-07-18,13.2,13.48,12.87,12.95,83800,301,0,405,706,0,0
30,CARD3,2022-07-19,13.01,13.53,12.84,13.36,91600,442,12,339,793,0,0
31,CARD3,2022-07-20,13.55,13.86,13.36,13.8,92000,353,13,342,708,0,0
32,CARD3,2022-07-21,13.7,14.31,13.59,14.31,123300,484,19,407,910,0,0
33,CARD3,2022-07-22,14.29,14.29,13.88,13.88,76400,367,11,318,696,0,0
34,CARD3,2022-07-25,14.4,14.4,13.95,14.24,101300,386,14,390,790,0,0
35,CARD3,2022-07-26,14.12,14.2,13.83,13.92,74800,291,10,358,659,0,0
