,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CASH3,2022-06-06,1.82,1.83,1.69,1.69,29301800,3638,187,5661,9484,2,0
1,CASH3,2022-06-07,1.66,1.69,1.63,1.67,16701600,2476,131,5271,7878,0,0
2,CASH3,2022-06-08,1.65,1.72,1.62,1.63,25150000,2849,121,11250,14219,0,1
3,CASH3,2022-06-09,1.64,1.65,1.59,1.59,15102300,6007,162,7081,13249,1,0
4,CASH3,2022-06-10,1.58,1.61,1.52,1.52,16688300,6389,223,5796,12408,0,0
5,CASH3,2022-06-13,1.47,1.49,1.35,1.37,39398100,7905,584,6073,14554,1,7
6,CASH3,2022-06-14,1.39,1.41,1.28,1.29,27311500,4146,308,10801,15253,1,1
7,CASH3,2022-06-15,1.32,1.37,1.29,1.33,35130800,7540,1140,7951,15773,855,3
8,CASH3,2022-06-17,1.26,1.28,1.23,1.23,23056400,3979,1535,6562,11249,827,0
9,CASH3,2022-06-20,1.26,1.26,1.18,1.2,20622300,2299,699,5175,7687,463,23
10,CASH3,2022-06-21,1.21,1.24,1.15,1.16,22950300,9301,215,10499,20014,1,0
11,CASH3,2022-06-22,1.14,1.31,1.13,1.27,40389800,10763,271,6118,17152,0,0
12,CASH3,2022-06-23,1.27,1.37,1.27,1.28,34864500,6700,382,3815,10894,1,2
13,CASH3,2022-06-24,1.31,1.37,1.25,1.27,23746500,4069,211,3509,7784,0,5
14,CASH3,2022-06-27,1.27,1.29,1.19,1.2,26512600,4758,266,5927,10948,0,3
15,CASH3,2022-06-28,1.21,1.22,1.15,1.15,24370400,6133,188,5154,11475,0,0
16,CASH3,2022-06-29,1.17,1.18,1.11,1.12,22145900,3388,1493,6994,10485,1389,1
17,CASH3,2022-06-30,1.09,1.13,1.07,1.08,23937800,5632,494,8885,15011,0,0
18,CASH3,2022-07-01,1.08,1.11,1.05,1.1,16502400,3808,145,4999,8952,0,0
19,CASH3,2022-07-04,1.1,1.15,1.09,1.09,12633200,1455,263,3057,4771,0,4
20,CASH3,2022-07-05,1.09,1.2,1.05,1.17,31625500,5147,252,4945,10343,0,1
21,CASH3,2022-07-06,1.18,1.26,1.18,1.24,23773600,6535,91,3395,10017,2,2
22,CASH3,2022-07-07,1.27,1.29,1.23,1.24,16543400,11167,174,3908,15249,0,0
23,CASH3,2022-07-08,1.24,1.27,1.22,1.24,18459400,4612,108,2834,7554,0,0
24,CASH3,2022-07-11,1.21,1.23,1.14,1.16,24982500,4640,269,4994,9897,2,4
25,CASH3,2022-07-12,1.14,1.23,1.13,1.19,29015100,4091,197,7444,11732,0,0
26,CASH3,2022-07-13,1.17,1.2,1.14,1.16,22868000,2293,143,8053,10489,0,0
27,CASH3,2022-07-14,1.14,1.16,1.09,1.1,26931200,3316,178,7468,10961,1,0
28,CASH3,2022-07-15,1.16,1.19,1.1,1.12,47611600,4852,566,67401,72805,0,14
29,CASH3,2022-07-18,1.14,1.17,1.05,1.05,42390600,4109,335,31016,35455,1,4
30,CASH3,2022-07-19,1.07,1.09,1.03,1.06,39276400,6816,178,67736,74730,0,0
31,CASH3,2022-07-20,1.06,1.13,1.05,1.1,57147800,9265,225,6936,16425,0,1
32,CASH3,2022-07-21,1.1,1.12,1.07,1.11,42499700,6772,252,28249,35272,1,0
33,CASH3,2022-07-22,1.12,1.12,1.05,1.07,32813400,5114,134,3810,9044,0,14
34,CASH3,2022-07-25,1.08,1.1,1.06,1.06,19546400,4021,119,3137,7270,0,7
35,CASH3,2022-07-26,1.07,1.08,1.01,1.01,28807100,5908,130,8234,14270,0,2
36,CASH3,2022-07-27,1.03,1.06,1.02,1.04,32888700,4399,138,4637,9172,1,1
37,CASH3,2022-07-28,1.04,1.09,1.04,1.07,30691400,4435,104,2979,7516,0,2
38,CASH3,2022-07-29,1.08,1.09,1.03,1.04,23336500,4581,158,2063,6797,2,3
39,CASH3,2022-08-01,1.05,1.08,1.04,1.06,37303900,2864,167,4052,7078,0,5
40,CASH3,2022-08-02,1.05,1.11,1.04,1.08,40387000,2708,160,4287,7154,1,0
41,CASH3,2022-08-03,1.08,1.14,1.07,1.13,47298800,5073,93,2860,8024,0,2
42,CASH3,2022-08-08,1.34,1.42,1.33,1.33,48146300,6563,306,5180,12035,0,14
43,CASH3,2022-08-09,1.36,1.39,1.21,1.23,62175200,6513,174,6461,13138,3,7
44,CASH3,2022-08-10,1.28,1.34,1.23,1.29,48833400,10167,384,3847,14394,3,1
45,CASH3,2022-08-12,1.25,1.37,1.24,1.33,52569100,7009,213,4238,11454,0,6
46,CASH3,2022-08-15,1.31,1.55,1.31,1.51,84804200,21269,376,8159,29788,0,16
47,CASH3,2022-08-16,1.39,1.43,1.32,1.37,109482500,10601,744,13076,24395,2,24
48,CASH3,2022-08-17,1.37,1.4,1.31,1.31,79828000,13008,445,10212,23649,1,15
49,CASH3,2022-08-18,1.34,1.35,1.26,1.28,39271400,4385,229,10615,15227,1,1
50,CASH3,2022-08-19,1.25,1.27,1.22,1.24,29643100,6686,109,4511,11301,0,5
51,CASH3,2022-08-22,1.22,1.23,1.17,1.18,29178000,3653,522,6363,10535,0,3
