,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CBAV3,2022-06-06,16.0,16.07,15.22,15.96,2119400,4332,79,5504,9915,0,0
1,CBAV3,2022-06-07,15.71,16.07,15.57,15.97,1867600,3922,68,6544,10533,1,0
2,CBAV3,2022-06-08,15.72,15.81,14.51,14.93,4056000,7567,1178,7491,15165,1071,0
3,CBAV3,2022-06-09,14.67,15.0,13.74,13.86,2675900,5036,109,6525,11669,1,0
4,CBAV3,2022-06-10,13.78,13.85,13.37,13.7,2062500,4264,81,4227,8570,2,0
5,CBAV3,2022-06-13,13.21,13.28,12.36,12.71,4628800,9349,77,11367,20793,0,0
6,CBAV3,2022-06-14,12.7,12.83,11.76,11.81,6328400,8071,114,8883,17061,7,0
7,CBAV3,2022-06-15,12.04,12.27,11.72,11.88,4248700,6862,105,8094,15058,3,0
8,CBAV3,2022-06-17,11.59,11.59,10.81,11.14,4654600,8688,120,8877,17683,2,0
9,CBAV3,2022-06-20,10.8,11.01,10.43,10.71,2979800,6917,73,4901,11891,0,0
10,CBAV3,2022-06-21,10.91,11.34,10.56,11.13,4374700,7312,879,6611,14029,773,0
11,CBAV3,2022-06-22,10.75,10.92,10.31,10.4,5107200,5715,129,7319,13161,2,0
12,CBAV3,2022-06-23,10.43,10.71,10.22,10.69,5361000,6312,114,8383,14806,3,0
13,CBAV3,2022-06-24,10.85,11.67,10.34,11.6,6346000,8096,134,8514,16723,21,0
14,CBAV3,2022-06-27,11.7,12.1,11.6,11.73,4499000,11623,82,7945,19648,2,0
15,CBAV3,2022-06-28,12.06,12.71,11.87,12.14,4470000,8459,112,10729,19300,0,0
16,CBAV3,2022-06-29,12.13,12.29,11.71,11.72,2307500,4529,61,5000,9588,2,0
17,CBAV3,2022-06-30,11.26,11.71,11.02,11.35,3960100,7407,85,6019,13511,0,0
18,CBAV3,2022-07-01,11.03,11.4,10.66,11.0,3727100,7674,142,5727,13541,2,0
19,CBAV3,2022-07-04,10.85,10.97,10.64,10.88,2106900,3185,64,4100,7348,1,0
20,CBAV3,2022-07-05,10.74,10.78,10.34,10.75,2362100,3279,77,4620,7976,0,0
21,CBAV3,2022-07-06,10.83,11.06,10.41,10.85,4300000,9145,103,7599,16846,1,0
22,CBAV3,2022-07-07,11.47,11.74,11.15,11.46,6304200,8837,1459,7877,16812,1361,0
23,CBAV3,2022-07-08,11.15,11.46,10.68,10.74,3735600,6037,158,6578,12772,1,0
24,CBAV3,2022-07-11,10.45,10.5,10.16,10.28,2963200,5214,96,4437,9746,1,0
25,CBAV3,2022-07-12,10.25,10.25,9.76,9.9,5359300,6763,88,5234,12082,3,0
26,CBAV3,2022-07-13,9.8,10.28,9.5,10.0,4989400,5941,78,6639,12658,0,0
27,CBAV3,2022-07-14,9.87,9.92,9.36,9.4,4450200,6704,89,6051,12841,3,0
28,CBAV3,2022-07-15,9.46,9.92,9.19,9.53,4358200,7604,82,6617,14303,0,0
29,CBAV3,2022-07-18,9.9,10.29,9.65,9.99,3444500,10940,77,5009,16026,0,0
30,CBAV3,2022-07-19,9.98,10.18,9.85,9.97,5798000,7742,92,6124,13951,7,0
31,CBAV3,2022-07-20,9.99,10.25,9.65,9.88,3133300,4524,91,5031,9646,0,0
32,CBAV3,2022-07-21,9.86,9.97,9.47,9.82,5308400,3684,67,7110,10856,5,0
33,CBAV3,2022-07-22,9.95,10.43,9.9,10.2,3267100,4077,70,3599,7746,0,0
34,CBAV3,2022-07-25,10.41,10.54,10.0,10.07,3272800,4580,65,8123,12768,0,0
35,CBAV3,2022-07-26,10.11,10.34,9.9,10.12,2091600,3830,60,3641,7531,0,0
36,CBAV3,2022-07-27,10.17,10.84,10.1,10.79,4329000,8955,61,5074,14088,2,0
37,CBAV3,2022-07-28,10.85,11.29,10.79,11.1,3566700,6384,63,6075,12519,3,0
38,CBAV3,2022-07-29,11.0,11.39,10.8,11.2,3835300,4465,2831,4799,9325,2770,0
39,CBAV3,2022-08-01,11.03,11.17,10.82,11.04,4683300,5614,74,6946,12633,1,0
40,CBAV3,2022-08-02,11.15,11.19,10.88,11.01,4029300,4886,81,6405,11371,1,0
41,CBAV3,2022-08-03,11.08,11.25,10.84,10.93,2101000,3149,65,2654,5867,1,0
42,CBAV3,2022-08-08,11.44,11.71,11.37,11.71,3252600,5353,84,4536,9972,1,0
43,CBAV3,2022-08-09,11.74,11.85,11.5,11.76,3122200,4306,113,4496,8911,4,0
44,CBAV3,2022-08-10,12.0,12.37,11.79,12.11,4880600,5818,101,6206,12124,1,0
45,CBAV3,2022-08-12,12.21,12.68,12.21,12.55,4002800,6970,79,4254,11299,4,0
46,CBAV3,2022-08-15,12.21,12.39,11.99,12.15,3810400,5863,99,4970,10926,6,0
47,CBAV3,2022-08-16,12.18,12.76,12.18,12.58,3312500,3918,107,3609,7630,4,0
48,CBAV3,2022-08-17,12.53,13.41,12.32,13.3,5262500,7583,145,6402,14127,3,0
49,CBAV3,2022-08-18,13.19,13.4,13.07,13.3,3527600,5533,119,4458,10108,2,0
50,CBAV3,2022-08-19,13.2,13.26,12.94,13.05,2606900,4278,93,4504,8873,2,0
51,CBAV3,2022-08-22,12.95,13.1,12.7,13.0,2010600,3183,96,3770,7049,0,0
52,CBAV3,2022-08-23,13.13,14.11,13.13,13.8,5107600,8178,103,7582,15858,5,0
53,CBAV3,2022-08-24,13.85,14.18,13.67,14.04,2923200,5508,107,5569,11182,2,0
54,CBAV3,2022-08-25,14.05,14.38,14.04,14.19,2635600,4279,124,3197,7597,3,0
55,CBAV3,2022-08-26,14.39,14.52,13.96,13.99,2761900,2839,104,4354,7293,4,0
56,CBAV3,2022-08-29,13.92,14.2,13.82,14.01,2223900,3054,121,5181,8355,1,0
57,CBAV3,2022-08-30,13.95,14.0,12.98,13.03,4241900,4470,106,6000,10572,4,0
58,CBAV3,2022-08-31,12.97,13.14,12.81,12.83,1965500,2636,135,3287,6053,5,0
59,CBAV3,2022-09-01,12.75,12.98,12.4,12.98,3855900,5912,102,6855,12868,1,0
60,CBAV3,2022-09-02,12.95,13.2,12.81,13.0,3943600,9079,153,4891,14120,3,0
61,CBAV3,2022-09-05,13.4,13.78,13.28,13.6,2850400,4186,120,2801,7101,6,0
62,CBAV3,2022-09-06,13.45,13.53,13.09,13.22,2326400,3938,68,3686,7689,3,0
63,CBAV3,2022-09-08,13.42,13.87,12.9,13.75,4464600,6224,406,4776,11105,301,0
64,CBAV3,2022-09-09,14.06,14.94,14.05,14.5,6757900,10414,93,7976,18474,9,0
65,CBAV3,2022-09-12,14.68,14.78,14.2,14.31,1891600,4828,85,2815,7722,6,0
66,CBAV3,2022-09-13,14.33,14.49,13.67,13.78,1621700,2329,103,2707,5137,2,0
67,CBAV3,2022-09-14,13.53,13.66,12.64,12.98,3928400,5540,82,7655,13276,1,0
68,CBAV3,2022-09-15,12.99,13.46,12.66,13.18,2500800,3554,112,4189,7850,5,0
69,CBAV3,2022-09-16,13.0,13.31,12.89,13.02,3620500,5675,96,6624,12392,3,0
70,CBAV3,2022-09-19,13.02,13.31,12.72,13.09,2853500,3918,119,3607,7640,4,0
71,CBAV3,2022-09-20,13.09,13.27,12.56,12.68,2382800,4190,131,5474,9795,0,0
72,CBAV3,2022-09-21,12.53,12.62,11.7,11.77,8339500,8753,194,8188,17129,6,0
73,CBAV3,2022-09-22,12.03,12.09,11.32,11.4,12063500,7996,141,9958,18084,11,0
74,CBAV3,2022-09-23,11.21,11.27,10.53,10.69,7387600,7062,139,8869,16067,3,0
75,CBAV3,2022-09-26,10.59,10.63,10.19,10.31,5595100,5118,162,12580,17859,1,0
76,CBAV3,2022-09-27,10.55,10.68,10.28,10.39,3532900,4260,112,5312,9680,4,0
77,CBAV3,2022-09-28,10.41,11.28,10.19,11.02,5240100,6638,111,3730,10476,3,0
78,CBAV3,2022-09-29,11.35,12.05,11.07,11.4,7098900,9862,93,7435,17385,5,0
79,CBAV3,2022-09-30,11.27,11.68,11.15,11.44,3489900,10319,106,5028,15452,1,0
80,CBAV3,2022-10-03,11.6,11.82,11.33,11.63,3338300,7667,73,4860,12600,0,0
81,CBAV3,2022-10-04,11.85,12.18,11.69,11.86,3828300,5414,97,6281,11792,0,0
82,CBAV3,2022-10-05,11.77,12.23,11.77,12.21,1923400,3617,64,3120,6800,1,0
83,CBAV3,2022-10-06,12.18,12.26,11.93,12.03,2944000,5917,71,3043,9028,3,0
84,CBAV3,2022-10-07,12.03,12.1,11.66,11.79,2224600,3922,51,3815,7787,1,0
