,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CCRO3,2022-06-06,13.3,13.32,13.1,13.2,8359900,6967,112,7319,14394,4,0
1,CCRO3,2022-06-07,13.11,13.21,13.02,13.17,6383300,6430,131,10061,16620,2,0
2,CCRO3,2022-06-08,13.0,13.29,12.86,12.96,10191800,7143,128,11188,18457,2,0
3,CCRO3,2022-06-09,12.93,13.35,12.87,13.34,9523700,10327,149,6835,17311,0,0
4,CCRO3,2022-06-10,13.09,13.2,12.92,13.07,7658500,10778,179,6685,17641,1,0
5,CCRO3,2022-06-13,12.92,13.0,12.35,12.36,5496500,8569,209,7766,16544,0,0
6,CCRO3,2022-06-14,12.41,12.47,12.21,12.31,5281600,6656,104,7735,14495,0,0
7,CCRO3,2022-06-15,12.43,12.65,12.34,12.52,7944000,10258,291,8981,19404,126,0
8,CCRO3,2022-06-17,12.31,12.51,12.23,12.47,11084300,9400,384,10941,20606,119,0
9,CCRO3,2022-06-20,12.52,12.6,12.3,12.34,4679900,4468,79,7070,11616,1,0
10,CCRO3,2022-06-21,12.3,12.6,12.3,12.6,6022000,8035,138,9627,17799,1,0
11,CCRO3,2022-06-22,12.32,12.7,12.28,12.52,8859700,10355,170,9795,20319,1,0
12,CCRO3,2022-06-23,12.62,12.78,12.51,12.51,4947900,6912,148,7525,14585,0,0
13,CCRO3,2022-06-24,12.72,12.86,12.5,12.72,4451900,6261,138,5175,11573,1,0
14,CCRO3,2022-06-27,12.76,13.06,12.71,12.97,7265400,7070,145,9503,16713,5,0
15,CCRO3,2022-06-28,12.98,13.19,12.78,13.0,11621300,8934,146,7860,16930,10,0
16,CCRO3,2022-06-29,13.0,13.09,12.76,12.76,6870900,5332,166,9185,14680,3,0
17,CCRO3,2022-06-30,12.57,12.7,12.34,12.34,13554900,8676,243,12006,20923,2,0
18,CCRO3,2022-07-01,12.45,12.55,12.19,12.39,7676700,7452,210,7719,15379,2,0
19,CCRO3,2022-07-04,12.34,12.35,12.07,12.07,5523200,9788,142,6601,16531,0,0
20,CCRO3,2022-07-05,12.01,12.1,11.86,12.06,6726500,9411,236,7794,17441,0,0
21,CCRO3,2022-07-06,12.19,12.5,12.1,12.27,11460600,13225,139,12618,25980,2,0
