,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CEAB3,2022-06-06,3.07,3.12,2.93,2.95,3115900,2397,101,3907,6404,1,0
1,CEAB3,2022-06-07,2.9,2.96,2.82,2.92,2825300,2242,41,4194,6477,0,0
2,CEAB3,2022-06-08,2.89,2.97,2.88,2.92,3025200,1928,35,2869,4832,0,0
3,CEAB3,2022-06-09,2.92,2.95,2.81,2.87,4374300,3290,38,3635,6963,0,0
4,CEAB3,2022-06-10,2.83,2.87,2.72,2.72,4379600,3026,41,5244,8311,0,0
5,CEAB3,2022-06-13,2.65,2.65,2.49,2.57,5369000,4203,110,4078,8390,1,0
6,CEAB3,2022-06-14,2.59,2.62,2.44,2.46,2608200,2395,75,3069,5538,1,0
7,CEAB3,2022-06-15,2.51,2.59,2.47,2.55,4201200,3134,56,3293,6482,1,0
8,CEAB3,2022-06-17,2.46,2.6,2.4,2.54,3938800,2827,129,3125,6081,0,0
9,CEAB3,2022-06-20,2.55,2.65,2.43,2.44,3518000,2599,324,2984,5629,278,0
10,CEAB3,2022-06-21,2.46,2.54,2.44,2.49,3435200,9106,36,2811,11953,0,0
11,CEAB3,2022-06-22,2.42,2.51,2.39,2.45,3144500,2650,42,2831,5523,0,0
12,CEAB3,2022-06-23,2.44,2.66,2.44,2.51,3255000,3149,33,2355,5536,1,0
13,CEAB3,2022-06-24,2.55,2.57,2.41,2.45,3887000,3116,44,4899,8059,0,0
14,CEAB3,2022-06-27,2.47,2.5,2.35,2.37,3063200,2407,54,4013,6474,0,0
15,CEAB3,2022-06-28,2.37,2.4,2.27,2.29,3436800,2458,36,3294,5788,0,0
16,CEAB3,2022-06-29,2.29,2.33,2.2,2.33,5733700,2973,41,5052,8065,1,0
17,CEAB3,2022-06-30,2.3,2.37,2.25,2.32,4560200,2907,73,4720,7699,1,0
18,CEAB3,2022-07-01,2.26,2.34,2.26,2.33,2531300,2201,62,2501,4764,0,0
19,CEAB3,2022-07-04,2.31,2.35,2.2,2.22,2345200,1715,51,1888,3654,0,0
20,CEAB3,2022-07-05,2.21,2.34,2.12,2.3,5670800,3578,41,3467,7086,0,0
21,CEAB3,2022-07-06,2.3,2.51,2.3,2.5,6223900,6919,99,3492,10508,2,0
22,CEAB3,2022-07-07,2.55,2.61,2.51,2.57,2762300,2765,46,2354,5165,0,0
23,CEAB3,2022-07-08,2.55,2.63,2.51,2.63,2746100,3355,66,2286,5707,0,0
24,CEAB3,2022-07-11,2.56,2.6,2.48,2.53,1807800,3851,43,2799,6692,1,0
25,CEAB3,2022-07-12,2.57,2.67,2.46,2.6,5712200,3949,52,5819,9820,0,0
26,CEAB3,2022-07-13,2.58,2.63,2.46,2.48,2922500,2384,62,2312,4758,0,0
27,CEAB3,2022-07-14,2.42,2.48,2.35,2.41,2747400,2774,52,2688,5514,0,0
28,CEAB3,2022-07-15,2.43,2.45,2.33,2.36,2806200,3231,52,4271,7554,0,0
29,CEAB3,2022-07-18,2.4,2.56,2.4,2.45,4381400,2743,36,2968,5746,1,0
