,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CEBR3,2022-06-06,15.4,15.49,15.0,15.23,2500,6,0,7,13,0,0
1,CEBR3,2022-06-07,15.2,15.2,15.0,15.0,1100,5,0,1,6,0,0
2,CEBR3,2022-06-08,15.25,15.25,14.99,14.99,1700,5,0,1,6,0,0
3,CEBR3,2022-06-09,15.09,15.09,14.01,14.01,2000,4,0,9,13,0,0
4,CEBR3,2022-06-10,14.0,14.93,14.0,14.93,1800,1,0,9,10,0,0
5,CEBR3,2022-06-13,14.89,14.92,14.21,14.88,1100,5,0,3,8,0,0
6,CEBR3,2022-06-14,14.55,14.55,14.19,14.19,800,4,0,0,4,0,0
7,CEBR3,2022-06-15,14.19,14.19,13.09,14.09,2300,5,0,8,13,0,0
8,CEBR3,2022-06-17,14.9,14.9,14.9,14.9,100,0,1,0,1,0,0
9,CEBR3,2022-06-20,14.9,14.9,14.01,14.86,2200,4,0,5,9,0,0
10,CEBR3,2022-06-21,14.89,15.0,14.84,15.0,1100,6,0,1,7,0,0
11,CEBR3,2022-06-22,14.98,15.1,14.98,14.98,7500,10,0,0,10,0,0
12,CEBR3,2022-06-23,14.98,14.99,14.0,14.0,10100,4,4,30,38,0,0
13,CEBR3,2022-06-24,14.0,14.04,13.8,14.0,7100,10,0,6,16,0,0
14,CEBR3,2022-06-27,14.7,14.99,14.41,14.98,2200,13,0,7,20,0,0
15,CEBR3,2022-06-28,14.71,14.99,14.16,14.99,1500,6,0,5,11,0,0
16,CEBR3,2022-06-29,14.97,14.98,14.41,14.98,1800,3,0,7,10,0,0
17,CEBR3,2022-06-30,14.73,15.0,14.2,15.0,3800,9,1,6,16,0,0
18,CEBR3,2022-07-01,14.81,14.82,14.79,14.8,1300,7,0,2,9,0,0
19,CEBR3,2022-07-04,14.49,14.49,14.49,14.49,300,3,0,0,3,0,0
20,CEBR3,2022-07-05,14.49,14.49,14.32,14.32,500,4,0,0,4,0,0
21,CEBR3,2022-07-06,14.2,14.32,14.2,14.3,1700,4,1,6,11,0,0
22,CEBR3,2022-07-07,14.19,14.96,14.02,14.9,1300,3,1,6,10,0,0
23,CEBR3,2022-07-08,14.31,14.94,14.31,14.94,200,1,0,1,2,0,0
24,CEBR3,2022-07-11,14.9,14.92,14.31,14.8,900,3,1,3,7,0,0
