,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CEEB3,2022-06-07,39.0,39.0,37.0,37.0,800,2,0,2,4,0,0
1,CEEB3,2022-06-08,39.0,39.0,37.0,37.5,300,2,0,1,3,0,0
2,CEEB3,2022-06-10,38.99,38.99,37.5,37.5,300,2,0,1,3,0,0
3,CEEB3,2022-06-17,37.25,37.25,37.25,37.25,100,0,1,0,0,1,0
4,CEEB3,2022-06-21,37.2,37.3,37.0,37.3,300,3,0,0,3,0,0
5,CEEB3,2022-06-24,39.0,39.0,37.51,37.51,300,2,0,1,3,0,0
6,CEEB3,2022-06-27,38.0,38.0,38.0,38.0,100,1,0,0,1,0,0
7,CEEB3,2022-06-28,37.9,37.9,37.9,37.9,100,0,0,1,1,0,0
8,CEEB3,2022-06-30,37.9,37.9,36.01,37.45,500,2,0,3,5,0,0
9,CEEB3,2022-07-04,37.43,37.69,37.35,37.35,400,1,0,3,4,0,0
10,CEEB3,2022-07-05,36.95,37.0,36.9,36.98,5800,4,0,4,8,0,0
11,CEEB3,2022-07-06,36.65,36.65,36.6,36.6,300,1,0,2,3,0,0
12,CEEB3,2022-07-07,36.63,36.63,36.63,36.63,100,0,0,1,1,0,0
13,CEEB3,2022-07-12,36.63,36.63,36.63,36.63,100,1,0,0,1,0,0
14,CEEB3,2022-07-13,36.63,36.64,34.81,36.6,1800,7,0,2,9,0,0
15,CEEB3,2022-07-15,36.62,36.62,36.62,36.62,100,1,0,0,1,0,0
16,CEEB3,2022-07-20,36.7,36.7,36.7,36.7,100,0,0,1,1,0,0
17,CEEB3,2022-07-22,36.7,36.7,36.7,36.7,100,1,0,0,1,0,0
18,CEEB3,2022-07-28,36.92,39.5,36.92,38.76,13100,25,0,31,56,0,0
19,CEEB3,2022-07-29,38.5,39.25,38.5,38.86,4800,16,0,12,28,0,0
20,CEEB3,2022-08-01,39.5,41.4,39.5,39.7,12200,55,0,16,71,0,0
21,CEEB3,2022-08-02,38.0,38.0,34.6,34.91,8100,16,0,34,50,0,0
22,CEEB3,2022-08-03,34.92,34.92,34.81,34.81,500,3,0,2,5,0,0
23,CEEB3,2022-08-08,34.81,34.82,34.8,34.82,2500,0,0,11,11,0,0
24,CEEB3,2022-08-09,34.81,34.84,34.81,34.84,2500,2,0,5,7,0,0
25,CEEB3,2022-08-10,35.36,35.36,34.89,34.94,1200,4,0,5,9,0,0
26,CEEB3,2022-08-12,35.11,37.99,35.11,36.4,800,3,0,1,4,0,0
27,CEEB3,2022-08-15,37.0,37.89,37.0,37.0,900,5,0,3,8,0,0
28,CEEB3,2022-08-16,37.5,37.99,37.45,37.5,600,3,0,2,5,0,0
29,CEEB3,2022-08-17,37.3,37.99,37.3,37.99,300,1,0,2,3,0,0
