,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CGAS5,2022-06-07,124.0,124.0,121.09,121.09,200,1,0,1,2,0,0
1,CGAS5,2022-06-08,123.0,123.0,120.14,120.14,500,0,0,5,5,0,0
2,CGAS5,2022-06-09,122.0,122.0,121.0,121.0,200,0,0,2,2,0,0
3,CGAS5,2022-06-10,125.94,125.94,120.5,125.54,500,3,0,2,5,0,0
4,CGAS5,2022-06-13,125.45,125.45,120.01,120.01,1200,3,0,9,12,0,0
5,CGAS5,2022-06-14,120.05,124.99,120.05,124.99,600,3,0,1,4,0,0
6,CGAS5,2022-06-15,122.0,124.0,122.0,124.0,1100,6,0,3,9,0,0
7,CGAS5,2022-06-17,124.6,125.5,124.6,125.5,1500,0,0,4,4,0,0
8,CGAS5,2022-06-20,124.99,125.96,124.45,125.96,1200,9,0,1,10,0,0
9,CGAS5,2022-06-21,124.03,124.03,124.03,124.03,100,0,0,1,1,0,0
10,CGAS5,2022-06-22,122.83,125.99,122.83,124.5,1200,5,0,2,7,0,0
11,CGAS5,2022-06-23,125.0,125.0,125.0,125.0,100,0,0,1,1,0,0
12,CGAS5,2022-06-24,123.9,124.0,123.9,123.9,500,0,0,5,5,0,0
13,CGAS5,2022-06-27,124.0,125.01,122.9,122.9,2200,5,0,14,19,0,0
14,CGAS5,2022-06-28,123.0,126.0,123.0,126.0,600,5,0,1,6,0,0
15,CGAS5,2022-06-29,125.97,125.97,125.5,125.5,200,1,1,0,2,0,0
16,CGAS5,2022-07-01,125.82,125.88,123.01,123.01,1400,12,0,1,13,0,0
17,CGAS5,2022-07-04,123.02,123.5,121.93,121.93,500,1,0,4,5,0,0
18,CGAS5,2022-07-05,124.0,124.0,120.0,120.0,4000,4,1,17,22,0,0
19,CGAS5,2022-07-06,124.95,124.95,120.11,121.69,600,3,0,3,6,0,0
20,CGAS5,2022-07-07,121.65,122.0,120.5,120.5,500,1,1,3,5,0,0
21,CGAS5,2022-07-08,121.12,121.5,121.1,121.5,300,2,0,1,3,0,0
22,CGAS5,2022-07-11,120.02,120.02,120.02,120.02,100,0,0,1,1,0,0
23,CGAS5,2022-07-12,120.1,123.48,120.1,123.48,400,3,0,1,4,0,0
24,CGAS5,2022-07-14,122.0,122.0,120.0,120.5,1600,2,0,10,12,0,0
25,CGAS5,2022-07-15,120.6,120.6,120.5,120.5,1500,0,0,7,7,0,0
26,CGAS5,2022-07-18,121.53,121.53,121.53,121.53,100,0,0,1,1,0,0
27,CGAS5,2022-07-19,120.12,121.56,120.0,120.0,500,0,1,4,5,0,0
28,CGAS5,2022-07-21,120.14,120.25,120.14,120.2,700,0,0,7,7,0,0
29,CGAS5,2022-07-25,124.59,124.64,124.56,124.56,300,3,0,0,3,0,0
30,CGAS5,2022-07-26,121.0,121.0,120.75,121.0,500,1,0,4,5,0,0
31,CGAS5,2022-07-27,121.01,122.14,120.03,122.14,1000,5,0,5,10,0,0
32,CGAS5,2022-07-28,122.14,122.14,122.14,122.14,100,0,0,1,1,0,0
33,CGAS5,2022-07-29,121.5,122.96,119.9,120.0,2100,8,1,5,14,0,0
34,CGAS5,2022-08-01,121.5,121.5,120.01,120.01,1200,2,0,5,7,0,0
35,CGAS5,2022-08-02,121.0,121.0,120.9,121.0,600,3,0,3,6,0,0
36,CGAS5,2022-08-03,121.0,122.96,121.0,122.95,1300,2,0,5,7,0,0
37,CGAS5,2022-08-08,123.0,123.0,123.0,123.0,700,0,0,3,3,0,0
38,CGAS5,2022-08-09,122.95,122.95,120.13,120.95,900,0,0,9,9,0,0
39,CGAS5,2022-08-10,122.0,123.54,121.73,121.73,300,2,0,1,3,0,0
40,CGAS5,2022-08-12,123.74,124.1,123.5,124.1,600,4,0,2,6,0,0
41,CGAS5,2022-08-15,124.0,124.0,123.0,123.0,400,1,0,3,4,0,0
42,CGAS5,2022-08-16,123.0,125.08,123.0,125.08,1300,10,0,2,12,0,0
43,CGAS5,2022-08-17,128.0,128.0,127.99,128.0,600,4,0,1,5,0,0
44,CGAS5,2022-08-18,127.97,131.0,127.9,131.0,1500,8,0,5,13,0,0
45,CGAS5,2022-08-19,133.1,136.22,133.1,135.89,1200,9,0,3,12,0,0
46,CGAS5,2022-08-22,133.0,134.5,133.0,134.5,900,6,0,2,8,0,0
47,CGAS5,2022-08-23,135.0,136.63,135.0,135.35,1900,7,0,11,18,0,0
48,CGAS5,2022-08-24,135.05,137.0,135.02,137.0,1800,11,0,4,15,0,0
49,CGAS5,2022-08-25,136.99,138.99,136.98,137.02,2900,12,0,4,16,0,0
50,CGAS5,2022-08-26,139.93,139.93,136.98,136.98,1400,9,0,4,13,0,0
51,CGAS5,2022-08-29,135.9,137.99,135.34,137.0,1600,8,2,3,13,0,0
52,CGAS5,2022-08-30,137.01,137.01,135.18,136.5,700,1,0,6,7,0,0
53,CGAS5,2022-08-31,135.53,138.9,135.53,137.01,900,5,0,4,9,0,0
