,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CGRA3,2022-06-06,30.0,30.3,29.71,30.3,91100,2,1,7,10,0,0
1,CGRA3,2022-06-07,30.2,30.3,30.1,30.28,1300,6,0,0,6,0,0
2,CGRA3,2022-06-08,30.3,30.3,29.6,29.98,2400,8,0,11,19,0,0
3,CGRA3,2022-06-09,29.99,30.09,29.99,30.09,400,3,0,1,4,0,0
4,CGRA3,2022-06-10,29.5,29.89,29.21,29.4,8800,20,0,14,34,0,0
5,CGRA3,2022-06-13,29.05,30.89,28.53,29.44,1700,9,0,6,15,0,0
6,CGRA3,2022-06-14,29.91,29.91,29.91,29.91,100,1,0,0,1,0,0
7,CGRA3,2022-06-15,29.03,29.27,28.19,28.19,3500,7,0,17,24,0,0
8,CGRA3,2022-06-17,28.01,28.01,27.5,27.5,2200,6,0,12,18,0,0
9,CGRA3,2022-06-20,27.23,28.0,27.23,27.99,1100,6,0,2,8,0,0
10,CGRA3,2022-06-21,28.4,28.4,28.39,28.39,600,4,0,2,6,0,0
11,CGRA3,2022-06-23,27.99,28.28,27.99,28.25,400,2,1,1,4,0,0
12,CGRA3,2022-06-24,28.25,28.68,28.25,28.49,2300,8,0,5,13,0,0
13,CGRA3,2022-06-27,28.6,29.01,28.6,28.99,5200,10,0,7,17,0,0
14,CGRA3,2022-06-28,28.99,29.2,28.8,29.19,7400,13,0,18,31,0,0
15,CGRA3,2022-06-29,29.15,29.3,29.0,29.3,15900,30,0,29,59,0,0
16,CGRA3,2022-06-30,29.3,30.01,28.9,30.0,17700,26,0,29,55,0,0
17,CGRA3,2022-07-01,29.04,29.49,27.81,28.0,20300,39,0,22,61,0,0
18,CGRA3,2022-07-04,28.0,28.24,27.71,28.2,5200,10,0,7,17,0,0
19,CGRA3,2022-07-05,28.0,28.24,28.0,28.24,1500,4,0,1,5,0,0
20,CGRA3,2022-07-06,28.11,28.66,28.11,28.49,1800,4,0,2,6,0,0
21,CGRA3,2022-07-07,28.67,28.67,28.59,28.66,3600,10,0,1,11,0,0
22,CGRA3,2022-07-08,28.99,28.99,28.8,28.8,3900,6,0,0,6,0,0
23,CGRA3,2022-07-11,28.79,28.8,28.78,28.78,300,3,0,0,3,0,0
24,CGRA3,2022-07-12,28.5,28.7,28.5,28.7,2700,6,1,3,10,0,0
25,CGRA3,2022-07-13,28.7,28.7,28.39,28.69,5800,9,0,5,14,0,0
26,CGRA3,2022-07-14,28.38,28.39,27.76,27.9,2000,5,0,11,16,0,0
27,CGRA3,2022-07-15,27.97,28.0,27.65,27.66,1500,2,0,4,6,0,0
28,CGRA3,2022-07-18,28.3,28.3,27.51,28.2,4400,12,0,1,13,0,0
29,CGRA3,2022-07-19,28.2,28.2,28.01,28.01,1700,5,0,3,8,0,0
30,CGRA3,2022-07-20,28.01,28.01,28.0,28.0,600,1,0,1,2,0,0
31,CGRA3,2022-07-21,27.78,28.19,27.78,28.19,200,1,0,1,2,0,0
32,CGRA3,2022-07-22,28.4,28.45,28.4,28.45,1000,2,0,2,4,0,0
33,CGRA3,2022-07-25,28.11,28.45,27.8,27.8,1800,3,0,12,15,0,0
34,CGRA3,2022-07-26,27.9,28.49,27.7,28.24,20500,4,1,5,9,1,0
35,CGRA3,2022-07-27,28.09,28.11,27.61,27.85,6300,11,1,6,17,1,0
36,CGRA3,2022-07-28,27.86,28.2,27.78,28.0,6500,14,0,13,27,0,0
37,CGRA3,2022-07-29,28.0,28.4,28.0,28.4,6500,16,0,22,38,0,0
38,CGRA3,2022-08-01,27.92,28.1,27.8,27.81,3300,16,0,7,23,0,0
39,CGRA3,2022-08-02,27.82,28.0,27.75,27.75,21900,20,1,21,41,1,0
40,CGRA3,2022-08-03,27.9,28.63,27.9,28.2,2000,6,0,6,12,0,0
41,CGRA3,2022-08-08,29.0,29.0,28.7,29.0,1600,8,0,1,9,0,0
42,CGRA3,2022-08-09,29.0,29.65,29.0,29.64,2100,12,0,2,14,0,0
43,CGRA3,2022-08-10,29.95,31.0,29.95,31.0,2600,11,0,8,19,0,0
44,CGRA3,2022-08-12,31.0,31.0,30.01,30.76,1300,6,0,4,10,0,0
45,CGRA3,2022-08-15,31.07,33.07,31.07,32.0,9800,33,0,20,53,0,0
46,CGRA3,2022-08-16,32.5,33.0,32.01,33.0,1100,3,0,4,7,0,0
47,CGRA3,2022-08-17,33.0,33.9,32.58,33.9,1900,7,0,8,15,0,0
48,CGRA3,2022-08-18,34.42,34.49,34.1,34.35,1900,9,0,2,11,0,0
49,CGRA3,2022-08-19,33.76,33.76,33.76,33.76,100,1,0,0,1,0,0
50,CGRA3,2022-08-22,33.4,34.49,33.01,34.49,2400,11,0,5,16,0,0
51,CGRA3,2022-08-23,34.0,34.0,33.27,33.52,2600,9,0,8,17,0,0
52,CGRA3,2022-08-24,34.25,34.25,34.0,34.0,500,3,0,1,4,0,0
53,CGRA3,2022-08-25,34.5,34.5,34.02,34.44,600,2,0,4,6,0,0
54,CGRA3,2022-08-29,34.75,34.75,34.75,34.75,100,1,0,0,1,0,0
55,CGRA3,2022-08-30,34.8,34.8,34.0,34.0,2200,3,0,11,14,0,0
56,CGRA3,2022-08-31,34.25,34.25,33.45,33.45,300,1,0,2,3,0,0
57,CGRA3,2022-09-01,34.4,34.87,34.29,34.87,1500,7,0,5,12,0,0
58,CGRA3,2022-09-02,35.25,35.27,34.6,34.9,1500,9,0,4,13,0,0
59,CGRA3,2022-09-05,33.9,35.01,33.9,35.01,300,0,0,2,2,0,0
60,CGRA3,2022-09-06,34.7,34.7,34.7,34.7,100,1,0,0,1,0,0
61,CGRA3,2022-09-08,35.0,35.3,34.06,35.26,2900,3,0,8,11,0,0
62,CGRA3,2022-09-09,34.26,35.76,34.26,35.76,300,0,1,1,2,0,0
63,CGRA3,2022-09-12,35.49,36.09,35.49,35.8,400,4,0,0,4,0,0
64,CGRA3,2022-09-13,35.72,35.72,34.66,34.66,900,5,0,4,9,0,0
65,CGRA3,2022-09-14,34.3,34.7,33.91,34.2,2300,11,0,11,22,0,0
66,CGRA3,2022-09-15,34.52,34.68,34.52,34.68,300,1,1,1,3,0,0
67,CGRA3,2022-09-16,34.69,35.19,34.35,35.11,600,4,0,2,6,0,0
68,CGRA3,2022-09-19,35.13,35.7,35.0,35.7,9500,7,0,5,12,0,0
69,CGRA3,2022-09-20,35.0,35.7,34.41,35.7,2700,11,1,14,26,0,0
70,CGRA3,2022-09-21,35.7,35.76,35.65,35.67,1800,9,0,3,12,0,0
71,CGRA3,2022-09-22,35.05,35.68,34.0,35.6,10900,35,0,11,46,0,0
72,CGRA3,2022-09-23,35.0,35.4,35.0,35.4,400,3,0,1,4,0,0
73,CGRA3,2022-09-26,35.52,35.52,34.3,35.09,1300,5,0,7,12,0,0
74,CGRA3,2022-09-27,34.41,34.69,34.3,34.5,1800,8,0,9,17,0,0
75,CGRA3,2022-09-28,34.49,34.5,34.49,34.5,2800,3,0,2,5,0,0
76,CGRA3,2022-09-29,34.5,34.5,33.5,34.34,1200,5,0,2,7,0,0
77,CGRA3,2022-09-30,35.15,35.15,34.15,35.05,2000,13,0,5,18,0,0
78,CGRA3,2022-10-03,35.05,35.46,34.87,35.37,5100,8,0,4,12,0,0
79,CGRA3,2022-10-04,35.0,35.5,35.0,35.5,2800,7,0,3,10,0,0
80,CGRA3,2022-10-05,35.5,35.85,35.0,35.71,2600,4,0,5,9,0,0
81,CGRA3,2022-10-06,35.29,35.73,35.29,35.6,700,5,0,1,6,0,0
82,CGRA3,2022-10-07,35.03,35.48,35.03,35.48,1300,5,0,6,11,0,0
83,CGRA3,2022-10-10,35.05,35.36,34.76,35.34,1500,6,0,3,9,0,0
84,CGRA3,2022-10-11,35.3,35.39,35.01,35.3,1700,4,0,4,8,0,0
85,CGRA3,2022-10-13,35.6,35.61,35.08,35.08,1300,6,0,3,9,0,0
86,CGRA3,2022-10-14,35.18,35.18,34.79,34.79,400,1,0,3,4,0,0
87,CGRA3,2022-10-17,35.27,35.61,35.26,35.61,1000,2,0,1,3,0,0
88,CGRA3,2022-10-18,35.5,35.5,35.04,35.43,2300,3,1,6,10,0,0
89,CGRA3,2022-10-19,34.71,35.36,34.71,35.36,1200,4,0,6,10,0,0
