,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CIEL3,2022-06-06,3.97,4.02,3.89,3.97,10812300,5649,177,5139,10965,0,0
1,CIEL3,2022-06-07,3.94,3.94,3.77,3.8,21379800,4539,178,16368,21085,0,0
2,CIEL3,2022-06-08,3.77,3.84,3.74,3.75,28798400,6128,146,13437,19711,0,0
3,CIEL3,2022-06-09,3.78,3.83,3.74,3.74,15853700,9297,161,5504,14962,0,0
4,CIEL3,2022-06-10,3.74,3.85,3.72,3.82,26127800,7165,148,6622,13935,0,0
5,CIEL3,2022-06-13,3.73,3.87,3.68,3.83,31533600,11735,220,5977,17931,1,0
6,CIEL3,2022-06-14,3.86,3.89,3.74,3.75,22823100,4227,152,9564,13943,0,0
7,CIEL3,2022-06-15,3.8,4.0,3.79,3.95,40840800,14077,212,7956,22240,5,0
8,CIEL3,2022-06-17,3.87,3.9,3.75,3.83,29038000,13006,285,8363,21654,0,0
9,CIEL3,2022-06-20,3.9,3.96,3.79,3.8,15671900,3994,93,5696,9783,0,0
10,CIEL3,2022-06-21,3.82,3.92,3.78,3.88,25597900,5679,137,5651,11463,4,0
11,CIEL3,2022-06-22,3.85,3.96,3.74,3.93,24060100,6545,148,3983,10673,3,0
12,CIEL3,2022-06-23,3.96,4.02,3.91,3.95,17725000,8468,151,6226,14841,4,0
13,CIEL3,2022-06-24,3.98,4.01,3.83,3.85,17261600,4781,145,6809,11734,1,0
14,CIEL3,2022-06-27,3.87,3.91,3.82,3.85,9719300,4042,131,7898,12071,0,0
15,CIEL3,2022-06-28,3.86,3.94,3.75,3.79,21879700,5144,90,30622,35856,0,0
16,CIEL3,2022-06-29,3.85,3.85,3.75,3.78,14306100,3088,101,6931,10119,1,0
17,CIEL3,2022-06-30,3.67,3.85,3.66,3.74,25803000,5582,153,7315,13049,1,0
18,CIEL3,2022-07-01,3.76,3.95,3.73,3.92,41507200,10617,247,8937,19797,4,0
19,CIEL3,2022-07-04,3.94,3.98,3.78,3.85,16204000,7574,221,5382,13175,2,0
20,CIEL3,2022-07-05,3.83,3.85,3.74,3.85,19282700,6784,151,11631,18566,0,0
21,CIEL3,2022-07-06,3.84,3.88,3.75,3.79,25166100,7084,165,7830,15079,0,0
22,CIEL3,2022-07-07,3.87,4.0,3.86,3.91,37376600,14308,242,6598,21147,1,0
23,CIEL3,2022-07-08,3.91,4.13,3.9,4.11,36784700,9092,186,6257,15533,2,0
24,CIEL3,2022-07-11,4.07,4.1,3.89,3.92,27211600,8417,162,11304,19883,0,0
25,CIEL3,2022-07-12,3.95,4.03,3.91,3.97,21281700,6329,188,6643,13159,1,0
26,CIEL3,2022-07-13,3.93,3.94,3.81,3.86,30572500,4508,155,16435,21097,1,0
27,CIEL3,2022-07-14,3.87,4.17,3.85,4.15,43819800,14436,425,8074,22661,274,0
28,CIEL3,2022-07-15,4.15,4.17,4.01,4.07,28211200,10289,265,7695,18245,4,0
29,CIEL3,2022-07-18,4.16,4.28,4.1,4.21,39378000,7697,330,10896,18920,3,0
30,CIEL3,2022-07-19,4.21,4.21,4.06,4.13,24901700,5751,202,6803,12753,3,0
31,CIEL3,2022-07-20,4.12,4.15,4.02,4.09,19052500,3925,209,8065,12198,1,0
32,CIEL3,2022-07-21,4.1,4.19,4.03,4.14,14198100,3593,179,6981,10750,3,0
33,CIEL3,2022-07-22,4.12,4.12,4.0,4.05,13349200,3189,155,5925,9269,0,0
34,CIEL3,2022-07-25,4.09,4.14,4.06,4.08,8548300,3776,174,4138,8088,0,0
35,CIEL3,2022-07-26,4.06,4.21,4.06,4.12,17614500,11025,129,7770,18923,1,0
36,CIEL3,2022-07-27,4.15,4.34,4.14,4.29,29424300,24842,143,7239,32223,1,0
37,CIEL3,2022-07-28,4.29,4.32,4.19,4.26,14521600,13151,199,7288,20536,102,0
38,CIEL3,2022-07-29,4.28,4.46,4.27,4.41,25475200,8205,195,10866,19265,1,0
39,CIEL3,2022-08-01,4.44,4.49,4.31,4.34,15892100,8080,142,8087,16309,0,0
40,CIEL3,2022-08-02,4.34,4.49,4.29,4.46,15631600,9360,181,6606,16147,0,0
41,CIEL3,2022-08-03,4.78,4.9,4.55,4.87,84679100,56111,581,67535,124225,2,0
42,CIEL3,2022-08-08,5.0,5.18,4.97,5.07,28355600,13495,231,17267,30992,1,0
43,CIEL3,2022-08-09,5.09,5.16,4.93,5.14,24750000,17644,236,12604,30479,5,0
44,CIEL3,2022-08-10,5.16,5.35,5.16,5.2,39205600,64372,203,14205,78775,5,0
45,CIEL3,2022-08-12,5.12,5.35,5.12,5.26,27282600,12993,215,7072,20278,2,0
46,CIEL3,2022-08-15,5.21,5.38,5.04,5.16,30563900,19728,166,13400,33293,1,0
47,CIEL3,2022-08-16,5.18,5.26,5.06,5.25,18253000,9518,187,16670,26372,3,0
48,CIEL3,2022-08-17,5.18,5.48,5.18,5.4,24545500,15591,213,10482,26285,1,0
49,CIEL3,2022-08-18,5.44,5.62,5.39,5.59,25423100,23541,282,12167,35990,0,0
50,CIEL3,2022-08-19,5.51,5.64,5.4,5.46,18174800,11056,229,12849,24133,1,0
51,CIEL3,2022-08-22,5.41,5.62,5.35,5.6,16959100,15804,225,11320,27349,0,0
52,CIEL3,2022-08-23,5.6,5.66,5.5,5.54,20195600,12241,40198,6807,19243,40003,0
53,CIEL3,2022-08-24,5.59,5.8,5.44,5.78,33610600,17361,306,11601,29265,3,0
54,CIEL3,2022-08-25,5.82,5.86,5.68,5.78,24356700,10436,206,7508,18147,3,0
55,CIEL3,2022-08-26,5.87,6.22,5.77,5.89,54469700,18797,393,17090,36278,2,0
56,CIEL3,2022-08-29,5.86,5.9,5.68,5.77,20956500,9669,242,12104,22013,2,0
57,CIEL3,2022-08-30,5.83,5.92,5.48,5.63,50562000,11816,212,13007,25027,8,0
58,CIEL3,2022-08-31,5.65,5.74,5.43,5.49,32824000,9568,300,14359,24226,1,0
59,CIEL3,2022-09-01,5.47,5.63,5.34,5.42,32796400,13888,253,9471,23611,1,0
60,CIEL3,2022-09-02,5.43,5.52,5.24,5.33,42580900,12364,470,8850,21684,0,0
61,CIEL3,2022-09-05,5.29,5.42,5.27,5.41,18857600,25607,356,7639,33531,71,0
62,CIEL3,2022-09-06,5.34,5.36,5.08,5.09,38381000,10539,293,10290,21119,3,0
63,CIEL3,2022-09-08,5.14,5.18,4.93,5.18,24473600,7604,252,9130,16986,0,0
64,CIEL3,2022-09-09,5.26,5.36,5.19,5.25,24619500,15437,210,9848,25494,1,0
65,CIEL3,2022-09-12,5.39,5.39,5.21,5.26,14981800,5237,349,6268,11854,0,0
66,CIEL3,2022-09-13,5.2,5.32,5.15,5.19,18307200,5447,168,10581,16196,0,0
67,CIEL3,2022-09-14,5.19,5.27,5.11,5.24,12604000,5148,195,4837,10180,0,0
68,CIEL3,2022-09-15,5.21,5.47,5.21,5.34,24815600,12460,205,9248,21913,0,0
69,CIEL3,2022-09-16,5.28,5.41,5.16,5.36,21831900,12998,269,6063,19330,0,0
70,CIEL3,2022-09-19,5.3,5.36,5.2,5.33,19166500,10041,191,13665,23897,0,0
71,CIEL3,2022-09-20,5.23,5.34,5.21,5.27,23918100,5649,216,30507,36369,3,0
72,CIEL3,2022-09-21,5.26,5.32,5.04,5.1,33046100,9688,218,24288,34193,1,0
73,CIEL3,2022-09-22,5.12,5.21,4.88,5.15,39129800,17744,233,18763,36740,0,0
74,CIEL3,2022-09-23,5.1,5.2,5.07,5.17,19109400,17982,229,7110,25321,0,0
75,CIEL3,2022-09-26,5.15,5.19,5.06,5.1,33465100,10640,179,38240,49055,4,0
76,CIEL3,2022-09-27,5.17,5.4,5.16,5.23,30640200,7951,221,15517,23686,3,0
77,CIEL3,2022-09-28,5.22,5.46,5.2,5.39,31696000,27145,205,11770,39118,2,0
78,CIEL3,2022-09-29,5.35,5.56,5.2,5.27,30996300,8990,194,14077,23259,2,0
79,CIEL3,2022-09-30,5.28,5.48,5.19,5.41,29006800,10356,262,11842,22460,0,0
80,CIEL3,2022-10-03,5.58,5.83,5.56,5.81,41752300,37308,329,18446,56082,1,0
81,CIEL3,2022-10-04,5.87,5.87,5.44,5.52,46528200,24590,368,16384,41341,1,0
82,CIEL3,2022-10-05,5.55,5.58,5.24,5.42,44464600,13674,22348,17068,30991,22099,0
83,CIEL3,2022-10-06,5.43,5.52,5.38,5.48,32463600,9676,252,9015,18919,24,0
84,CIEL3,2022-10-07,5.44,5.69,5.41,5.61,50204900,15626,201,16643,32465,5,0
85,CIEL3,2022-10-10,5.63,5.72,5.58,5.67,16915300,16530,231,5602,22363,0,0
86,CIEL3,2022-10-11,5.65,5.84,5.59,5.75,35860900,20963,183,10338,31483,1,0
87,CIEL3,2022-10-13,5.65,6.0,5.65,5.77,39726600,15751,313,19878,35932,10,0
88,CIEL3,2022-10-14,5.84,5.9,5.64,5.71,21196400,8553,244,8580,17377,0,0
89,CIEL3,2022-10-17,5.78,5.85,5.71,5.72,17538500,9024,193,6617,15827,7,0
90,CIEL3,2022-10-18,5.81,6.01,5.8,6.0,48587400,14646,502,7138,22276,10,0
91,CIEL3,2022-10-19,6.0,6.07,5.92,5.95,43082600,17396,320,15324,33018,22,0
92,CIEL3,2022-10-20,6.01,6.01,5.7,5.87,36381500,9687,311,25727,35725,0,0
93,CIEL3,2022-10-21,5.86,5.93,5.74,5.8,51132100,15146,262,27628,43036,0,0
94,CIEL3,2022-10-24,5.74,5.86,5.7,5.72,17066500,5705,224,12316,18245,0,0
95,CIEL3,2022-10-25,5.71,5.75,5.53,5.63,29286600,7558,215,14070,21843,0,0
96,CIEL3,2022-10-26,5.52,5.58,5.33,5.4,27352600,11271,221,19287,30778,1,0
97,CIEL3,2022-10-27,5.41,5.67,5.38,5.55,24711100,13468,245,14796,28508,1,0
98,CIEL3,2022-10-28,5.53,5.68,5.44,5.62,18960800,11584,203,7227,19013,1,0
99,CIEL3,2022-10-31,5.54,5.96,5.48,5.95,27678700,15741,260,11009,27010,0,0
100,CIEL3,2022-11-01,6.01,6.02,5.41,5.5,109702500,31052,662,39249,70961,2,0
101,CIEL3,2022-11-03,5.4,5.61,5.4,5.56,29268300,12187,353,19098,31637,1,0
102,CIEL3,2022-11-04,5.57,5.78,5.57,5.6,25346000,18676,238,8564,27474,4,0
103,CIEL3,2022-11-07,5.66,5.71,5.49,5.56,18437400,12548,245,9695,22487,1,0
104,CIEL3,2022-11-08,5.51,5.58,5.44,5.48,19880600,7435,167,11384,18984,2,0
105,CIEL3,2022-11-09,5.46,5.62,5.37,5.43,17566800,6219,204,7432,13847,8,0
106,CIEL3,2022-11-10,5.36,5.36,4.98,5.12,27938000,23105,205,24645,47955,0,0
107,CIEL3,2022-11-14,5.12,5.3,5.03,5.11,19395900,12230,190,10323,22743,0,0
108,CIEL3,2022-11-17,4.99,5.09,4.77,5.03,35081300,20591,178,18057,38826,0,0
109,CIEL3,2022-11-18,5.07,5.22,5.02,5.02,28419400,9067,8876,20026,29286,8683,0
110,CIEL3,2022-11-21,5.14,5.27,5.05,5.24,25318400,12426,255,10596,23274,3,0
111,CIEL3,2022-11-22,5.25,5.4,5.07,5.13,13653900,4561,314,6454,11329,0,0
112,CIEL3,2022-11-23,5.09,5.1,4.74,4.78,40264000,10915,232,15043,26189,1,0
113,CIEL3,2022-11-24,4.83,5.03,4.75,4.99,17077700,6239,171,4625,11035,0,0
114,CIEL3,2022-11-25,5.0,5.01,4.68,4.78,29862700,4606,166,10205,14973,4,0
115,CIEL3,2022-11-28,4.79,4.84,4.72,4.76,10462700,6041,138,7460,13639,0,0
116,CIEL3,2022-11-29,4.76,4.91,4.68,4.79,26680500,11414,166,7264,18844,0,0
117,CIEL3,2022-11-30,4.79,4.82,4.62,4.79,35067800,7475,240,36757,44472,0,0
118,CIEL3,2022-12-01,4.78,4.83,4.53,4.6,33484000,13422,180,16481,30082,1,0
119,CIEL3,2022-12-02,4.61,4.84,4.48,4.68,40029900,14855,166,27320,42338,3,0
120,CIEL3,2022-12-05,4.69,4.69,4.37,4.39,17014000,4376,171,8211,12758,0,0
121,CIEL3,2022-12-06,4.42,4.45,4.28,4.38,42551700,13538,181,17435,31153,1,0
122,CIEL3,2022-12-07,4.35,4.51,4.35,4.4,43086600,16017,154,10969,27132,8,0
123,CIEL3,2022-12-08,4.37,4.43,4.25,4.35,31766100,17064,126,26155,43345,0,0
124,CIEL3,2022-12-09,4.4,4.46,4.33,4.35,15172800,5481,120,7547,13147,1,0
125,CIEL3,2022-12-12,4.51,4.68,4.4,4.44,33130800,16563,276,11066,27905,0,0
126,CIEL3,2022-12-13,4.5,4.5,4.24,4.31,30889800,6239,186,12357,18781,1,0
127,CIEL3,2022-12-14,4.26,4.67,4.22,4.58,48659300,21962,215,14911,37083,5,0
128,CIEL3,2022-12-15,4.54,4.82,4.5,4.74,41390000,24402,190,13361,37952,1,0
129,CIEL3,2022-12-16,4.72,4.79,4.49,4.5,43569100,7268,265,15050,22582,1,0
130,CIEL3,2022-12-19,4.58,4.83,4.51,4.73,33024700,14933,168,9812,24913,0,0
131,CIEL3,2022-12-20,4.73,5.16,4.67,4.87,41246300,15711,161,13502,29374,0,0
132,CIEL3,2022-12-21,4.88,5.03,4.79,4.97,31895700,11721,120,11167,23008,0,0
133,CIEL3,2022-12-22,4.97,5.11,4.9,5.07,19875700,13537,171,6410,20117,1,0
134,CIEL3,2022-12-23,5.09,5.31,5.03,5.18,23897900,11150,162,6939,18251,0,0
135,CIEL3,2022-12-26,5.08,5.15,4.99,5.13,7496900,5974,154,5803,11930,1,0
136,CIEL3,2022-12-27,5.15,5.2,4.95,5.08,25014800,9856,239,33461,43506,50,0
137,CIEL3,2022-12-28,5.09,5.25,5.07,5.21,23040500,11396,173,7126,18693,2,0
138,CIEL3,2022-12-29,5.22,5.28,5.09,5.24,15973600,3714,3090,5281,9204,2881,0
139,CIEL3,2023-01-02,5.12,5.18,5.03,5.1,13170800,7889,234,11329,19452,0,0
140,CIEL3,2023-01-03,5.12,5.17,4.85,4.88,19159100,6961,177,12924,20062,0,0
141,CIEL3,2023-01-04,4.91,5.01,4.81,4.88,17191300,8626,166,9790,18581,1,0
142,CIEL3,2023-01-05,4.9,5.07,4.74,4.89,43014600,17740,311,13264,31175,140,0
